,cat,id
0,1,711496
1,0,3428420
2,1,5296246
3,1,7142256
4,0,8263261
5,0,9264695
6,0,12292170
7,1,12747856
8,0,13407150
9,0,14001764
10,2,15961695
11,2,16399056
12,0,17126728
13,2,19294597
14,0,19932567
15,0,22504428
16,0,23556546
17,1,23701945
18,1,23717816
19,1,23860212
20,2,24068538
21,1,24999357
22,1,25136696
23,2,27297089
24,0,29651040
25,1,33920200
26,0,38845605
27,0,42453446
28,0,42784662
29,1,42784730
30,0,43760459
31,1,44937258
32,0,46694686
33,1,47283528
34,1,49118318
35,1,49384031
36,2,49698775
37,1,50374633
38,2,54597071
39,2,54830441
40,1,54890792
41,1,56475438
42,0,57935329
43,1,58076316
44,2,58175881
45,0,59057958
46,2,59642189
47,0,59977372
48,0,61708898
49,1,62456385
50,0,63355574
51,2,63683614
52,1,64247106
53,0,65074214
54,2,66728011
55,0,66733451
56,1,67855279
57,2,68124303
58,2,68165886
59,2,71080786
60,1,71615834
61,0,72585826
62,2,74183397
63,0,74371813
64,0,76067206
65,2,77789946
66,0,77864801
67,0,79133331
68,2,79354810
69,0,79382651
70,0,79414386
71,1,79548185
72,1,81691250
73,1,82777124
74,0,84102652
75,0,84102726
76,0,84102818
77,0,84102992
78,0,84103331
79,0,84103668
80,0,84104405
81,0,84107657
82,0,84110195
83,0,84113497
84,2,84343875
85,0,85979470
86,0,86382620
87,1,87476870
88,0,87559416
89,1,88948407
90,2,89459343
91,1,91435924
92,1,91512714
93,0,92612386
94,1,92909133
95,1,95036944
96,1,97334869
97,1,102605640
98,0,103533879
99,1,105067864
100,1,105068167
101,1,105068756
102,2,105068903
103,2,106552658
104,0,106615513
105,1,106626467
106,1,106630628
107,1,106631189
108,2,106960689
109,2,107513437
110,2,107531301
111,1,108102614
112,1,108582117
113,2,108726950
114,1,108727105
115,2,108926700
116,1,110375688
117,0,111641395
118,1,111782033
119,1,112002383
120,0,112076981
121,1,113774900
122,1,114778887
123,1,115291553
124,1,115555234
125,1,116552380
126,1,117235321
127,0,118349232
128,2,119777479
129,2,120342328
130,2,121060695
131,2,121146842
132,2,123996755
133,0,124194123
134,0,124763448
135,1,124971307
136,1,126990970
137,1,127180392
138,0,127560218
139,0,127711102
140,2,128382289
141,2,128797126
142,2,129482318
143,1,129982283
144,0,130093438
145,1,130504086
146,2,131073232
147,2,131963791
148,0,132085662
149,1,132457256
150,0,133141499
151,0,133378169
152,1,134385436
153,1,135374311
154,2,135590747
155,0,135723452
156,0,136891338
157,0,137038182
158,0,137670278
159,1,137821516
160,0,138715443
161,2,139414554
162,0,139503193
163,2,140950092
164,2,141163384
165,0,141950544
166,2,143456104
167,2,145834683
168,0,145863698
169,2,146073563
170,2,146776889
171,1,146910564
172,1,150327179
173,1,150983600
174,0,151503521
175,1,153142460
176,0,158458137
177,2,158492112
178,1,158867511
179,1,159781435
180,2,160383627
181,2,160495680
182,0,160972732
183,0,163224379
184,2,164279184
185,1,167677900
186,1,167811785
187,0,168543492
188,0,169508038
189,1,171324035
190,1,172401136
191,0,173421283
192,0,175513310
193,0,176790777
194,1,177572464
195,1,177678229
196,0,180097475
197,0,180167886
198,1,181222523
199,1,182667716
200,0,182796245
201,1,183240996
202,1,185501407
203,1,185557891
204,1,185762851
205,0,186785614
206,2,186894574
207,1,186911739
208,2,187064219
209,2,187236305
210,2,187524041
211,1,188382149
212,1,189201430
213,1,191737873
214,0,193865287
215,2,194105008
216,0,194485118
217,0,194566800
218,2,195199225
219,2,195252644
220,1,196314110
221,1,196642842
222,1,197835408
223,1,198427174
224,0,199226361
225,2,203363608
226,1,206793705
227,2,206793830
228,1,206905102
229,1,209621527
230,0,210649825
231,0,212283917
232,2,212377234
233,1,212728008
234,2,213028640
235,2,213367739
236,0,214044025
237,2,215085597
238,1,218056823
239,0,219716769
240,2,219812218
241,2,222053537
242,2,222802658
243,0,222981540
244,2,224305267
245,1,224488099
246,1,225251760
247,2,225886420
248,2,228544939
249,1,228655950
250,1,229413944
251,1,231719781
252,0,234392509
253,2,236033271
254,0,236438831
255,2,237321084
256,0,237788606
257,1,237898536
258,2,240349851
259,2,240390322
260,1,241218431
261,2,241903192
262,0,242413574
263,1,243275877
264,0,243663656
265,2,244022765
266,1,244147088
267,2,247472940
268,1,247476034
269,1,247483754
270,1,247670113
271,1,248058536
272,1,248811985
273,1,248850228
274,2,249189650
275,2,249250110
276,1,249608359
277,1,250378129
278,2,250718352
279,2,252511820
280,0,253473902
281,1,259981527
282,2,261877376
283,1,262080417
284,1,263027820
285,1,263078880
286,2,263782103
287,1,266498970
288,1,266522095
289,2,270652173
290,1,271942210
291,1,275519370
292,0,276135279
293,0,277196878
294,0,277875552
295,1,278117597
296,2,278119589
297,1,280575350
298,0,282138251
299,2,282289934
300,1,285259464
301,1,285453493
302,0,286224662
303,0,293774899
304,2,293986050
305,1,294207152
306,1,296139938
307,1,298035643
308,0,298339555
309,1,300816989
310,1,301451527
311,1,301753546
312,2,301826428
313,2,302391550
314,0,303671307
315,0,303825755
316,1,304651923
317,2,305914249
318,1,306160440
319,2,308260529
320,1,310663110
321,1,312291985
322,1,315276133
323,1,315422235
324,1,316114112
325,0,316203575
326,2,317015846
327,0,317033925
328,0,317321240
329,1,318727480
330,0,321351781
331,1,321359867
332,0,322075199
333,0,325943832
334,1,326469084
335,2,327140436
336,1,328287369
337,1,328801176
338,2,328802530
339,1,329006130
340,0,329213734
341,0,329934081
342,0,332023832
343,0,332826648
344,1,332849764
345,0,332960228
346,2,333580453
347,2,334650250
348,1,334919811
349,2,336015169
350,0,336066804
351,0,339033651
352,1,339236967
353,0,340199688
354,1,340410155
355,0,341417979
356,2,341754181
357,0,341757092
358,1,344299728
359,0,345902631
360,0,346148321
361,1,346320624
362,1,346443016
363,2,348818060
364,1,350391119
365,0,351438687
366,1,352299117
367,2,353740007
368,2,355515018
369,0,355541036
370,0,355701416
371,2,355861631
372,0,357420114
373,1,359012101
374,2,359636164
375,2,360084107
376,1,363123259
377,0,363512910
378,1,364366442
379,1,364994769
380,1,367047647
381,1,367733728
382,2,368273411
383,2,368490433
384,0,369032791
385,2,369181598
386,1,369784069
387,0,370109945
388,2,370352928
389,2,372410073
390,2,372625867
391,1,374026372
392,1,374031630
393,1,376157099
394,1,376254690
395,1,377116293
396,1,379350746
397,2,381875131
398,1,382024123
399,1,382775211
400,1,382797065
401,0,383247746
402,1,383275895
403,1,383817998
404,1,385022571
405,0,386673741
406,2,387355957
407,2,388071058
408,1,388205723
409,0,391682018
410,1,395361169
411,1,395841116
412,0,397238783
413,2,402227246
414,1,402240164
415,1,402242171
416,0,402248647
417,2,402601409
418,1,405936753
419,2,406848874
420,2,406849868
421,0,408393081
422,0,408677379
423,0,410275610
424,2,410667519
425,0,410975621
426,1,411477266
427,1,411636729
428,0,412353618
429,0,413534523
430,0,414482057
431,0,414769546
432,0,415530258
433,0,415763131
434,1,415763956
435,1,416030771
436,2,416530422
437,1,416971680
438,2,418624891
439,2,418862007
440,2,418910285
441,0,420191399
442,1,420674587
443,1,420676445
444,2,423699677
445,0,423772011
446,0,429304111
447,0,429326083
448,0,429370449
449,0,429384738
450,0,429411059
451,0,429443024
452,0,429749094
453,1,429795213
454,0,430276748
455,0,430631319
456,0,430761736
457,0,430785984
458,0,430809604
459,0,431200958
460,1,431674414
461,0,431754154
462,0,431800671
463,0,431930255
464,1,431949318
465,2,432036486
466,1,432205160
467,0,432700797
468,0,432838580
469,0,432851588
470,1,432937884
471,0,433455147
472,0,433530274
473,2,433897286
474,1,433928060
475,0,434461085
476,0,434711617
477,1,435124201
478,1,435227766
479,0,435287078
480,2,435393187
481,0,435426783
482,0,435552931
483,0,435620705
484,0,435665940
485,0,435733974
486,1,435769192
487,0,436054051
488,0,436246209
489,0,436246376
490,0,436429664
491,0,436637948
492,0,436672524
493,0,436767188
494,0,437143701
495,0,437150324
496,1,437395355
497,0,437396689
498,0,437660184
499,0,437661069
500,0,437672117
501,0,437777321
502,0,437832258
503,0,438073583
504,0,438162296
505,0,438239214
506,0,438735988
507,0,439703223
508,0,440035328
509,0,440234989
510,1,440245949
511,0,440262872
512,0,440539994
513,0,440575672
514,0,440586966
515,0,441020094
516,0,441099170
517,0,441247683
518,0,442114311
519,0,442156064
520,2,442838963
521,1,443317564
522,1,443717411
523,1,443736650
524,0,443783367
525,1,443928160
526,1,443978838
527,1,444595354
528,0,444668861
529,0,444774258
530,1,445054145
531,2,445065505
532,2,445076735
533,0,445148316
534,1,445207598
535,0,445246142
536,0,445266909
537,2,445787429
538,1,445787610
539,0,445906310
540,1,445908571
541,2,445972437
542,2,446144182
543,0,446224825
544,2,446246444
545,2,446256234
546,1,446264936
547,0,446270220
548,0,446312000
549,2,446862781
550,2,446955542
551,0,446988915
552,0,447027171
553,1,447042306
554,0,447219551
555,1,447366162
556,0,447367211
557,1,447664823
558,1,447764867
559,1,447766081
560,1,447774874
561,0,447806546
562,0,447832651
563,1,448747918
564,0,448760018
565,1,448772864
566,0,448881474
567,0,449057611
568,1,449252101
569,0,449620049
570,2,450447192
571,2,451647303
572,2,452054155
573,0,453319478
574,0,453459374
575,1,453705764
576,0,454604441
577,1,454718867
578,1,454901014
579,1,454903256
580,0,455027615
581,0,455296620
582,0,455296727
583,0,455744830
584,0,456694346
585,0,456820688
586,2,456826358
587,1,456827566
588,2,457316746
589,0,457376711
590,1,457531910
591,0,459357657
592,0,459386470
593,1,459645730
594,0,459647894
595,0,459649306
596,2,459987733
597,1,460333251
598,1,460333654
599,1,461096590
600,1,461254283
601,0,461615259
602,1,461651281
603,1,462331436
604,1,462346112
605,1,463521436
606,1,463936682
607,1,464102714
608,1,464141127
609,0,464147910
610,0,464176755
611,2,465817388
612,1,465959252
613,0,466266484
614,1,466412147
615,0,466413133
616,0,466678036
617,2,466719504
618,0,466864782
619,0,466868901
620,1,467027378
621,1,467064846
622,1,467109381
623,0,467584660
624,0,467721934
625,0,467757859
626,1,467786437
627,0,467800076
628,1,467971337
629,2,468424386
630,1,468529359
631,2,468650792
632,1,469307143
633,1,469307906
634,1,469315037
635,0,469352944
636,0,470241200
637,1,470263300
638,1,470796695
639,1,471095145
640,1,471149685
641,2,471435082
642,0,472766186
643,1,472820235
644,1,473862905
645,0,474045439
646,0,474047171
647,1,475209071
648,1,475392629
649,0,476074361
650,0,476075591
651,1,476147459
652,2,476385628
653,2,476418379
654,1,476418555
655,1,476435178
656,2,476445637
657,1,476486282
658,1,476498851
659,1,476499008
660,0,476511600
661,1,476535817
662,0,477460711
663,1,477929435
664,1,477929831
665,1,478338192
666,0,478474040
667,0,478474130
668,1,479013860
669,1,479025311
670,1,479157772
671,1,479809679
672,1,480416843
673,1,480478258
674,0,480830148
675,0,481411423
676,1,481420488
677,0,481728159
678,1,481908765
679,1,482031983
680,0,482866818
681,1,483307464
682,2,483307645
683,0,483466073
684,2,483957369
685,1,484147306
686,1,484199387
687,1,484862189
688,2,484949222
689,2,485090707
690,1,485143136
691,2,485505691
692,0,486219949
693,1,486406607
694,1,486549297
695,0,486685318
696,0,488547160
697,1,488690316
698,2,488813466
699,2,488904468
700,0,489644906
701,1,490446226
702,1,490953143
703,1,491965968
704,2,492277462
705,1,493160312
706,1,493206741
707,0,493712949
708,1,494968313
709,1,495545473
710,1,495594453
711,1,496230192
712,0,496394838
713,0,496448006
714,0,496495603
715,2,497354828
716,1,497447877
717,0,498365544
718,1,498506387
719,1,499017001
720,0,500146991
721,0,500382607
722,1,502531515
723,2,503247720
724,1,503740048
725,0,504136607
726,0,504218938
727,1,504560474
728,2,506255230
729,2,506620592
730,1,506996458
731,0,507862772
732,1,511146029
733,0,511409589
734,1,511486882
735,0,511506289
736,1,511512831
737,1,511583985
738,2,512018178
739,1,512062283
740,0,512252502
741,1,513594459
742,1,513797892
743,0,513836382
744,1,513909208
745,0,514145668
746,1,514175186
747,1,514522559
748,1,515314882
749,1,516018606
750,1,516649239
751,1,516853793
752,2,516956664
753,1,517298772
754,1,517901381
755,0,517974829
756,1,518480135
757,0,518498963
758,0,520057433
759,0,520068816
760,1,520997030
761,2,522139199
762,0,522369544
763,2,525552096
764,0,525848551
765,1,529820514
766,2,529912487
767,1,530192194
768,1,530505259
769,0,530814088
770,1,530846857
771,1,531110629
772,0,531845960
773,1,531846093
774,1,533428955
775,2,533429645
776,1,533438729
777,1,533807036
778,1,534003351
779,1,534100519
780,1,534100724
781,0,534190691
782,1,534610040
783,0,535759175
784,1,536356257
785,1,536513036
786,2,537356034
787,2,537368517
788,2,537415646
789,0,537444759
790,2,537452737
791,0,537468263
792,0,537475544
793,1,537476036
794,1,537478777
795,0,537492619
796,1,537524018
797,1,537536039
798,2,537546039
799,1,537558155
800,1,537579796
801,0,537579886
802,0,537604195
803,0,537604905
804,0,537637014
805,0,538283660
806,1,539827585
807,1,541222271
808,1,541305662
809,1,542955841
810,1,543067375
811,1,543180940
812,0,543209768
813,1,543259915
814,1,543486814
815,0,543553567
816,0,543678017
817,0,543917782
818,2,543943569
819,0,543943856
820,0,544150311
821,2,544488552
822,1,544616924
823,1,546047948
824,0,546943033
825,1,547178875
826,0,547210654
827,0,547235235
828,0,547299874
829,1,548105613
830,2,549275210
831,0,549592071
832,1,550388497
833,0,551077050
834,0,551593661
835,0,552105681
836,1,552178131
837,1,552447085
838,0,552780271
839,1,553435310
840,0,553445730
841,1,554281626
842,1,554365780
843,2,555507394
844,0,556792562
845,1,557485936
846,1,557878860
847,0,558161828
848,1,558884217
849,2,560131039
850,1,561054303
851,1,561803060
852,0,562848755
853,0,563372460
854,1,563378437
855,0,563496191
856,0,563521765
857,0,563703330
858,1,563889721
859,2,564338757
860,1,565536519
861,0,565575911
862,1,566182237
863,1,566182259
864,1,566822236
865,1,567145433
866,1,568590525
867,1,568663346
868,0,569080320
869,1,569288503
870,0,569303483
871,1,569501094
872,2,569704973
873,1,569770590
874,2,570068710
875,1,570247079
876,0,570716149
877,2,570808370
878,1,570920723
879,0,571931958
880,1,571992911
881,1,572328997
882,1,572329686
883,1,573642199
884,0,573949854
885,2,574415601
886,0,574880368
887,1,575275432
888,2,575333925
889,2,575443727
890,0,575536767
891,2,575580953
892,0,575628251
893,0,575651122
894,1,576387365
895,1,576952758
896,0,577488993
897,0,579073177
898,0,579646068
899,2,580212560
900,0,580665712
901,0,581977179
902,0,582110055
903,0,582660532
904,1,582724146
905,1,582821053
906,1,583410520
907,1,584074870
908,1,586066279
909,0,586694516
910,0,587114124
911,1,587345010
912,0,587582553
913,0,588240506
914,0,588364526
915,1,590528709
916,2,591689782
917,1,592249372
918,1,592607450
919,1,592928759
920,1,593615575
921,0,593706030
922,1,593810597
923,2,593815706
924,1,594026839
925,2,594130488
926,1,594144306
927,1,594587916
928,1,594702674
929,2,596154056
930,1,596277023
931,0,596361045
932,0,596846254
933,1,597755979
934,0,598186559
935,0,599104736
936,1,599450874
937,2,599450954
938,0,600076772
939,1,600595531
940,1,600604885
941,0,600861102
942,2,601714524
943,1,601798310
944,0,602233995
945,0,602664408
946,0,603469884
947,1,603693049
948,2,603893600
949,1,604206362
950,1,605403014
951,1,605408191
952,0,605730968
953,1,605835533
954,0,605998836
955,1,606724243
956,1,606906668
957,0,607515650
958,0,609800918
959,0,610822555
960,2,612142739
961,0,612289663
962,2,612299258
963,1,612485570
964,0,613801510
965,0,614518572
966,1,614594766
967,2,616935715
968,2,617019044
969,1,617144358
970,1,617349524
971,0,617480075
972,1,618845193
973,2,618880945
974,1,618881774
975,1,619198034
976,0,620572949
977,2,620921863
978,1,621355209
979,0,621934124
980,1,622893873
981,1,622988137
982,1,623822776
983,1,623912160
984,1,623915491
985,0,624894366
986,0,625494199
987,0,625697404
988,2,625954066
989,0,625973055
990,0,625974398
991,0,626121233
992,1,626897489
993,1,626901592
994,0,628098336
995,1,628365427
996,1,633189974
997,1,634942974
998,1,636151716
999,1,636777608
1000,1,636941370
1001,0,636941750
1002,1,637149009
1003,0,637497097
1004,1,637590809
1005,0,637620870
1006,0,639526799
1007,0,639530331
1008,0,639635385
1009,1,640463758
1010,0,641543014
1011,0,642745238
1012,2,642797396
1013,1,642924796
1014,1,642974365
1015,1,642974399
1016,1,643000442
1017,1,643030242
1018,2,643058138
1019,0,643084133
1020,1,643110079
1021,2,644898632
1022,0,647492065
1023,0,648073400
1024,0,648317561
1025,0,648827853
1026,0,650277144
1027,0,650277214
1028,1,650559316
1029,0,651057131
1030,2,651488850
1031,1,651757207
1032,1,652521613
1033,0,652896586
1034,1,653236624
1035,1,662736872
1036,1,663017689
1037,1,663266381
1038,0,664991080
1039,0,665090774
1040,2,665462687
1041,1,665492054
1042,1,666064282
1043,0,666370709
1044,1,666667628
1045,0,666744287
1046,1,667255396
1047,1,667349062
1048,2,667956376
1049,1,668111387
1050,0,668316633
1051,1,669014164
1052,1,669502745
1053,0,669767497
1054,1,670100668
1055,0,670597884
1056,2,670607324
1057,0,670846208
1058,1,670889050
1059,2,670890525
1060,0,671296984
1061,0,672103264
1062,2,674953181
1063,2,675398671
1064,2,675970000
1065,0,676568139
1066,1,676761403
1067,0,677126608
1068,2,677164220
1069,0,677420877
1070,1,677655725
1071,0,678998302
1072,2,679101746
1073,0,679865552
1074,0,680329037
1075,2,680415359
1076,1,681475650
1077,1,682697827
1078,2,682951663
1079,1,683345306
1080,1,683345456
1081,0,683346535
1082,0,683484872
1083,0,683551594
1084,0,683823033
1085,0,684004984
1086,0,684005217
1087,0,684099846
1088,1,684166378
1089,2,684343972
1090,0,684647910
1091,1,684656952
1092,0,684872413
1093,0,684874475
1094,0,685322801
1095,0,685331841
1096,1,685374632
1097,0,685486540
1098,1,685640415
1099,1,686352408
1100,1,686729940
1101,2,687396749
1102,1,687629411
1103,1,687855912
1104,1,688470056
1105,1,688584809
1106,1,688743134
1107,1,688990359
1108,1,689190396
1109,1,689633014
1110,1,690683981
1111,1,691149309
1112,1,692711943
1113,2,692854170
1114,1,693524774
1115,1,694710991
1116,2,694970650
1117,2,695024650
1118,1,695480065
1119,0,697989830
1120,2,698816128
1121,1,698958179
1122,0,701748124
1123,1,701833160
1124,2,702834463
1125,0,702904870
1126,1,703223371
1127,2,703796752
1128,2,704352357
1129,1,704441813
1130,1,704714302
1131,1,704716405
1132,2,704716808
1133,0,704903574
1134,0,704931521
1135,0,704981092
1136,1,705178799
1137,1,706039694
1138,2,706431450
1139,0,706479972
1140,1,709040581
1141,1,709949919
1142,1,710493588
1143,1,710677259
1144,1,710697713
1145,0,711365311
1146,0,711860572
1147,2,712001468
1148,0,712536538
1149,0,712669925
1150,0,712742015
1151,0,713199989
1152,1,713631365
1153,0,714477220
1154,0,714764450
1155,1,714983178
1156,0,714994973
1157,0,714998036
1158,0,714999069
1159,1,715000787
1160,0,715083065
1161,1,717937271
1162,2,720735474
1163,1,721615326
1164,2,722082356
1165,2,722087717
1166,2,722113263
1167,1,722212648
1168,1,723551123
1169,1,723680525
1170,2,723680575
1171,1,725843278
1172,2,726827276
1173,1,727100318
1174,2,727186157
1175,1,727305047
1176,1,727404584
1177,0,729412548
1178,0,729415506
1179,0,729424633
1180,0,729435068
1181,1,729452199
1182,1,729455441
1183,0,729466341
1184,0,729578506
1185,0,729764598
1186,1,729842395
1187,2,729855641
1188,2,729950231
1189,2,730016850
1190,0,730173274
1191,1,730587129
