,cat,id
0,2,1209905
1,1,2059267
2,0,2598454
3,0,4403214
4,1,4745436
5,1,5574241
6,0,7599133
7,0,8051942
8,1,8582844
9,0,8659990
10,1,8863595
11,0,9015392
12,1,10438173
13,2,11636801
14,0,11641111
15,1,12660922
16,0,12951560
17,0,13068586
18,0,13183965
19,2,13264383
20,1,13299800
21,0,14228080
22,2,14655720
23,1,15512326
24,2,16479294
25,0,18543568
26,2,21014399
27,0,22111967
28,0,22316828
29,2,22386305
30,1,22620911
31,0,23807107
32,1,24322517
33,0,24519449
34,0,25926943
35,0,25939670
36,0,26036138
37,1,26273907
38,0,28587984
39,0,28877367
40,1,29081294
41,1,29666390
42,2,30322432
43,1,30524340
44,0,30938571
45,0,31255315
46,0,31771481
47,2,32166842
48,0,34523563
49,0,35053054
50,0,35646901
51,0,35792643
52,2,36580294
53,0,37156811
54,0,37639634
55,0,37639678
56,0,38115672
57,0,38116956
58,0,38120973
59,0,40149818
60,0,40812856
61,0,41041230
62,0,41691635
63,0,41917992
64,1,43253908
65,1,44780774
66,0,44885317
67,2,45625107
68,0,45825285
69,0,45826216
70,0,45826239
71,0,45862041
72,2,46883597
73,0,47858211
74,1,48688766
75,0,48771539
76,2,48835831
77,0,49330328
78,2,49433803
79,1,49526823
80,0,49599729
81,1,50603439
82,0,51320043
83,0,51749850
84,2,52304226
85,0,53227649
86,1,53530051
87,1,53891308
88,0,54041543
89,2,54883997
90,0,55338410
91,1,56125910
92,2,56234897
93,1,56871015
94,2,56886224
95,0,57651994
96,1,58456312
97,0,61059800
98,0,62190812
99,0,62593175
100,1,62637657
101,0,62756559
102,0,62772780
103,0,63039535
104,1,63136389
105,1,63416168
106,1,63629565
107,1,63672611
108,0,64503179
109,0,65237038
110,1,65595759
111,0,66180374
112,0,66288399
113,1,66474979
114,1,66581153
115,0,66779843
116,1,67323735
117,1,68094734
118,1,68287273
119,1,68325591
120,1,68442296
121,1,68995468
122,1,69567283
123,1,70368254
124,2,70401706
125,1,70430330
126,2,70706808
127,2,71761350
128,1,72409251
129,0,72870987
130,0,73455350
131,2,73469222
132,0,75062631
133,0,75415789
134,2,76011148
135,2,76011352
136,0,77141294
137,0,77213459
138,0,77352392
139,1,77427580
140,0,77702452
141,1,78342663
142,0,78736856
143,0,78755110
144,0,78756062
145,0,78765655
146,0,79395606
147,1,80064683
148,0,80154388
149,1,80725698
150,0,81492939
151,1,82535182
152,2,83636307
153,0,84089733
154,1,84190665
155,0,84590012
156,1,85227722
157,0,85566409
158,0,85926296
159,1,86084109
160,1,86445378
161,1,87410259
162,1,87435024
163,0,88315162
164,1,88427111
165,1,88879911
166,0,89326489
167,1,90390781
168,1,90710476
169,0,90849708
170,0,91264032
171,1,91408360
172,1,93160058
173,1,93476957
174,0,94646823
175,2,95361972
176,0,98673180
177,2,98675411
178,2,98806571
179,2,99321309
180,1,99671079
181,1,99716099
182,1,100134724
183,2,101435557
184,0,102117742
185,0,103962487
186,0,104138640
187,1,104293792
188,0,104756760
189,1,105691345
190,0,106423390
191,0,107192760
192,0,108332132
193,1,108770009
194,0,109064374
195,0,109789289
196,0,112694828
197,1,113011918
198,0,113611630
199,1,115235531
200,1,115543487
201,2,115596580
202,1,117034732
203,0,117035715
204,0,117065356
205,0,117533080
206,0,117606302
207,0,117608583
208,0,117821012
209,1,118030008
210,1,118208155
211,1,118989168
212,2,119801331
213,2,121204690
214,1,121650595
215,1,121935059
216,2,121945191
217,1,121972662
218,1,122472425
219,1,122472489
220,2,122868460
221,2,123132023
222,0,124007818
223,0,124693421
224,2,125103907
225,2,127832632
226,0,129566396
227,0,129588394
228,1,129801116
229,0,131126977
230,0,131168183
231,1,132289599
232,0,132370905
233,1,132519549
234,1,132856073
235,0,133100527
236,0,133380831
237,0,133761335
238,1,134862288
239,0,135956607
240,0,135984906
241,0,137551972
242,2,137915694
243,0,137939476
244,0,138320383
245,0,138742587
246,2,138829182
247,2,139227184
248,0,140871437
249,1,141175654
250,1,141889396
251,1,142891539
252,0,143428318
253,1,144445363
254,0,144925105
255,1,145690614
256,1,146444124
257,1,146445620
258,0,148466429
259,1,148935298
260,1,149432109
261,0,149891937
262,1,150704270
263,1,151213809
264,0,151315788
265,1,151909517
266,0,152190644
267,0,154116443
268,0,154254325
