,cat,id
0,2,610973
1,0,1018040
2,1,1147261
3,4,1955458
4,3,2202896
5,0,2493327
6,0,2807519
7,0,2954329
8,2,3077059
9,3,3193107
10,1,5646642
11,4,6198984
12,0,6273876
13,0,7573785
14,4,7891463
15,1,10227724
16,1,10636619
17,0,10878302
18,1,11810025
19,0,11827597
20,0,13004773
21,0,13185903
22,0,13766128
23,1,14477718
24,1,15800828
25,1,15998926
26,2,16397020
27,0,16791197
28,2,16948876
29,4,18082232
30,1,19001220
31,0,21652604
32,4,22787696
33,0,24247929
34,2,24449362
35,1,24479852
36,1,24841814
37,1,24895736
38,1,25135819
39,2,27805466
40,0,27877500
41,0,28277100
42,1,29597142
43,0,29865708
44,0,30306090
45,1,30309517
46,1,30948171
47,1,31802175
48,1,31809478
49,1,31901570
50,0,32443040
51,3,33800029
52,1,35094318
53,2,37931985
54,3,38255386
55,2,38284512
56,1,38726606
57,3,38775787
58,0,38907132
59,0,39020510
60,0,39519236
61,0,40699760
62,0,40707143
63,0,40919718
64,0,42197488
65,0,42333244
66,3,44210069
67,2,44913204
68,1,45277081
69,0,46512285
70,2,46583417
71,2,47745368
72,1,48036729
73,1,48180435
74,1,48839936
75,0,50333410
76,1,50345782
77,1,51434109
78,1,51890590
79,0,51940655
80,1,52384434
81,2,52700646
82,4,53444380
83,0,54017698
84,1,55019231
85,1,55079927
86,4,55085289
87,4,55766902
88,0,56388839
89,4,56565534
90,0,56891693
91,1,57235858
92,0,57293139
93,1,57987809
94,1,58426787
95,1,58458566
96,1,58631708
97,4,58705338
98,1,60889829
99,2,61019024
100,1,61104843
101,1,61179041
102,0,61767176
103,2,62017845
104,1,62049537
105,1,64525098
106,0,66257859
107,0,66294569
108,2,66667265
109,3,66959118
110,4,69006092
111,4,69384764
112,0,70004617
113,1,70898196
114,1,71566324
115,2,72147318
116,1,72199576
117,0,73001168
118,0,73693646
119,0,74067358
120,0,74286948
121,0,74720824
122,1,74905208
123,3,75317986
124,1,75358723
125,0,76230071
126,1,78658116
127,2,78795376
128,1,79774685
129,1,80167505
130,2,80516930
131,1,80640639
132,1,81416056
133,0,81684522
134,1,81996891
135,0,82024747
136,2,82115899
137,3,83101765
138,0,83281995
139,0,84078063
140,0,84838468
141,0,86123074
142,2,86205762
143,1,86604744
144,1,86904865
145,0,87903635
146,2,88790211
147,4,88964070
148,3,89768968
149,0,90434683
150,1,92375555
151,1,93906490
152,1,94638706
153,2,95121742
154,1,95414238
155,3,96286776
156,4,97135875
157,4,97588014
158,1,98115565
159,1,98540711
160,1,98765523
161,1,99076140
162,2,99435990
163,1,100034685
164,1,100526217
165,4,102269896
166,0,103070736
167,1,103206322
168,1,104774051
169,2,105672156
170,1,106196121
171,0,106325117
172,0,106997384
173,3,107022656
174,2,107175172
