,cat,id
0,2,1044884
1,0,1213565
2,2,1433748
3,0,2653610
4,2,2925668
5,0,3567074
6,2,4941688
7,2,5131716
8,2,5720914
9,0,6180825
10,2,6294061
11,0,6723745
12,2,7416683
13,0,7574467
14,1,7787786
15,1,8542278
16,2,10596495
17,2,11169474
18,2,11237315
19,1,11244172
20,2,11379200
21,0,11533991
22,2,12573908
23,1,13836391
24,1,14582363
25,0,14836658
26,1,17891539
27,2,17975930
28,1,18019330
29,2,18179137
30,2,18236602
31,1,18903650
32,0,18940248
33,0,19088612
34,1,21421037
35,1,21453353
36,2,22297800
37,0,23069380
38,0,23076086
39,2,23389304
40,0,23546172
41,0,24023002
42,2,25223691
43,2,25265052
44,0,25557969
45,2,25923645
46,0,26015196
47,2,26422047
48,2,26762134
49,2,26853922
50,0,28077259
51,1,28495964
52,0,28616746
53,2,30382793
54,1,30523845
55,2,31266858
56,0,32052184
57,1,32299017
58,0,32675935
59,0,33732005
60,0,33914734
61,2,34179315
62,1,34315328
63,1,34333257
64,2,34666526
65,2,35650437
66,2,36336239
67,0,36483222
68,0,36831043
69,2,36991975
70,0,37042064
71,2,37583931
72,1,37594575
73,2,39027723
74,0,39436547
75,0,39729581
76,0,39876071
77,2,42077780
78,0,42521633
79,2,43760341
80,2,43805826
81,0,44064073
82,1,44213701
83,2,44392701
84,1,46198019
85,0,46622279
86,1,47045299
87,0,47374268
88,2,47375966
89,0,47475735
90,2,48358823
91,1,49163821
92,0,49214539
93,2,49322409
94,2,49925930
95,2,51276800
96,2,53013632
97,0,53292833
98,0,54196534
99,2,54412188
100,1,55423599
101,0,55522966
102,2,55806896
103,0,56070288
104,0,56153090
105,2,57189030
106,0,57681045
107,1,57859376
108,0,58993294
109,0,59597751
110,0,60044839
111,0,61691616
112,2,62177832
113,0,62749224
114,0,63005596
115,0,63921325
116,0,64572851
117,2,64599665
118,1,66034208
119,2,66365272
120,0,66595098
121,2,66795886
122,0,67141687
123,1,67161360
124,1,70090235
125,2,70932078
126,2,71959701
127,2,72645747
128,0,73512309
129,0,73903094
130,2,76542652
131,0,76651682
132,2,76783255
133,0,76828999
134,2,77739586
135,0,78378766
136,0,80720606
137,2,81392636
138,2,82319580
139,2,83389588
140,2,83582901
141,0,83955841
142,2,84624905
143,1,85125820
144,2,85127702
145,0,85815268
146,0,85887768
147,2,87356108
148,2,87811705
149,2,89351267
150,2,89582189
151,0,89969384
152,0,89969612
153,2,90860608
154,2,91506950
155,0,91617290
156,2,91804165
157,0,91887385
158,0,91967626
159,0,92254178
160,2,92535999
161,2,92672654
162,0,92906410
163,2,92981878
164,2,93267865
165,0,94041951
166,1,95657689
167,2,96518428
168,2,97959969
169,2,98034158
170,1,98588529
171,1,98988286
172,0,99821397
173,1,99866179
174,0,100338498
175,0,100523755
176,2,100875955
177,2,101672352
178,0,101730882
179,1,102266143
180,1,102586551
181,2,103527555
182,2,104478086
183,0,105448896
184,0,105846574
185,2,108405576
186,2,108455895
187,0,109146239
188,0,109837375
189,2,110053170
190,2,110387403
191,2,111162268
192,2,112217643
193,2,112397416
194,2,112950373
195,1,113751845
196,0,114639263
197,2,115409981
198,0,116364660
199,0,116765966
200,2,117925772
201,2,119068177
202,0,119344554
203,2,120228394
204,0,120787353
205,0,121110384
206,0,121315508
207,0,121322363
208,0,121527286
209,1,122156756
210,0,122239821
211,0,123321077
212,0,124236790
213,2,124573402
214,1,125964228
215,2,125995633
216,1,126038820
217,2,126129785
218,2,126755743
219,0,127115824
220,1,127327571
221,2,127868381
222,2,127956703
223,2,132194263
224,2,132286377
225,0,132536141
226,1,134537300
227,0,135453958
228,2,135562864
229,2,136403878
230,2,136685288
231,0,136688513
232,0,137401038
233,1,137410610
234,2,138304157
235,2,138308272
236,0,138838008
237,2,139930035
238,2,141563666
239,2,142048885
240,1,142057212
241,0,142675817
242,2,142889288
243,0,143017600
244,0,143099281
245,1,143806524
246,0,144146135
247,2,144439961
248,0,144996910
249,0,145456899
250,2,145711608
251,0,147235270
252,2,147643465
253,2,147811090
254,2,147821397
255,0,147894771
256,2,149088261
257,2,149521358
258,2,150124020
259,0,150629855
260,2,151511583
261,1,153287958
262,0,153407194
263,0,155851332
264,2,156546139
265,2,157139933
266,2,157620386
267,2,159732528
268,0,160367526
269,0,161212110
270,2,161318717
271,0,161917131
272,2,164094251
273,1,164853741
274,2,166235549
275,2,166606356
276,2,166920191
277,0,167098239
278,2,167804329
279,2,167971362
280,0,168090392
281,2,168272452
282,0,168892058
283,0,169224147
284,2,169396055
285,1,169561073
286,1,169738885
287,2,169836085
288,1,169947157
289,1,169968402
290,2,170628124
291,0,170754700
292,2,172541566
293,1,172560403
294,0,172571715
295,0,172954088
296,2,173449067
297,2,174520521
298,2,175269083
299,1,175596072
300,2,176211450
301,0,176458978
302,2,176767767
303,0,177321998
304,2,178947801
305,1,179445012
306,0,179619704
307,2,180588835
308,2,180831489
309,2,181305949
310,2,181682667
311,2,181710774
312,2,181838138
313,0,181896848
314,0,183366529
315,2,183864069
316,2,184214255
317,0,184238690
318,0,184401941
319,0,186017692
320,2,186038263
321,2,186529576
322,1,186883475
323,2,187460343
324,2,188230130
325,1,189025380
326,2,189231567
327,2,191251297
328,1,191669978
329,2,192087011
330,0,192189652
331,2,192679090
332,0,193256906
333,0,193380154
334,0,193442319
335,1,193859046
336,0,194056455
337,0,194374217
338,2,194688347
339,2,194730493
340,1,194767772
341,1,195201494
342,2,195981844
343,0,196223651
344,0,196526022
345,2,196949823
346,1,197289149
347,2,198255996
348,0,198284060
349,1,198325218
350,0,198468344
351,1,198486807
352,0,199697588
353,2,199831616
354,0,200068942
355,2,200422970
356,0,200468569
357,2,200908064
358,0,201025312
359,2,201245750
360,2,201952606
361,2,204688202
362,1,205350203
363,2,205503644
364,2,208488421
365,2,208636787
366,0,209798945
367,1,210149522
368,1,210348520
369,0,210592143
370,1,211131433
371,0,211249176
372,2,213340827
373,0,214703413
374,0,216539867
375,2,216802830
376,0,217498758
377,0,217716865
378,0,218705821
379,0,218978503
380,0,219043604
381,0,220304366
382,0,220332130
383,1,221394749
384,1,221527923
385,0,222187428
386,1,223421998
387,2,223694823
388,2,224123810
389,0,224339515
390,1,224935713
391,0,225144417
392,2,225754781
393,1,226908929
394,2,226950130
395,1,227387774
396,0,227405773
397,2,228301042
398,0,228318181
399,0,229411202
400,1,230803837
401,2,231175541
402,0,231399925
403,1,231494843
404,2,232549701
405,2,233118405
406,0,234665716
407,2,235372534
408,2,235445967
409,0,235794731
410,0,237236741
411,0,237649680
412,0,238325370
413,1,238465004
414,2,238759393
415,0,239568380
416,1,240456260
417,2,242399539
418,2,243337875
419,2,243497488
420,1,244161447
421,0,244568844
422,2,244630881
423,1,246685469
424,1,247693050
425,0,248315756
426,1,248755400
427,0,248778669
428,0,249559801
429,0,249828324
430,1,250800511
431,0,251483972
432,0,252613613
433,0,253075904
434,2,253194297
435,1,253857799
436,0,254102367
437,2,254163339
438,0,255591958
439,0,255919147
440,1,256979645
441,0,257640110
442,0,258563754
443,0,259012984
444,0,259014917
445,0,259229892
446,0,259385279
447,2,259586890
448,2,260230913
449,0,261124331
450,1,261598286
451,1,261721708
452,0,262395554
453,2,262516353
454,0,263211512
455,2,263273683
456,2,263718519
457,2,264358878
458,2,264823974
459,0,265969722
460,0,265972299
461,1,266982567
462,0,268014418
463,2,268653341
464,1,268876265
465,0,269283876
466,2,269666281
467,2,270219172
468,0,271057865
469,2,271080761
470,2,272599971
471,0,272704850
472,1,273154324
473,1,276208685
474,0,276225322
475,0,276344464
476,0,278879492
477,0,278965010
478,0,279030729
479,2,279840684
480,1,281226738
481,1,282904397
482,2,283185740
483,2,283746111
484,2,284064411
485,2,284547683
486,1,285003714
487,0,285174454
488,2,285528875
489,2,286407938
490,2,286760927
491,2,287942825
492,2,288657593
493,0,288768999
494,0,289269438
495,0,289560271
496,2,290335785
497,0,291064305
498,0,291946105
499,1,292173570
500,2,292957056
501,2,294147814
502,2,294935288
503,2,295605245
504,0,296153015
505,0,296578591
506,1,296735015
507,2,297795220
508,2,299570396
509,0,299677889
510,2,300095102
511,2,300149983
512,1,301461571
513,0,302667472
514,0,303599671
515,2,303762501
516,0,304580061
517,2,305290457
518,2,306458402
519,2,310541836
520,1,311260423
521,0,312636715
522,1,312866398
523,1,312999587
524,2,313195766
525,0,313220488
526,0,313238468
527,2,313262728
528,0,314128516
529,1,315359088
530,2,315790931
531,0,315818553
532,0,316430187
533,2,316686674
534,1,317030691
535,1,317730342
536,2,318597905
537,1,318621612
538,2,318641015
539,2,318641171
540,0,319060849
541,0,319229984
542,0,319386148
543,0,320694319
544,0,320818701
545,2,321276191
546,0,322791234
547,0,322950355
548,2,323395552
549,2,323869587
550,2,324561411
551,0,325223025
552,1,325976237
553,2,326708128
554,1,327388676
555,2,327614819
556,1,328860020
557,2,328956022
558,0,329029187
559,2,329417244
560,2,330005192
561,2,330990406
562,2,331184604
563,0,331335541
564,0,331495160
565,0,332222386
566,0,332359368
567,0,333143978
568,2,333823993
569,0,334154658
570,1,335399344
571,1,336603915
572,1,336622889
573,1,336782261
574,2,337248044
575,2,338145004
576,2,339272983
577,0,339538907
578,0,339828219
579,1,340206713
580,2,340953903
581,1,342619247
582,0,343156339
583,0,344110432
584,0,344914734
585,1,345152783
586,0,346559467
587,0,346864008
588,2,346901427
589,2,347234571
590,2,347342224
591,0,347577142
592,0,348642314
593,0,348695923
594,0,349051469
595,1,349077177
596,0,350422172
597,0,350922961
598,2,350927992
599,1,351023523
600,0,351345515
601,1,352022879
602,1,352879038
603,0,352887765
604,0,353115820
605,1,353752708
606,2,354022269
607,0,354651365
608,2,355025871
609,2,355413972
610,0,356070889
611,0,356080527
612,1,356601661
613,1,356605335
614,2,356854448
615,2,358635617
616,0,358930210
617,2,361503262
618,0,362244925
619,0,364196329
620,2,365237297
621,2,365472709
622,1,365683428
623,0,365730333
624,2,367201864
625,0,367601306
626,2,367611548
627,0,367619494
628,2,367823637
629,2,368732251
630,0,369065794
631,0,369066362
632,2,369172200
633,1,369583655
634,1,369707401
635,2,369916871
636,2,369925518
637,2,371558170
638,0,372410820
639,0,374321907
640,2,374715032
641,0,375183991
642,0,375225125
643,0,375325695
644,0,377337274
645,2,378048551
646,0,378562513
647,2,378890596
648,2,379524392
649,2,381230221
650,2,382182991
651,2,382593888
652,2,382656319
653,2,382813922
654,2,383391509
655,0,383533580
656,2,384287640
657,2,385215697
658,0,386016463
659,0,386105200
660,0,386325822
661,2,386384540
662,0,386682792
663,0,387652608
664,0,388500314
665,2,388882855
666,2,389179504
667,0,389551263
668,2,390934485
669,1,391766395
670,1,393130779
671,2,393554405
672,2,396927726
673,1,397605635
674,2,398225617
675,0,398504844
676,2,398522480
