,cat,id
0,2,1519339
1,0,1578016
2,0,3800494
3,0,5443149
4,1,5703744
5,0,8251181
6,1,9293765
7,1,9458857
8,1,10647437
9,0,11548116
10,0,11553619
11,1,12861285
12,0,13330550
13,1,14050255
14,1,14196671
15,0,14404318
16,1,15211579
17,2,15313005
18,1,16112803
19,0,16159464
20,1,16398383
21,2,17380493
22,2,18891752
23,0,19205912
24,1,20169479
25,1,20225032
26,1,20230748
27,2,20480932
28,2,20481311
29,0,20721258
30,1,20740461
31,2,21214709
32,0,21694311
33,1,21917196
34,0,22058612
35,1,22779668
36,0,22809088
37,2,26173066
38,0,26608052
39,1,30738896
40,1,32521593
41,0,32597282
42,1,32776469
43,0,32838075
44,0,33213591
45,0,33286338
46,1,33777197
47,1,34048121
48,2,34073684
49,0,36096999
50,1,36295018
51,0,36434556
52,0,36470115
53,0,36968305
54,1,38118112
55,2,39444216
56,0,40012053
57,0,40036101
58,1,40137323
59,1,40398557
60,1,41076625
61,0,42162112
62,0,42235105
63,0,42490091
64,2,42623360
65,0,43133950
66,0,43178556
67,2,43714720
68,2,44095412
69,1,45398187
70,2,45809568
71,0,46501050
72,0,47232686
73,1,47699169
74,2,47895602
75,2,47895984
76,0,48068668
77,0,48948772
78,1,48992067
79,1,49616231
80,0,49727392
81,0,49727483
82,0,52889653
83,0,53447560
84,2,54020547
85,1,55263781
86,0,55299713
87,1,55967271
88,1,56750533
89,2,58130766
90,2,58130783
91,1,58623738
92,1,58923641
93,1,59122551
94,1,59132691
95,0,59161129
96,0,59236879
97,1,60284027
98,0,61034264
99,1,61419625
100,0,61517346
101,1,62527026
102,2,62726011
103,1,62868350
104,2,63319825
105,0,63321346
106,0,63321545
107,1,63433864
108,0,63778911
109,0,64639350
110,0,65652874
111,1,65936059
112,1,66211738
113,1,66576512
114,1,67404662
115,0,67980396
116,1,68236990
117,1,69177810
118,1,69183880
119,2,70505333
120,1,71149347
121,0,71329005
122,2,73729398
123,0,73858263
124,2,74227796
125,0,74276993
126,1,74506790
127,0,75995274
128,0,77474074
129,2,79032632
130,0,81668119
131,0,82015847
132,1,82458977
133,1,83170680
134,0,83386092
135,2,83588475
136,2,83588521
137,1,84069974
138,1,84071235
139,0,84292242
140,0,84902275
141,0,85103618
142,2,85387588
143,0,85549577
144,0,86692308
145,0,87257150
146,0,87337344
147,0,88009963
148,1,88312367
149,0,88605657
150,0,88646000
151,0,88646086
152,0,88802180
153,1,89685181
154,0,89961512
155,1,90153100
156,1,90249746
157,1,90755444
158,1,90825444
159,1,91369616
160,2,91979656
161,1,92218548
162,2,92243010
163,1,92524085
164,1,93248982
165,1,93747139
166,1,95396439
167,2,95603693
168,2,96550184
169,1,96628530
170,1,97995906
171,1,98906474
172,2,98943764
173,1,99280608
174,0,99373280
175,1,100346623
176,0,100415268
177,1,100473532
178,1,100695959
179,2,100789594
180,0,101381549
181,1,101445094
182,0,102067547
183,1,102643838
184,1,102817724
185,0,102980588
186,0,103014647
187,0,103052630
188,0,103329375
189,0,103720536
190,0,104009399
191,1,104540645
192,0,105308754
193,1,105938068
194,1,107568324
195,1,107637111
196,0,108126637
197,0,108126849
198,1,108435772
199,1,109590893
200,1,110469119
201,1,111018857
202,2,111193953
203,1,111457610
204,1,111828992
205,2,112100702
206,0,113392683
207,1,113541391
208,1,113858080
209,2,113906271
210,1,115000149
211,0,115439403
212,2,117777319
213,1,118014049
214,1,118715358
215,1,119496304
216,2,119640993
217,1,122918951
218,1,123139811
219,1,123276783
220,0,124287772
221,0,124979181
222,0,125499692
223,1,126034247
224,1,126373398
225,0,129707656
226,1,129776712
227,1,130126972
228,1,130688228
229,1,130779513
230,0,130809453
231,0,131113862
232,0,132707831
233,2,133611495
234,2,136399413
235,2,136399511
236,2,136721242
237,1,137559505
238,1,137908786
239,1,138209363
240,0,139074000
241,2,139487082
242,0,140681317
243,1,140958051
244,0,141373810
245,0,141523502
246,0,141943837
247,0,142243117
248,0,142615211
249,0,143975545
250,0,144154367
251,2,145110267
252,0,146765238
253,2,147096748
254,0,147354357
255,2,147854714
256,0,148530156
257,0,148530157
258,0,148685536
259,0,148789807
260,1,150405065
261,1,150405249
262,0,150787116
263,1,151487352
264,0,151628618
265,1,151628667
266,1,152220369
267,1,152242708
268,0,152626678
269,0,153218629
270,1,153359639
271,1,153626200
272,1,154601231
273,0,155664611
274,1,156182187
275,1,156252219
276,1,156565483
277,2,156892608
278,0,157802703
279,1,157826338
280,0,158790448
281,1,158932362
282,1,159816311
283,1,159854431
284,1,159987294
285,1,161041272
286,1,162445429
287,0,163530086
288,1,163990753
289,0,164206764
290,0,165453973
291,0,165551729
292,0,165667339
293,1,167190397
294,0,168511551
295,1,169314404
296,0,169814259
297,0,169815283
