,cat,id
0,0,380489
1,0,678068
2,1,1172403
3,0,2271046
4,0,2824780
5,1,3338906
6,0,5052189
7,0,5139199
8,1,5733029
9,1,5870294
10,0,6341122
11,0,10368214
12,1,10633350
13,0,10636717
14,1,11035102
15,1,11549358
16,1,11924692
17,0,12281155
18,1,12951452
19,0,13072434
20,0,13275910
21,0,14771182
22,0,17770076
23,1,18523759
24,0,18786560
25,0,19451518
26,0,19570223
27,1,20774176
28,0,21444258
29,0,21734696
30,1,21887330
31,1,24705481
32,1,24705498
33,0,24794102
34,0,25557531
35,0,27450719
36,0,28227138
37,0,28352698
38,0,28432206
39,0,29086013
40,1,30791789
41,0,30793272
42,0,31576240
43,1,31777204
44,0,32049555
45,1,32162223
46,0,32389956
47,0,32390010
48,0,32390572
49,0,32994216
50,0,33267375
51,0,34177223
52,0,34183149
53,0,35460899
54,0,36102102
55,1,36328930
56,0,37513364
57,0,38719378
58,0,42515315
59,0,43476142
60,1,44491119
61,0,45045385
62,1,45324706
63,0,45580400
64,0,46437181
65,1,46463999
66,0,46544892
67,0,46667352
68,0,46667565
69,1,46667589
70,1,47680409
71,0,47901167
72,0,47901223
73,0,47901327
74,1,48841262
75,0,49563099
76,0,49909722
77,1,51011081
78,0,51206367
79,1,51206439
80,1,51787343
81,0,52842632
82,0,54293573
83,0,54775223
84,0,57072124
85,1,57208837
86,0,57326878
87,0,57563629
88,0,57870291
89,0,58623479
90,0,61343925
91,0,62429129
92,1,63127815
93,0,64030054
94,0,64215811
95,0,64314056
96,0,64337519
97,0,65568737
98,1,65575167
99,1,65773116
100,0,66974190
101,1,67253076
102,1,68300048
103,1,71674649
104,1,71774941
105,0,72142280
106,0,72142453
107,1,72667229
108,0,73684573
109,1,75326387
110,0,75563043
111,1,75829675
112,1,76242914
113,0,76572219
114,1,76843140
115,0,77135656
116,0,77716597
117,1,77882722
118,0,78045200
119,1,79275651
120,1,80912312
121,0,80973157
122,0,83417030
123,1,83667877
124,0,83681106
125,0,84651016
126,0,85048419
127,1,85806552
128,1,86150574
129,0,86352088
130,0,87127319
131,1,87452302
