,cat,id
0,0,469690
1,0,855710
2,1,1287572
3,0,2408844
4,0,3086843
5,0,3355183
6,0,4301504
7,2,4584646
8,1,5712631
9,0,6660758
10,2,7302595
11,0,7385840
12,2,7621881
13,0,7724543
14,1,8111180
15,1,8282302
16,2,9128058
17,2,10869001
18,0,12762136
19,2,14415657
20,1,14716049
21,0,16131117
22,2,16324770
23,1,17069529
24,0,17105476
25,2,17261402
26,0,18595986
27,0,18629489
28,1,19095189
29,2,19527106
30,2,19860844
31,1,20193593
32,2,20777684
33,1,21249392
34,1,24521069
35,1,25191086
36,1,26541484
37,2,27776543
38,2,28137471
39,1,28962337
40,2,29530646
41,2,29613024
42,2,30266987
43,2,31023060
44,1,31464366
45,0,31546514
46,2,31627949
47,0,31867679
48,2,31972450
49,0,32596242
50,1,32759939
51,2,32962366
52,0,33716490
53,1,33741412
54,1,34100451
55,2,34703496
56,0,35377561
57,2,35434752
58,1,36051781
59,1,36463095
60,2,38916785
61,2,40249143
62,1,40956966
63,1,41875380
64,2,42068460
65,0,42413032
66,2,42645210
67,1,42778841
68,0,42793100
69,1,42804107
70,2,43692276
71,2,43717843
72,0,44776613
73,2,45528109
74,0,45863212
75,1,46882779
76,0,49392874
77,1,49413772
78,2,49460321
79,2,50333775
80,1,51574651
81,0,52506347
82,0,52710532
83,0,53352319
84,2,53713140
85,2,54131616
86,2,54718052
87,0,54719196
88,0,54863009
89,1,54983017
90,1,55581733
91,1,55791397
92,2,56501712
93,0,57580439
94,1,57853292
95,2,58451894
96,2,59088583
97,1,59102196
98,0,60066989
99,1,60389500
100,2,61718982
101,2,64270532
102,2,67442674
103,1,67610737
104,1,67615062
105,2,68410721
106,2,69866057
107,1,70549118
108,0,71235300
109,1,71660684
110,0,71946608
111,0,71947916
112,2,72968669
113,2,73036666
114,1,73082725
115,0,73994752
116,0,74545884
117,0,74670506
118,2,76446065
119,2,76979587
120,2,77393681
121,0,77514556
122,1,77970946
123,1,78612902
124,2,79811817
125,2,82802289
126,2,84545868
127,2,84947682
128,0,85062294
129,1,85200946
130,1,86740024
131,0,88244477
132,2,88647117
133,0,91166823
134,0,92719046
135,1,93635793
136,1,94245448
137,2,94401030
138,0,95041272
139,2,95227912
140,1,95286459
141,1,95564817
142,2,96271554
143,0,96363664
144,1,96891647
145,0,97795170
146,0,97837260
147,1,98012678
148,2,98295368
149,2,98502178
150,1,98680515
151,1,98859015
152,0,99115669
153,0,99359697
154,1,99361877
155,2,99639108
156,0,101129392
157,2,102052385
158,0,102269158
159,1,104295039
160,1,105140747
161,2,106199567
162,2,106374693
163,2,106427387
164,0,107700028
165,0,107825573
166,1,108743111
167,2,108979587
168,2,111482217
169,2,111538738
170,0,111636524
171,1,113291868
172,1,114198591
173,2,114477409
174,2,114679337
175,2,115108508
176,0,115574110
177,2,115721731
178,1,116190519
179,1,116697477
180,2,118833427
181,1,120020671
182,2,120311815
183,0,120382933
184,2,120383065
185,2,120516866
186,1,121555936
187,2,121684251
188,0,122054716
189,2,122617769
190,0,122867488
191,1,123498671
192,2,123686048
193,2,124437453
194,1,124577321
195,1,124682746
196,0,124778369
197,2,125083814
198,0,125577283
199,0,125577551
200,0,126475771
201,2,126517721
202,1,127256772
203,1,127299387
204,0,127373612
205,0,129242612
206,2,129582734
207,2,129613876
208,0,130410814
209,2,132044623
210,2,132129377
211,2,132307960
212,1,132561674
213,0,133050133
214,2,133399607
215,1,133647123
216,0,134942384
217,2,135801329
218,1,136106019
219,1,136148240
220,1,136293408
221,2,136665232
222,2,137062072
223,2,137095907
224,0,137652586
225,2,137653237
226,1,138169455
227,2,138616103
228,1,138631787
229,1,141407566
230,1,141864082
231,1,141885500
232,1,141965568
233,2,143176821
234,1,144306258
235,0,144566296
236,2,145710944
237,0,146157807
238,2,146279126
239,2,149081987
240,2,150726303
241,0,151069592
242,1,151810576
243,1,152275374
244,0,152305387
245,0,152803859
246,2,153356826
247,2,153657957
248,0,154460913
249,0,154646075
250,1,154736163
251,0,154858387
252,1,154933823
253,0,155755145
254,2,156904245
255,1,157401287
256,2,157454469
257,2,157511281
258,2,157746698
259,0,160043691
260,2,160338512
261,0,160625427
262,0,161239910
263,1,162510462
264,2,163687964
265,2,163716095
266,1,165245909
267,2,165253047
268,2,165257910
269,2,166337632
270,2,167010647
271,2,167088913
272,1,167889310
273,0,168490090
274,0,168855650
275,0,169363671
276,1,169516363
277,1,170404950
278,0,170857040
279,0,171429455
280,1,171539543
281,2,171846164
282,0,171851536
283,0,172550957
284,1,172936116
285,2,175834992
286,0,176179347
287,0,176385959
288,2,177131756
289,1,177390046
290,1,178281053
291,0,178798573
292,2,178811739
293,1,179970947
294,0,181490030
295,0,181992591
296,0,182837519
297,1,183184248
298,2,183568377
299,2,183797249
300,2,184102681
301,1,184613925
302,1,184781359
303,1,184887575
304,2,185157280
305,1,185546746
306,1,185562844
307,1,185865438
308,1,185879825
309,2,186592348
310,0,187732821
311,0,187734438
312,1,188517766
313,2,188732023
314,0,188808190
315,0,189011372
316,2,189940053
317,2,191248856
318,2,191617328
319,2,192240965
320,0,194124560
321,2,194293035
322,1,194666892
323,2,195177090
324,2,195458227
325,2,195955403
326,0,196591811
327,2,197538998
328,1,197752628
329,0,197776167
330,1,198371458
331,0,199245685
332,1,199596576
333,0,199726728
334,2,199857064
335,1,200026062
336,1,200322162
337,2,200366770
338,1,200817136
339,2,201122689
340,2,201789823
341,1,202166966
342,0,202204171
343,2,203553758
344,0,203678378
345,2,204641315
346,1,205345425
347,1,205402059
348,1,205417144
349,2,205749728
350,1,205805777
351,2,207160339
352,0,207629538
353,1,208145865
354,1,209646360
355,1,210656389
356,1,210953507
357,1,211760800
358,2,212465360
359,1,212678684
360,2,214515069
361,2,214727380
362,0,215373641
363,1,215559258
364,0,215678423
365,0,217157776
366,1,217200242
367,2,217691610
368,0,217708803
369,1,217817686
370,2,217857419
371,1,218114949
372,1,218294519
373,0,218361319
374,2,218765055
375,2,218917786
376,2,219369035
377,2,219372855
378,2,219850732
379,1,219881101
380,2,220656010
381,1,220912931
382,2,221204485
383,1,221894265
384,2,223646358
385,0,224087545
386,1,224151215
387,1,224719651
388,1,224777019
389,0,226344557
390,2,227329823
391,1,227347558
392,1,227347693
393,1,227349285
394,0,229246907
395,1,229290230
396,0,229290333
397,0,229490648
398,0,230219660
399,1,230357585
400,1,231011823
401,2,231345409
402,1,232017001
403,2,232136752
404,1,232736504
405,1,234273296
406,1,234331417
407,1,234567571
408,0,234571170
409,1,234639024
410,0,234848766
411,2,235799635
412,0,236308499
413,2,238945102
414,2,242014030
415,2,242093448
416,0,243078799
417,0,243348938
418,0,243832886
419,2,246173139
420,1,246636253
421,2,246906299
422,0,247050227
423,1,247151171
424,0,247839371
425,1,248655690
426,2,250848539
427,1,251377849
428,1,252218246
429,2,252474640
430,1,253485316
431,2,255069607
432,2,255945839
433,1,256371315
434,2,258320037
435,2,258324582
436,0,259132760
437,1,260465914
438,1,263122663
439,0,264491027
440,1,265834122
441,0,266499999
442,2,267091501
443,1,267105962
444,2,267369474
445,1,267470194
446,1,267713238
447,0,267747013
448,2,268786769
449,0,269749373
450,1,270054122
451,1,271401601
452,1,272354454
453,1,272380158
454,2,272397137
455,0,272399517
456,0,273418055
457,2,273920653
458,2,274333263
459,0,274832624
460,0,275675566
461,2,276292983
462,1,276484598
463,2,277313950
464,0,278161653
465,2,278310504
466,2,278479459
467,1,278556286
468,2,280151602
469,2,280427453
470,0,281599188
471,0,281599218
472,0,281831229
473,1,282267650
474,2,283530415
475,2,283931311
476,1,284153365
477,1,284184257
478,0,284353831
479,1,285964801
480,0,286116747
481,2,286762261
482,2,287649430
483,0,288929867
484,2,289843819
485,1,290747389
486,0,290911113
487,0,291760484
488,1,292077919
489,0,292695687
490,0,293296658
491,2,294010228
492,0,295327470
493,2,295760483
494,0,295905017
495,0,296148561
496,0,296824892
497,0,297207239
498,2,297976462
499,1,298325738
500,2,298500085
501,0,299941137
502,2,301160150
503,1,301316736
504,0,301674377
505,0,301739825
506,0,303096173
507,0,303338100
508,2,304745438
509,0,305066044
510,2,305493886
511,2,306939280
512,2,307413276
513,2,307420990
514,2,307495021
515,0,308483434
516,1,310171230
517,1,310312385
518,0,311868445
519,1,312874821
520,2,313185461
521,0,313319267
522,1,315285709
523,0,316033803
524,0,316065091
525,1,316491584
526,1,316524392
527,1,317226725
528,1,318293927
529,2,318483655
530,2,319905865
531,2,319967363
532,0,320969088
533,1,321278878
534,0,321419589
535,1,321868875
536,1,321985229
537,1,322137203
538,1,322579402
539,2,322596937
540,2,322882675
541,0,324577971
542,0,324578025
543,0,325547350
544,2,326048656
545,2,326393673
546,1,326558252
547,1,326579253
548,0,326988068
549,1,327571217
550,2,327828524
551,1,327981001
552,1,328485915
553,1,332453195
554,2,332851104
555,2,333075467
556,0,334054688
557,1,334382887
558,2,334579531
559,1,334763441
560,0,335505886
561,1,335588716
562,1,335934723
563,2,336541190
564,1,336650982
565,0,336705975
566,0,336828252
567,0,337307066
568,0,337905588
569,2,338146555
570,0,338423006
571,1,339415148
572,0,339845441
573,2,340052879
574,2,341156931
575,1,341962416
576,2,343701779
577,2,346100844
578,2,347090459
579,0,347179134
580,0,348146148
581,0,349767686
582,2,350851501
583,0,351703194
584,0,352249987
585,1,352340173
586,1,352553146
587,0,352582247
588,1,353033499
589,2,354283930
590,1,355486560
591,1,355662755
592,0,355685299
593,2,355721376
594,0,356346920
595,1,356366953
596,2,356412062
597,1,356654811
598,2,357017199
599,2,357175361
600,1,357607967
601,1,358039385
602,1,358221535
603,2,358559158
604,0,359069400
605,0,359073825
606,2,359810267
607,2,360273811
608,0,360875803
609,1,360952263
610,1,361252046
611,2,361599343
612,2,361714023
613,0,363241463
614,1,363554145
615,0,364255495
616,0,364362841
617,0,364411241
618,1,364411533
619,0,367669399
620,0,368100960
621,2,368444098
622,0,368592457
623,0,369071992
624,1,369483234
625,1,369703039
626,1,370106252
627,1,371709891
628,2,372157883
629,2,372260273
630,1,372428218
631,1,372534505
632,2,374421584
633,1,377745860
634,1,377747597
635,1,377977461
636,0,378605347
637,0,379053969
638,1,379263859
639,0,380169688
640,2,380310243
641,0,380946143
642,0,381048345
643,1,381210566
644,0,381508382
645,1,381990855
646,1,382788101
647,1,383806328
648,2,383883741
649,1,384157673
650,0,384729135
651,0,384824188
652,1,384944176
653,1,385937282
654,2,387447337
655,2,388067537
656,0,388148857
657,2,388355390
658,1,388432946
659,2,388433061
660,0,388911142
661,0,389327919
662,0,389618124
663,0,389881827
664,0,390404503
665,0,391871184
666,0,392159786
667,1,392366648
668,1,392457905
669,2,392458072
670,2,392788402
671,2,393896161
672,0,394155020
673,2,394784623
674,0,394906567
675,2,395391419
676,2,395837433
677,2,396060794
678,1,396209424
679,0,397865625
680,2,398269939
681,0,398270597
682,2,398324656
683,2,398838932
684,2,398855636
685,2,401336981
686,1,401450815
687,2,401581223
688,0,401732746
689,2,401970407
690,2,402133410
691,0,402328930
692,1,402934277
693,2,403056325
694,0,403330631
695,1,403926747
696,0,404824409
697,2,404961845
698,0,405379518
699,2,406085288
700,2,406295663
701,0,406580879
702,2,407549207
703,1,408156196
704,0,409401167
705,1,409479075
706,1,409850103
707,2,409988178
708,0,411595198
709,0,411756539
710,2,412331781
711,1,414127403
712,1,414185300
713,2,414323171
714,2,414396639
715,0,414420936
716,1,414458917
717,2,414981168
718,0,415473640
719,2,415507045
720,0,415914114
721,2,416575670
722,2,416582661
723,1,417376242
724,2,418036800
725,0,418468388
726,0,418576606
727,0,418846435
728,1,421025320
729,0,421864719
730,2,423682947
731,1,436338734
732,0,437388458
733,1,439317567
734,1,448548166
