,cat,id
0,0,841665
1,2,1625468
2,1,2015153
3,1,2846268
4,0,3135170
5,1,3649895
6,1,4181174
7,2,4468405
8,3,4678476
9,2,4807395
10,3,8068696
11,0,8776064
12,0,8938674
13,3,9790575
14,0,10299607
15,2,10901398
16,1,14789640
17,0,15379445
18,2,15708081
19,3,16661675
20,3,16694162
21,2,16890969
22,1,16960902
23,1,17348876
24,0,18166855
25,1,18378852
26,1,19274233
27,2,19442106
28,3,19897028
29,1,20774767
30,3,21287479
31,2,21542288
32,2,22031039
33,2,22417965
34,2,22562381
35,0,23940239
36,1,24962138
37,0,28450926
38,3,30461247
39,3,30847793
40,0,31924817
41,3,32643015
42,0,32858262
43,1,32892781
44,2,33506927
45,0,33607746
46,3,34175314
47,1,36734670
48,2,36997831
49,1,37515228
50,0,39606483
51,3,39868989
52,3,39869095
53,1,40467031
54,0,40481773
55,0,41369648
56,2,41923837
57,3,42019994
58,2,42097992
59,3,42394735
60,2,43242736
61,2,44908490
62,0,46344496
63,2,47404274
64,3,49533370
65,2,51288390
66,1,51621510
67,0,51720777
68,1,52215670
69,3,52337965
70,3,52511890
71,2,52685639
72,3,53280034
73,2,54340715
74,1,54429682
75,2,54458265
76,0,54792343
77,2,55134377
78,0,56487280
79,0,56630115
80,3,59349191
81,3,60250076
82,1,60842985
83,3,62252316
84,2,62330817
85,2,63739301
86,1,63876468
87,0,64124007
88,2,64379440
89,1,64912554
90,2,66699776
91,2,66741176
92,3,66903923
93,2,68495629
94,0,69149590
95,0,69316486
96,0,69469114
97,2,69540314
98,1,70181845
99,2,71138284
100,1,71691792
101,0,73496340
102,2,73617213
103,1,73620510
104,2,74264448
105,1,75529879
106,2,75964867
107,2,76274434
108,0,76312082
109,0,76342362
110,3,77141117
111,1,77700593
112,3,77715415
113,1,77861153
114,2,78097638
115,2,80971538
116,2,81285093
117,2,81388008
118,3,81412625
119,1,82147965
120,1,82629049
121,1,82775343
122,2,83905797
123,0,85426862
124,2,86863901
125,2,87161369
126,1,87525045
127,3,87576350
128,0,87726391
129,1,87990053
130,1,88554206
131,1,88719236
132,0,90476603
133,1,91109727
134,1,91490542
135,1,92464731
136,0,92660092
137,2,93422964
138,1,94033595
139,2,95048146
140,1,95079452
141,0,96324271
142,0,96336810
143,2,97285232
144,2,97931748
145,0,98037867
146,0,98045361
147,0,98520713
148,0,98717065
149,1,99110432
150,0,99174919
151,2,100059214
152,3,101319578
153,2,101711866
154,2,102232423
155,1,102859271
156,0,103237597
157,3,104437818
158,2,104837823
159,2,105115566
160,2,105193671
161,1,105792274
162,2,105901831
163,2,105998265
164,0,106041017
165,0,106411264
166,0,106411437
167,1,106667852
168,1,106690166
169,1,107950641
170,1,107998853
171,1,108090635
172,2,108920954
173,3,110032767
174,1,111060463
175,1,111731061
176,0,111832796
177,2,112102487
178,3,112411622
179,1,113621156
180,1,114127202
181,2,114986775
182,2,115084639
183,2,115177035
184,1,115789554
185,2,116180213
186,3,116196232
187,1,117087479
188,1,119271994
189,3,120060940
190,0,120382156
191,0,121488685
192,2,121976003
193,3,122280494
194,2,122630080
195,2,122952327
196,1,123034690
197,0,124424986
198,2,125336673
199,2,126183100
200,1,126633801
201,1,126731955
202,3,127129595
203,0,127136654
204,0,127569554
205,1,127971625
206,3,128662994
207,2,129165119
208,3,129299588
209,1,131664233
210,1,132478952
211,1,132647907
212,1,133992523
213,3,134885843
214,2,135678922
215,2,135917842
216,2,136347043
217,1,137181592
218,1,137409867
219,2,138244726
220,0,138245086
221,2,138355635
222,1,138427599
223,2,140663359
224,3,141897231
225,1,142699301
226,1,142914174
227,3,143320836
228,2,144488005
229,2,144718479
230,0,145625810
231,2,146592311
232,3,147037086
233,1,148489822
234,2,149791811
235,3,150278795
236,0,151902561
237,1,153867371
238,2,154476803
239,1,154542112
240,1,154663898
241,1,154790379
242,2,155419434
243,1,155834310
244,0,156316960
245,2,156340202
246,2,156473491
247,1,157418828
248,3,157547026
249,3,158729368
250,1,159057339
251,1,159173656
252,2,159782809
253,1,160364181
254,3,160519885
255,2,160522914
256,2,161028860
257,1,161290964
