,cat,id
0,0,816243
1,2,1756223
2,0,1865313
3,0,3492677
4,0,3801822
5,0,4175961
6,0,4991969
7,1,5246093
8,2,5567910
9,1,5695203
10,1,9883252
11,4,10789809
12,0,10797577
13,2,12866186
14,1,13319450
15,0,17345572
16,0,17938582
17,4,18355636
18,0,19131234
19,2,19131302
20,0,19493387
21,0,19883619
22,2,20640556
23,0,21061076
24,1,22319152
25,0,23141503
26,0,25252742
27,2,25734965
28,0,26162330
29,1,26758183
30,1,27001606
31,0,29036266
32,0,30894484
33,0,35257201
34,0,37013542
35,0,38149298
36,2,38833252
37,4,39019528
38,4,39020370
39,0,39460804
40,0,39599002
41,2,40222620
42,0,43323697
43,0,43419425
44,1,43677780
45,2,45711944
46,2,46093564
47,3,47038545
48,3,47039276
49,3,48393788
50,2,49139229
51,2,49246346
52,2,49756480
53,2,50628689
54,2,52154506
55,0,54837806
56,1,57397867
57,4,58734293
58,1,59195500
59,4,59208866
60,2,59712140
61,2,59776030
62,4,59822286
63,1,59943016
64,1,60529156
65,2,61290372
66,0,61432324
67,4,61775411
68,1,63231407
69,1,63342337
70,0,65811556
71,0,66737073
72,0,67121161
73,1,68314451
74,2,68402312
75,4,69687218
76,4,70319851
77,1,70555244
78,4,71069225
79,4,73272777
80,0,73321873
81,3,74944896
82,2,75388868
83,2,75682601
84,0,76331171
85,4,77336390
86,1,78037794
87,4,78415566
88,1,80421580
89,2,80522702
90,0,80550329
91,0,80963664
92,4,81896987
93,2,81995230
94,0,82202649
95,0,82480633
96,0,82517574
97,0,83344768
98,0,83958952
99,1,83967968
100,2,84289624
101,0,84300691
102,0,85237596
103,4,85690067
104,2,85763249
105,2,85794453
106,4,86610159
107,1,86817624
108,0,86829396
109,3,89299082
110,1,90707917
111,0,90913342
112,3,91004291
113,4,91332685
114,0,91631795
115,0,94008670
116,1,94506495
117,4,95661881
118,0,96801832
119,4,97563264
120,0,98093968
121,0,98139610
122,2,99069957
123,0,99709936
124,4,100263103
125,2,100966194
126,1,101310757
127,0,101584815
128,1,101990935
129,1,102010903
130,1,103374118
131,0,105233930
132,1,106132622
133,0,106615833
134,1,107912339
135,2,108113387
136,2,108734510
137,0,108827394
138,0,110073278
139,0,110108439
140,2,110230698
141,4,110486571
142,4,111014237
143,0,111017649
144,1,111124976
145,4,112774829
146,1,112918330
147,0,113217132
148,4,114102353
149,1,115528080
150,4,115658243
151,0,115948320
152,0,116153404
153,0,117690994
154,0,118727637
155,0,119053574
156,4,120112139
157,0,120799547
158,0,123420451
159,0,124503985
160,0,124996778
161,0,125308748
162,0,125896494
163,0,126296976
164,1,126428114
165,0,127208967
166,0,127754464
167,0,128764495
168,0,129142288
169,1,129467691
170,0,129528378
171,0,129790277
172,0,130507077
173,2,130887647
174,0,131074970
175,4,131345461
176,0,133597892
177,4,135129150
178,1,135199706
179,0,136431786
180,4,137474718
181,0,138295837
182,0,139437815
183,0,140007027
184,2,140326747
185,0,141017815
186,4,141023271
187,0,141163668
188,1,144991750
189,1,146190237
190,0,147159893
191,1,147267633
192,4,147385192
193,0,148380121
194,1,148679350
195,0,149810753
196,0,151295185
197,2,152745383
198,2,154073668
199,0,155255786
200,0,157436264
201,2,158302740
202,2,158341724
203,2,158355694
204,2,159793137
205,0,160492642
206,0,161082057
207,1,161389788
208,4,161762306
209,0,161845149
210,0,162775338
211,0,163093366
212,0,163924091
213,0,164189410
214,1,164224112
215,0,164551552
216,4,164767243
217,0,165346343
218,2,165346357
219,0,165475891
220,0,165618062
221,2,166283385
222,2,168267482
223,4,169718462
224,0,170042350
225,4,170861093
226,1,171640933
227,0,172684383
228,1,172756069
229,0,173149244
230,3,173327351
231,0,174050569
232,4,174581236
233,2,176290579
234,2,176346879
235,0,176990836
236,1,179476225
237,3,180858922
238,0,181482516
239,2,182450815
240,0,183161165
241,0,183227192
242,1,183752691
243,0,184331095
244,2,184962178
245,0,185088472
246,0,185682362
247,0,186353373
248,1,187492215
249,0,188262173
250,0,188465634
251,4,188592780
252,1,188821496
253,1,188882811
254,1,192293298
255,0,192681967
256,4,193210204
257,2,193822644
258,0,193854941
259,0,194009633
260,0,194634099
261,1,194650984
262,0,195605418
263,1,196818715
264,2,200031948
265,4,203011288
266,0,203126512
267,1,203141794
268,4,204283286
269,1,204310739
270,0,205060075
271,1,205095411
272,1,206352391
273,0,206999516
274,1,207267960
275,0,208164055
276,0,208253191
277,1,208407834
278,3,210716615
279,0,210905619
280,1,212968954
281,4,213032904
282,0,214131221
283,2,214163004
284,1,215694831
285,0,220664364
286,0,221046038
287,0,221211205
288,3,221282715
289,0,221398097
290,0,222100586
291,0,222541831
292,1,223276438
293,2,223418265
294,0,225973452
295,2,226270498
296,0,226805146
297,1,227367513
298,1,227550624
299,0,227839586
300,0,229218662
301,0,229498239
302,1,231413871
303,3,233587365
304,1,235827892
305,0,238453361
306,1,238486678
307,2,238741253
308,0,239799997
309,0,239820649
310,4,241223477
311,0,242424386
312,0,242657634
313,3,242968086
314,4,243656179
315,1,243882443
316,1,245405541
317,1,247062284
318,2,248037914
319,0,248382924
320,1,250157783
321,0,251188081
322,0,252288240
323,0,253541547
324,1,254214501
325,1,255460325
326,0,255474458
327,1,258313957
328,4,260261315
329,4,260765933
330,1,260891529
331,2,260959995
332,0,261311712
333,0,261683308
334,4,262307899
335,3,262544539
336,0,263394379
337,1,263934169
338,0,264717105
339,0,264779691
340,1,264902727
341,2,266096364
342,0,268611556
343,0,273871302
344,0,273981404
345,4,274239963
346,0,275681582
347,0,276914275
348,2,279357932
349,0,279384766
350,0,279385745
351,0,279398017
352,2,279401421
353,0,279402402
354,0,279404267
355,2,279537042
356,0,279638467
357,0,280286801
358,1,281011951
359,4,282331081
360,0,282598935
361,0,284281188
362,0,284499379
363,0,284778918
364,0,284813261
365,0,284889268
366,2,285388345
367,0,287172466
368,4,287249112
369,4,288643195
370,0,289908378
371,4,291828668
372,0,291989666
373,1,292527493
374,2,292907607
375,0,293078775
376,4,293714345
377,0,294024494
378,3,294553459
379,1,294941489
380,3,295362280
381,1,296025257
382,2,296336643
383,0,296744644
384,4,297710053
385,2,297825997
386,2,298076174
387,4,301055367
388,0,304986943
389,0,305016112
390,4,305547692
391,2,305666004
392,1,306397009
393,0,306957226
394,0,307370065
395,0,308687566
396,0,309503601
397,2,309945083
398,1,310933733
399,1,311650842
400,1,312940945
401,1,313115843
402,4,313239957
403,4,313240257
404,1,313918690
405,0,313964450
406,0,314413690
407,4,315382407
408,0,315401739
409,2,315825926
410,0,315836830
411,1,316853039
412,1,317731513
413,2,318719139
414,4,319602346
415,0,321043360
416,3,322069850
417,1,322464441
418,1,322835166
419,4,324270988
420,4,325306371
421,0,326240882
422,1,328084904
423,1,328940446
424,0,330176024
425,0,330245715
426,0,333068879
427,4,333334114
428,2,333523195
429,1,336081140
430,2,336576550
431,0,337828333
432,0,338215608
433,0,338497975
434,0,338502092
435,1,338551357
436,2,338562244
437,4,338902393
438,4,339396049
439,1,340868745
440,0,341021329
441,2,341588796
442,4,342026566
443,0,342764977
444,1,343231037
445,2,343269962
446,0,344125733
447,1,345139136
448,0,345623332
449,0,346439596
450,1,347380055
451,0,347466191
452,0,347645101
453,0,350082131
454,0,350269528
455,0,350390736
456,0,350589396
457,0,350959080
458,1,352962603
459,2,354114608
460,0,354293525
461,0,355095904
462,4,355228881
463,3,355818767
464,4,355904256
465,1,356281062
466,0,356423404
467,2,356571962
468,3,360528118
469,4,361875337
470,1,362592105
471,2,363080969
472,0,363442273
473,2,364485126
474,4,364737670
475,0,365960361
476,0,366189757
477,1,367174512
478,0,367258509
479,0,367264106
480,0,367662750
481,0,368472185
482,1,368857296
483,0,369044874
484,4,369054498
485,2,372243141
486,0,372409738
487,3,372927032
488,4,372940935
489,0,373789556
490,0,374160251
491,1,374633965
492,2,375443905
493,0,375934565
494,1,376721091
495,3,377561245
496,3,377562907
497,1,377768121
498,0,378094439
499,1,379099093
500,0,379105687
501,0,379916493
502,4,380645583
503,0,380681998
504,0,381370400
505,0,381808630
506,2,382369959
507,0,384037037
508,4,384621724
509,0,384922109
510,4,386901388
511,0,387800326
512,1,388478550
513,4,389345870
514,2,389435664
515,1,389446394
516,0,389936211
517,0,390793168
518,0,390992974
519,0,391894173
520,0,392129421
521,1,392278943
522,2,394291439
523,2,394928397
524,1,395006187
525,0,395233531
526,1,395405900
527,2,395592037
528,0,396224212
529,0,396500917
530,1,398012802
531,2,399154340
532,2,399544201
533,0,400394689
534,1,401773669
535,4,402133869
536,2,403305731
537,2,403338542
538,1,404649049
539,4,405581630
540,0,405601172
541,0,405936991
542,0,407599746
543,0,408841425
544,4,409292482
545,1,409371123
546,1,410468454
547,0,410618479
548,0,411707158
549,0,412568046
550,2,413024579
551,2,414251756
552,3,415367836
553,1,416013105
554,0,416060069
555,3,417185768
556,4,418121160
557,1,419882964
558,1,420053960
559,4,420112134
560,4,421156819
561,2,421176920
562,3,421192609
563,1,423255378
564,0,430136555
565,0,430316234
566,0,430607775
567,0,431054989
568,2,431809235
569,0,432388920
570,0,432418220
571,2,433260798
572,0,434124720
573,2,435331517
574,2,435596143
575,2,435636559
576,2,436300907
577,2,436343508
578,0,436640391
579,2,437390891
580,3,437500289
581,2,437863244
582,0,438759934
583,2,439987117
584,3,440068711
585,2,440146881
586,0,440174892
587,0,440271132
588,1,440310295
589,2,440466573
590,0,442426351
591,2,443456916
592,2,443948373
593,0,444143565
594,0,444258147
595,1,445741516
596,0,446221976
597,2,446601898
598,2,446649053
599,0,446917122
600,2,447097750
601,2,447625667
602,2,448117515
603,1,448301722
604,2,448375291
605,2,448612414
606,0,448668854
607,0,449149962
608,0,449193906
609,0,449366184
610,2,449497821
611,2,449549534
612,2,449634406
613,0,449635733
614,0,449640456
615,0,449640566
616,1,449705678
617,2,450193147
618,2,450359226
619,0,452442489
620,2,452936855
621,2,453361179
622,2,453768093
623,0,454003167
624,0,454177663
625,0,455128723
626,2,459427106
627,2,459517324
628,1,459621639
629,0,460746686
630,0,461505151
631,2,461974431
632,2,463598874
633,0,463964794
634,3,465029173
635,2,465098379
636,3,465297751
637,3,465757124
638,0,466222320
639,0,466289398
640,2,467029116
641,0,467721551
642,0,468139947
643,0,468320774
644,0,468626724
645,2,470342028
646,1,470446099
647,2,471158909
648,1,473051018
649,2,474169787
650,3,475719990
651,0,476144518
652,2,478142168
653,0,478176641
654,0,478527508
655,1,478808388
656,3,478866174
657,0,479418190
