,cat,id
0,1,361376
1,0,552249
2,1,1652417
3,0,1691691
4,0,2463052
5,0,2714582
6,1,3737965
7,1,4275605
8,0,4351845
9,1,5537970
10,1,5839854
11,1,6018065
12,1,6018281
13,0,6141970
14,1,6174085
15,0,7572374
16,0,7582323
17,0,7681838
18,0,9603194
19,0,10706739
20,1,11143940
21,1,11144089
22,1,11474920
23,0,11982518
24,0,12156303
25,0,14074443
26,1,14398443
27,0,15346383
28,1,15629964
29,1,16821616
30,0,17018600
31,1,18157347
32,1,18157466
33,1,18157689
34,1,18157705
35,0,18284489
36,0,18322647
37,0,18563114
38,0,18954803
39,1,19106099
40,1,19440215
41,0,20425864
42,0,20650296
43,0,20736206
44,0,20973768
45,1,21025878
46,0,21314606
47,0,22446869
48,1,26150291
49,1,26150565
50,0,26775732
51,0,26815510
52,0,27903349
53,0,28137151
54,0,28166875
55,0,29889636
56,1,30647151
57,1,30789446
58,0,30915520
59,0,31024964
60,1,33536921
61,0,33674948
62,1,33904406
63,0,34138473
64,0,34148406
65,0,34446989
66,1,35885677
67,1,36167487
68,1,36167517
69,0,36200541
70,0,37272095
71,0,38233118
72,0,42374432
73,0,42855817
74,0,44548202
75,0,44703127
76,1,45250278
77,1,45929833
78,1,45966853
79,0,46175470
80,0,47077618
81,0,47233983
82,0,48295338
83,0,50244599
84,0,50861826
85,0,50903834
86,1,51056590
87,1,52465618
88,0,52515863
89,0,54285072
90,0,55215175
91,0,55637644
92,1,55733726
93,1,56280102
94,0,56395397
95,1,56461504
96,0,57401613
97,0,59594930
98,0,62128357
99,1,62217963
100,1,62383733
101,0,63160105
102,0,64800647
103,0,64893638
104,0,66159269
105,0,66504969
106,0,67039752
107,0,68927027
108,0,69944127
109,0,71665252
110,1,72383714
111,1,72384000
112,0,72708078
113,0,73096169
114,1,74095508
115,0,74566970
116,1,75253112
117,0,75705358
118,0,75773280
119,1,76327198
120,0,77819544
121,1,77932254
122,1,79901592
123,1,80241421
124,0,80303808
125,0,80634341
126,0,80894638
127,0,80935856
128,1,81221616
129,0,81228283
130,0,84680726
131,0,85199190
132,0,85286388
133,0,85414875
134,0,86162784
135,1,86223591
136,0,87683153
137,0,87858618
138,0,91743602
139,0,91869757
140,0,92353450
141,0,93375804
142,1,93376396
143,0,93736566
144,0,94110036
145,1,94400339
146,1,98782740
147,0,98975052
148,1,100070373
149,1,101044339
150,1,101045338
151,0,101120487
152,0,101369251
153,1,102779874
154,0,102995668
155,0,103224022
156,0,103467404
157,0,103992327
158,0,104713672
159,0,104743391
160,0,106299494
161,0,106694518
162,0,107341861
163,0,107931470
164,0,109736859
165,0,111503236
166,0,111565330
167,0,111670790
168,1,111910583
169,0,113924056
170,0,114036541
171,0,114851418
172,0,115912821
173,1,117211735
174,1,117503732
175,0,118210881
176,0,119200608
177,0,119858077
178,0,120065303
179,0,120297320
180,0,120303250
181,0,120797055
182,1,120829968
183,0,120968643
184,0,123550372
185,0,123994363
186,0,124712058
187,0,127678172
188,0,127888174
189,1,129126718
190,0,129464991
191,0,129781582
192,0,130286587
193,0,130473241
194,1,130534552
195,0,132322189
196,1,133179994
197,0,133493342
198,0,133611998
199,1,133692075
200,1,135080608
201,0,135081173
202,1,136537725
203,1,136609722
204,1,136609799
205,1,137785639
206,1,137786974
207,1,137786989
208,0,138338008
209,0,139847643
210,0,140221798
211,1,142010903
212,1,142011027
213,1,142711346
214,0,143892994
215,0,143905047
216,0,144205371
217,0,144819992
218,1,145009854
219,0,145468109
220,0,145796693
221,0,147600350
222,0,147837525
223,1,148231118
224,1,148295908
225,0,149646844
226,0,149791557
227,0,153248329
228,0,154487926
229,1,154682068
230,0,154733274
231,0,154961598
232,0,155670743
233,0,155897552
234,0,157341174
235,0,157341796
236,0,157408215
237,0,157500720
238,0,157841550
239,1,157847808
240,1,158374705
241,1,158433436
242,0,159661966
243,0,159672478
244,0,160104478
245,0,160269532
246,0,160408876
247,1,160489607
248,1,162314308
249,1,162658227
250,0,163313126
251,1,163467576
252,0,163876549
253,0,163932905
254,0,165931106
255,0,166101825
256,0,168699867
257,0,169790062
258,0,169792928
259,0,170665924
260,0,171299142
261,0,171815308
262,0,172091215
263,0,173189402
264,0,174872883
265,0,175272376
266,0,175423389
267,0,176761438
268,0,178854807
269,0,179261340
270,1,179284602
271,1,179284836
272,0,182082226
273,0,183453570
274,0,183527839
275,0,183577460
276,0,185792742
277,0,186024271
278,1,186034110
279,0,187849980
280,0,187875226
281,0,189546403
282,1,190129021
283,1,190129096
284,1,190129128
285,0,190523300
286,1,191484368
287,0,191741461
288,0,193079877
289,0,194130354
290,0,196763193
291,0,197697724
292,0,199451891
293,0,199771543
294,0,199777505
295,0,202295186
296,0,204743247
297,0,204819939
298,0,205364362
299,0,205682534
300,0,208247842
301,0,208533082
302,0,210670106
303,1,211353446
304,1,211353481
305,1,211353570
306,0,211487018
307,1,211540416
308,1,211941454
309,0,213652313
310,0,213894779
311,0,214439517
312,0,214937433
313,0,215065025
314,0,215473281
315,0,215616609
316,0,215775824
317,1,216299344
318,0,218168325
319,1,219032420
320,0,219296327
321,0,219873318
322,1,219960619
323,0,222097632
324,0,222601746
325,1,223187050
326,0,223366212
327,0,223660793
328,0,224631019
329,0,224727605
330,0,225789215
331,0,226289058
332,0,226786618
333,0,226941672
334,0,227007245
335,0,227437139
336,0,227838909
337,0,228321285
338,1,230085109
339,1,230091984
340,1,230436998
341,0,235552155
342,0,236489276
343,0,236960278
344,0,237625894
345,1,238104080
346,0,238614785
347,0,239076201
348,1,239443824
349,0,239706277
350,0,240712293
351,0,241061936
352,1,241261956
353,0,241738864
354,0,241961316
355,0,242935405
356,0,245714616
357,1,246284471
358,0,247412969
359,1,249543103
360,1,249543333
361,0,249899281
362,1,251034145
363,0,251557934
364,0,251558544
365,0,251714013
366,0,253193375
367,1,253362140
368,1,253455360
369,1,254029185
370,0,254075562
371,0,254657889
372,0,255460071
373,0,255773703
374,0,255960657
375,1,256798501
376,0,257302000
377,1,257390078
378,0,258535971
379,0,259304086
380,0,261024244
381,1,261046657
382,1,261561546
