,cat,id
0,2,708002
1,0,826177
2,2,2079771
3,1,2888489
4,1,3188770
5,1,3509642
6,2,3875990
7,2,4938062
8,1,6340644
9,0,6373744
10,1,6376678
11,2,6762757
12,3,7355591
13,1,8427319
14,1,8912188
15,2,9081730
16,1,10310060
17,1,10813517
18,2,12474939
19,2,12478712
20,0,12890417
21,3,13215742
22,0,13954937
23,1,14551659
24,0,14963861
25,1,15446148
26,0,16473363
27,0,17485396
28,4,18260095
29,3,18770273
30,0,19674450
31,0,19868446
32,4,20583743
33,4,21462979
34,0,21643377
35,2,21967156
36,3,21985601
37,2,22904232
38,1,25252592
39,2,26085861
40,1,26111463
41,2,26222424
42,4,26415921
43,1,26565939
44,0,28122114
45,1,28305883
46,3,28307555
47,0,28335983
48,4,28889627
49,2,29412210
50,3,30336716
51,0,31941879
52,4,32970452
53,3,33178858
54,1,33357463
55,3,33388333
56,2,34325597
57,4,34430022
58,2,36769752
59,2,38420547
60,1,39313465
61,2,39374874
62,3,39528119
63,2,39553682
64,2,41899855
65,0,42472175
66,0,42835768
67,4,44864787
68,1,45796205
69,1,47052952
70,1,47341914
71,2,47981188
72,2,48967173
73,1,49421481
74,4,49474073
75,0,50528038
76,2,50740710
77,4,51841508
78,2,52009689
79,0,52930499
80,0,52995778
81,2,53674856
82,1,53912319
83,4,55255385
84,1,56432194
85,0,56974564
86,2,57261540
87,3,57566730
88,1,57921999
89,4,58517282
90,1,58542115
91,2,59011629
92,1,60590672
93,0,61928104
94,0,62924857
95,0,63368496
96,2,63991959
97,2,64110196
98,0,66023764
99,2,66659189
100,0,67393614
101,4,67876427
102,1,67976208
103,3,68394282
104,2,68839149
105,0,69014313
106,2,70454359
107,2,71325591
108,1,72000762
109,3,72215272
110,2,74274161
111,0,74366135
112,1,76045357
113,1,76111957
114,3,76751318
115,0,77057915
116,0,77059670
117,4,77478694
118,1,77842429
119,3,79621144
120,4,79776457
121,1,79874148
122,0,80575446
123,4,81511700
124,2,82350672
125,2,83358798
126,2,83598472
127,0,83886918
128,1,84183215
129,1,84876018
130,2,84926271
131,1,86518453
132,3,88670696
133,4,88997916
134,2,89990228
135,1,91245231
136,3,91848500
137,0,91878140
138,2,92326112
139,2,92457331
140,0,92512946
141,0,92573572
142,1,92668301
143,1,92734192
144,2,92769804
145,1,92995825
146,4,94103035
147,3,94104882
148,3,94106405
149,1,94558352
150,2,94982403
151,1,95342400
152,4,95559478
153,2,95851816
154,0,95943685
155,3,96350275
156,2,97340169
157,4,97972957
158,1,98166753
159,3,98386575
160,0,99578968
161,2,99611680
162,2,100344893
163,1,100357195
164,2,102946504
165,2,103418069
166,2,103657168
167,2,103999507
168,1,104272295
169,0,104405518
170,1,104686558
171,0,105314121
172,1,105516784
173,0,105840536
174,0,106399769
175,1,106453015
176,1,107200815
177,3,107319053
178,2,107471818
179,2,107490271
180,0,107725430
181,4,109587514
182,3,111956607
183,3,112395047
184,2,112632112
185,0,112884227
186,1,115441867
187,3,115595264
188,1,115845362
189,3,116003263
190,2,116541892
191,4,116656423
192,1,116683484
193,3,117311835
194,2,119252636
195,2,119360845
196,0,119569815
197,0,119648723
198,4,119857509
199,2,120250519
200,1,120837989
201,1,121073814
202,1,121108053
203,4,123371708
204,0,123426955
205,2,124011675
206,0,125456823
207,2,126149169
208,2,126349370
209,2,126983731
210,1,128979155
211,2,129382373
212,0,129441708
213,3,129967609
214,0,131468109
215,1,132045343
216,2,132564427
217,2,133317058
218,1,134620639
219,4,134780607
220,2,134796206
221,0,136933742
222,0,137197428
223,3,137199036
224,2,137331721
225,1,137436063
226,1,138375188
227,4,138609545
228,1,138672862
229,2,139216236
230,4,139961573
231,2,140550620
232,4,140819110
233,0,141609535
234,2,142114887
235,3,142869857
236,1,143283396
237,4,143667340
238,2,144986549
239,2,144988354
240,3,145765771
241,2,147465406
242,2,148829532
243,1,149020520
244,1,150875480
245,1,150926486
246,1,151495900
247,1,152080416
248,2,154343523
249,3,154646545
250,0,154998685
251,4,155365546
252,3,155430188
253,1,155762868
254,1,156385819
255,4,156965185
256,0,157341366
257,3,157546426
258,0,157902826
259,4,157994325
260,0,159796663
261,4,160775590
262,3,162044808
263,2,162616588
264,2,163038802
265,2,163743348
266,3,165677097
267,0,165969010
268,3,166603007
269,2,166683942
270,2,166811563
271,3,167018782
272,2,167036715
273,0,168514369
274,4,168978751
275,0,169193937
276,2,169502360
277,0,169970301
278,2,170219777
279,0,170413577
280,2,170939841
281,0,171972239
282,2,172058725
283,2,172466295
284,4,173186379
285,1,173553087
286,0,174276319
287,2,175151972
288,2,175876316
289,2,176252426
290,0,176445666
291,4,176857743
292,2,176898629
293,0,177358630
294,2,178004519
295,1,179379789
296,2,179728165
297,0,180077362
298,4,180763663
299,0,180946798
300,2,181096210
301,3,181361356
302,2,181644016
303,0,182428084
304,2,182803154
305,2,183592834
306,2,184716350
