,cat,id
0,2,539393
1,1,894828
2,0,1324392
3,0,1346445
4,1,1670753
5,2,1685631
6,1,1690750
7,0,1964956
8,2,2517680
9,0,3528836
10,0,4163648
11,0,4464629
12,2,6493840
13,1,7909873
14,1,8589718
15,2,9110056
16,2,9361984
17,2,9463890
18,2,9465479
19,2,10493266
20,0,11123401
21,0,11682276
22,0,12546996
23,0,12881539
24,2,13543658
25,2,13544334
26,2,13556364
27,1,14405241
28,1,15006530
29,0,16201255
30,0,16648611
31,2,17702669
32,1,17953291
33,0,19746014
34,0,20929958
35,0,21159339
36,1,21991756
37,2,22258705
38,2,22259665
39,2,22264495
40,2,22465100
41,2,22570292
42,0,23444821
43,1,24404204
44,1,24412086
45,0,24874535
46,0,25871867
47,2,26013818
48,2,26119042
49,2,27361549
50,0,27991738
51,2,28260849
52,2,30026797
53,0,31491146
54,0,33829477
55,0,33829641
56,0,34008724
57,0,35134339
58,2,35270620
59,2,35271548
60,0,36795445
61,1,38084248
62,0,39444896
63,0,41007515
64,0,41137323
65,2,41625922
66,1,42108296
67,1,42543201
68,2,42658876
69,2,43381471
70,1,43546514
71,0,45116014
72,0,46810255
73,2,47260723
74,2,47604602
75,2,48044434
76,0,48624663
77,2,48848769
78,0,49092592
79,0,49681612
80,1,49918136
81,2,52043429
82,1,52462710
83,2,52766110
84,2,54084568
85,2,54205713
86,0,54724474
87,0,55822228
88,1,56446256
89,2,58102679
90,2,59393985
91,2,60773050
92,0,60978404
93,1,61196557
94,0,61569731
95,2,63110985
96,2,63795999
97,0,64909392
98,1,66097996
99,0,66216952
100,2,68665175
101,2,68945088
102,1,69380018
103,1,72590849
104,2,72913296
105,0,73195976
106,1,73611844
107,0,73643555
108,1,73701165
109,0,74600699
110,0,76210989
111,0,77083669
112,2,77085736
113,2,78461867
114,2,80209562
115,0,80647188
116,1,80936952
117,0,80942636
118,2,80943243
119,0,80965286
120,2,80978721
121,0,84347402
122,1,84348248
123,2,84376331
124,0,84413567
125,0,84440557
126,2,84449004
127,2,84490202
128,0,84749775
129,2,86312577
130,0,86450353
131,1,87063159
132,2,87078906
133,0,87485057
134,0,87560718
135,0,88035611
136,0,88609112
137,1,89844092
138,1,90455833
139,2,90891199
140,2,91736782
141,0,92008804
142,0,92099843
143,2,92424691
144,0,92439087
145,2,93473041
146,0,93721697
147,1,93924189
148,0,94658626
149,1,95140791
150,0,96086509
151,2,96465833
152,0,97226576
153,2,99394547
154,2,99635074
155,2,99765756
156,0,100491591
157,1,100838114
158,2,102041828
159,2,102118498
160,2,102399196
161,2,103375268
162,0,103544136
163,0,105260737
164,0,105506688
165,2,105522315
166,2,105831902
167,2,106339608
168,1,106679252
169,1,107138424
170,2,107310804
171,2,108328114
172,0,108639727
173,2,109482269
174,2,109640846
175,1,110669063
176,0,111203061
177,0,112844505
178,0,112986847
179,2,113613405
180,0,113921081
181,2,115374664
182,0,117253444
183,2,117844219
184,0,118098844
185,2,118224507
186,2,119344895
187,1,120174829
188,2,120209838
189,2,120212084
190,1,120811522
191,1,123228551
192,0,126043671
193,0,126044188
194,1,126667016
195,0,127982884
196,2,129688391
197,2,129868327
198,1,131480655
199,0,131669222
200,0,132399697
201,0,132712001
202,0,133913699
203,0,134443269
204,2,134617635
205,0,134928584
206,0,138153380
207,2,138538812
208,1,140476456
209,2,141197784
210,2,141757528
211,2,141845084
212,2,141848624
213,1,143469823
214,2,146848248
215,1,146859942
216,1,146860019
217,2,147203794
218,1,147416233
219,1,147862655
220,0,148162025
221,2,148339381
222,1,148974215
223,2,149030070
224,0,149112670
225,1,149484196
226,2,151448363
227,0,153855107
228,0,154220897
229,1,154640114
230,2,156668637
231,0,157426916
232,0,157456786
233,0,157522186
234,2,157636339
235,1,160945634
236,2,160945882
237,2,160945959
