,cat,id
0,0,815064
1,1,1534835
2,3,1634016
3,1,2765127
4,0,2992105
5,1,3369259
6,2,3718953
7,1,3917961
8,0,4175617
9,3,4414406
10,0,7475942
11,1,8028596
12,3,8100576
13,3,10200211
14,0,10508235
15,2,14038883
16,2,14453465
17,1,14932785
18,0,16062343
19,2,16091056
20,3,16288240
21,3,16828816
22,0,17806103
23,1,18154893
24,1,19011063
25,3,19962592
26,3,21414299
27,0,21727556
28,1,22172229
29,2,22850159
30,1,23129672
31,1,24779724
32,0,25614060
33,1,28430399
34,1,29383638
35,2,30554530
36,1,31518502
37,3,31720164
38,2,31743370
39,2,32352311
40,2,32428074
41,0,32827659
42,2,35974849
43,2,36064110
44,3,36925489
45,1,38960915
46,0,39142110
47,0,39575745
48,3,39592686
49,2,40480504
50,3,41213467
51,0,41328557
52,0,41585570
53,1,42203585
54,3,43786994
55,2,46226397
56,1,48385497
57,3,50090726
58,3,50348885
59,2,50362744
60,3,50963480
61,0,50998487
62,3,51051752
63,3,51262191
64,2,51691281
65,1,52960739
66,1,52995154
67,2,53410804
68,3,55092334
69,2,55208740
70,3,57762912
71,1,58621633
72,3,59171208
73,2,60317125
74,0,60399001
75,1,61477606
76,2,61977735
77,3,62261695
78,1,62440508
79,0,64661407
80,1,64732276
81,1,64893284
82,3,66198478
83,3,67070501
84,1,67271573
85,1,67676278
86,3,68000939
87,0,68647111
88,1,69576269
89,1,69945713
90,2,71679100
91,3,71814024
92,2,71867007
93,0,72601781
94,0,73704471
95,1,73914195
96,1,74245314
97,3,74405945
98,1,74439358
99,0,75373795
100,2,75908557
101,2,75977798
102,1,76094255
103,1,76162603
104,0,79110975
105,1,79315359
106,2,79388152
107,2,79442000
108,3,80245603
109,0,80575318
110,1,80651099
111,3,83110537
112,0,84460204
113,0,84489623
114,1,84493748
115,1,84502601
116,2,84765113
117,0,86676657
118,0,86892637
119,2,87248450
120,1,88419662
121,1,89538377
122,0,90051720
123,1,90879131
124,0,90949136
125,3,91856583
126,2,92712461
127,1,93299871
128,1,93686894
129,0,94068275
130,2,94168437
131,1,94793668
132,0,94815776
133,0,95374821
134,1,97130083
135,3,98161342
136,0,98534850
137,3,99580498
138,1,99881829
139,0,100336666
140,3,100418274
141,1,101080612
142,2,101154264
143,3,101229592
144,2,101363602
145,1,101625678
146,3,101681551
147,1,101816578
148,3,102974452
149,3,103205490
150,0,103893846
151,0,104636437
152,2,105841909
153,3,105920942
154,3,106194081
155,1,106451641
156,1,108129874
157,1,108929502
158,1,109512811
159,3,110245879
160,1,110721934
161,2,111641702
162,0,113700840
163,0,115175965
164,0,115701054
165,0,115835160
166,1,116260430
167,1,116463660
168,1,116489468
169,1,117237101
170,0,117920717
171,1,118794308
172,1,119508376
173,2,119759885
174,0,119821591
175,3,120092612
176,3,120310908
177,1,121060368
178,1,121281961
179,1,121458374
180,0,123620958
181,2,124191679
182,0,124283425
183,3,125546291
184,3,126282426
185,3,126913587
186,0,127499056
187,1,128284929
188,0,128721505
189,2,129721490
190,0,129799094
191,1,129996080
192,2,130021765
193,0,132727046
194,1,133955369
195,2,134472964
196,0,134552920
197,3,134915475
198,0,135634775
199,3,135783483
200,2,136858846
201,2,138288262
202,0,139465998
203,2,141252051
204,1,142753624
205,1,144332893
206,1,145233387
207,0,145279559
208,1,145409295
209,0,145454811
210,0,146103768
211,2,146536326
212,0,147197062
213,2,147547482
214,1,148203791
215,3,148364995
216,1,149633225
217,1,149915098
218,3,151047219
219,1,151239136
220,2,151251780
221,1,151876537
222,1,152201763
223,1,152814194
224,0,152817098
225,3,152969175
226,1,153185353
227,3,154075013
228,3,155540242
229,0,156963232
230,3,157333750
231,2,158343216
232,1,158831143
233,1,159702757
234,2,159828126
235,0,160511495
236,3,160641728
237,3,161962522
238,3,162395387
239,3,163552403
240,0,163606656
241,2,164221351
242,1,167631659
243,3,168606691
244,0,169012034
245,3,169805318
246,2,170530057
247,0,170579867
248,1,171319388
249,1,171911927
250,0,172753504
251,3,172829723
252,2,173820420
253,2,174346379
254,3,175853547
255,0,176260939
256,1,176643774
257,3,176746478
258,2,176770579
259,1,177273670
260,3,177367852
261,0,177374726
262,1,180120018
263,0,180314665
264,1,180798116
265,1,181535068
266,1,181580861
267,2,181763779
268,2,182695421
269,0,182762556
270,2,184120611
271,3,184852091
272,0,187664325
273,3,190150913
274,1,190227729
275,1,190291365
276,1,192209574
277,0,192287189
278,0,192304008
279,2,192612902
280,3,192656533
281,2,193435060
282,0,193974923
283,1,194211062
284,1,194966979
285,1,195138774
286,1,195392125
287,2,197436835
288,1,197467403
289,3,198925512
290,3,198948663
291,1,199791606
292,2,199836941
293,1,201124613
294,3,205668969
295,0,205952583
296,0,206018516
297,3,206152577
298,0,206304285
299,1,206880605
300,1,207459149
301,1,208056620
302,3,208147818
303,3,210682803
304,3,210959566
305,3,211605269
306,2,212111447
307,3,212240091
308,2,212353602
309,1,213768139
310,3,214041899
311,1,215717278
312,0,216874616
313,2,219246999
314,3,221904413
315,0,221932459
316,1,222256812
317,1,223146695
318,3,223147638
319,1,224391083
320,3,225402248
321,1,225550218
322,2,225975923
323,3,227051284
324,1,227396435
325,1,229085126
326,3,230421040
327,1,231585212
328,2,231971151
329,2,233626708
330,1,234223361
331,3,234961732
332,2,236144547
333,3,236527518
334,3,237325228
335,3,237388251
336,0,239561303
337,0,240747249
338,3,241069700
339,2,241417955
340,0,241444955
341,1,241630968
342,0,242097630
343,3,242772335
344,0,243064452
345,2,243933354
346,3,244208772
347,1,245210559
348,1,245323875
349,1,245613533
350,0,246587627
351,2,249135218
352,1,252944548
353,1,253131065
354,0,253241852
355,3,254418748
356,3,254507940
357,2,255213284
358,1,257727066
359,2,258100193
360,1,258202641
361,1,258615954
362,0,258758204
363,1,258811130
364,3,258838963
365,2,259841993
366,1,260938972
367,0,262027762
368,2,262741151
369,1,263854946
370,0,263992047
371,1,265409070
372,0,265723568
373,3,266017944
374,0,266053261
375,0,266105294
376,3,266684552
377,1,269530342
378,2,269625770
379,3,271395886
380,1,272298930
381,3,274262096
382,3,274643229
383,0,275797862
384,2,276107523
385,0,276345056
386,3,276726914
387,3,276921016
388,3,277565275
389,1,278153386
390,3,278347904
391,1,279196931
392,1,279380337
393,1,279434188
394,2,280644641
395,3,280758064
396,3,281048331
397,3,284118541
398,3,288822519
399,3,288861327
400,1,289502155
