,cat,id
0,1,1133190
1,0,1910265
2,0,2884885
3,0,4324241
4,0,4672545
5,0,5212119
6,0,5351959
7,0,5428479
8,0,5524620
9,1,5749763
10,0,6313256
11,0,7654885
12,0,7655124
13,0,9432543
14,0,9712469
15,0,9736091
16,1,9939567
17,1,10491358
18,0,11090682
19,1,12165379
20,1,12635013
21,0,13432575
22,0,13578126
23,1,14060627
24,0,16354073
25,0,16594596
26,0,16731993
27,0,16846862
28,1,17044824
29,1,17370516
30,0,17420246
31,0,18665499
32,1,19342560
33,0,20208308
34,0,21332055
35,0,22176554
36,1,22278541
37,0,22978478
38,0,23367255
39,0,23865090
40,0,24674099
41,0,26805482
42,0,27186573
43,1,29356172
44,1,29373759
45,0,29539606
46,1,30275722
47,0,30568516
48,0,30941102
49,0,31725268
50,0,32593809
51,1,34992569
52,0,36115014
53,0,37012364
54,0,37452809
55,0,37462310
56,0,37676864
57,0,37726829
58,0,38975116
59,0,39069517
60,0,39919094
61,1,41337031
62,0,44608874
63,0,44728340
64,0,44746655
65,1,44834562
66,0,45370077
67,0,45790583
68,1,47132542
69,0,47320881
70,0,48518834
71,1,48527823
72,1,49349731
73,1,49704708
74,1,50824164
75,1,50889666
76,0,52689157
77,0,52698948
78,0,53310656
79,0,53640346
80,0,53641093
81,1,54090948
82,0,55390419
83,0,57772404
84,0,57931412
85,0,57962886
86,1,58005581
87,1,59247248
88,1,59455811
89,1,60308355
90,0,62143736
91,0,63303978
92,0,63425339
93,0,63437370
94,1,63894587
95,0,63989378
96,0,64616051
97,0,65693509
98,1,67899586
99,0,68522888
100,0,68975613
101,0,69602750
102,0,69834478
103,1,70625145
104,1,70891219
105,1,72364089
106,0,72841379
107,0,74251940
108,0,74268493
109,0,74333719
110,0,74840335
111,0,76129753
112,1,76561830
113,1,78698082
114,0,79128844
115,0,79230281
116,1,79449826
117,0,79698956
118,0,81109585
119,1,81324767
120,1,82275117
121,1,83408628
122,1,85023574
123,1,85243258
124,0,85320944
125,0,85941147
126,0,86424461
127,0,87256877
128,0,87452461
129,0,87619042
130,0,87668368
131,0,87668755
132,0,88701833
133,1,89620100
134,0,91707480
135,1,91710957
136,1,92277354
137,0,94883713
138,0,95374100
139,1,96019205
140,1,96317215
141,0,98765312
142,0,98834872
143,0,100993436
144,1,101363064
145,0,101615916
146,0,102029386
147,0,102154191
148,0,102304789
149,0,102617622
150,1,102733379
151,1,103328479
152,1,105698018
153,1,106036564
154,1,106382293
155,0,106893500
156,1,107369464
157,0,107463372
158,0,108315371
159,0,108348367
160,1,108442328
161,0,109100446
162,0,109100454
163,0,109100754
164,0,109919712
165,1,111670982
166,0,112705114
167,0,114833194
168,1,115501571
169,0,116063983
170,0,116122050
171,0,116200034
172,1,119692800
173,0,120397299
174,1,120527401
175,0,120791131
176,1,120883285
177,1,120947781
178,0,121459642
179,0,121972983
180,0,122255498
181,1,122823434
182,1,122853202
183,1,124260667
184,0,124676719
185,1,124724996
186,1,125033035
187,1,125115336
188,0,125202231
189,0,125581249
190,0,125755048
191,0,125961215
192,0,127280559
193,1,127916250
194,1,128998891
195,0,129073960
196,0,129200889
197,0,131280577
198,1,131663152
199,0,132056209
200,0,132588609
201,1,132700883
202,0,133279201
203,1,134487743
204,0,134581970
205,0,135190604
206,1,136674547
207,1,137053006
208,0,139414394
209,1,140323417
210,1,142796232
211,0,144540199
212,1,145353827
213,0,145471836
214,0,145507827
215,1,145547132
216,0,145647154
217,0,146141988
218,0,147310702
219,1,147852938
220,0,149509002
221,0,150166171
222,0,150862682
223,0,151167505
224,1,152410355
225,0,153352461
226,1,153544893
227,1,153870351
228,1,154106785
229,1,154581595
230,0,154955549
231,0,155010213
232,0,156068314
233,0,156359521
234,1,156984573
235,1,158449367
236,0,160586789
237,0,160714844
238,1,161414237
239,0,161943252
240,0,162310365
241,0,162310410
242,0,162763475
243,0,163208955
244,1,163875634
245,1,164143656
246,0,164307050
247,0,164995328
248,0,165387717
249,1,167724348
250,1,168467409
251,0,169644128
252,0,170303940
253,1,172818984
254,1,174232162
255,0,174293063
256,0,174706082
257,1,176036927
258,0,176964285
259,0,177552362
260,0,177911410
261,1,177913170
262,0,178245052
263,0,178247649
264,0,178251562
265,1,178693648
266,0,180739822
267,0,180790377
268,0,182573250
269,0,182650562
270,0,183208534
271,1,183502304
272,1,183962082
273,0,184386699
274,0,184583516
275,0,184754690
276,0,185204408
277,1,185211975
278,0,185288580
279,0,185391314
280,1,186817694
281,0,187464857
282,1,187834703
283,0,188497254
284,0,188690758
285,0,188754166
286,0,188754213
287,0,188754367
288,0,189037449
289,1,189192475
290,0,189282524
291,0,189835383
292,0,190006930
293,0,190329163
294,1,190644289
295,1,191463268
296,1,191855017
297,0,193257395
298,0,194462149
299,1,194536898
300,1,196548953
301,1,197205017
302,0,197767429
303,1,198394378
304,0,198416779
305,0,198602455
306,1,199744804
307,0,200804825
308,1,201554663
309,0,201762347
310,0,202638425
311,1,203414767
312,0,203418884
313,0,204565930
314,0,205339571
315,1,205594111
316,0,206268067
317,1,206864631
318,0,206877965
319,0,208202032
320,1,208597136
321,0,210451483
322,0,210716220
323,0,210791158
324,0,211430607
325,0,211513611
326,0,211652789
327,0,212451559
328,1,212970115
329,0,213345779
330,0,213845788
331,1,218903481
332,1,218904825
333,0,220216492
334,1,220996886
335,0,221211062
336,0,221379853
337,0,221996835
338,0,222146422
339,0,222541044
340,1,222773977
341,0,223707363
342,0,223776437
343,0,223786834
344,0,224044264
345,0,224234829
346,0,224301327
347,0,224842955
348,0,225036698
349,1,226132199
350,0,226593966
351,1,227450184
352,0,228179562
353,0,228749775
354,1,229458326
355,1,229535217
356,0,230186268
357,0,231699858
358,0,233327139
359,0,233752507
360,0,234262062
361,0,234860739
362,1,235683932
363,1,235927459
364,1,236033370
365,0,237769489
366,0,237945740
367,1,238507359
368,0,238834203
369,0,238985762
370,1,239515596
371,0,241404588
372,0,241830218
373,1,242045167
374,0,242146158
375,0,243517690
376,0,244434400
377,0,244604948
378,1,244781576
379,0,245185164
380,0,247504011
381,1,249040436
382,0,249811395
383,1,249975853
384,0,251190208
385,0,253001786
386,0,253056654
387,0,254496301
388,0,254868451
389,0,256204560
390,0,257362390
391,1,257372378
392,0,257395513
393,1,257560701
394,0,259876544
395,0,260417728
396,1,260447435
397,0,260598796
398,0,262321469
399,0,262795391
400,0,263603877
401,0,263781977
402,0,263814686
403,0,263961908
404,0,264204146
405,0,264690509
406,0,264884979
407,0,265019850
408,0,265288238
409,0,270627261
410,0,271168566
411,1,275323542
412,1,275625734
413,0,275892073
414,1,279133670
415,1,279231897
416,0,280609634
417,1,280617835
418,1,281371154
419,1,281732531
420,0,283301643
421,0,284440272
422,1,287984480
423,1,289021591
424,1,290236614
425,0,291229584
426,0,291679065
427,0,291903463
428,1,291906649
429,0,292022652
430,1,293233087
431,0,293288464
432,0,293982182
433,0,294147670
434,0,294466795
435,0,294545126
436,0,295061178
437,0,295177674
438,0,295486969
439,1,298243547
440,0,298351375
441,1,298602075
442,1,298987833
443,1,299033940
444,0,299193829
445,0,300552742
446,1,300651995
447,1,300901406
448,0,301535122
449,1,301548460
450,0,302373916
451,1,302711324
452,1,302848357
453,0,303413252
454,1,303855365
455,1,304461670
456,0,304462462
457,1,304479047
458,0,305017126
459,0,305063603
460,0,305581252
461,0,308435518
462,0,310822616
463,0,312426351
464,0,312438084
465,1,312851393
466,0,312883943
467,0,313160765
468,0,313320988
469,0,313633366
470,0,314630551
471,0,315529024
472,0,315699577
473,1,315860743
474,1,316231513
475,0,316567052
476,0,317001858
477,0,317230709
478,0,318596156
479,1,319344202
480,1,319490801
481,0,319586323
482,0,319736385
483,0,320270597
484,0,320365012
485,1,321006276
486,0,322212462
487,1,322219415
488,0,323196951
489,0,325875608
490,0,326143442
491,0,327473077
492,0,328690453
493,0,330255473
494,1,330264964
495,1,330370077
496,1,331963376
497,0,332147621
498,1,332287110
499,1,333340565
500,1,334537028
501,1,335803890
502,1,335804204
503,0,337738031
504,1,337802128
505,1,339696338
506,0,339913335
507,0,340220769
508,0,340427106
509,0,342011376
510,0,342013280
511,1,342752731
512,0,343570796
513,0,344704782
514,1,345240246
515,0,345308857
516,0,345719336
517,0,346106905
518,0,347444397
519,0,347844641
520,1,348841313
521,1,350490775
522,1,350799940
523,0,352450997
524,0,352957715
525,0,355266825
526,0,355281549
527,0,355386745
528,1,356145988
529,1,356431333
530,0,357342770
531,0,358555506
532,1,359155280
533,1,359735603
534,1,360115779
535,1,361183443
536,0,361251749
537,0,363016260
538,0,363323628
539,0,363444038
540,0,364676723
541,0,365226968
542,0,365299657
543,0,366147215
544,0,367098320
545,1,367098739
546,0,367745326
547,0,367810374
548,0,367880195
549,0,370898498
550,1,371268765
551,1,371794864
552,0,372220760
553,0,372389409
554,0,372478615
555,0,372788764
556,0,373829613
557,0,374287284
558,0,375010831
559,1,376350046
560,1,377915178
561,0,378817346
562,1,379292555
563,0,379342336
564,1,380022740
565,0,380244338
566,1,380651577
567,1,381320440
568,0,381491297
569,0,381828123
570,1,383185005
571,0,383491199
572,1,384034218
573,1,384180905
574,1,384240144
575,0,384837865
576,0,386665171
577,0,388198242
578,1,388311687
579,1,388801134
580,0,390307160
581,0,391424068
582,1,391664306
583,0,392563518
584,0,392725097
585,0,392732311
586,0,392740750
587,0,393251096
588,1,394141736
589,0,394278603
590,0,394978761
591,0,395378858
592,1,395629422
593,0,395630342
594,0,397781349
595,0,398069086
596,0,398119117
597,0,398119182
598,0,398394187
599,0,398434142
600,0,399657797
601,1,399902584
602,0,400807966
603,1,401573046
604,1,402065107
605,0,402598260
606,0,403296719
607,0,404227831
608,0,404406322
609,1,405132549
610,1,405333727
611,0,406804751
612,1,407306753
613,0,409203855
614,0,409839018
615,0,410738683
616,1,410823360
617,0,410888014
618,0,411545617
619,0,412086080
620,1,412122876
621,0,412497348
622,0,412879897
623,0,413920641
624,0,414524271
625,0,414673685
626,0,414945035
627,1,415151875
628,1,417056974
629,0,419290799
630,0,419793113
631,0,420028965
632,1,420204144
633,1,420440011
634,0,420930258
635,1,421892464
636,0,421964519
637,1,422394362
638,1,423135597
639,0,432431025
640,0,433999222
641,0,434809102
642,0,435748247
643,1,438298702
644,0,439988665
645,0,440212065
646,0,441069928
647,0,446170125
648,1,451407215
649,1,452232940
650,0,452451369
651,0,453773687
652,0,454588828
653,0,457189033
654,0,458727289
655,0,463421665
656,0,465566305
657,0,466749463
658,1,467888162
659,0,468437232
660,1,468847268
661,0,469053189
662,1,469057989
663,1,469059527
664,0,469291559
665,0,471178716
666,1,471705964
667,0,474314692
668,0,476677332
669,1,477040514
670,0,478608633
671,0,478904379
672,0,479622456
673,0,480286407
674,1,481666072
675,1,484446710
676,0,485236049
677,0,485545446
678,0,485803888
679,0,487445237
680,0,488320881
681,0,492305224
682,0,492943728
683,0,493077698
684,0,493288245
685,1,495312705
686,0,496926491
687,0,497251080
688,0,504163958
689,0,504304009
690,0,508882846
691,1,510369697
692,0,510370933
693,0,511547260
694,0,512132369
695,1,512547640
696,0,514338249
697,1,515579132
698,0,517906533
699,0,517990286
700,1,519239873
701,0,519598550
702,0,521013041
703,0,523396363
704,0,530029693
705,0,530737765
706,0,531819364
707,0,535487031
708,1,536511937
709,1,536806056
710,0,541530840
711,1,543242488
712,0,543715420
713,1,544347207
714,0,545051290
715,0,545242091
716,1,547647631
717,0,547649222
718,0,549890526
719,0,552563593
720,0,553749757
721,0,561194452
722,0,561366677
723,0,562359656
724,0,565328740
725,0,567203206
726,0,568096220
727,0,568898105
728,0,569442258
729,0,570199912
730,1,572594289
731,0,572650606
732,0,575806051
733,0,576203346
734,0,576206702
735,0,576206767
736,0,577464230
737,0,578066057
738,1,579387935
739,0,581896236
740,1,583238180
741,0,590213056
742,0,591702168
743,0,591994965
744,0,592378550
745,0,592399935
746,0,592605521
747,0,595871838
748,1,600363919
749,0,600364880
750,0,602445589
751,0,605250683
752,0,605393195
753,0,606027758
754,0,607012308
755,0,612249915
756,0,615230934
757,0,618183422
758,0,619069343
759,0,622859397
760,0,623813234
761,0,626458338
762,0,626734441
763,1,635608847
764,1,638249136
765,1,642216688
766,0,642805931
767,0,644444203
