,cat,id
0,1,1102210
1,1,1102279
2,0,1170676
3,0,2043603
4,1,2981967
5,0,3335225
6,0,3648251
7,1,4387996
8,1,5716533
9,0,6140975
10,0,6191717
11,1,6491921
12,0,6509435
13,1,6911556
14,1,7716756
15,0,7878169
16,0,8279509
17,1,9691685
18,1,10719170
19,1,10851911
20,1,10853059
21,1,11363492
22,0,11561880
23,1,11757550
24,1,12562266
25,0,12651555
26,0,12682133
27,1,14108266
28,0,14534091
29,1,14856253
30,1,15974547
31,1,17364102
32,1,18072159
33,1,18155517
34,0,19167756
35,1,20267995
36,0,20456323
37,1,20462366
38,1,20861554
39,0,20968832
40,0,21010846
41,1,21025391
42,0,22303523
43,0,22984249
44,0,23388166
45,0,23788434
46,1,24570891
47,0,26394031
48,0,26759067
49,1,27648887
50,0,31099500
51,0,31184603
52,1,32577124
53,0,36145457
54,0,39162250
55,0,39426857
56,0,39918927
57,0,40050477
58,1,40498145
59,0,42220036
60,0,42766416
61,1,43951632
62,1,44497878
63,0,45535504
64,1,46751514
65,0,46751649
66,0,46941401
67,1,47776716
68,0,48920090
69,0,49584454
70,0,50605840
71,1,52290640
72,0,53039661
73,1,53131790
74,0,53366477
75,0,53863711
76,0,54304420
77,0,54738618
78,0,55272129
79,0,55360947
80,0,55907247
81,1,55907799
82,0,56163807
83,1,57276456
84,0,57556433
85,1,58444457
86,1,58827632
87,0,58907709
88,0,59821716
89,1,60617161
90,0,62719402
91,1,64281806
92,1,65865499
93,1,65874415
94,1,66734621
95,0,66857473
96,1,68340598
97,1,69876067
98,1,70119863
99,1,70726629
100,1,71272887
101,1,71429690
102,1,71441909
103,1,72925776
104,1,73142912
105,1,73982765
106,1,74671595
107,1,74996225
108,1,76598533
109,1,77045855
110,1,77817225
111,1,77955580
112,1,79792808
113,1,80047730
114,0,81856936
115,0,81980287
116,0,82578402
117,1,83904233
118,0,84696754
119,0,84883282
120,1,85141230
121,0,85156396
122,0,85375926
123,1,87256196
124,1,87519837
125,1,87582134
126,0,88312499
127,1,88759374
128,0,88888050
129,0,89745775
130,0,90469356
131,0,91100394
132,1,91429481
133,0,91793334
134,0,91810280
135,1,91956424
136,1,92216645
137,0,92217494
138,0,92260753
139,1,92629957
140,1,93175141
141,1,93698856
142,1,94226611
143,1,94304587
144,0,94328884
145,0,94693870
146,1,95659177
147,1,96651690
148,0,97136388
149,0,97324042
150,1,98095373
151,1,98116830
152,0,98137454
153,0,100552960
154,1,100783460
155,0,101210083
156,1,101921828
157,0,103581460
158,1,103676685
159,1,103714617
160,0,105115299
161,1,105298019
162,0,105352045
163,1,107492054
164,1,109864173
165,0,113938968
166,0,115055626
167,0,116820353
168,1,116893726
169,0,117233418
170,1,117965557
171,1,120060367
172,1,120160100
173,1,120243054
174,1,120243172
175,0,121868310
176,1,121954089
177,1,122111182
178,1,122789601
179,1,123150370
180,0,123777220
181,0,124235640
182,1,124235711
183,1,125656672
184,0,125914681
185,0,126249591
186,1,126257324
187,1,127395502
188,0,127598725
189,0,128246925
190,1,128565269
191,0,129116419
192,1,129539052
193,1,129544763
194,1,129812713
195,0,131094970
196,1,132250484
197,0,132518772
198,0,132591168
199,1,132623068
200,1,133408701
201,0,133442185
202,0,134408072
203,1,135684081
204,1,135771028
205,1,135854328
206,1,137265882
207,0,138221743
208,1,138446322
209,1,139501295
210,1,139732702
211,1,140357023
212,0,141091258
213,0,142785355
214,1,145479282
215,1,146059919
216,0,146416134
217,0,146797063
218,0,146797410
219,1,146864243
220,0,149380089
221,1,150681649
222,0,150839975
223,0,151226237
224,0,151624922
225,1,152241430
226,1,153457871
227,0,153511957
228,0,153584792
229,0,153880267
230,1,154144408
231,0,154531728
232,1,155168535
233,1,155513752
234,1,156486632
235,1,156972142
236,0,158638911
237,1,158982009
238,1,158998407
239,0,159200957
240,1,159622832
241,0,160252279
242,0,160592289
243,0,160786337
244,1,161277294
245,0,161649162
246,1,161904721
247,0,162261143
248,0,163141029
249,1,163147853
250,0,163222560
251,1,163700674
252,1,164052130
253,1,166611161
254,0,168148389
255,1,168355752
256,1,169260319
257,0,169373716
258,1,169924511
259,0,170553046
260,1,171127260
261,1,171679740
262,1,172717796
263,0,172848898
264,1,173326205
265,0,174157837
266,0,174348208
267,0,174697928
268,1,175887211
269,0,175936300
270,0,176303165
271,0,177128403
272,1,178868447
273,0,178999457
274,1,181658808
275,0,181734021
276,0,182228870
277,0,183175587
278,0,183532246
279,1,183809462
280,0,185478732
281,1,185971611
282,0,186309043
283,1,186760727
284,0,186783453
285,0,188179389
286,0,188949375
287,0,190085261
288,0,190142491
289,1,190473920
290,1,192157543
291,1,197433178
292,1,197440830
293,1,198067692
294,0,198798831
295,1,198843338
296,1,199486412
297,1,200981888
298,1,203552692
299,0,204318283
300,1,204516604
301,1,208046681
302,0,209128809
303,1,209507455
304,1,210102418
305,1,211060372
306,0,211843414
307,1,211852188
308,1,212223675
309,1,212332442
310,1,213249385
311,0,213882750
312,0,214879787
313,1,215615874
314,0,216915539
315,1,217179550
316,0,217322940
317,0,217619240
318,1,217702923
319,0,218779916
320,1,219191647
321,0,219938672
322,1,221347676
323,0,221466577
324,1,222787787
325,1,222969039
326,1,225222132
327,1,225714900
328,0,225738357
329,0,226548852
330,0,227830940
331,1,227832220
332,0,228186297
333,0,228219885
334,0,230185625
335,1,230414295
336,0,230485102
337,0,232083262
338,1,232329667
339,1,232353603
340,0,232353655
341,0,232353665
342,0,232411638
343,0,232922741
344,0,233085517
345,0,233086584
346,0,233389009
347,1,233538397
348,0,234416841
349,0,235548668
350,1,236046499
351,0,236986570
352,0,237714900
353,0,237871251
354,1,238229171
355,0,238448222
356,0,239500566
357,0,239515468
358,1,240637831
359,1,240835131
360,1,242256597
361,0,242523982
362,1,243040717
363,0,244325670
364,1,245226973
365,1,248291036
366,0,249182831
367,0,249355753
368,1,249660023
369,1,250043752
370,0,250193336
371,1,251377180
372,0,251569171
373,0,251866023
374,1,253145858
375,1,254338693
376,0,255745202
377,0,255832870
378,1,256114398
379,1,256795427
380,1,256955899
381,0,257144356
382,1,258420834
383,1,260256595
384,1,260308900
385,1,260900895
386,1,262435927
387,0,263769176
388,0,264325000
389,1,264979219
390,0,266249442
391,1,266508993
392,0,266863844
393,0,267014852
394,0,267338555
395,1,267493356
396,0,267555586
397,1,268568606
398,1,269098913
399,1,269468480
400,1,269840216
401,1,270037589
402,0,270358884
403,0,271015978
404,1,271031990
405,1,271532053
406,0,272212790
407,1,272287035
408,1,273228878
409,0,273485620
410,1,276460168
411,0,276891248
412,0,277228076
413,0,277787314
414,1,278045446
415,0,280335730
416,0,280440075
417,1,280819224
418,1,281448581
419,0,282352076
420,1,282688613
421,0,282893510
422,1,282994839
423,1,283049108
424,0,284681103
425,0,285623123
426,0,285624263
427,1,285864640
428,1,286290750
429,1,287708927
430,1,288357440
431,1,288581437
432,1,288594953
433,1,289930054
434,1,289953843
435,1,290749123
436,0,291524247
437,1,291543846
438,0,291615760
439,0,292193164
440,1,292330886
441,1,293341139
442,0,293356534
443,0,294074319
444,1,294505614
445,1,294630099
446,1,295162294
447,0,295298220
448,1,296101490
449,1,296376303
450,1,296900969
451,1,297399397
452,1,297444807
453,1,297445133
454,0,297457212
455,0,297792263
456,1,298670412
457,1,298847004
458,0,299101108
459,0,299847015
460,1,300118666
461,0,301374295
462,0,302465924
463,0,302833495
464,1,302860318
465,0,304819081
466,1,305133072
467,0,305694192
468,0,306395050
469,1,306877886
470,0,306880713
471,0,306886732
472,1,307387496
473,0,307663294
474,1,308314114
475,0,309506019
476,0,309508407
477,1,309830713
478,1,310152872
479,0,311090453
480,1,311407609
481,1,313977495
482,0,314029235
483,0,314774083
484,0,315698128
485,0,315741585
486,1,317002600
487,1,317907816
488,1,318337834
489,0,318362813
490,0,318783735
491,0,318980386
492,0,321562577
493,0,321959576
494,1,322603471
495,1,324529186
496,0,326422417
497,1,327153873
498,1,327234513
499,0,329073500
500,0,329477877
501,1,329899041
502,1,330016097
503,0,330061544
504,0,330673525
505,0,331515944
506,0,332037722
507,1,332256925
508,0,332946259
509,1,333375317
510,0,335659353
511,1,336001043
512,0,336769792
513,1,337029926
514,0,337520642
515,0,338025990
516,1,338114710
517,0,338388309
518,1,338472489
519,1,338472581
520,0,339893413
521,0,339962571
522,0,339964991
523,1,340613514
524,0,340708915
525,1,340845337
526,0,341983431
527,1,343032266
528,1,343789951
529,1,344988293
530,1,345021355
531,0,345517754
532,0,345715509
533,1,345851608
534,1,346618806
535,0,347977891
536,1,348264704
537,0,349240867
538,1,350225365
539,0,350235473
