,cat,id
0,0,381057
1,2,1503297
2,1,1726906
3,2,1943341
4,1,2082796
5,2,3288124
6,2,3712073
7,1,4526102
8,1,6546288
9,1,6625651
10,2,7166197
11,0,8157563
12,1,8260639
13,2,9082107
14,2,10108633
15,1,10295182
16,2,10526642
17,2,11473106
18,0,11944216
19,1,13539997
20,1,14032238
21,2,14835312
22,1,14910545
23,0,14925563
24,1,15261764
25,1,15716836
26,2,17165638
27,2,17219115
28,0,18963839
29,2,19830617
30,2,19932374
31,2,20157441
32,2,22955075
33,2,23126463
34,1,23127099
35,2,23287231
36,0,23347975
37,2,24363471
38,2,24439202
39,1,24588520
40,1,26588412
41,1,27804954
42,1,27816613
43,2,28759457
44,2,29378076
45,1,29379789
46,0,30008016
47,0,30316219
48,0,30646228
49,1,30943298
50,0,31901337
51,2,31930304
52,1,32392333
53,0,32935773
54,2,32946291
55,1,33026255
56,1,33666595
57,1,34065603
58,2,34113012
59,0,35514239
60,1,35910806
61,1,36076667
62,1,38367764
63,2,38381581
64,1,38551348
65,0,39976149
66,1,40974800
67,1,41609112
68,0,42119810
69,2,42959669
70,2,43179688
71,2,43324182
72,2,43529515
73,1,43579741
74,1,43850588
75,2,43859248
76,1,44366326
77,0,45439072
78,1,46197593
79,1,46409108
80,1,46435608
81,2,46795948
82,2,46909499
83,1,47054721
84,2,47109057
85,1,47742877
86,0,47805441
87,1,49207082
88,2,49398083
89,1,49663746
90,2,50168456
91,2,50381716
92,2,52387807
93,2,52910447
94,2,53996440
95,1,54248775
96,2,54289780
97,2,54455022
98,1,54580692
99,0,54975654
100,2,55216518
101,1,56022453
102,2,56611875
103,2,57749591
104,2,58347000
105,2,58733220
106,2,58843814
107,2,58847858
108,1,58876899
109,2,60125199
110,1,61360992
111,2,61427776
112,0,61630400
113,2,62142730
114,1,63353073
115,2,65515272
116,1,65861727
117,1,66628563
118,2,66977331
119,0,67231697
120,1,68167264
121,0,68317477
122,0,68728290
123,2,68819294
124,0,69286109
125,1,69350908
126,2,69399452
127,2,70257116
128,1,70889314
129,0,71087655
130,2,72453321
131,2,73086442
132,2,73754462
133,1,75519964
134,0,75928507
135,2,76820873
136,0,76832349
137,2,77268415
138,2,78361451
139,2,79670588
140,2,79690993
141,0,81423016
142,1,81694938
143,2,81846675
144,2,82018505
145,2,82235461
146,2,82329811
147,0,82825439
148,1,86757003
149,1,87743864
150,0,88935242
151,2,90038779
152,0,91155547
153,2,91586599
154,2,92232251
155,2,93606675
156,2,93768255
157,0,93783586
158,2,93813417
159,2,95212159
160,2,96117151
161,2,96206334
162,1,97739557
163,2,98651115
164,2,99678702
165,0,100968546
166,2,101124479
167,1,101442518
168,1,101997522
169,2,102593133
170,1,102741903
171,0,103360381
172,2,103410566
173,1,105187813
174,1,105265679
175,2,106103787
176,2,106440122
177,1,106657945
178,1,107063194
179,2,107104499
180,2,108075519
181,1,108659706
182,1,108784357
183,2,109036020
184,0,109073010
185,1,109145839
186,2,109341989
187,2,109699262
188,0,109952585
189,2,110161682
190,0,110445546
