,cat,id
0,0,598952
1,0,1091386
2,2,1987241
3,0,2235163
4,0,2545491
5,0,2899233
6,1,3158208
7,0,3354365
8,2,3468851
9,1,5650388
10,0,6091418
11,1,6157947
12,1,7062692
13,1,7310551
14,1,9633957
15,0,9918319
16,0,10039288
17,0,10707801
18,1,11815825
19,0,12069963
20,0,12758083
21,0,13323626
22,1,14690311
23,2,14801479
24,0,15096432
25,0,15213975
26,0,15489803
27,1,16650873
28,0,17604783
29,0,19368067
30,1,19736612
31,2,20790849
32,0,20824388
33,1,20852395
34,0,21244550
35,0,21483869
36,0,22901061
37,2,22986562
38,1,23348830
39,1,24810797
40,2,25072261
41,0,25464492
42,1,25529294
43,0,26011900
44,1,26361838
45,0,26468186
46,0,27165107
47,0,29891352
48,0,32253890
49,0,32492963
50,0,32493139
51,1,32626072
52,0,32699403
53,2,32745040
54,1,32857790
55,0,33104499
56,1,33597553
57,2,33657354
58,0,33841311
59,1,34735244
60,0,34863282
61,0,36170516
62,1,36429738
63,1,36453797
64,0,36791400
65,0,36861829
66,2,37776505
67,0,37972127
68,2,38088406
69,1,38341667
70,1,39287205
71,1,39297294
72,0,39920603
73,1,40377419
74,0,40494213
75,1,41030857
76,2,41464144
77,1,41921759
78,2,42247774
79,0,43387304
80,0,43477921
81,1,43477937
82,1,44078750
83,0,44291913
84,1,44399951
85,0,44601577
86,1,44656079
87,0,45239318
88,1,45635718
89,0,45653044
90,0,45800837
91,0,45886335
92,1,47682495
93,0,47728715
94,0,47758649
95,0,48360815
96,1,48823477
97,1,48835337
98,0,51898565
99,0,51922725
100,1,52088335
101,0,52299387
102,1,54613483
103,0,55920862
104,1,56357542
105,1,56915663
106,0,56938459
107,2,58101431
108,0,58462539
109,1,58656699
110,0,58937187
111,0,58969738
112,0,59342907
113,0,59351323
114,0,59840191
115,1,61984990
116,0,63140580
117,1,63314811
118,1,63410545
119,0,63475844
120,1,63976992
121,0,64048452
122,0,64315351
123,1,64344351
124,0,64377303
125,0,65063919
126,1,65067791
127,0,65545066
128,1,65973919
129,0,66960838
130,1,67117065
131,1,67327263
132,0,67593034
133,1,68294910
134,2,68941099
135,2,69268034
136,0,69754908
137,1,70509916
138,0,71948623
139,1,72922137
140,0,73346359
141,1,73592574
142,0,73831764
143,1,74415875
144,0,75329840
145,1,75531647
146,1,75576410
147,2,75635523
148,0,75856816
149,1,76243329
150,2,76829406
151,0,77126126
152,0,78437313
153,0,78439675
154,0,78440348
155,0,78893311
156,0,79995060
157,0,80696388
158,0,81237293
159,1,81284294
160,0,81470386
161,1,82684640
162,0,83491716
163,0,84553798
164,0,84631544
165,0,84816751
166,0,85360937
167,1,86256712
168,0,87346470
169,0,88443487
170,0,89477719
171,0,90985547
172,1,92067522
173,0,92483704
174,0,92483898
175,0,92617493
176,0,93352915
177,0,93999055
178,2,94217790
179,0,94717488
180,0,94941245
181,1,95501451
182,1,95699891
183,1,96359397
184,1,96590317
185,1,96615051
186,0,96926025
187,0,96931377
188,0,97428510
189,0,97435817
190,2,97568877
191,1,97723387
192,0,98544263
193,1,99813273
194,0,100789185
195,0,101121886
196,2,101801997
197,0,101956384
198,0,102640995
199,0,103000194
200,0,103039197
201,0,103598212
202,0,104190093
203,0,105166678
204,0,108344527
205,0,109265022
206,0,109518547
207,0,110553327
208,2,110625481
209,0,110979316
210,0,111457053
211,0,112044165
212,1,112773962
213,0,113385716
214,0,113974908
215,0,113991685
216,2,114043541
217,0,114468018
218,1,117517253
219,1,118126094
220,0,118384428
221,1,118470058
222,1,118964504
223,0,119032861
224,0,119728366
225,0,120350916
226,0,122235088
227,0,124475732
228,2,124593721
229,0,125511336
230,0,125671024
231,0,126140171
232,1,126396054
233,0,126655129
234,0,127254754
235,1,127381390
236,0,127543309
237,2,129235993
238,0,129317592
239,0,130777288
240,2,131482627
241,1,131557069
242,0,132699124
243,2,135360047
244,1,135626995
245,1,135699234
246,0,135752588
247,0,135922186
248,1,136362993
249,1,136662977
250,0,137705240
251,0,139093666
252,1,139672645
253,2,140030971
254,1,140285657
255,0,142131620
256,1,143308661
257,0,144378442
258,1,146272205
259,0,147571979
260,0,148018465
261,0,148569708
262,1,148569918
263,1,149359984
264,1,149793900
265,0,149950658
266,1,150258952
267,0,151040985
268,0,151319103
269,1,152703328
270,0,153628748
271,0,153900568
272,0,154873463
273,0,155282582
274,1,156042518
275,2,156768868
276,1,157163587
277,0,157918911
278,1,157944296
279,0,160132322
280,0,161252885
281,0,161430456
282,0,161807456
283,2,161924856
284,0,162080129
285,1,162429718
286,0,162749024
287,0,162959370
288,0,163116385
289,0,163220730
290,1,163642528
291,1,163883145
292,1,164746805
293,0,166494331
294,1,169156820
295,0,169354311
296,0,170526343
297,1,171295109
298,1,173639280
299,1,173816041
300,1,173859812
301,1,173941273
302,0,173980375
303,0,174750660
304,2,175083683
305,0,176169096
306,1,177767674
307,0,177927272
308,1,178491888
309,0,178601365
310,1,178839689
311,1,178865362
312,1,179412309
313,1,180730101
314,1,180828666
315,0,181843967
316,2,182482642
317,0,183410750
318,1,183858347
319,0,184606324
320,0,184785253
321,0,184830874
322,1,184936818
323,0,185241917
324,2,186579465
325,1,186812566
326,1,187663376
327,2,187968121
328,1,192863961
329,0,193016861
330,1,193394908
331,1,193468643
332,0,193935465
333,0,195098430
334,0,195827078
335,1,196178078
336,1,196423447
337,0,196633909
338,0,196800677
339,0,197391738
340,0,197434812
341,0,197602440
342,1,197609492
343,0,198460368
344,1,199720405
345,1,199783730
346,1,200101406
347,1,200169360
348,1,200961028
349,0,202652533
350,0,204525470
351,1,204942445
352,1,205292507
353,1,205620398
354,1,206784133
355,1,207049782
356,1,207909298
357,0,209314438
358,0,210430639
359,1,210477194
360,1,212669427
361,1,213119656
362,0,213169487
363,0,214306528
364,0,214568997
365,0,215732259
366,0,216262607
367,0,216594105
368,0,216594161
369,0,216617790
370,1,216655331
371,2,217114844
372,1,218287986
373,0,218354024
374,1,219149001
375,1,220345697
376,0,220357340
377,0,221001565
378,0,222174585
379,1,222816175
380,2,223453936
381,0,223855238
382,1,225565465
383,0,225787180
384,1,225828684
385,0,226024136
386,0,226201488
387,1,227535266
388,0,228142370
389,1,228849274
390,1,228980991
391,1,229626609
392,1,229681393
393,1,229832803
394,1,229842464
395,0,229855284
