,cat,id
0,1,212135
1,0,645178
2,0,1355688
3,1,2403804
4,2,3073503
5,2,3505617
6,0,5020139
7,2,5416763
8,0,6049726
9,2,6798525
10,2,7016941
11,0,7706997
12,1,9136628
13,1,9197545
14,0,9783004
15,0,10463485
16,3,10602763
17,0,10647591
18,3,10835297
19,2,10845554
20,1,11231494
21,0,11795746
22,2,12378365
23,0,13372903
24,1,14907936
25,0,17511275
26,0,19401143
27,2,19666704
28,2,19748064
29,2,20940404
30,1,21654644
31,1,21876809
32,0,23597176
33,1,23624887
34,1,23748769
35,2,24076326
36,2,25540774
37,1,25800386
38,0,26111632
39,0,26647254
40,2,27448324
41,2,27750565
42,3,28148737
43,3,29080266
44,2,29492219
45,0,30152887
46,0,32315014
47,1,33188517
48,0,33307757
49,1,33331393
50,3,33685871
51,2,34849271
52,1,34852997
53,1,35270662
54,1,35365003
55,1,35498733
56,2,37307521
57,0,38225363
58,0,38736229
59,2,39094876
60,2,39502819
61,2,41614391
62,0,42936343
63,3,43084375
64,3,43413556
65,3,43717176
66,0,43737967
67,2,43773831
68,2,43831608
69,2,45232444
70,0,46468779
71,0,47511209
72,2,47558392
73,3,47635616
74,3,47970941
75,0,48193557
76,0,48352039
77,3,48930094
78,2,50119272
79,0,50624071
80,1,51138119
81,2,51310589
82,1,52713993
83,0,52923943
84,0,53176609
85,2,53214432
86,2,53975113
87,1,54238797
88,3,55227048
89,2,55285920
90,0,56439179
91,1,56577256
92,2,58427765
93,1,61908069
94,0,63855032
95,2,64121731
96,3,64140520
97,3,64185803
98,0,65349023
99,0,66157967
100,0,66879665
101,1,67532338
102,0,67640061
103,2,69172219
104,0,69982519
105,0,69992823
106,0,70443606
107,1,70691213
108,0,71168215
109,0,71218423
110,0,71270236
111,0,71539108
112,2,71928587
113,1,72030796
114,2,72117497
115,3,72173737
116,2,72909336
117,1,73633070
118,0,74196811
119,0,74513021
120,0,74980978
121,0,75271696
122,2,76273980
123,3,77155362
124,0,77458041
125,3,77872159
126,0,77897531
127,0,79049299
128,0,80082151
129,2,80395632
130,0,80593392
131,1,81240177
132,0,81305329
133,2,81381522
134,3,81406881
135,2,82128446
136,0,82961458
137,0,83506552
138,1,83798002
139,0,83864661
140,2,84211750
141,1,84854389
142,0,85420339
143,3,85731432
144,0,86106086
145,0,86812759
146,1,87665061
147,0,88105078
148,1,88190324
149,1,88884155
150,1,89539502
151,0,89558699
152,2,89678197
153,2,90432242
154,0,91691959
155,1,91880668
156,0,93352384
157,1,95535285
158,0,95949990
159,1,96755041
160,0,97516636
161,2,97846472
162,1,98888472
163,0,99181044
164,0,99851305
165,0,100464273
166,1,104579175
167,2,104743837
168,2,105129098
169,2,105486228
170,0,105651506
171,3,106021752
172,1,108547868
173,1,110224003
174,1,110364769
175,0,110892884
176,3,111350830
177,2,112080070
178,2,112492789
179,1,113123733
180,0,114805736
181,2,115557401
182,0,115811496
183,0,116102424
184,0,118384689
185,2,118401874
186,0,118824577
187,0,119451988
188,3,119556353
189,0,119698217
190,2,121015263
191,2,121086501
192,2,121214339
193,1,122349873
194,0,122396225
195,0,122418382
196,3,122973568
197,3,123311602
198,0,123683210
199,3,124238356
200,0,125283292
201,1,125672837
202,0,125742141
203,3,125761422
204,2,125850346
205,2,126602729
206,2,126958971
207,0,127235876
208,0,128393941
209,0,128811921
210,1,129471580
211,0,132156686
212,1,133411834
213,0,133458921
214,2,133683643
215,2,135491417
216,3,135863446
217,0,136426539
218,0,136690506
219,1,136994893
220,0,137943624
221,0,138425775
222,1,139939198
223,3,141043558
224,1,141099180
225,0,143251989
226,2,143519533
227,2,143643176
228,0,143992429
229,0,144577931
230,0,144933277
231,0,147450053
232,1,147518949
233,0,148063821
234,1,149819600
235,0,150605102
236,0,152122008
237,0,152856504
238,2,153099630
239,0,153163627
