,cat,id
0,1,1314060
1,1,1856007
2,1,1878261
3,1,2348336
4,0,4016482
5,0,5012821
6,0,5414211
7,1,5523063
8,1,5659032
9,0,5822896
10,1,5835251
11,1,6503957
12,0,7135734
13,0,7852407
14,0,7953192
15,0,7953244
16,0,7953722
17,0,8246985
18,1,8805944
19,1,9373203
20,1,9480795
21,1,10174600
22,0,11803650
23,0,12657419
24,0,13833662
25,0,14501675
26,0,14817560
27,0,15244120
28,1,15475302
29,0,15596516
30,0,16240139
31,0,16384363
32,1,16390748
33,1,16882459
34,0,17968168
35,0,18778853
36,1,19294044
37,0,19793974
38,0,21045418
39,1,22317603
40,1,24053452
41,1,24093593
42,0,25463477
43,0,25828316
44,1,26895112
45,1,27220419
46,0,27390737
47,0,27391019
48,0,27391402
49,0,27511857
50,0,28704203
51,1,29752210
52,1,30015910
53,0,30059938
54,1,30601271
55,0,30773968
56,0,31757893
57,0,31860578
58,0,33240839
59,1,33241879
60,0,33880654
61,0,34312882
62,1,34959423
63,0,34980826
64,0,37721526
65,0,37932859
66,0,40124464
67,1,40136720
68,0,44690410
69,0,47567030
70,0,47919893
71,1,48332576
72,1,48540025
73,0,49242682
74,0,49854807
75,0,50525304
76,0,50749546
77,0,51674208
78,1,52554878
79,0,52556350
80,0,52556594
81,0,53080896
82,0,54563988
83,1,54582735
84,0,54681594
85,0,54965320
86,1,55226390
87,0,55477331
88,1,55532373
89,0,57052545
90,1,57443576
91,0,57903106
92,0,58103975
93,0,59650870
94,0,60176460
95,0,60410701
96,1,60435891
97,0,61012304
98,1,61345279
99,0,61837287
100,0,61893516
101,1,62037608
102,1,62239182
103,0,62323850
104,0,63975922
105,1,64142385
106,1,64181354
107,0,64491500
108,0,64928472
109,1,65333980
110,0,65545929
111,0,66350910
112,0,66686998
113,0,68232818
114,1,68968991
115,1,69358575
116,0,69918241
117,0,70096402
118,0,70376831
119,0,70648177
120,0,70650765
121,0,71270370
122,0,71431012
123,0,72266374
124,1,72309270
125,1,73537764
126,1,73857644
127,1,74223105
128,1,74223242
129,0,74547959
130,0,75639368
131,0,76005050
132,0,76005205
133,1,76297875
134,1,79474495
135,0,80320703
136,0,80934600
137,0,81173776
138,0,82677130
139,0,82677637
140,1,82920720
141,0,84077254
142,1,84637205
143,1,84788767
144,0,85360043
145,0,85633531
146,1,87189781
147,0,87253596
148,0,87455435
149,1,88618473
150,1,88744394
151,0,89043302
152,1,89742665
153,0,90580817
154,0,90587260
155,1,90989138
156,1,91116236
157,0,91264979
158,0,91298264
159,0,91749841
160,1,92450131
161,0,92777392
162,1,93249569
163,1,94281728
164,0,94696296
165,1,95014170
166,0,95064138
167,0,96308930
168,1,96457029
169,0,96571430
170,0,96922779
171,0,97107403
172,1,97827310
173,1,97868646
174,0,97979138
175,1,98295952
176,0,98697595
177,1,98735049
178,0,100013461
179,1,100243192
180,0,101454796
181,0,102014038
182,0,102749617
183,0,102749661
184,0,103046107
185,1,103260999
186,1,103689962
187,1,105428244
188,0,105466793
189,0,105740304
190,0,106111213
191,1,106194617
192,1,106213698
193,1,107892927
194,0,108072238
195,0,108073157
196,0,108074182
197,1,109141468
198,1,109209643
199,1,109274482
200,1,109959848
201,0,110545596
202,0,110964712
203,0,111019502
204,1,112123347
205,0,112161597
206,0,112167175
207,1,114397920
208,0,117114605
209,1,117974689
210,0,120098440
211,1,121103773
212,0,121202490
213,0,123135725
214,0,123144299
215,0,123951434
216,1,124607647
217,0,127485774
218,0,127497555
219,1,127841594
220,1,127976605
221,1,128879793
222,0,128891560
223,1,129028051
224,0,129038789
225,0,130051456
226,1,130596908
227,0,130943078
228,1,131262486
229,0,132255550
230,1,132326577
231,0,132606649
232,0,132637894
233,1,133057226
234,0,133115812
235,1,134231647
236,0,134589079
237,0,134977959
238,0,135170914
239,0,135320652
240,0,135626556
241,1,135656923
242,0,135664686
243,1,135748883
244,0,136320268
245,1,136320391
246,1,137449600
247,1,138256296
248,0,138634784
249,1,139069928
250,0,139113722
251,0,139267747
252,0,139350482
253,1,139812190
254,0,140169481
255,0,140169540
256,1,140221397
257,0,141680697
258,1,142696424
259,0,142953707
260,0,143077400
261,0,143178169
262,0,143857666
263,1,144720674
264,0,144935706
265,0,146271314
266,1,147260523
267,1,147873911
268,0,148620165
269,0,148686718
270,0,148703192
271,0,149819926
272,0,149861553
273,0,149940793
274,0,150136958
275,0,152143030
276,0,154023203
277,0,154025622
278,0,155310558
279,0,155480028
280,0,155762167
281,1,158222100
282,0,158429519
283,1,158981049
284,1,159327295
285,1,159724744
286,1,159961678
287,0,160767141
288,1,161023803
289,0,161261253
290,1,161745180
291,1,162823133
292,0,163659428
293,0,163660317
294,0,163661086
295,0,164401906
296,0,164496307
297,1,164920760
298,0,165087360
299,1,165158574
300,0,165982883
301,0,166113086
302,0,166358918
303,0,166781117
304,0,166940417
305,0,167520284
306,0,167520867
307,0,167521837
308,1,168037088
309,0,168729133
310,0,168825396
311,0,169142789
312,1,170329611
313,0,170488802
314,0,171418865
315,0,171713963
316,0,172800798
317,1,172865797
318,1,172917944
319,0,173032506
320,0,173355104
