,cat,id
0,2,33423
1,0,88271
2,3,124322
3,2,320198
4,2,324279
5,2,335571
6,0,347818
7,3,437999
8,0,658213
9,0,664126
10,2,790432
11,2,867627
12,3,902774
13,3,934393
14,3,995436
15,3,1268050
16,3,1371298
17,3,1462936
18,3,1506354
19,3,1516996
20,3,1569407
21,3,1611639
22,1,1785635
23,2,2031893
24,1,2233079
25,3,2288800
26,2,2333284
27,3,2443748
28,1,2534674
29,3,2621652
30,3,2744225
31,2,2824335
32,3,2897363
33,3,3169629
34,2,3269416
35,1,3352191
36,3,3356833
37,3,3436475
38,0,3464760
39,1,3644486
40,3,3681878
41,2,3713183
42,0,4047365
43,0,4080375
44,3,4232980
45,1,4332314
46,3,4572864
47,2,4622137
48,1,4722260
49,2,4800238
50,0,4865348
51,2,4874220
52,2,4989375
53,1,4992512
54,2,5002757
55,3,5020783
56,3,5355923
57,2,5415534
58,3,5419940
59,2,5460691
60,3,5499342
61,3,5630352
62,3,5639290
63,0,5710316
64,3,5744747
65,3,5860242
66,3,5886510
67,1,5988291
68,2,6060674
69,3,6401025
70,3,6520514
71,2,6554125
72,3,6726092
73,0,6756293
74,1,6843065
75,3,6998689
76,3,7159531
77,0,7195888
78,1,7315052
79,1,7321700
80,0,7339753
81,2,7386005
82,2,7406676
83,2,7424826
84,1,7494177
85,2,7627897
86,2,7628142
87,1,8070344
88,2,8139399
89,0,8250835
90,3,8313071
91,1,8420479
92,2,8465095
93,2,8581261
94,3,8729339
95,2,8855694
96,2,8882976
97,3,8965536
98,2,9125354
99,1,9152142
100,3,9194833
101,2,9230078
102,0,9439648
103,3,9622199
104,1,9639256
105,0,9823019
106,0,9875874
107,2,10157263
108,2,10356490
109,2,10419557
110,2,10574214
111,3,10578732
112,3,10668871
113,1,10810872
114,3,10904029
115,1,10911310
116,2,10932100
117,3,10939038
118,2,11062101
119,2,11106800
120,3,11272026
121,0,11327558
122,3,11348206
123,3,11691546
124,3,11696758
125,1,11730729
126,3,11877915
127,2,12026333
128,2,12067663
129,1,12074076
130,3,12555219
131,0,12559523
132,3,12793748
133,3,12818929
134,0,12961290
135,2,12968583
136,2,13070560
137,3,13159412
138,1,13336597
139,2,13388163
140,0,13515958
141,1,13581260
142,2,13593342
143,1,13598699
144,3,13677201
145,3,13681166
146,3,13772859
147,1,13792614
148,3,13872499
149,3,13880002
150,3,13934389
151,0,14001699
152,0,14020065
153,3,14212538
154,2,14260049
155,1,14330900
156,0,14421070
157,2,14451936
158,2,14669268
159,3,14711751
160,3,14773872
161,0,14912932
162,3,14990199
163,2,15006945
164,1,15175294
165,2,15223760
166,1,15790171
167,0,15862530
168,2,15898395
169,3,16115529
170,1,16210611
171,2,16281384
172,3,16286490
173,3,16482785
174,1,16507376
175,3,16565195
176,1,16612368
177,2,16812599
178,3,16997914
179,3,17038824
180,3,17071802
181,3,17184575
182,2,17284798
183,0,17300171
184,2,17362250
185,3,17368475
186,3,17606041
187,2,17630322
188,3,17787106
189,3,17830887
190,2,17922850
191,3,18002014
192,2,18163914
193,1,18214993
194,2,18234688
195,3,18356120
196,1,18423009
197,1,18637028
198,3,18765738
199,2,18936795
200,3,19051760
201,0,19200292
202,3,19317218
203,3,19330331
204,3,19352619
205,3,19517845
206,0,19591605
207,2,19834104
208,1,19839347
209,3,19945534
210,1,19946305
211,2,19968479
212,3,20022703
213,0,20083347
214,0,20095107
215,3,20154137
216,3,20157088
217,0,20228807
218,0,20237183
219,2,20382841
220,3,20454996
221,2,20560794
222,0,20704947
223,3,20726236
224,3,20732291
225,2,20747216
226,1,20842819
227,1,20890345
228,2,21081125
229,1,21089153
230,3,21113113
231,2,21398725
232,2,21555212
233,3,21647910
234,3,21707461
235,3,21873649
236,3,22141018
237,3,22222455
238,1,22305916
239,3,22326522
240,3,22642711
241,3,22681858
242,3,22733716
243,2,22744967
244,3,22817248
245,2,22832616
246,1,22912153
247,3,23005594
248,3,23111205
249,3,23195512
250,3,23251277
251,3,23442088
252,3,23442365
253,3,23454514
254,3,23588588
255,3,23633059
256,1,23760674
257,3,24088289
258,0,24092137
259,3,24259856
260,0,24289525
261,3,24300904
262,3,24345256
263,1,24367234
264,1,24659390
265,1,24758539
266,2,24857737
267,3,25047766
268,3,25071916
269,3,25140874
270,0,25185670
271,0,25216274
272,3,25337665
273,3,25566100
274,0,25572054
275,2,25586899
276,3,25669733
277,1,25764512
278,3,25915490
279,3,26062581
280,2,26387737
281,3,26553561
282,1,26594109
283,1,26596450
284,2,26600432
285,2,26874244
286,3,26925878
287,2,27342237
288,3,27430812
289,1,27551465
290,2,27839243
291,3,27985431
292,2,28371472
293,3,28421976
294,3,28506193
295,3,28554966
296,2,28567386
297,3,28601105
298,2,28718537
299,1,29021474
300,3,29025499
301,2,29234768
302,3,29278060
303,0,29355084
304,3,29507132
305,1,29549421
306,1,29769479
307,1,29885351
308,3,29998292
309,3,30399612
310,3,30429440
311,0,30560477
312,2,30630288
313,3,30772010
314,3,30809148
315,2,30823107
316,3,30866366
317,3,31031331
318,3,31201301
319,0,31214140
320,3,31256527
321,3,31403961
322,3,31569583
323,3,31621697
324,3,31723362
325,3,31748798
326,1,31986860
327,3,32086648
328,3,32096960
329,3,32134682
330,3,32172535
331,0,32200984
332,3,32319320
333,3,32414607
334,2,32482387
335,1,32570373
336,0,32646143
337,0,32680356
338,3,32690098
339,3,32756623
340,2,32772209
341,3,32816183
342,3,32850973
343,2,32908421
344,2,32972945
345,3,33080175
346,3,33155214
347,0,33213119
348,1,33222627
349,3,33279629
350,3,33529814
351,0,33579514
352,3,33716674
353,2,33762561
354,2,33806250
355,1,33861264
356,0,33865644
357,3,33865892
358,0,34002857
359,0,34021387
360,3,34369306
361,2,34451840
362,2,34626688
363,0,34763155
364,3,34842457
365,3,34900427
366,1,34940700
367,2,35021787
368,2,35101539
369,3,35101854
370,1,35104344
371,2,35263604
372,3,35293407
373,0,35567683
374,1,35690591
375,3,35707522
376,1,35766619
377,3,35783633
378,3,35838315
379,1,35968393
380,2,36131330
381,2,36286918
382,2,36327981
383,2,36347553
384,3,36348927
385,3,36350256
386,3,36371091
387,3,36418474
388,3,36657193
389,2,36698924
390,2,36722265
391,1,36728153
392,1,36805563
393,0,36808582
394,2,36892906
395,3,37232677
396,1,37251764
397,1,37317450
398,3,37334322
399,1,37365973
400,1,37376392
401,0,37466400
402,3,37587120
403,3,37690113
404,3,38011544
405,3,38056260
406,1,38072061
407,3,38083731
408,3,38174007
409,3,38287872
410,3,38333410
411,0,38408411
412,3,38487250
413,3,38541485
414,0,38602890
415,0,38640954
416,3,38666735
417,1,38962205
418,3,39174142
419,0,39364132
420,0,39896436
421,3,39965954
422,3,40035862
423,3,40150679
424,3,40181054
425,1,40181746
426,2,40290745
427,3,40292594
428,0,40318290
429,3,40442933
430,3,40479562
431,3,40697598
432,0,40743158
433,2,40760467
434,1,40778748
435,2,40850149
436,1,40901593
437,2,40965988
438,1,41004316
439,1,41150289
440,3,41174403
441,3,41186078
442,1,41340653
443,2,41353797
444,0,41418425
445,2,41433039
446,2,41525255
447,0,41539681
448,2,41562875
449,1,41596460
450,2,41607806
451,2,41622610
452,0,41622721
453,0,41849582
454,3,41883981
455,3,41948723
456,2,41979443
457,0,41991491
458,1,42029386
459,2,42088305
460,3,42157417
461,3,42195020
462,1,42353832
463,3,42374143
464,2,42422008
465,0,42516431
466,3,42660470
467,0,42771078
468,3,42876492
469,1,43004805
470,3,43031762
471,3,43293705
472,0,43325366
473,1,43436686
474,3,43643966
475,3,43739621
476,3,43740948
477,2,43753315
478,3,43810545
479,3,43831069
480,2,43836369
481,3,43839629
482,2,44029064
483,3,44114857
484,2,44320578
485,0,44432499
486,3,44476005
487,3,44801534
488,2,44802590
489,3,44904922
490,0,45100293
491,1,45113119
492,3,45120946
493,1,45154208
494,3,45164699
495,1,45261289
496,3,45290163
497,3,45417111
498,2,45549236
499,2,45591782
500,2,45596376
501,0,45983969
502,1,46034700
503,2,46038670
504,2,46089893
505,0,46126858
506,3,46163208
507,3,46223521
508,1,46351654
509,3,46674544
510,3,46692380
511,0,46721146
512,3,46726652
513,2,46727549
514,3,46798378
515,3,46802614
516,2,46843124
517,0,46861924
518,3,47008694
519,3,47017957
520,3,47046464
521,0,47130342
522,2,47273720
523,3,47403463
524,2,47460139
525,2,47506557
526,1,47544757
527,2,47562802
528,3,47599324
529,3,47666707
530,1,47692267
531,3,47695797
532,3,47733258
533,3,47746486
534,1,47770637
535,1,47819904
536,0,47935721
537,1,47986176
538,0,48573301
539,0,48759371
540,3,48789142
541,1,48811289
542,3,49014559
543,2,49167720
544,3,49208248
545,0,49432291
546,3,49765830
547,2,49770731
548,2,49845405
549,0,49932285
550,0,49938556
551,1,49976820
552,3,50235600
553,3,50235639
554,1,50285359
555,3,50582924
556,2,50861664
557,2,50869179
558,3,50906187
559,3,50961530
560,3,50984495
561,3,51071885
562,1,51302738
563,3,51443674
564,2,51588292
565,3,51772894
566,2,51796182
567,2,51952358
568,3,52126640
569,2,52136930
570,3,52173412
571,1,52224676
572,3,52245774
573,3,52348442
574,3,52395453
575,3,52415997
576,0,52496957
577,0,52559530
578,3,52604280
579,3,52624999
580,3,52705960
581,2,52716951
582,3,53005769
583,3,53298140
584,3,53386805
585,1,53416187
586,2,53439047
587,2,53773990
588,3,53880772
589,3,54044871
590,1,54125469
591,1,54125511
592,0,54172287
593,0,54264585
594,0,54297907
595,2,54426698
596,2,54687760
597,2,54721425
598,0,55106157
599,3,55111413
600,2,55235867
601,3,55317848
602,3,55368369
603,3,55467171
604,3,55506254
605,3,55575786
606,0,55723475
607,1,55736086
608,1,55749230
609,3,55869516
610,3,56174040
611,3,56511614
612,2,56601436
613,3,56648304
614,2,56723894
615,3,56758001
616,1,56805274
617,3,56903938
618,3,56904342
619,0,56919728
620,2,56976599
621,0,57149472
622,3,57195250
623,3,57265352
624,2,57384162
625,3,57459222
626,3,57480924
627,2,57512008
628,3,57597810
629,3,57656779
630,0,57747972
631,2,57822442
632,1,57848439
633,3,58176017
634,2,58239780
635,2,58284449
636,1,58323997
637,3,58488293
638,3,58499853
639,3,58540275
640,3,58761853
641,3,58961692
642,2,59067351
643,3,59139856
644,1,59162046
645,2,59275592
646,1,59276047
647,3,59283766
648,3,59331982
649,3,59391042
650,3,59407780
651,1,59512798
652,3,59544056
653,1,59655423
654,3,59700492
655,2,59723814
656,3,59791496
657,0,59828319
658,3,59907346
659,1,59933859
660,3,60053895
661,3,60195150
662,3,60268859
663,3,60312236
664,0,60333168
665,0,60501317
666,3,60549241
667,3,60736052
668,2,60903178
669,2,60941758
670,2,60970613
671,3,61009580
672,2,61046604
673,3,61067375
674,2,61129676
675,3,61327814
676,2,61337432
677,2,61342502
678,3,61383712
679,3,61566777
680,0,61739308
681,2,61895981
682,3,61912503
683,2,61934426
684,3,61944420
685,3,62311607
686,2,62332673
687,3,62340934
688,2,62457568
689,2,62492183
690,3,62534689
691,3,62637933
692,0,62656345
693,2,62719074
694,1,62790181
695,2,62945470
696,3,62986065
697,3,63006782
698,3,63102041
699,1,63117686
700,3,63126994
701,3,63429519
702,3,63442031
703,3,63561183
704,3,63659946
705,3,63711444
706,3,63871743
707,1,64018570
708,3,64059229
709,1,64231227
710,2,64446070
711,3,64508848
712,1,64570453
713,1,64591597
714,3,64721716
715,2,64781548
716,1,64931368
717,2,65435870
718,3,65476119
719,2,65514643
720,3,65536067
721,3,65602008
722,1,65759410
723,3,65802150
724,2,65963313
725,3,66007779
726,1,66017165
727,1,66086425
728,0,66105420
729,3,66143503
730,3,66348851
731,2,66350714
732,2,66494613
733,3,66512406
734,2,66809986
735,2,66829739
736,0,66913893
737,1,66932102
738,3,66932406
739,3,67107225
740,3,67211631
741,2,67305079
742,2,67390838
743,3,67471743
744,3,67512395
745,0,67585055
746,2,67667662
747,3,67768493
748,2,67886424
749,3,67926880
750,3,67952727
751,2,67955338
752,1,68101746
753,2,68477925
754,3,68538658
755,2,68581449
756,3,68709130
757,2,68709374
758,3,68743591
759,3,68835512
760,1,68878865
761,0,69097580
762,0,69230936
763,2,69235420
764,0,69304241
765,0,69378109
766,3,69502297
767,2,69834338
768,3,69872984
769,3,69964317
770,3,69983943
771,3,70008161
772,0,70086818
773,0,70173397
774,3,70188647
775,3,70231724
776,3,70243118
777,0,70344210
778,2,70544157
779,0,70734366
780,0,71136151
781,3,71229269
782,3,71347422
783,3,71632215
784,1,71680019
785,0,71709111
786,0,71767554
787,0,71839413
788,1,71850218
789,1,71864970
790,3,71902588
791,1,71996209
792,3,72076185
793,3,72090736
794,3,72265612
795,3,72406736
796,3,72528603
797,2,72551670
798,3,72573226
799,3,72586761
800,3,72599821
801,1,72756031
802,3,72823672
803,1,72974023
804,2,73272537
805,3,73437379
806,2,73583354
807,3,73594074
808,3,73637132
809,3,73779856
810,3,73853755
811,0,73983534
812,2,74181694
813,3,74268183
814,0,74433919
815,0,74503801
816,3,74512941
817,3,74528674
818,2,74531516
819,0,74627369
820,3,74643656
821,2,74660558
822,2,74722194
823,1,74855098
824,3,74953995
825,2,75030820
826,3,75059988
827,3,75132297
828,0,75241328
829,3,75348395
830,3,75408788
831,3,75708855
832,3,75775136
833,3,76014096
834,3,76030052
835,3,76054481
836,3,76121231
837,0,76290263
838,0,76472617
839,3,76550456
840,2,76569363
841,1,76583303
842,3,76773563
843,3,76862689
844,1,76990245
845,1,77098289
846,2,77169144
847,3,77230099
848,2,77231474
849,0,77293787
850,2,77410143
851,3,77428013
852,3,77493591
853,3,77646437
854,0,77695996
855,3,77716266
856,3,77733936
857,2,77793981
858,3,77817444
859,3,77976610
860,1,78030386
861,3,78142084
862,3,78326387
863,3,78359345
864,0,78482778
865,3,78520440
866,1,78827762
867,3,78899859
868,0,78941108
869,0,78968631
870,1,79014792
871,3,79186755
872,2,79194576
873,3,79274576
874,0,79367152
875,0,79435653
876,3,79484079
877,3,79586089
878,1,79587464
879,3,79768558
880,3,79867767
881,3,80025214
882,2,80070315
883,3,80214929
884,3,80409943
885,1,80419030
886,3,80458865
887,3,80687360
888,2,80772183
889,3,80837704
890,3,80889860
891,2,80916723
892,2,80964782
893,2,81076225
894,1,81128950
895,1,81367268
896,1,81401866
897,0,81501018
898,1,81537882
899,3,81680806
900,2,81715926
901,1,81767856
902,2,81839359
903,2,81857005
904,3,82168797
905,3,82316331
906,1,82481088
907,3,82483194
908,3,82605494
909,3,82615629
910,3,82663942
911,3,82702240
912,3,82732058
913,1,82880976
914,3,82980795
915,3,83081950
916,3,83086723
917,1,83139951
918,3,83196664
919,3,83255398
920,3,83295249
921,2,83384180
922,2,83630364
923,0,83732023
924,2,83870834
925,3,83924420
926,1,83924464
927,3,83945304
928,1,83957487
929,3,84029119
930,3,84113236
931,2,84820136
932,0,84855980
933,0,85001009
934,3,85024209
935,3,85131043
936,0,85139351
937,2,85379278
938,1,85382881
939,1,85582301
940,3,85637248
941,3,85792444
942,2,85848319
943,3,86041785
944,3,86073114
945,3,86278810
946,0,86352759
947,3,86458783
948,3,86553050
949,3,86650516
950,1,86801948
951,1,86836144
952,2,86882095
953,2,86906747
954,2,86911278
955,2,86998758
956,3,87076516
957,3,87122845
958,0,87160846
959,3,87258528
960,1,87372660
961,2,87443089
962,3,87475805
963,3,87551896
964,2,87602241
965,3,87729608
966,2,87746755
967,2,87829382
968,3,88044574
969,3,88096092
970,1,88244060
971,0,88263685
972,3,88299082
973,3,88356940
974,0,88460695
975,3,88691457
976,3,88694746
977,2,88701309
978,2,88708662
979,2,88823076
980,0,88902513
981,1,89054849
982,0,89059658
983,2,89106473
984,0,89148750
985,2,89298919
986,2,89396612
987,2,89501158
988,1,89532903
989,3,89559028
990,3,89643560
991,3,89644262
992,3,89661185
993,1,89755967
994,2,89931465
995,3,90021927
996,3,90120905
997,3,90167087
998,3,90219865
999,2,90296247
1000,0,90314101
1001,3,90397477
1002,2,90398685
1003,0,90602605
1004,3,90689546
1005,3,90794614
1006,3,90819128
1007,3,90895034
1008,3,90896830
1009,1,91010267
1010,2,91038904
1011,3,91321551
1012,1,91487281
1013,3,91500588
1014,3,91727297
1015,3,91874905
1016,2,91950850
1017,1,91975786
1018,3,92045281
1019,1,92060585
1020,0,92117952
1021,2,92199440
1022,0,92476216
1023,2,92518939
1024,3,92664906
1025,2,92698482
1026,2,92838041
1027,3,92848439
1028,1,92979662
1029,3,93000783
1030,1,93069140
1031,3,93192823
1032,3,93497475
1033,2,93556915
1034,3,93596061
1035,3,93839961
1036,3,93985381
1037,3,94272772
1038,3,94295479
1039,1,94312419
1040,1,94335715
1041,1,94421738
1042,0,94462267
1043,2,94530391
1044,2,94552287
1045,2,94815084
1046,3,95227317
1047,3,95341291
1048,3,95762912
1049,3,95794509
1050,3,95848341
1051,2,95858394
1052,2,96158977
1053,3,96193453
1054,0,96201328
1055,1,96308906
1056,2,96314055
1057,1,96329073
1058,3,96387510
1059,3,96434865
1060,2,96508700
1061,2,96600469
1062,1,96690774
1063,0,96699264
1064,1,96765557
1065,2,96859258
1066,3,96874368
1067,2,96965536
1068,2,97071495
1069,1,97381129
1070,2,97383653
1071,3,97396320
1072,0,97425332
1073,3,97443509
1074,3,97465026
1075,1,97621790
1076,3,97776518
1077,0,97806754
1078,2,97837159
1079,2,97888893
1080,0,98018996
1081,1,98215936
1082,3,98231149
1083,2,98262260
1084,1,98284211
1085,3,98298934
1086,1,98309369
1087,1,98468269
1088,3,98526536
1089,1,98569422
1090,0,98700867
1091,2,98778388
1092,3,98789036
1093,1,98984766
1094,1,99029612
1095,0,99210286
1096,3,99346315
1097,3,99508813
1098,3,99517482
1099,1,99539718
1100,3,99567616
1101,2,99607941
1102,3,99638129
1103,3,99709501
1104,2,99808156
1105,3,99819867
1106,1,100032902
1107,3,100196416
1108,3,100208421
1109,2,100225306
1110,0,100243854
1111,3,100318531
1112,1,100429267
1113,2,100527332
1114,3,100699790
1115,3,100745603
1116,3,100823661
1117,1,100852272
1118,3,101000736
1119,2,101006209
1120,3,101050395
1121,3,101118950
1122,3,101160484
1123,3,101214092
1124,2,101302289
1125,0,101334765
1126,3,101385030
1127,3,101513413
1128,1,101573454
1129,3,101596374
1130,3,101754454
1131,2,102097279
1132,3,102103249
1133,3,102115856
1134,3,102161565
1135,3,102189240
1136,3,102232573
1137,3,102237861
1138,1,102312505
1139,2,102328629
1140,3,102408523
1141,1,102430067
1142,3,102465482
1143,3,102540970
1144,2,102889373
1145,3,102931286
1146,0,103162807
1147,3,103186185
1148,2,103286531
1149,2,103359141
1150,3,103571225
1151,3,103583488
1152,1,103624342
1153,1,103650660
1154,1,103650702
1155,3,103729869
1156,1,103804480
1157,0,103890335
1158,0,103909590
1159,2,103925608
1160,3,103989203
1161,0,104056711
1162,0,104058825
1163,3,104114826
1164,3,104444387
1165,2,104451284
1166,3,104509384
1167,3,104605277
1168,3,104676430
1169,0,104786710
1170,3,104817433
1171,2,104855232
1172,3,104873120
1173,1,104919832
1174,3,104971222
1175,3,105044708
1176,2,105143992
1177,3,105208859
1178,3,105538128
1179,3,105585078
1180,3,105615839
1181,3,105912830
1182,3,105921776
1183,2,105950143
1184,0,106081500
1185,2,106165817
1186,3,106170914
1187,1,106370096
1188,3,106418167
1189,3,106430519
1190,0,106562520
1191,2,106654177
1192,3,106679044
1193,3,106692044
1194,3,106711320
1195,0,106905418
1196,3,107128725
1197,3,107342073
1198,3,107356233
1199,3,107361445
1200,3,107368101
1201,3,107639993
1202,3,107645375
1203,3,107647689
1204,1,107719427
1205,3,107745342
1206,3,107795224
1207,3,107994993
1208,1,108062126
1209,3,108139749
1210,3,108293935
1211,3,108378168
1212,1,108396835
1213,3,108527851
1214,3,108729979
1215,3,108811916
1216,3,108890590
1217,2,108938918
1218,3,109076019
1219,2,109178666
1220,3,109378316
1221,3,109411810
1222,2,109587528
1223,0,109652629
1224,1,109749816
1225,1,109759704
1226,1,109793110
1227,1,109847174
1228,3,109984110
1229,3,110139792
1230,2,110219113
1231,3,110330656
1232,3,110495973
1233,3,110518104
1234,2,110625397
1235,3,111222212
1236,1,111287001
1237,0,111363778
1238,3,111400192
1239,2,111401179
1240,3,111453188
1241,0,111499973
1242,3,111603576
1243,3,111910061
1244,3,111974823
1245,1,112045034
1246,0,112054982
1247,2,112222358
1248,0,112388244
1249,1,112434425
1250,3,112488053
1251,3,112524585
1252,0,112558700
1253,2,112595554
1254,3,112637866
1255,3,112676881
1256,3,112777062
1257,1,112792936
1258,2,112996086
1259,3,113094568
1260,1,113349459
1261,3,113372311
1262,2,113397588
1263,0,113506866
1264,2,113804054
1265,1,113818108
1266,3,113997226
1267,1,114009977
1268,3,114026369
1269,3,114084832
1270,3,114093691
1271,2,114188036
1272,3,114251996
1273,2,114299281
1274,3,114351686
1275,3,114393799
1276,3,114444888
1277,0,114704682
1278,3,114736945
1279,2,114752591
1280,2,114902672
1281,1,114905938
