,cat,id
0,1,19657
1,1,344186
2,0,357790
3,1,2892089
4,0,4680837
5,1,5469994
6,1,5573674
7,1,5937752
8,0,6140236
9,1,6681802
10,0,6957801
11,0,7280003
12,1,7311257
13,1,7380952
14,1,7693489
15,1,7802492
16,0,8673288
17,0,9598743
18,1,12137421
19,0,12670530
20,0,12947322
21,1,15068423
22,1,16836751
23,1,17028773
24,1,17444840
25,1,17970097
26,1,18422469
27,1,18900810
28,1,19537514
29,1,20189626
30,1,21171743
31,1,22151832
32,1,22789458
33,0,23028564
34,1,23132418
35,1,23394952
36,1,24063237
37,1,24063277
38,1,24364137
39,1,26880544
40,1,27597560
41,1,27597725
42,0,27860250
43,1,28153609
44,1,28344881
45,0,29303918
46,0,30368962
47,1,30580212
48,1,31532554
49,1,31838876
50,1,33448988
51,1,34558460
52,1,35137535
53,1,35137566
54,1,35682872
55,1,35945599
56,1,36949288
57,1,37976817
58,1,41203321
59,1,42082901
60,1,42978474
61,1,43158938
62,1,45453264
63,1,46105102
64,0,46812282
65,1,47094104
66,1,47252744
67,0,47350193
68,0,47436769
69,0,47472393
70,0,47532730
71,1,47678087
72,0,49283389
73,1,49341381
74,1,49410332
75,1,50187376
76,0,51203532
77,0,52862452
78,0,53161605
79,0,54348447
80,0,54957201
81,1,55268739
82,0,55690272
83,1,56630578
84,0,56730445
85,1,58341709
86,1,59222712
87,1,59628902
88,1,59635987
89,0,59723554
90,1,61473898
91,1,61662610
92,1,62155619
93,1,63161116
94,1,65685030
95,0,66077938
96,1,67510523
97,1,67963472
98,0,68213293
99,1,68440288
100,1,68864796
101,1,69596247
102,0,69991014
103,1,70183166
104,1,70856219
105,1,71756891
106,1,72409400
107,1,73162743
108,1,73865471
109,1,74386650
110,1,74634642
111,1,74754932
112,1,75016424
113,1,75742924
114,1,75756144
115,1,76466665
116,1,78387065
117,1,78861683
118,1,81666817
119,0,82178449
120,1,82889630
121,1,82889721
122,1,83457395
123,1,83744060
124,1,83792455
125,1,84832772
126,1,85470959
127,1,87160402
128,1,87740696
129,1,88048418
130,1,91089331
131,1,91949195
132,1,92093982
133,0,92939979
134,1,93190039
135,0,93565687
136,0,93652241
137,0,94488340
138,1,95819728
139,1,95889661
140,1,95989922
141,1,96917775
142,1,97174367
143,1,97354544
144,1,97635390
145,1,98522401
146,1,99332193
147,1,99595920
148,1,99609883
149,1,99623679
150,1,99987224
151,0,101402458
152,1,101806091
153,1,102597340
154,1,103058170
155,1,103102500
156,1,103310039
157,0,103598386
158,0,104024224
159,1,104085737
160,1,106214712
161,1,106805176
162,1,106850888
163,1,107555411
164,1,108263735
165,1,108357414
166,1,108700845
167,0,109134737
168,0,109582091
169,1,109836377
170,1,110539211
171,1,110572926
172,1,110618551
173,1,112259600
174,1,112360441
175,1,112809963
176,0,113247752
177,1,114808355
178,1,115118746
179,0,115657500
180,1,116615129
181,0,117270263
182,1,118079465
183,0,118404028
184,1,119624646
185,1,119672105
186,0,119729501
187,1,123080901
188,0,123329797
189,1,124885640
190,1,125250000
191,0,126549112
192,1,128158437
193,1,128273952
194,1,129341824
195,0,130864197
196,1,131005518
197,1,132867181
198,1,134628953
199,1,135678992
200,1,135770406
201,1,137173093
202,1,139433241
203,0,139826812
204,0,139924284
205,1,141332585
206,1,144247129
207,1,144839777
208,1,145083116
209,1,145713708
210,1,145742542
211,0,148243424
212,0,149469206
213,1,149491249
214,1,150072426
215,1,150323095
216,1,151823256
217,1,151860786
218,0,153154479
219,1,155002420
220,1,156007093
221,1,156685901
222,0,157845213
223,1,161267397
224,1,162094906
225,1,162596161
226,1,162596324
227,1,162759273
228,0,162767623
229,1,162975814
230,0,164483570
231,1,164750521
232,1,165565667
233,0,168097270
234,1,168732649
235,1,169333252
236,1,170321314
237,1,171569740
238,1,172683410
239,0,172720932
240,0,173209791
241,1,173286642
242,1,175687743
243,1,177172422
244,0,177325749
245,1,177738476
246,1,178329800
247,1,178367921
248,1,178911953
249,0,179008525
250,1,181938760
251,1,182406569
252,1,183044336
253,0,183211059
254,1,183885657
255,1,183981885
256,0,184928561
257,1,185538495
258,0,185803988
259,0,186449839
260,1,187020397
261,1,187376899
262,1,187472383
263,1,188113292
264,1,188507310
265,1,188687726
266,0,189507645
267,1,190183682
268,0,190778790
269,0,191019223
270,1,191099742
271,1,191302128
