,cat,id
0,0,439281
1,0,521950
2,0,2391840
3,1,4202326
4,0,4696595
5,0,5013322
6,0,5297542
7,0,5327182
8,0,5327450
9,0,5622849
10,0,5659647
11,1,7128129
12,1,8102755
13,0,10070735
14,0,10735260
15,0,10741559
16,0,12095364
17,0,12552443
18,0,15005900
19,0,15006232
20,0,15267828
21,0,17279885
22,0,17832198
23,0,17836415
24,0,17864218
25,0,19941932
26,0,19942061
27,1,21336931
28,0,22041871
29,0,22258375
30,0,25028903
31,1,25033871
32,0,25035527
33,0,25037877
34,0,25044893
35,0,25044942
36,0,25045624
37,0,25048183
38,0,25048271
39,0,25048398
40,0,25050155
41,0,25055254
42,0,25055284
43,0,25055384
44,0,25056204
45,0,25056256
46,0,25057099
47,0,25057176
48,0,25057418
49,0,25058241
50,0,25058524
51,0,25061089
52,0,25061102
53,0,25061155
54,0,25064901
55,0,25064945
56,0,25065392
57,0,25066823
58,1,28632242
59,1,28796285
60,0,28812373
61,0,28812540
62,0,31362096
63,1,32121155
64,0,33829987
65,1,35364297
66,0,38355982
67,1,39834789
68,0,40070174
69,1,40476681
70,0,41307249
71,1,41524959
72,0,43347720
73,0,43952407
74,0,47261296
75,1,47615738
76,0,47731902
77,0,47983080
78,1,51609780
79,0,53971618
80,0,54109271
81,0,54271346
82,0,54271380
83,0,54977829
84,0,54977932
85,0,54978695
86,0,54979228
87,0,54980822
88,0,54981135
89,0,54981286
90,0,54981347
91,0,54981424
92,0,54982021
93,0,54982458
94,1,58921128
95,1,60986201
96,0,61935158
97,1,63016353
98,1,63823589
99,0,64282289
100,0,64486214
101,1,64499141
102,0,65143778
103,0,65143899
104,1,65719003
105,0,65994728
106,0,66291348
107,0,67015166
108,1,68993460
109,1,69220260
110,1,70986585
111,0,71293243
112,0,71439019
113,1,72457700
114,0,72947433
115,0,72947570
116,1,76561714
117,1,76763789
118,0,82615096
119,0,82779205
120,1,85468421
121,1,85513357
122,0,85763535
123,0,85763699
124,0,85769888
125,0,85789835
126,1,86312479
127,0,87909643
128,0,87909720
129,0,89278043
130,0,89281470
131,1,89674736
132,0,89767380
133,1,90317958
134,0,90645257
135,0,91058557
136,0,91179126
137,1,92612541
138,1,93825902
139,0,94585398
140,1,95167899
141,0,95852620
142,0,96169604
143,0,96438178
144,0,98310750
145,0,98381042
146,0,98381354
147,0,98381395
148,0,98416972
149,1,99476320
150,0,99604508
151,1,100276961
152,0,100609957
153,1,102997652
154,0,103146373
155,0,107482619
156,0,108392899
157,0,108393114
158,0,108393144
159,1,110056791
160,1,112783656
161,1,112784118
162,1,113930907
163,1,114037920
164,1,114233846
165,1,114619410
166,1,114624154
167,1,115347736
168,0,115451224
169,1,116231535
170,1,116231999
171,0,116553373
172,0,116654719
173,1,116761031
