,cat,id
0,2,894030
1,2,1340748
2,2,2424901
3,2,2617390
4,2,4450658
5,0,5638449
6,2,6865699
7,2,9078906
8,2,9647948
9,0,10470574
10,0,10693831
11,2,10907453
12,2,11161035
13,1,11355920
14,1,12143291
15,0,13619824
16,2,13776181
17,1,15453158
18,2,15645904
19,2,15750186
20,0,15792760
21,1,15936557
22,1,15936599
23,1,15937276
24,0,16087970
25,1,17334391
26,2,18315050
27,1,20792349
28,2,24661652
29,2,27806352
30,0,28057117
31,2,28205059
32,0,28539509
33,1,29358470
34,1,29370524
35,2,29513455
36,0,33623101
37,1,33658993
38,2,33834539
39,1,34259483
40,2,36843967
41,2,37064343
42,2,37358714
43,2,37557398
44,1,38396873
45,0,38421391
46,1,38806420
47,0,38885077
48,2,39794298
49,0,41070312
50,2,41302872
51,2,43161346
52,2,43947049
53,0,44130320
54,2,44163921
55,0,45098800
56,2,46245953
57,0,46498354
58,0,46500774
59,0,46899493
60,0,47256576
61,2,47279302
62,1,49241711
63,1,49243739
64,2,49374543
65,1,51274050
66,2,51827846
67,1,53183208
68,1,54813564
69,2,55221988
70,2,55834649
71,1,56597666
72,1,56631764
73,1,56631836
74,2,56820370
75,1,57971979
76,2,58063415
77,2,58515143
78,1,58667389
79,0,58996371
80,2,59663147
81,2,59950004
82,0,60018272
83,1,60620393
84,2,61458609
85,2,62969928
86,2,63220527
87,2,63737141
88,1,64231269
89,2,65439082
90,0,65940665
91,1,66686887
92,1,66686896
93,0,67183136
94,0,67517329
95,0,67517375
96,2,68413310
97,1,68446194
98,2,69792748
99,0,69906056
100,2,71002268
101,2,72411890
102,2,73722510
103,0,76480423
104,2,77014982
105,0,78313550
106,1,78362160
107,1,78423657
108,1,78423768
109,1,78692063
110,1,78692153
111,1,79053808
112,0,80253894
113,2,80916970
114,0,81032025
115,2,81644923
116,2,82513453
117,2,82643611
118,2,83606786
119,2,83990630
120,0,84153673
121,0,84153719
122,0,84153767
123,2,84252302
124,2,85776594
125,1,85917557
126,0,86077141
127,0,86233317
128,0,87405355
129,2,87499988
130,2,88072537
131,0,88684350
132,2,88709609
133,1,89272198
134,0,90167854
135,2,91554982
136,2,92820311
137,2,93149093
138,2,93610826
139,0,93704731
140,2,94990141
141,2,95735646
142,0,96290020
143,0,96487999
144,2,97276792
145,2,97324834
146,2,97446597
147,2,97453126
148,2,97775402
149,1,98988380
150,2,99390294
151,2,99814950
152,1,99935250
153,2,100346401
154,0,100934952
155,0,101839133
156,2,102154131
157,2,102807987
158,0,103432265
159,1,103916910
160,0,104617741
161,1,105549960
162,1,105643579
163,2,105726394
164,1,107189841
165,0,107897366
166,2,108334142
167,1,108526735
168,0,108773961
169,0,109527969
170,2,109795396
171,1,111014287
172,1,111014492
173,2,111336756
174,1,112506905
175,1,114081865
176,1,114082243
177,2,114630756
178,0,114973694
179,2,115046211
180,1,118132839
181,1,118925314
182,2,119361008
183,2,120068527
184,1,120137356
185,2,120955387
186,1,123384815
187,1,123385156
188,2,123928184
189,1,123944950
190,2,124153678
191,2,124549974
192,0,124798664
193,0,126330197
194,2,127143229
195,1,129917563
196,2,130072862
197,1,130421565
198,0,130680196
199,2,131644391
200,1,132133186
201,0,132854835
202,1,133813640
203,1,133823364
204,1,133823955
205,1,133824795
206,2,133868817
207,1,134751777
208,1,135170511
209,0,135464509
210,2,135574785
211,1,135986441
212,1,137070676
213,1,137070717
214,1,137571249
215,2,137617436
216,1,139600272
217,1,139600336
218,2,139696232
219,2,141030286
220,2,141217795
221,2,141254492
222,0,141850491
223,2,142114316
224,2,142380843
225,2,143108166
226,0,143440383
227,2,144091187
228,0,145656236
229,2,146098424
230,2,146201334
231,2,146517467
232,2,147088463
233,0,147816667
234,0,147951573
235,0,148606342
236,1,148814753
237,0,150476819
238,1,150604912
239,0,151149142
240,0,152533997
241,0,155402210
242,2,156499830
243,0,158159368
244,2,158209872
245,1,158412119
246,2,159492207
247,1,160656879
248,1,161565917
249,1,161565986
250,2,161860283
251,0,162197171
252,0,162408112
253,2,162591970
254,0,162884694
255,2,163422841
256,2,165311951
257,0,166218502
258,0,166658028
259,2,167872736
260,2,168527541
261,2,168793360
262,0,168839317
263,2,169308168
264,1,169362869
265,1,169363307
266,1,169365849
267,1,170872724
268,0,170942020
269,0,171711230
270,0,173392953
271,1,174412536
272,2,174413672
273,2,175320682
274,1,176182895
275,0,176635091
276,2,176795631
277,0,176922788
278,2,178058030
279,0,179665674
280,0,179883362
281,2,179911132
282,0,180056341
283,2,180540767
284,2,181157292
285,0,181854787
286,0,181895104
287,2,182242388
288,2,182526219
289,1,186134159
290,1,186134245
291,1,186134563
292,1,186137525
293,1,186137556
294,0,186328988
295,1,186985899
296,1,186985906
297,2,187404192
298,0,187698778
299,1,188170450
300,1,188358240
301,1,188358303
302,2,188718357
303,0,190073189
304,0,194741797
305,2,196048649
306,2,196394577
307,2,196817541
308,2,196875680
309,1,197389466
310,2,198728236
311,1,199520368
312,1,200663081
313,1,200664184
314,0,201729077
315,2,202184887
316,1,202366373
317,0,203884565
318,2,204129780
319,2,204316462
320,2,204316554
321,2,206818012
322,2,207582566
323,2,207654896
324,2,209875331
325,0,210216881
326,2,210363602
327,2,210777752
328,0,212290902
329,2,213411060
330,1,213769170
331,2,214167129
332,1,214439762
333,0,215075781
334,1,215749628
335,0,217109105
336,0,217735276
337,1,219109495
338,2,219603309
339,2,219603401
340,0,220085066
341,2,221071145
342,2,221845707
343,2,222078256
344,0,222767138
345,2,223889296
346,1,223942995
347,2,224894117
348,2,226736044
349,2,227774197
350,0,230327256
351,1,230480096
352,0,231061012
353,2,231061039
354,1,231605646
355,2,231622781
356,2,231623202
357,2,231980112
358,2,234522556
359,0,234817047
360,2,235842882
361,2,238129398
362,2,238495597
363,2,239176134
364,1,239178976
365,2,239973748
366,2,240284788
367,2,240407435
368,0,240596565
369,1,240645578
370,0,240827351
371,2,241811545
372,2,242916306
373,2,243681556
374,2,243802973
375,2,244153824
376,0,244630247
377,0,245853130
378,2,245973070
379,2,246845824
380,0,246846050
