,cat,id
0,2,147009
1,0,174379
2,0,723880
3,2,1391710
4,0,1938463
5,2,2109726
6,0,2113132
7,0,2270052
8,0,2447487
9,2,2857870
10,0,3448212
11,0,4491368
12,0,4572338
13,1,6071106
14,0,6647401
15,2,6943506
16,0,7158340
17,2,7254693
18,0,7603929
19,0,8394601
20,0,8737344
21,0,8873195
22,1,9228258
23,0,9820034
24,1,10719813
25,1,10796410
26,0,10923785
27,1,11326967
28,1,11360749
29,1,11527334
30,2,11772686
31,0,13253808
32,0,13411385
33,2,13877868
34,2,14317239
35,0,15032185
36,1,16210743
37,0,16311894
38,0,18537040
39,0,18753262
40,0,18803465
41,0,19597963
42,2,19734244
43,1,19935430
44,1,19961999
45,0,20870002
46,1,21673624
47,0,21786614
48,0,21830128
49,1,22177817
50,0,22544526
51,1,22877411
52,1,24255547
53,0,24363912
54,0,24505148
55,2,24586087
56,2,26484655
57,1,27750357
58,1,27799258
59,0,27982260
60,0,28952827
61,1,29314061
62,0,29722856
63,1,30448055
64,0,30574769
65,0,30575195
66,0,30575317
67,1,30811593
68,0,31630974
69,2,31823821
70,0,32319711
71,1,32430338
72,0,32705262
73,0,32743871
74,0,32979184
75,0,33406030
76,0,34598829
77,0,36750188
78,2,37627387
79,2,37627511
80,2,37627646
81,2,37628002
82,0,38385811
83,0,38423069
84,1,38803956
85,0,38876455
86,0,40225686
87,1,40737702
88,1,40737788
89,0,41664775
90,2,41972642
91,0,42532123
92,0,42620750
93,1,43003045
94,0,43032333
95,0,44640193
96,0,45242215
97,1,46093435
98,1,46093634
99,1,46094060
100,0,46112540
101,1,47443479
102,0,47483780
103,0,47592469
104,1,49414869
105,1,49415259
106,0,50740319
107,0,51095782
108,0,52426336
109,1,52968747
110,1,53365652
111,0,56318137
112,0,57517449
113,1,58308050
114,0,58705353
115,0,58727818
116,0,58741277
117,0,59521007
118,0,61170213
119,1,61655346
120,0,61754222
121,1,62648579
122,1,64053997
123,0,65209468
124,2,65798627
125,0,65809243
126,2,66026662
127,0,66686343
128,0,66686374
129,2,69636406
130,0,69794601
131,0,70072232
132,2,70533886
133,0,70848052
134,0,70978009
