,cat,id
0,0,1153084
1,3,1159129
2,3,1441933
3,2,2485470
4,3,3824731
5,3,4441182
6,2,4723091
7,0,5310608
8,1,7223956
9,2,7704874
10,2,7827383
11,1,7833851
12,3,7844309
13,3,7916236
14,3,8223849
15,0,8871913
16,3,9210706
17,3,9214656
18,2,10263489
19,1,12000527
20,3,12126879
21,1,12252416
22,0,12639381
23,3,13277436
24,1,13628395
25,0,14084794
26,1,14161042
27,1,14339694
28,3,15897434
29,2,16556942
30,3,16775508
31,1,18810170
32,2,20473294
33,3,21286914
34,1,21707393
35,1,23361652
36,3,24483523
37,3,25029949
38,0,25349037
39,2,25397287
40,1,25502862
41,3,25513101
42,3,25514645
43,1,26072273
44,2,26785158
45,3,27235526
46,0,27287917
47,3,27644852
48,1,28872699
49,1,28933040
50,0,29946190
51,1,31672294
52,0,31783470
53,3,34268027
54,1,38352628
55,0,41328194
56,2,41889757
57,1,42144278
58,2,42382404
59,2,42769955
60,0,43673053
61,2,45329223
62,0,45774497
63,3,46257353
64,3,47114883
65,1,49900740
66,3,49900785
67,3,50398655
68,3,50830340
69,3,50995068
70,0,52630930
71,1,53370970
72,1,54029326
73,2,55600012
74,0,56064658
75,1,56477418
76,3,56509663
77,1,58026499
78,2,59400592
79,1,59401364
80,0,60687748
81,2,61101549
82,3,61570171
83,3,61964231
84,3,62321792
85,1,62908373
86,1,62980144
87,1,64243551
88,0,65034666
89,3,66158179
90,1,68630416
91,1,68948454
92,0,68967968
93,3,70513006
94,2,71621188
95,0,73310249
96,2,73553797
97,2,74084800
98,0,74190866
99,1,76051499
100,1,77227851
101,3,77565669
102,0,77722243
103,1,78258174
104,3,78886867
105,2,79021543
106,0,81271743
107,3,81451789
108,1,82423859
109,0,83297799
110,1,83340886
111,2,84634606
112,0,85316258
113,2,86520026
114,2,87322784
115,1,88969966
116,3,89108791
117,0,91278800
118,1,91542235
119,3,91824614
120,2,92751457
121,3,92863732
122,3,93360154
123,3,93378825
124,0,93476040
125,1,93737934
126,2,94831353
127,1,95427767
128,2,95483817
129,0,96564019
130,3,96883838
131,1,96933462
132,0,98493310
133,2,99890900
134,1,100618849
135,1,101389958
136,0,102187679
137,1,102317904
138,3,102834598
139,1,103227563
140,3,103554905
141,3,103975717
142,1,104301306
143,3,105814873
144,1,106214811
145,0,107126387
146,2,107134606
147,1,107707874
148,0,108389196
149,1,109835380
150,2,112131571
151,0,112251456
152,1,112478390
153,2,113007867
154,0,113059048
155,0,113359617
