,cat,id
0,2,1687900
1,2,1687926
2,2,2390048
3,1,2650829
4,2,3126914
5,1,3181294
6,2,3559469
7,2,3629363
8,1,3942012
9,2,4460460
10,2,4604229
11,0,5361953
12,0,5362658
13,1,5399877
14,1,6822536
15,1,6825282
16,0,7562449
17,2,8174243
18,2,8409604
19,1,8421266
20,0,8805718
21,0,9247348
22,1,9397495
23,2,9479640
24,0,10848118
25,0,10978866
26,0,11373412
27,2,11657895
28,0,12147883
29,1,12186211
30,2,12408896
31,0,12759229
32,1,12803097
33,2,12881745
34,0,13150955
35,1,13208576
36,0,13410854
37,0,13410917
38,2,13531167
39,1,13746285
40,2,15914061
41,2,16055613
42,2,16055619
43,1,17338683
44,1,17665027
45,2,17848717
46,0,18518655
47,2,19440332
48,2,19489672
49,0,21159286
50,1,21834498
51,0,21834823
52,2,22291246
53,1,23914401
54,1,24110811
55,2,24138447
56,2,24376392
57,2,24684955
58,2,26004408
59,2,26141586
60,2,26301818
61,2,27175853
62,2,27176235
63,2,27714052
64,0,29314864
65,1,29538471
66,1,29633051
67,0,29698969
68,2,30617395
69,2,31535555
70,0,34412449
71,2,35227853
72,0,37716760
73,1,37829218
74,0,38279646
75,1,39246588
76,0,39461238
77,2,39474746
78,1,40079131
79,2,40499759
80,2,40973858
81,2,42916412
82,1,42957654
83,1,43005858
84,0,43428751
85,2,44795541
86,0,44795708
87,2,45488174
88,2,45488212
89,2,45488374
90,2,45663902
91,2,46256696
92,2,46482884
93,1,46484560
94,1,46868954
95,0,49456584
96,1,50793877
97,2,50830921
98,2,50844630
99,2,51421777
100,0,51549546
101,0,51549613
102,2,51816559
103,2,51918916
104,0,51952021
105,2,53964632
106,1,54417751
107,2,55616024
108,0,55826849
109,2,55900515
110,0,56508046
111,0,56815546
112,2,58192660
113,0,58456926
114,2,59177159
115,2,59402597
116,2,59921284
117,1,62755004
118,2,64396999
119,2,64944273
120,1,66030508
121,0,66115593
122,2,66507498
123,1,67989318
124,2,68097023
125,2,68687810
126,1,69322427
127,0,71406644
128,2,71817460
129,2,71837728
130,1,72065513
131,0,73774318
132,1,74185475
133,1,74185600
134,2,75592670
135,2,75593579
136,0,75617084
137,0,76119460
138,2,76961615
139,0,78082181
140,2,78441178
141,1,81470310
142,1,81535975
143,0,82586660
144,2,83925302
145,2,84563324
146,0,84592692
147,0,84592740
148,2,85857524
149,1,86192998
150,0,86828249
151,2,86977372
152,0,87145083
153,0,87826532
154,0,87889642
155,0,89636212
156,2,89746488
157,2,89838594
158,2,90306929
159,0,91823486
160,2,92825093
161,2,92825278
162,2,92825304
163,2,93494728
164,1,95210698
165,0,95380353
166,2,95957370
167,0,99987951
168,0,100418586
169,0,100630460
170,2,100721706
171,0,101231117
172,2,101411364
173,0,101453330
174,0,102089493
175,2,102358929
176,2,102880596
177,2,102880607
178,2,102881961
179,1,104700580
180,2,104797453
181,2,105047211
182,1,105744646
183,2,106065726
184,0,107017477
185,0,107320061
186,0,107653769
187,2,108412889
188,2,108614577
189,2,108915199
