,cat,id
0,0,1605423
1,0,1812446
2,0,1812528
3,1,1911787
4,1,2175440
5,1,2465196
6,4,2682898
7,1,2684008
8,3,2684760
9,3,2689278
10,1,2990246
11,1,3138669
12,1,3340817
13,3,3647582
14,1,3648899
15,2,3792141
16,3,3915926
17,0,5328619
18,0,5751266
19,1,6449670
20,0,6699709
21,0,7274807
22,0,8056941
23,0,10802812
24,1,11616073
25,2,12650262
26,1,14437865
27,1,15357625
28,1,15694443
29,1,16175153
30,1,17217702
31,2,17520010
32,2,18983571
33,2,19921762
34,2,20621334
35,2,20935528
36,1,26573459
37,2,27832506
38,4,29234075
39,1,29601598
40,2,33647569
41,3,35284853
42,0,35903074
43,4,35915791
44,2,36897596
45,1,37188725
46,1,37912858
47,1,37912985
48,3,41595757
49,3,43446051
50,2,44505590
51,1,45659598
52,0,46441331
53,2,46478610
54,0,46822571
55,1,46851808
56,1,48839909
57,1,48840365
58,0,50692743
59,3,51331612
60,1,52070192
61,4,52207066
62,1,58045339
63,3,58048941
64,1,61096957
65,1,61106791
66,1,68548887
67,2,71547202
68,1,72419888
69,0,73118140
70,3,74069557
71,0,74988546
72,3,76673980
73,3,77510486
74,1,78022683
75,1,78885268
76,1,79317998
77,2,79625466
78,2,80090211
79,0,81103129
80,2,85005002
81,3,85005363
82,2,85919598
83,3,86402244
84,4,86497574
85,2,87929528
86,4,89962625
87,3,90505282
88,2,90918809
89,1,91953182
90,2,92965515
91,1,93127510
92,1,93296355
93,1,93296594
94,1,93438135
95,1,94054592
96,2,94193903
97,2,94197296
98,3,94773571
99,3,96808348
100,1,97327589
101,1,98241937
102,3,98242048
103,4,98242680
104,3,99531288
105,2,99955058
106,2,100252990
107,2,100299365
108,2,100787802
109,2,101055823
110,3,102666503
111,4,103985414
112,2,104467010
113,2,105059863
114,2,105574994
115,0,106781138
116,0,106781370
117,0,106781544
118,2,108384967
119,2,108791352
120,3,109409824
121,4,109410245
122,4,109416692
123,0,110408727
124,0,110866445
125,3,110885808
126,0,111237245
127,4,112028887
128,3,112087728
129,2,112119789
130,1,112208313
131,2,115002911
132,2,115127931
133,3,115514486
134,3,115629456
135,3,115831908
136,3,115986025
137,3,116705398
138,0,116959335
139,3,117107389
140,2,117546797
141,2,119333561
142,2,120160990
143,2,123519824
144,2,125020545
145,2,125815286
146,3,128029219
147,1,128033560
148,1,128038744
149,2,129237860
150,2,129320968
151,0,129880204
152,3,129998008
153,2,130181484
154,1,130559222
155,1,131046233
156,4,131204498
157,3,131500268
158,1,132575234
159,2,134994986
160,0,135212632
161,3,135636090
162,1,135842065
163,1,139190577
164,2,139587342
165,1,139806748
166,0,139995426
167,0,139995481
168,1,140534311
169,3,140995555
170,0,141185076
171,1,141690458
172,1,143047789
173,2,143220236
174,0,143378619
175,0,143379435
176,0,145913585
177,0,145914906
178,1,146675747
179,1,146675811
180,1,146675937
181,1,146829911
182,3,147408700
183,2,149051229
184,2,149681911
185,3,150688415
186,2,151323291
187,2,151471485
188,3,151522179
189,2,154305681
190,0,154795671
191,0,155083348
192,2,155222569
193,2,156193747
194,2,156496705
195,1,156782259
196,1,157699339
197,2,158075548
198,1,158210152
199,0,158358328
200,2,160352206
201,2,160472127
202,0,160501696
203,3,162855915
204,1,165496043
205,2,166650533
206,3,170303464
207,0,173173827
208,1,173253801
209,3,175518208
210,1,176104779
211,0,176685144
212,3,178358918
213,3,180570156
214,0,180776324
215,2,180829894
216,4,180856397
217,0,182503507
218,2,182734884
219,3,183499294
220,1,183499376
221,1,184715573
222,0,185308678
223,4,185321716
224,3,185967679
225,3,186475344
226,1,186475627
227,2,186703280
228,4,186789583
229,2,187209301
230,2,187372584
231,1,189361179
232,1,189409042
233,0,190804996
234,2,191068097
235,1,191962732
236,2,192146401
237,4,192596200
238,3,192623110
239,3,193127725
240,3,194294828
241,1,194324510
242,1,195369236
243,3,195866972
244,1,196213465
245,3,197877877
246,0,197961499
247,4,198394279
248,2,198406642
249,3,199322415
250,3,199748707
251,2,199793923
252,1,200381278
253,3,201892304
254,3,202610654
255,0,202832354
256,4,202836910
257,1,202840163
258,1,203186873
259,3,203905278
260,1,204510458
261,4,206153557
262,0,207193816
263,2,208152393
264,1,208580408
265,0,208782816
266,0,208782896
267,0,209643070
268,4,209830828
269,4,210717271
270,3,211275325
271,4,213196882
272,1,213932419
273,0,214311766
274,1,214806104
275,2,215162925
276,2,216176745
277,2,219292572
278,0,219303553
279,0,219488048
280,4,219488482
281,2,219777179
282,3,219864780
283,3,221028022
284,2,221457939
285,1,221680603
286,1,221680749
287,2,223004637
288,0,224331860
289,4,225465948
290,2,225748668
291,2,226341910
292,4,227355541
293,3,227685086
294,2,228047444
295,3,228263743
296,2,228691317
297,1,229139458
298,1,229311430
299,1,229433607
300,1,230221629
301,3,231704754
302,0,231788412
303,3,232222335
304,1,233104999
305,0,234602602
306,0,234930999
307,1,235153713
308,2,236590992
309,0,237033537
310,4,240816314
311,1,241623078
312,3,242830971
313,1,243547422
314,1,243595139
315,4,243843375
316,4,245227078
317,2,245601971
318,2,245757000
319,4,246294545
320,1,248501284
321,1,248825385
322,2,249583519
323,0,251283817
324,3,253808250
325,0,254413675
326,0,255542101
327,0,255542155
328,3,255876119
329,4,256540113
330,1,256650226
331,1,257818035
332,1,258557323
333,1,261401946
334,3,262014639
335,3,262795506
336,1,265645724
337,1,266693936
338,1,267552009
339,2,268246465
340,2,268857966
341,1,270865382
342,1,270889149
343,2,271237880
344,1,274471485
345,1,275108072
346,1,275109587
347,0,275269045
348,1,275575597
349,1,275597881
350,2,276885101
351,1,276895422
352,1,279539558
353,4,280284724
354,1,281329177
355,1,282949160
356,1,284271293
357,4,285061028
358,1,286096341
359,1,286096478
360,3,288571924
361,3,288769871
362,1,290242185
363,1,295220341
364,1,295220538
365,1,295791618
366,1,296047927
367,0,297371216
368,1,297577302
369,1,298893047
370,2,302481532
371,1,303663310
372,1,304265176
373,1,305912529
374,4,310222542
375,1,310309080
376,4,311184925
377,3,311478439
378,1,311858595
379,2,313440131
380,3,313489776
381,4,313489947
382,3,313490549
383,0,313899725
384,1,314240552
385,1,314418309
386,2,315627795
387,1,316104519
388,0,316912096
389,1,318147361
390,1,318330449
391,1,320130514
392,3,320181976
393,2,320229170
394,2,320321945
395,0,321216530
396,2,321538644
397,2,323489848
398,3,324301163
399,0,324997662
400,4,325584584
401,2,325750188
402,2,326274872
403,1,326712903
404,3,326943025
405,4,328306350
406,4,328306906
407,4,328307381
408,4,328307968
409,3,328308861
410,4,328309213
411,3,328655184
412,0,328655930
413,1,328930213
414,1,329386608
415,4,329662129
416,2,330882706
417,0,333360981
418,3,333711342
419,3,334288038
420,4,335508685
421,2,337260463
422,1,337443233
423,2,338005435
424,1,338694039
425,1,338734912
426,3,339291029
427,4,340126276
428,1,340320861
429,3,340630659
430,3,342122761
431,2,342475771
432,1,342793792
433,1,343913159
434,2,344246873
435,2,344728443
436,0,346529748
437,2,347515171
438,1,349357455
439,1,349362239
440,1,349695180
441,0,350044049
442,0,350713477
443,1,350868510
444,2,352185936
445,4,352320793
446,3,352658577
447,4,352994185
448,1,356419509
449,2,356589950
450,1,357099364
451,1,358301081
452,3,358413434
453,1,361706341
454,1,363127372
455,1,363308551
456,1,363766100
457,2,364134379
458,3,364136537
459,3,364137347
460,2,366094942
461,1,366283746
462,1,366863703
463,2,373438975
464,4,375747122
465,1,377994636
466,4,377995536
467,1,378253048
468,2,378645048
469,4,378645674
470,2,379325719
471,3,379427901
472,2,379549888
473,0,380186065
474,2,380590140
475,3,380712734
476,2,380869879
477,1,382417462
478,2,384474495
479,1,384627157
480,2,386862870
481,0,388247491
482,0,388247526
483,0,388515069
484,2,389653723
485,2,390180835
486,2,390337641
487,2,390823361
488,3,391029633
489,0,391835618
490,2,392601684
491,0,393069883
492,2,393861127
493,3,394653260
494,3,395542379
495,1,396951306
496,2,399520190
497,2,401484915
498,2,401529896
499,2,402718419
500,2,405189670
501,2,405509491
502,2,408394205
503,2,408778009
504,0,409867397
505,1,410082123
506,4,411579508
507,4,411580220
508,1,412262007
509,1,413660084
510,3,413939313
511,2,414065685
512,1,415425793
513,3,415480109
514,2,416162431
515,1,416482038
516,1,419301076
517,1,419916985
518,1,420479929
519,1,420602099
520,4,420825775
521,4,423066644
522,0,432524163
523,1,432885337
524,0,432885418
525,0,433437820
526,2,435001686
527,2,435257194
528,2,435371775
529,2,435394610
530,2,435394615
531,2,435417844
532,2,435440342
533,2,435566429
534,2,435566434
535,2,435686205
536,2,435789056
537,2,435789061
538,2,435824018
539,2,435856928
540,2,435906429
541,2,436067555
542,2,436094646
543,1,436121209
544,2,436233504
545,2,436263354
546,2,436291894
547,2,436323479
548,2,436366477
549,2,436402245
550,2,436402250
551,2,436510000
552,2,436547472
553,2,436587598
554,2,436620741
555,2,436620746
556,2,436658750
557,2,436688841
558,2,436793523
559,2,436793528
560,2,436925154
561,0,437004455
562,2,437061226
563,2,437095830
564,0,437234671
565,2,437374376
566,2,437469092
567,2,437469097
568,2,437569420
569,2,437750072
570,2,437821259
571,2,437908219
572,2,438008698
573,2,438111699
574,2,438149277
575,2,438226141
576,2,438330725
577,2,438396332
578,1,438711407
579,2,439300364
580,2,439489571
581,2,439489576
582,2,439535889
583,2,439616914
584,2,439728096
585,2,439839860
