,cat,id
0,0,841597
1,3,912551
2,3,4241110
3,2,4274879
4,0,5476445
5,0,5536138
6,0,5830843
7,0,5886899
8,3,5886982
9,3,6327019
10,3,7523194
11,0,7553374
12,3,7642274
13,0,8231730
14,0,8723616
15,0,8723650
16,0,8723696
17,3,8905696
18,3,8905756
19,3,8905950
20,3,8906215
21,0,9205565
22,3,9244438
23,3,9244613
24,0,9731566
25,0,9875111
26,0,9875114
27,1,9904944
28,0,9965544
29,0,10695536
30,0,10752458
31,0,10791293
32,0,11136407
33,0,11136620
34,0,11970454
35,0,12210037
36,0,13810447
37,0,13810540
38,0,13873633
39,0,14128138
40,1,14301026
41,2,14345248
42,0,15593471
43,3,15685791
44,0,15819158
45,0,17470451
46,3,17920680
47,0,19311491
48,0,19663096
49,0,19675529
50,0,20779429
51,2,20945067
52,2,20945922
53,0,21106486
54,2,22733146
55,0,22976543
56,0,24368427
57,0,25676988
58,3,26134436
59,3,26135228
60,0,31455047
61,0,31455355
62,0,31455607
63,0,31455833
64,3,32335397
65,0,32993068
66,0,34170476
67,2,34216486
68,0,35306291
69,3,35808697
70,0,36732036
71,0,37655680
72,0,37655723
73,3,38642321
74,0,38658292
75,2,39244926
76,3,40979250
77,0,41851729
78,3,42846297
79,0,42846301
80,0,43128967
81,0,43129239
82,2,46585915
83,2,46900871
84,3,51229467
85,3,53279332
86,1,53995091
87,0,54040690
88,3,54504224
89,0,54504249
90,3,55343785
91,3,56278765
92,0,56323371
93,2,56345223
94,1,56555894
95,3,56819353
96,0,57206837
97,0,58232628
98,3,61001134
99,3,61084162
100,0,61354654
101,0,61776209
102,3,62042691
103,0,62775546
104,0,63519002
105,0,64893715
106,3,65601419
107,3,66518976
108,3,66519168
109,3,67294387
110,3,67417407
111,0,68154605
112,0,69093126
113,1,69842447
114,0,69965307
115,3,73793710
116,3,73838121
117,0,73842120
118,0,74750474
119,0,74807805
120,0,74807903
121,0,75012075
122,0,75016142
123,3,75016791
124,3,75799625
125,3,75799654
126,0,76137481
127,3,76431173
128,3,76431179
129,3,76432255
130,0,76433166
131,0,76433235
132,3,76433770
133,0,76434594
134,0,76710657
135,0,76996144
136,0,76997376
137,0,76997423
138,0,76999608
139,0,77264232
140,2,79288567
141,0,82118432
142,3,82476243
143,0,83886060
144,0,84527649
145,0,84528072
146,0,85821317
147,0,86622638
148,0,87044411
149,0,87389027
150,0,87533168
151,0,89290823
152,0,90135253
153,0,90317521
154,0,90317581
155,0,90572088
156,0,90572114
157,0,90572416
158,0,90572630
159,0,91313792
160,0,91317474
161,0,91329975
162,0,92234606
163,3,97950223
164,3,98263505
165,0,98707071
166,1,99008959
167,0,99398753
168,0,99694129
169,1,99815079
170,1,101352394
171,2,101399203
172,0,102199327
173,0,105071397
174,0,105962620
175,0,106650688
176,0,107575687
177,0,107575999
178,0,107576195
179,0,107576235
180,0,107576413
181,0,107576494
182,0,107576973
183,0,107776368
184,1,107860010
185,0,108530510
186,0,108545664
187,0,110473187
188,0,110580447
189,0,111163930
190,0,111164299
191,0,111164410
192,3,111410424
193,0,114102191
194,0,114118635
195,3,115388670
196,3,116369736
197,0,116985465
198,2,117111206
199,3,117188778
200,0,117653305
201,3,117962489
202,0,118069112
203,1,120091039
204,0,121251363
205,1,122266304
206,0,122856062
207,0,124146318
208,0,124480424
209,0,125091792
210,0,126381632
211,3,126602080
212,3,126956107
213,0,127227741
214,0,127496325
215,2,127760092
216,2,127760900
217,0,127761355
218,0,127764411
219,1,127830019
220,2,128803040
221,3,129249881
222,0,129269746
223,3,129766608
224,3,130252873
225,2,130726256
226,0,131085388
227,0,131085813
228,0,131085880
229,0,131085925
230,0,131241790
231,0,131241839
232,0,132133201
233,0,132888808
234,0,132889064
235,3,132989246
236,0,133691721
237,0,133938104
238,0,133938121
239,2,135170846
240,0,135217112
241,0,135520303
242,0,136045250
243,0,136952005
244,0,137735513
245,0,139715219
246,0,140170997
247,0,140747907
248,3,141053715
249,0,141964638
250,0,142052907
