,cat,id
0,0,738720
1,0,1557985
2,2,1889810
3,2,1899119
4,1,2485437
5,1,2941401
6,0,5450017
7,0,5887947
8,0,7717652
9,1,8243855
10,0,9644591
11,1,11243134
12,1,11574942
13,1,13442610
14,1,13834115
15,2,13871138
16,1,13884468
17,2,14070806
18,1,14610748
19,2,15539861
20,1,16452197
21,0,17366739
22,0,19748218
23,1,24484913
24,0,26339534
25,0,26520303
26,0,26520407
27,0,27518927
28,1,28165128
29,0,28477814
30,1,30112770
31,1,30269321
32,2,30519084
33,1,31353494
34,0,34036123
35,0,34134991
36,0,34636319
37,0,35449649
38,1,35930460
39,0,36326524
40,1,37087056
41,2,37172674
42,1,37962416
43,1,38819297
44,1,43271061
45,0,43613440
46,2,44061911
47,0,44485163
48,1,45951195
49,0,46307589
50,0,48366884
51,1,50814946
52,1,51404501
53,1,51740225
54,1,53234048
55,1,55077639
56,1,55580753
57,0,55677381
58,1,55679342
59,0,55856131
60,1,55997373
61,1,56898338
62,0,58580283
63,1,60200148
64,1,60348814
65,0,60481113
66,2,60696763
67,1,60834492
68,0,61015777
69,2,61201420
70,1,62287317
71,1,62760716
72,0,63306890
73,1,65521273
74,0,65771263
75,1,66145350
76,1,67747157
77,0,68458776
78,2,68459030
79,0,69001237
80,1,69052792
81,0,70440247
82,1,74848995
83,0,77443701
84,1,77640822
85,1,77654180
86,1,78793831
87,1,79289800
88,1,80458634
89,1,80467804
90,0,81068520
91,1,81899275
92,1,82078133
93,2,82218927
94,0,82219939
95,1,82335028
96,0,82405803
97,2,82620917
98,1,83027082
99,2,83953091
100,0,84518457
101,0,84518573
102,0,86272794
103,2,86609527
104,0,86859810
105,0,86956545
106,0,87215295
107,1,90211559
108,1,90885721
109,0,91029743
110,1,93320776
111,1,94096259
112,1,94121490
113,1,94133891
114,1,95179196
115,1,95262529
116,1,95400064
117,1,96436745
118,0,97360688
119,0,98114241
120,2,98401682
121,1,98544432
122,1,99607388
123,0,100581732
124,1,101140351
125,1,101792710
126,0,102410159
127,1,103859125
128,1,104925043
129,1,105762642
130,0,106130638
131,1,107440522
132,1,108312748
133,1,108314902
134,1,108990377
135,1,109615618
136,1,111198452
137,2,112076468
138,1,113434456
139,1,115689828
140,1,116014084
141,2,116377437
142,1,116868205
143,0,116888402
144,1,118636412
145,1,119168103
146,1,120895489
147,1,125712607
148,1,126047543
149,1,126885184
150,0,127098569
151,1,130148957
152,0,130587455
153,1,130932593
154,0,130968353
155,2,131591570
156,1,132254985
157,1,133462510
158,0,134617118
159,1,136006069
160,1,139597053
161,1,139938693
162,0,141043710
163,0,141181894
164,1,141467613
165,0,142512073
166,0,142512211
167,0,142668679
168,1,144050580
169,1,144146618
170,1,144444060
171,1,144899310
172,1,145244834
173,0,145958358
174,1,147359743
175,0,147445384
176,0,147448075
177,2,147449816
178,0,147450335
179,0,147457502
180,1,148430510
181,2,148647221
182,1,149898110
183,0,150910966
184,0,151857784
185,1,158036042
186,0,158082939
187,0,158103438
188,1,159581691
189,1,160866432
190,2,161043378
191,1,161129921
192,1,161567379
193,0,162127928
194,2,163146256
195,0,164037848
196,1,164979877
197,1,165549710
198,1,165657673
199,0,166322090
200,0,167122166
201,0,167771739
202,1,171716713
203,1,172661818
204,1,174411859
205,1,175417284
206,1,177172703
207,2,178559402
208,0,178628178
209,1,178709985
210,1,179942251
211,1,180136801
212,0,180200829
213,1,180765141
214,1,181638668
215,1,181672226
216,1,182571842
217,0,184057850
218,0,184101297
219,1,184521328
220,1,185200289
221,0,185346004
222,1,186094343
223,1,186182554
224,1,186435306
225,0,186711489
226,2,187201594
227,0,187812795
228,1,188238374
229,0,189417395
230,0,189517304
231,1,192205464
232,1,193485106
233,1,194106430
234,1,194309916
235,1,194748470
236,1,195991273
237,0,197970066
238,0,199185930
239,0,199653600
240,1,200261604
241,2,200736691
242,0,200740632
243,2,200740701
244,0,200778652
245,0,200778697
246,2,200781542
247,0,200782063
248,0,200782699
249,2,200790635
250,0,200791004
251,0,200791563
252,1,203023066
