,cat,id
0,0,629524
1,0,1133528
2,3,1262884
3,0,1540102
4,1,1658421
5,3,3073090
6,3,4588028
7,3,4734181
8,1,5419512
9,3,5422035
10,3,5423458
11,3,5423490
12,0,5852337
13,2,6471572
14,2,8653852
15,3,8934385
16,1,9120736
17,2,9433983
18,0,10240482
19,0,10367882
20,0,11713957
21,1,11837838
22,3,12331116
23,0,12918344
24,3,13804516
25,0,14707797
26,0,15098538
27,2,15847262
28,0,16229725
29,3,16329961
30,0,16380671
31,0,16968066
32,0,17058927
33,3,17209047
34,2,17682249
35,0,18274538
36,3,18643832
37,1,18916734
38,2,20504185
39,0,21939299
40,0,23747844
41,0,23824635
42,2,25996225
43,1,26751404
44,0,27418047
45,3,28593509
46,3,30264721
47,0,31261352
48,0,32810430
49,0,33042916
50,3,33474467
51,3,33474601
52,1,33527586
53,0,33556292
54,3,34680100
55,2,36218768
56,1,36703743
57,2,37160025
58,0,38362963
59,1,38440743
60,2,39093500
61,1,39742765
62,0,41058995
63,0,41135207
64,1,41900418
65,0,42141131
66,1,42256754
67,0,42577719
68,1,42669041
69,0,46915589
70,0,47135938
71,1,49496956
72,0,49894079
73,0,50886987
74,0,53212556
75,0,54758495
76,0,56308868
77,3,56352709
78,0,59723206
79,2,60698820
80,0,60987124
81,0,60991590
82,3,61464085
83,3,62413299
84,2,63147493
85,1,63217167
86,0,63797196
87,3,64853194
88,0,66010952
89,3,66207726
90,1,66330536
91,0,67568201
92,3,70457551
93,1,71039371
94,0,71847837
95,0,72398304
96,0,72418084
97,0,72624671
98,2,72940239
99,0,73114850
100,0,74678893
101,2,75162103
102,3,75332719
103,0,75597711
104,3,75919784
105,0,76981329
106,2,77295445
107,2,77434826
108,0,77523161
109,1,78250622
110,3,78571794
111,3,79331601
112,0,79898448
113,0,80965251
114,1,81107682
115,0,81861979
116,2,82191585
117,1,82901818
118,0,82905443
119,0,82906787
120,0,84418099
121,0,84493933
122,3,86088905
123,3,86418748
124,1,87473332
125,3,87662087
126,0,89771734
127,3,89787528
128,0,90783944
129,3,91012980
130,0,91019678
131,3,91022711
132,3,91023917
133,2,92178648
134,1,92639815
135,3,92760265
136,0,95063116
137,2,95370317
138,0,96768943
139,3,97478789
140,1,98918469
141,1,99479875
142,0,99539273
143,0,99550355
144,0,99787591
145,2,100483879
146,2,100715937
147,1,100836921
148,1,100904894
149,0,102459718
150,0,105665953
151,0,105710469
152,0,107833311
153,2,108405858
154,2,111445516
155,0,111562216
156,1,112997630
157,1,114835717
158,1,114970397
159,0,115304452
160,0,116570077
161,2,117569857
162,2,119181547
163,2,119585148
164,1,120163081
165,3,120170778
166,3,122172639
167,0,122904195
168,0,123026318
169,0,123184201
170,2,124031941
171,0,124065557
172,3,125794449
173,3,126130494
174,3,126130523
175,3,126130556
176,1,126638058
177,2,128142901
178,1,128827126
179,2,129138916
180,1,130201576
181,1,130201886
182,2,130288674
183,1,130325668
184,1,131019835
185,0,132713354
186,1,133665379
187,1,134449775
188,0,134965224
189,0,135058911
190,3,135977097
191,0,136693113
192,3,136700373
193,1,137240018
194,2,137905248
195,0,138517776
196,1,138817551
197,0,139394026
198,3,141866999
199,0,142360099
200,2,143640112
201,1,144118081
202,1,145072749
203,3,145723304
204,0,146798774
205,1,148835160
206,2,149114066
207,2,149114962
208,3,149195891
209,3,149199289
210,3,149340133
211,0,151517752
212,3,151951225
213,0,152819335
214,0,153396044
215,0,154832464
216,0,154952323
217,3,155510463
218,1,156273372
219,0,156706835
220,3,156766470
221,3,156936738
222,3,157200296
223,3,157234229
224,3,158601853
225,0,158677488
226,1,158690089
227,3,162779392
228,2,165269418
229,0,166323753
230,2,167072535
231,1,169547910
232,3,171022271
233,2,171099252
234,1,173422725
235,0,173567162
236,0,174507635
237,0,176287480
238,2,176891436
239,2,177344693
240,0,177659619
241,0,177810120
242,0,177833650
243,1,178065432
244,0,180078959
245,3,180079656
246,2,180434829
247,2,180435050
248,1,181788377
249,2,182453678
250,0,183256613
251,1,184522873
252,1,185803666
253,1,186463941
254,3,186540095
255,1,186590950
256,3,187400547
257,3,188145720
258,1,190684517
259,0,191161529
260,3,193351916
261,3,194180719
262,0,194345873
263,0,194390994
264,0,194530920
265,2,194589292
266,1,195109226
267,2,196671599
