,cat,id
0,2,473338
1,1,860569
2,1,2110893
3,2,2345604
4,2,2811097
5,2,3170794
6,2,5304488
7,1,5839356
8,2,5999858
9,2,7329226
10,2,10837149
11,1,11233966
12,0,11467487
13,0,12137688
14,2,12898163
15,0,13225044
16,1,13591390
17,1,14093382
18,0,15711058
19,2,16065870
20,2,16473136
21,2,18418665
22,2,19017154
23,2,21509850
24,2,22398094
25,0,23629809
26,1,23787323
27,0,23787605
28,2,24168924
29,1,24766476
30,0,27040959
31,1,27093081
32,2,27389073
33,1,28938685
34,2,28969295
35,2,29431349
36,2,30037208
37,2,30154233
38,2,30627499
39,2,33080071
40,2,35949691
41,0,36131135
42,1,36160090
43,2,36741792
44,2,36753801
45,0,36827900
46,2,38074930
47,2,38169063
48,2,38430332
49,2,39931060
50,0,41808420
51,2,42403589
52,2,42665191
53,1,43505726
54,2,43539381
55,1,44370383
56,2,44677722
57,1,45183320
58,2,46644024
59,1,46651294
60,2,47895207
61,2,48155960
62,1,48487869
63,2,48878826
64,1,49653322
65,0,50001838
66,2,51287080
67,0,51295823
68,2,51789584
69,1,52632223
70,0,52857986
71,2,52995286
72,2,53075935
73,2,53913955
74,2,54491678
75,2,54689829
76,2,56835130
77,1,56882255
78,2,57501491
79,2,57760747
80,2,57812786
81,2,61893388
82,2,61972324
83,2,62205199
84,2,62329780
85,2,64819115
86,2,66597910
87,0,67210931
88,0,68088598
89,2,68106218
90,2,69309870
91,2,69476535
92,1,69882283
93,1,70183255
94,2,70353393
95,1,70521462
96,2,70530918
97,1,71122961
98,2,73024952
99,0,74192831
100,2,74403489
101,2,74685568
102,2,74775065
103,2,75421120
104,1,75668505
105,2,75899233
106,2,76074093
107,0,76267157
108,1,77091821
109,2,77179218
110,2,77807711
111,2,78137322
112,1,79425419
113,1,79568155
114,2,79767235
115,0,79835652
116,1,81042643
117,2,82090655
118,2,82242206
119,2,83074023
120,1,83643349
121,2,85367194
122,1,86508893
123,2,87385686
124,2,88429792
125,2,89365685
126,1,89789653
127,1,90082606
128,0,90146886
129,0,90309071
130,1,90562146
131,1,91326829
132,2,91861804
133,1,93667421
134,2,94664949
135,2,94756131
136,1,96502978
137,1,97414781
138,2,98214898
139,0,98690350
140,2,98729684
141,2,98864046
142,2,100566689
143,1,101605537
144,2,101670474
145,2,101898088
146,1,102921168
147,2,105405463
148,0,106389875
149,1,107262378
150,1,109463685
151,2,109980077
152,2,110011471
153,2,110177909
154,0,110975863
155,2,111529642
156,0,111817624
157,2,112286107
158,1,112376697
159,1,113245805
160,2,113962296
161,1,114012907
162,1,114030097
163,2,114507041
164,2,114723540
165,2,115029536
166,2,115029650
167,1,115189804
168,2,115354797
169,2,117007261
170,2,117927353
171,0,118204278
172,1,119204124
173,2,120514918
174,0,120736124
175,1,121560359
176,2,122017529
177,2,122803946
178,2,125367826
179,1,126271663
180,2,126488980
181,0,127651634
182,0,127664770
183,2,128312471
184,0,128946124
185,2,129617320
186,2,130170221
187,2,130895797
188,2,131568720
189,0,131583321
190,2,131682760
191,0,132219390
192,2,134350940
193,1,134835675
194,1,135205375
195,2,135502148
196,2,135645962
197,2,135646223
198,2,136416549
199,1,137072210
200,1,141154651
201,2,142463277
202,2,142858799
203,2,143398016
204,1,143846555
205,2,144383466
206,2,144522650
207,1,144855004
208,1,146368572
209,1,147789229
210,2,148523358
211,1,148604699
212,0,150255528
213,2,153121206
214,0,153328601
215,2,153462528
216,2,153516436
217,1,153684863
218,1,154618449
219,0,155338102
220,2,156894212
221,1,157720370
222,2,158247049
223,1,158423958
224,2,161443092
225,0,162681630
226,0,164196967
227,1,166479941
228,2,166676239
229,2,167528907
230,2,167531281
231,2,168308880
232,2,168857019
233,0,169050794
234,2,169319082
235,2,170238629
236,1,170468496
237,2,172942892
238,0,173556697
239,2,175997000
240,2,176806270
241,2,177137927
242,2,177813330
243,2,177813517
244,2,179295702
245,2,180259875
246,2,180494410
247,1,180651470
248,2,180679404
249,1,180881146
250,2,181024364
251,0,181693525
252,0,182207798
253,0,182454667
254,2,182719379
255,2,182745303
256,1,183260282
257,2,185368156
258,2,188003762
259,2,189498520
260,2,190348499
261,0,192439276
262,2,192710426
263,2,192814158
264,2,192890800
265,2,193804247
266,0,194280599
267,0,194970538
268,2,196525968
269,1,196636760
270,2,197323520
271,2,197432017
272,2,197737206
273,1,197789882
274,1,198430147
275,2,200222117
276,2,200324934
277,0,201200067
278,2,201716609
279,0,202929175
280,2,203263714
281,1,204313819
282,1,204601580
283,2,204700847
284,2,205197380
285,0,205825875
286,1,207576126
287,2,208336140
288,0,208619873
289,0,213595728
290,0,213658114
291,2,214151948
292,2,214217286
