,cat,id
0,2,503367
1,1,931769
2,2,1312456
3,1,1587316
4,1,2617506
5,2,4146359
6,0,4666768
7,0,4966300
8,2,5050285
9,0,5964053
10,2,5965793
11,1,6557274
12,2,6856924
13,2,7768078
14,2,7846580
15,2,9209384
16,2,9213107
17,2,9283445
18,2,9432838
19,0,10189382
20,1,11218308
21,0,11304312
22,0,11510390
23,0,12561044
24,0,12734668
25,1,12827268
26,2,12827957
27,2,12852186
28,1,13206318
29,2,13548216
30,1,13589514
31,0,14000267
32,0,14235824
33,2,14353819
34,2,15329051
35,2,15424857
36,0,15756184
37,0,16884647
38,2,17170515
39,2,17174394
40,0,17327288
41,1,19313467
42,1,19490252
43,0,19691536
44,1,20366959
45,0,20667061
46,1,21026692
47,1,22278065
48,1,25886860
49,1,25976130
50,1,27961945
51,1,28108097
52,2,29173393
53,1,29377565
54,1,29435395
55,2,29858866
56,0,30672002
57,1,31348233
58,2,31876883
59,0,32039632
60,2,32444466
61,2,33652747
62,1,35675049
63,0,35688967
64,0,36247855
65,2,37922533
66,2,38203977
67,1,38279717
68,1,38280140
69,2,39092288
70,2,39179642
71,1,39182759
72,2,39981445
73,2,40724149
74,2,43090537
75,1,45110434
76,0,45907195
77,2,46267140
78,1,46403696
79,2,46740770
80,2,47242703
81,0,47528447
82,0,47700165
83,2,48505122
84,2,48770174
85,0,49318595
86,0,50590329
87,1,51599831
88,2,51750973
89,2,52000471
90,1,52256002
91,0,53247555
92,0,53720121
93,2,53799891
94,2,54497325
95,1,55546081
96,0,55801480
97,0,55808975
98,0,56161476
99,2,56379772
100,2,56467673
101,1,58521612
102,2,59339122
103,2,61805173
104,1,62355391
105,2,62534943
106,2,63440175
107,0,64085531
108,0,64085540
109,2,65509724
110,0,65845242
111,2,66161209
112,2,66763977
113,2,66824639
114,0,68084791
115,2,68824118
116,1,68932720
117,0,69365471
118,2,69474207
119,2,69863538
120,1,70029537
121,2,70755669
122,1,71000217
123,1,71438106
124,2,73504178
125,2,74983307
126,2,75157246
127,2,76168793
128,1,76258596
129,1,78266872
130,0,78873774
131,2,79034351
132,1,79069957
133,2,79259677
134,2,79474095
135,0,79474480
136,0,80381061
137,1,81982632
138,2,82301430
139,0,82451686
140,0,82528976
141,2,83648285
142,2,83718975
143,1,84010925
144,2,84829433
145,1,85543614
146,1,86014048
147,0,86660412
148,0,87394669
149,1,87583201
150,2,89146101
151,2,89981640
152,0,90381341
153,0,94103960
154,0,94123068
155,2,94351159
156,2,95381137
157,1,95618960
158,2,95844084
159,1,95851877
160,2,96867164
161,1,96998906
162,1,97136557
163,1,97171771
164,0,97254153
165,1,99136687
166,2,99579291
167,2,100330096
168,2,100405423
169,0,100922479
170,0,101244667
171,1,102775697
172,0,103976403
173,0,104995036
174,2,105078547
175,2,105497470
176,0,105691791
177,0,106524116
178,1,107473476
179,2,107531469
180,2,107726750
181,2,108103482
182,1,109849442
183,1,110755414
184,0,111339228
185,1,112444019
186,1,112646189
187,1,113570265
188,2,114086382
189,0,114848827
190,2,115142570
191,1,115142640
192,1,116300871
193,0,116409379
194,1,116897927
195,2,117998320
196,0,118130419
197,2,118947597
198,2,119687520
199,1,119819010
200,2,120362837
201,2,120400720
202,2,120400744
203,2,121191346
204,2,121388901
205,2,121469987
206,1,122109480
207,2,122941450
208,1,123851681
209,2,124068057
210,2,124069311
211,2,124481469
212,2,124548527
213,0,124607870
214,1,125895391
215,2,127054479
216,2,127270557
217,2,128554929
218,0,128604585
219,1,129112778
220,1,130016915
221,0,130214223
222,1,130258213
223,2,131326769
224,2,132010858
225,1,132152437
226,2,134391486
227,2,134580190
228,2,134669474
229,2,135399492
230,0,135456830
231,2,135776735
232,1,136274946
233,1,136355489
234,1,136355577
235,1,136355730
236,2,136593385
237,2,136947499
238,1,138860378
239,1,139423103
240,1,141703091
241,2,142576303
242,0,142816516
243,0,142816594
244,1,143846735
245,2,144055678
246,0,144125837
247,2,144314179
248,0,144646309
249,1,144658130
250,0,144685166
251,1,145012438
252,2,145608461
253,2,145902954
254,0,146029210
255,2,147082383
256,1,147387243
257,2,147562100
258,2,148242465
259,2,148860455
260,0,148867863
261,2,150180201
262,0,151533994
263,2,151851537
264,2,152827026
265,2,155025350
266,2,155060945
267,2,155553910
268,2,155743863
269,2,157827263
270,2,158096593
271,1,158768711
272,2,159323528
273,0,159504673
274,2,159511743
275,0,160144238
276,2,160826672
277,0,161101979
278,1,161106497
279,2,161589276
280,2,162017646
281,2,163982407
282,0,164515598
283,2,164628495
284,0,164742092
285,0,165529820
