,cat,id
0,1,812695
1,1,1429142
2,0,1522952
3,2,2446703
4,2,2688764
5,2,2995069
6,2,3473886
7,0,3646569
8,2,3683730
9,0,3893275
10,2,4043069
11,0,6329084
12,1,8171694
13,1,8511961
14,3,8839770
15,0,9602632
16,0,10445983
17,2,10749711
18,3,11030830
19,3,14825766
20,0,15592033
21,0,15909150
22,1,17599982
23,1,17682672
24,0,17800317
25,0,18008284
26,0,18142701
27,2,18150184
28,0,18698358
29,0,19623452
30,0,20227410
31,2,21479196
32,0,21505065
33,0,21757810
34,0,22275417
35,0,23947587
36,0,24974586
37,0,25157243
38,1,25558562
39,0,25968121
40,1,25983102
41,3,26694549
42,3,26698368
43,0,29018563
44,2,30899881
45,1,31493949
46,0,32855479
47,2,33496800
48,2,33803535
49,0,33844471
50,2,34416928
51,0,34662870
52,1,35304728
53,0,38625273
54,2,38767894
55,0,39785232
56,0,42136012
57,0,42575793
58,2,42595353
59,1,43121527
60,1,43121644
61,3,43874660
62,2,44431630
63,2,44524445
64,2,44706586
65,1,44872863
66,1,46104409
67,1,48354144
68,2,48739176
69,0,49699817
70,0,50011314
71,0,50422544
72,0,53252915
73,2,56165458
74,0,56461703
75,2,56465105
76,0,56847882
77,0,56896754
78,0,56966068
79,0,57244784
80,3,58095598
81,0,59674834
82,2,59677887
83,0,59900980
84,0,60435205
85,0,61095111
86,0,63107932
87,0,63313316
88,2,66310773
89,0,67863498
90,0,68960654
91,1,71270350
92,1,71457719
93,3,72360942
94,0,72586813
95,0,72867145
96,0,73244698
97,0,73598747
98,0,74392284
99,0,76373481
100,0,76373489
101,0,76675051
102,0,77659275
103,2,77717676
104,0,78020996
105,2,78884612
106,2,79233579
107,0,79734509
108,0,80000497
109,2,80872554
110,2,81186622
111,0,81547409
112,0,81557487
113,3,81810866
114,0,83710926
115,2,83919016
116,0,83950946
117,0,84915406
118,0,86237309
119,1,86360221
120,0,86433791
121,0,86608559
122,2,86983697
123,1,87045378
124,1,88429147
125,0,89068378
126,0,89077659
127,2,89375313
128,1,89548671
129,0,90812462
130,0,92898360
131,2,93054747
132,0,93062050
133,2,93066224
134,0,93438628
135,0,93940808
136,3,93970597
137,0,94458500
138,2,95132919
139,2,95275720
140,0,97215264
141,0,98003337
142,2,98185228
143,0,98633834
144,2,98787800
145,0,99078577
146,0,99434728
147,0,100306377
148,0,100494107
149,0,100845842
150,0,101737867
151,0,102617324
152,0,103501995
153,0,103679256
154,0,103813735
155,0,104565318
156,0,104809137
157,1,105982390
158,0,106687890
159,2,107785810
160,0,107787394
161,0,107810496
162,0,109266401
163,0,109269189
164,1,110035900
165,0,110794398
166,0,111143017
167,0,111200526
168,0,111512258
169,1,111935630
170,3,112532489
171,0,112566803
172,0,113317737
173,0,115017281
174,0,115078116
175,0,115264369
176,0,116058144
177,3,116548400
178,0,117949683
179,0,118207178
180,0,119142340
181,0,119187459
182,0,120303259
183,0,120335559
184,0,120375012
185,0,120518853
186,0,120868253
187,0,120910945
188,3,121033692
189,0,121077684
190,0,122647646
191,0,122737491
192,0,122861556
193,3,123968286
194,0,125165677
195,0,125739548
196,0,126882178
197,0,127082015
198,0,127674297
199,0,127970005
200,2,129558247
201,0,130038741
202,2,130485420
203,0,130904619
204,0,131050506
205,2,131283968
206,0,131537917
207,3,131877908
208,0,132458963
209,2,132477562
210,0,133411760
211,2,133460675
212,1,134065178
213,1,134932157
214,1,134983212
215,2,135137700
216,0,135820900
217,1,136102594
218,0,136480646
219,0,137310690
220,0,138008331
221,0,138167332
222,2,138578912
223,3,138841409
224,0,138889103
225,0,139738137
226,2,140828069
227,0,141246372
228,1,142110598
229,1,142158415
230,1,142381892
231,0,142437472
232,1,142694575
233,0,143376800
234,3,143624654
235,0,144205620
236,3,144694604
237,2,144746528
238,0,145082574
239,0,147550847
240,1,148540246
241,1,148540321
242,1,148540484
243,1,149603211
244,0,150672244
245,0,151536413
246,0,151845016
247,2,152638159
248,0,153863047
249,0,154085428
250,0,154832558
251,0,154848109
252,3,154935083
253,2,155010841
254,0,157688139
255,0,159665354
256,0,160457862
257,2,160598981
258,0,160781121
259,0,161908350
260,3,162132383
261,2,162413393
262,1,162940907
263,0,164005877
264,0,164172158
265,1,164531360
266,0,165975496
267,0,166054913
268,1,167239923
269,0,167914041
270,0,169495360
271,2,172161413
272,2,172690990
273,0,172695981
274,0,173117153
275,0,173320346
276,0,174656011
277,0,175434207
278,0,175762301
279,2,175767833
280,1,176248904
281,2,177086126
282,0,177248205
283,0,178432090
284,0,178816117
285,0,178983117
286,2,179338640
287,0,179861612
288,0,179931216
289,2,180081421
290,0,180180673
291,2,180661804
292,2,180953425
293,0,181301598
294,0,181301660
295,0,181408859
296,2,181852408
297,1,182888223
298,0,183236663
299,0,183509082
300,1,185163564
301,0,186264515
302,0,186268151
303,0,186268556
304,0,186273254
305,0,186386199
306,2,187045278
307,0,187651328
308,0,188463483
309,0,188599358
310,0,189366764
311,2,189759955
312,1,190218213
313,0,191582007
314,1,192582905
315,0,192600016
316,0,194325247
317,0,194442498
318,1,195624895
319,0,198386158
320,0,199400382
321,2,200188939
322,2,200358215
323,3,200729665
324,1,201969613
325,1,202509747
326,0,203439200
327,0,203659798
328,0,204224811
329,0,204637202
330,2,206235017
331,1,206323329
332,0,207937555
333,0,208054442
334,0,208469287
335,1,208736907
336,3,208985885
337,0,209995679
338,0,209996074
339,0,210434774
340,2,210553467
341,0,210827263
342,0,211121029
343,0,211293519
344,0,211936098
345,2,212113117
346,0,212149098
347,2,214774783
348,0,216424125
349,1,216532562
350,2,216698370
351,0,217212142
352,1,218081727
353,0,218103374
354,0,218474032
355,2,219132161
356,0,219230775
357,0,219306696
358,0,219877480
359,2,220238727
360,1,220621077
361,0,221305600
362,3,225050874
363,3,226725098
364,1,228679250
365,2,228746478
366,0,228800656
367,0,230856797
368,1,230942871
369,1,230952686
370,0,231278151
371,0,231628965
372,0,231738287
373,0,231838135
374,0,232187261
375,0,232325217
376,0,232767724
377,2,233581037
378,2,233833179
379,2,234609992
380,2,235018704
381,1,235525780
382,2,235549421
383,0,237465870
384,0,237619455
385,0,237625817
386,2,239931083
387,0,239940499
388,0,240399528
389,0,241104164
390,2,241232814
391,1,242755818
392,0,242761127
393,0,242875596
394,1,243687753
395,0,246770905
396,2,247581853
397,2,248114021
398,0,248476741
399,2,248477871
400,0,248653404
401,0,249539702
402,2,250311964
403,0,251727055
404,0,251759588
405,0,252747424
406,0,254785442
407,2,255339020
408,0,255568712
409,0,255809051
410,0,256019831
411,0,257111882
412,2,257394440
413,1,257541632
414,1,257630540
415,0,257656158
416,0,259681648
417,0,259799188
418,0,260059776
419,0,260061195
420,2,260331657
421,0,262056617
422,1,262335243
423,0,262426153
424,3,262691668
425,1,263323061
426,0,263613633
427,1,264145897
428,0,264778259
429,0,265830091
430,0,266109798
431,1,266774348
432,0,267433228
433,2,267593864
434,0,271633795
435,2,271787040
436,0,272173702
437,0,274010112
438,0,274014133
439,0,275549003
440,2,275550793
441,0,275598032
442,1,275953530
443,0,276071068
444,0,276437392
445,0,277004163
446,3,277231320
447,0,277548414
448,0,278873645
449,0,279238080
450,0,279539938
451,0,281780917
452,2,283921563
453,0,284980311
454,0,285148721
455,3,287235279
456,3,287238441
457,0,287446347
458,0,288568354
459,2,289149733
460,2,290324056
461,0,290350283
462,0,292681566
463,0,294036920
464,0,294399625
465,0,294785561
466,0,294868084
467,0,295384886
468,1,296161671
469,0,296814868
470,2,297163996
471,2,298122861
472,0,298940103
473,0,299455633
474,0,299456232
475,0,299613772
476,0,300256085
477,0,300641487
478,0,303678789
479,3,304858915
480,1,305531031
481,0,306125974
482,2,308072098
483,0,308295562
484,2,308443589
485,2,310074290
486,2,310230106
487,0,310806968
488,0,314596612
489,0,315036009
490,1,315072274
491,2,315143002
492,0,315147741
493,2,315151283
494,0,315162479
495,0,315164868
496,0,316713647
497,1,317558172
498,1,319526298
499,2,320656905
500,0,321757599
501,0,322091931
502,2,322915357
503,1,323665934
504,0,323969995
505,0,324461130
506,3,324476774
507,0,324539155
508,3,325345284
509,0,325566241
510,2,326059459
511,2,327981446
512,0,328010003
513,0,330075662
514,0,330679318
515,0,331799054
516,0,332325305
517,0,332998382
518,0,333526662
519,1,333676445
520,2,333888052
521,0,335232190
522,1,335421314
523,0,335494466
524,0,335638613
525,1,336277363
526,0,336715030
527,1,337067499
528,0,337587941
529,2,337676116
530,0,339576063
531,1,339637402
532,1,339791641
533,0,340302062
534,0,341767915
535,0,341874711
536,3,342265584
537,0,344111378
538,0,344902977
539,0,345451784
540,0,350545146
541,2,350625855
542,0,350765193
543,2,351284627
544,1,351387967
545,0,351887417
546,3,351943254
547,0,352807441
548,0,353446991
549,3,354981297
550,0,354987059
551,1,356108067
552,0,356838641
553,1,357317007
554,3,358215960
555,0,358274899
556,1,358371505
557,1,358900268
558,1,359027927
559,0,359837432
560,1,360273402
561,0,360332956
562,2,361033085
563,0,362486001
564,1,362506855
565,0,362881814
566,2,363041219
567,0,364393294
568,2,365329573
569,2,366179627
570,0,367479944
571,0,368644328
572,1,370652145
573,0,371014200
574,0,371890153
575,0,372734879
576,0,373378074
577,2,373881404
578,0,376142346
579,0,377089632
580,1,377276342
581,0,378478905
582,0,380111617
583,0,381196577
584,0,382001611
585,0,382032009
586,0,382809460
587,0,385036119
588,0,385153959
589,2,385400853
590,2,385576053
591,2,385576576
592,0,386984981
593,1,387842102
594,0,390315107
595,2,390378484
596,0,390455547
597,0,390966380
598,0,391145630
599,0,391718095
600,3,391807662
601,3,391807826
602,0,391846733
603,0,391929975
604,2,392887385
605,0,393567362
606,1,393706515
607,1,393833333
608,2,394977987
609,0,395275924
610,0,395801382
611,2,395837187
612,0,395843109
613,2,396177111
614,0,396189792
615,1,396838255
616,2,397475854
617,2,397896790
618,0,397957222
619,0,397959374
620,2,398990407
621,0,399496139
622,0,399911808
623,0,400366053
624,2,400991569
625,2,401779167
626,0,402506283
627,0,403094943
628,0,403300314
629,1,405631124
630,2,405907772
631,0,406161597
632,2,406260569
633,1,406359947
634,0,406521280
635,0,408383046
636,2,409562241
637,1,409630679
638,0,409800980
639,0,410234954
640,0,410553712
641,2,410667768
642,0,410931198
643,2,410975779
644,0,411367036
645,0,411439393
646,0,411572541
647,0,411778428
648,3,412149773
649,0,414979963
650,0,416847077
651,1,417477666
652,1,417667994
653,0,418392276
654,2,418450639
655,0,418831302
656,2,419067372
657,0,421296288
658,0,421656670
659,2,423251987
660,2,423394813
661,0,423447370
662,1,423891892
663,1,423970935
664,1,423972697
665,1,424032996
666,1,424079617
667,1,424080727
668,1,427004593
669,1,427547283
670,1,427894984
671,1,428055239
672,1,428167488
673,1,428187834
674,1,428387394
675,1,428466899
676,1,428594566
677,0,430366435
678,2,433008408
679,0,440787425
680,1,445390511
681,2,445471858
682,2,445888756
683,0,446727672
684,1,448327038
685,0,451879779
686,0,452506522
687,0,453782997
688,0,456916407
689,2,457176509
690,2,458507477
691,2,458557868
692,2,462515309
693,2,464326179
694,0,466369398
695,2,466465671
696,0,466862238
697,2,470138163
698,0,472969822
699,2,474141796
700,2,476083689
701,0,476446502
702,2,481520451
703,2,484585133
704,2,488393787
705,2,488948545
706,0,489092616
707,0,489106221
708,2,489551417
709,1,491804404
710,2,493122901
711,2,495938062
712,0,496402663
713,2,497010518
714,0,506220584
715,2,506925046
716,1,507222877
717,0,507970453
718,0,508247845
719,0,508435088
720,2,513044117
721,0,513844845
722,3,519047671
723,0,519863224
724,2,522272350
725,2,524440662
726,2,528565015
727,1,535219907
728,2,535576644
729,1,536249028
730,0,540745103
731,2,540755599
732,2,541430808
733,2,543796466
734,0,544450153
735,0,544666681
736,2,549089898
737,2,549172658
738,1,550103378
739,0,551871216
740,2,552208728
741,1,555351150
742,2,555574619
743,2,555605308
744,2,558983125
745,0,561758661
746,0,563195179
747,0,566831513
748,2,572729833
749,2,573329380
750,2,573329487
751,2,573332236
752,1,576724752
753,0,583070384
754,2,583230210
755,2,583915068
756,0,586276025
757,2,586603147
758,0,586642080
759,2,589319594
760,2,589523114
761,2,593394677
762,0,593400416
763,2,593580551
764,0,594201430
765,2,594552471
766,0,595817884
767,2,598529980
768,2,598928175
769,2,602256405
770,0,602789202
771,0,604590436
772,1,604968834
773,2,608432518
774,2,613989466
775,2,613990464
776,1,616466133
777,1,616469368
778,1,616470045
779,1,616471670
780,1,616478461
781,1,616478539
782,1,616495311
783,1,616502155
784,1,616502668
785,1,616504588
786,1,616505215
787,1,616512766
788,2,616532474
789,1,616534477
790,1,616535322
791,2,616536002
792,1,616537442
793,1,616538372
794,1,616562404
795,1,616569619
796,1,616572499
797,0,616938318
798,2,621705857
799,0,622063674
800,0,622201759
801,2,626337730
802,0,629174815
803,2,633193384
804,0,634204159
805,0,634259938
806,0,634263657
807,2,634553232
808,2,641770791
809,0,645291650
810,0,645663985
811,1,647112814
812,1,648333741
813,1,649754415
814,1,649755166
815,2,649755259
816,0,651478986
817,0,652387752
818,1,653104156
819,2,656338236
820,1,657857906
821,2,662729194
822,2,663046765
823,2,663078903
824,0,665231921
825,0,665518359
826,0,666133294
827,1,668792098
828,2,669788427
829,0,670770835
830,0,671711187
831,2,671711223
832,0,672379883
833,0,672427892
834,2,673071411
835,2,674822907
836,2,674827565
837,1,677673878
838,2,678528022
839,2,678867508
840,2,679237358
841,2,679301116
842,0,679569117
843,0,679570897
844,2,682547273
845,0,692904954
846,0,694452301
847,1,700833404
848,2,701003600
849,2,701203109
850,0,706371936
851,2,708961711
852,2,709782617
853,0,710060601
854,0,710104455
855,0,713959192
856,2,714959468
857,0,721574635
858,0,722820334
859,0,724638443
860,2,727542418
861,2,729185733
862,2,729186236
863,0,732539653
864,0,735185701
865,1,736875351
866,0,737719538
867,2,739082537
868,2,741337637
869,0,743796697
870,2,744792861
871,2,746200888
872,2,748413196
873,2,750765895
874,0,751129746
875,0,751195165
876,0,751198837
877,2,752207198
878,0,752505409
879,0,753100177
880,0,757359200
881,0,758983992
882,2,759036840
883,0,759916338
884,0,762779395
885,2,762875983
886,2,765637980
887,0,769471934
888,2,770932357
889,2,771006157
890,2,771877662
891,0,772517044
892,0,772637889
893,2,772749650
894,0,773161567
895,0,774621831
896,0,774923278
897,0,775174770
898,2,776014937
899,0,778419602
900,0,779189568
901,0,785193614
902,3,786556405
903,2,790389481
904,2,791071264
905,1,793766171
906,0,793945214
907,2,793946576
908,0,794502475
909,2,797890134
910,0,798184727
911,2,799174435
912,0,799355243
913,2,799407500
914,2,808482691
915,2,809987662
916,2,810075084
917,0,810075283
918,2,810175727
919,1,810684634
920,2,811279039
921,2,815320557
922,2,816060801
923,2,816124804
924,0,816868630
925,3,820829798
926,2,823408391
927,2,824268587
928,0,825818392
929,2,826551556
930,0,831362403
931,0,832567647
932,0,837069627
933,0,839246902
934,1,841456317
935,0,841775819
936,0,842199382
937,0,842525009
938,0,844900869
939,2,847771179
940,2,848955454
941,2,854721635
942,2,855193186
943,1,855196278
944,1,855256776
945,0,855967436
946,2,856675430
947,2,857105004
948,0,859734967
949,0,859984296
950,2,860299095
951,0,863851831
952,2,863916914
953,0,863942602
954,1,864199746
955,2,866865234
956,0,868958975
957,2,868974239
958,0,874734507
959,2,876471112
960,0,877514841
961,0,877515094
962,2,877586167
963,2,878145157
964,2,879152058
965,0,880653003
966,3,881173324
967,0,881539167
968,0,881722519
969,2,883502180
970,0,884441273
971,0,884441932
972,0,884444312
973,0,884444931
974,0,884455626
975,0,884457071
976,0,884458038
977,0,884463443
978,2,884572351
979,0,887617164
980,0,888227300
981,2,888920510
982,2,891376096
983,0,891842719
984,0,892507696
985,2,895974723
986,0,896423526
987,1,897574961
988,1,898810559
989,1,899519118
990,1,899943511
991,1,900907292
992,1,901514029
993,1,901530456
994,0,902233194
995,2,903171281
996,1,905385951
997,0,905728908
998,1,906240552
999,0,907300807
1000,2,907399337
1001,0,911583947
1002,0,912533760
1003,0,916048550
1004,0,919971617
1005,0,920702978
1006,2,921063694
1007,2,921130132
1008,2,921828223
1009,2,923197851
1010,1,923599557
1011,0,923737820
1012,2,923763350
1013,2,924219261
1014,0,926475840
1015,2,927426483
1016,0,930867310
1017,0,932715853
1018,0,937496114
1019,2,938332299
1020,2,938332534
1021,2,938604191
1022,2,945375342
1023,2,948002308
1024,2,951749552
1025,2,957622471
1026,1,961085179
1027,1,962298649
1028,0,964906147
1029,2,971117426
1030,2,971289914
1031,2,971290793
1032,1,971299334
1033,1,971300023
1034,0,972693289
1035,0,976505174
1036,2,986916878
1037,2,990587548
1038,2,993127327
1039,3,995693009
1040,0,996056461
1041,2,997335081
1042,2,997552962
1043,0,997898865
1044,2,998015662
1045,0,999072150
1046,2,1001500851
1047,1,1001909758
1048,3,1003583548
1049,2,1006765146
1050,0,1007214019
1051,0,1007291445
1052,0,1009959044
1053,0,1011052439
1054,0,1013120296
1055,2,1016019067
1056,0,1019318975
1057,0,1019323905
1058,0,1019571345
1059,0,1020062817
1060,1,1021434402
1061,2,1021574161
1062,2,1024840984
1063,1,1026052002
1064,0,1026459004
1065,2,1026817579
1066,2,1031473013
1067,1,1032346313
1068,2,1033610126
1069,2,1037523915
1070,2,1040620551
1071,2,1041939932
1072,2,1047302610
1073,2,1048120904
1074,2,1052252971
1075,2,1062257909
1076,0,1062855634
1077,2,1066812379
1078,0,1067546488
1079,0,1070793661
1080,0,1072820696
1081,2,1074746091
1082,2,1074834909
1083,0,1074844317
1084,2,1077018045
1085,0,1077776155
1086,2,1077776607
1087,2,1082070541
1088,2,1085068980
1089,2,1085731587
1090,2,1086973220
1091,1,1089236980
1092,1,1089237362
1093,2,1089671284
1094,2,1092267839
1095,2,1095455852
1096,2,1095742098
1097,2,1099013469
1098,2,1099013577
1099,1,1099289241
1100,0,1099947063
1101,2,1107547016
1102,0,1107948950
1103,0,1108077635
1104,0,1108405116
