,cat,id
0,1,184999
1,0,495233
2,1,860621
3,0,1670439
4,1,2559321
5,0,2830559
6,0,3698213
7,0,3777290
8,1,4899164
9,1,5404278
10,1,6178215
11,3,7399173
12,0,7751666
13,1,7975142
14,0,8404044
15,0,8973422
16,0,10670467
17,0,11738328
18,0,13336899
19,0,13896643
20,1,14238454
21,1,15713330
22,1,15802062
23,0,17209162
24,0,17325393
25,1,17345763
26,0,19563239
27,2,19631383
28,0,20282389
29,0,20526141
30,0,21028534
31,2,21274715
32,0,22154121
33,0,22496978
34,0,25498490
35,2,26108873
36,2,26502886
37,1,27003837
38,2,27756619
39,0,28793964
40,0,28942009
41,1,29276361
42,3,29391551
43,1,29592352
44,1,30120141
45,1,30120284
46,0,30349549
47,0,30536269
48,0,30772006
49,0,30879421
50,0,31002644
51,0,31745327
52,0,31795305
53,3,31853382
54,0,32839096
55,0,33137309
56,0,33873229
57,2,35002524
58,1,35600413
59,0,35661535
60,1,36010240
61,0,36540934
62,1,39896798
63,0,40819856
64,0,40820034
65,0,41894907
66,1,42542406
67,2,42968207
68,2,43018790
69,0,43525638
70,3,44144274
71,0,44524154
72,0,44807490
73,0,44960269
74,1,45139354
75,0,45437609
76,1,46212523
77,0,46213875
78,3,47303927
79,3,47305550
80,3,47306017
81,2,47573382
82,1,49138040
83,0,51093812
84,0,51285043
85,0,51285075
86,0,51353225
87,1,52969155
88,0,53633998
89,2,53984250
90,1,54449624
91,1,54860700
92,0,55235350
93,0,55975371
94,0,56545352
95,3,56641319
96,1,56803709
97,0,57462735
98,1,57854470
99,2,58107211
100,0,58578289
101,0,59993444
102,0,59996158
103,0,60218083
104,1,60383849
105,0,60427028
106,0,61929089
107,1,62391977
108,0,63421060
109,0,66018579
110,0,69453356
111,1,69477144
112,0,69526582
113,0,71649447
114,0,72768446
115,0,73504096
116,0,75957166
117,0,76291567
118,0,76945142
119,0,76945157
120,0,77967386
121,0,78095175
122,0,78125359
123,2,78909546
124,1,79423622
125,0,79733008
126,3,80142506
127,0,81281398
128,3,82031287
129,0,82168601
130,0,82397106
131,0,82970259
132,1,83294210
133,0,83646123
134,0,84428021
135,1,84431331
136,1,84432900
137,1,84433058
138,0,84871867
139,1,85207928
140,1,87165468
141,0,88045690
142,3,88306863
143,0,91325102
144,0,92865868
145,2,93808882
146,2,95129224
147,2,95632268
148,0,95748040
149,2,97064292
150,0,97191451
151,1,97243269
152,3,97541582
153,0,98605933
154,0,98700833
155,0,99319593
156,0,100311067
157,0,100420561
158,0,100773666
159,1,100939288
160,1,101200808
161,0,101318714
162,0,101395957
163,0,101615164
164,0,101972773
165,0,102012707
166,0,102537942
167,1,104328211
168,1,105058934
169,0,105123256
170,1,105274939
171,0,107759513
172,0,108610734
173,1,109183294
174,0,109621194
175,0,110005531
176,1,111542469
177,0,111674052
178,0,112571428
179,1,112837724
