,cat,id
0,1,1570177
1,1,1912966
2,0,4680862
3,0,4681060
4,0,4681827
5,0,4681928
6,1,4901188
7,1,5057090
8,0,5279943
9,0,5280353
10,0,5280501
11,1,6433642
12,1,7240271
13,1,7981694
14,1,8056457
15,0,10399734
16,1,10456211
17,1,11479278
18,1,14479999
19,1,15462400
20,1,15679529
21,1,15869981
22,1,16311204
23,0,17180902
24,0,17180966
25,1,19204313
26,0,19576764
27,1,21826734
28,1,25302998
29,1,25602663
30,1,26918738
31,0,30308719
32,1,30545123
33,0,31004683
34,1,31163517
35,0,32391721
36,0,33910875
37,1,34994112
38,1,35487575
39,1,35518117
40,1,36913038
41,0,37789207
42,0,37840347
43,1,38423575
44,1,39895207
45,1,39941039
46,0,40711566
47,1,41775102
48,1,46847328
49,1,46852005
50,1,48515035
51,2,50172916
52,1,50275222
53,0,50670859
54,1,50729961
55,1,51271696
56,1,52494598
57,1,55155487
58,0,55659452
59,1,55923939
60,1,55933610
61,0,56367404
62,0,56367599
63,1,56662618
64,1,57051097
65,1,57408194
66,0,59177364
67,0,59674105
68,0,59675015
69,0,59675451
70,0,59675991
71,0,59676035
72,0,59676567
73,0,59677907
74,0,59678654
75,1,61370590
76,0,61755996
77,1,63033689
78,1,63469808
79,1,63512395
80,1,63565702
81,1,65138299
82,1,68715465
83,1,71043559
84,1,71476738
85,0,72066196
86,1,72173174
87,0,72648993
88,1,74868453
89,1,75890981
90,1,76210051
91,0,76256431
92,1,77253004
93,2,78187146
94,1,79494288
95,1,79563919
96,1,81360501
97,1,81677565
98,1,81822305
99,1,82200675
100,0,83432065
101,0,83490602
102,1,83547624
103,0,84373654
104,0,84374926
105,1,84513191
106,1,85041259
107,1,85041264
108,1,85300816
109,1,85608825
110,1,85800051
111,0,86480584
112,1,86515082
113,1,86515874
114,2,88947368
115,1,89318699
116,2,91032905
117,2,91033069
118,2,91033413
119,1,92352252
120,2,93127380
121,2,93278586
122,1,93992074
123,0,94133737
124,1,94758252
125,1,96176968
126,1,97934127
127,1,99788688
128,2,101573468
129,0,102417285
130,0,103334428
131,0,103575979
132,1,104135059
133,1,104378102
134,0,105319368
135,1,106530960
136,0,106666902
137,1,106895279
138,2,106899110
139,2,107642122
140,0,109354230
141,0,110412184
142,1,110928763
143,1,110928786
144,1,111322024
145,0,111658680
146,0,112135951
147,1,112731385
148,1,116231593
149,0,116893273
150,1,117290381
151,0,117584556
152,1,118827867
153,1,120189858
154,0,121366566
155,1,122836174
156,1,123063059
157,2,128088331
158,1,128968503
159,0,129791503
160,2,130803347
161,0,131233689
162,1,132570183
163,1,132570229
164,0,134330924
165,1,134988053
166,1,135474709
167,1,135536431
168,1,135973728
169,1,136543231
170,1,136744067
171,1,138177760
172,1,138178148
173,1,138178429
174,2,138440500
175,1,141143848
176,1,141173716
177,0,142101962
178,0,142224599
179,0,142360183
180,0,142360186
181,1,142578175
182,2,143172186
183,1,144004166
184,0,144128738
185,1,145317314
186,1,146544680
187,0,147183418
188,0,147842753
189,2,148145006
190,0,148386589
191,1,149065916
192,1,150919245
193,1,151033483
194,1,151091379
195,1,151354705
196,1,151979755
197,2,152777085
198,1,153213784
199,1,155657426
