,cat,id
0,2,670875
1,1,1317735
2,1,3000780
3,1,3014936
4,3,4519379
5,3,5591129
6,3,6147189
7,2,8606685
8,2,9104260
9,2,10602815
10,1,10842981
11,1,11181221
12,1,11245092
13,0,12875549
14,3,14754964
15,0,15008204
16,0,15965393
17,1,16061851
18,2,16063328
19,1,16288764
20,1,16552408
21,2,16771405
22,3,17515101
23,2,18076629
24,0,19165361
25,1,20550105
26,0,23198424
27,2,26680249
28,1,29690365
29,1,29908865
30,2,30048953
31,2,30913181
32,2,31161219
33,0,31800692
34,1,32176106
35,3,34039844
36,2,34056687
37,0,34156570
38,3,34670445
39,2,39169902
40,1,39503679
41,2,39697783
42,2,40694717
43,1,41606188
44,1,41880959
45,1,42725356
46,1,43137586
47,3,43878210
48,2,44225473
49,3,48400662
50,2,49075993
51,2,49749234
52,2,49922328
53,0,50958658
54,1,51821762
55,0,52179347
56,2,52212482
57,2,52567987
58,2,52635430
59,3,52695596
60,2,55246228
61,1,56478015
62,0,57208472
63,0,58166235
64,2,58539134
65,3,59802480
66,1,61692560
67,2,62106601
68,2,62719219
69,0,63085858
70,1,63129697
71,1,63316348
72,1,63668889
73,3,64985387
74,2,66962881
75,2,68419893
76,3,68618196
77,0,68844702
78,3,68966102
79,1,69455726
80,0,69913046
81,1,70260664
82,0,71205673
83,0,71691218
84,3,71985616
85,1,73100067
86,2,75610854
87,3,76036247
88,3,76763365
89,1,76839770
90,1,77758520
91,0,78290509
92,3,79565700
93,2,79713679
94,1,80665713
95,1,80665870
96,0,83338348
97,2,86127854
98,0,91779121
99,1,91861249
100,0,92975297
101,2,93032812
102,2,93133696
103,1,93133854
104,0,94441643
105,1,95242605
106,0,95489138
107,1,96305005
108,1,96436003
109,2,97391892
110,2,98387209
111,2,98493914
112,0,99247487
113,2,99869683
114,0,100952349
115,2,101037297
116,0,101159004
117,2,101738958
118,0,102901384
119,2,103535338
120,2,103563189
121,0,103784242
122,0,104161871
123,0,104287333
124,1,105524961
125,1,106748081
126,0,106993407
127,1,107799418
128,0,108321137
129,0,109803706
130,2,110710676
131,2,111198456
132,2,112131522
133,2,112131892
134,2,115508302
135,1,117216203
136,1,117882480
137,0,118242412
138,1,119809670
139,2,120446111
140,2,120529590
141,0,121032600
142,1,121645973
143,2,122943313
144,3,123701899
145,2,124636267
146,3,124636321
147,2,124826622
148,2,125624986
149,2,126567997
150,2,126976835
151,1,127211919
152,2,129032220
153,1,130657898
154,2,133306995
155,2,134200261
156,3,134522935
157,3,134796811
158,2,135426880
159,3,135841366
160,3,136972686
161,0,137232876
162,2,137379693
163,0,138184513
164,0,138186380
165,0,138198594
166,3,138308993
167,2,139475108
168,2,141124270
169,2,142851266
170,1,143548970
171,2,144065912
172,2,144073509
173,3,144074955
174,2,145614079
175,0,146591003
176,1,147101767
177,1,147797777
178,1,148096586
179,1,148721435
180,2,152524666
181,3,152926296
182,1,153086499
183,0,153828231
184,2,154220590
185,2,154606141
186,2,154883032
187,3,158697353
188,0,159344040
189,3,162015854
190,3,162262787
191,2,162656501
192,0,162939067
193,1,164015563
194,2,164245115
195,2,165823548
196,1,166933215
197,3,167958963
198,1,168472403
199,2,168833118
200,0,169529122
201,2,171984120
202,1,173118670
203,3,173259712
204,3,173841518
205,2,175211360
206,1,175325287
207,0,175637006
208,2,177117662
209,2,177151036
210,1,177798766
211,2,178685512
212,2,179083673
213,2,179111483
214,3,179555410
215,1,179852791
216,1,180098766
217,2,180519142
218,0,180888962
219,2,181333045
220,0,183995742
221,0,185266141
222,3,185363297
223,1,185935123
224,2,186246630
225,2,186490742
226,2,186492516
227,1,188183796
228,1,188265231
229,1,189363649
230,2,190300161
231,0,191446665
232,0,193985982
233,0,194725627
234,3,196718137
235,1,196864564
236,2,196977773
237,2,198843242
238,2,200457592
239,2,203737783
240,0,204123960
241,1,204477145
242,1,204515322
243,0,204701483
244,3,205130654
245,2,206121489
246,2,207391907
247,1,209596046
248,0,209660433
249,3,212861150
250,3,213370337
251,0,213433700
252,0,213797978
253,2,214458099
254,0,215658069
255,2,216400560
256,3,219866929
257,3,220099161
258,2,221461739
259,0,222995786
260,0,224129285
261,1,225342442
262,0,226304706
263,3,227051085
