,cat,id
0,1,945206
1,1,1732311
2,2,2051707
3,2,2472331
4,0,2473199
5,1,2608227
6,0,2991344
7,2,3642512
8,2,4158912
9,2,4617268
10,2,4942152
11,0,6678508
12,1,7766912
13,2,8128393
14,2,9427558
15,2,9444351
16,2,10684572
17,2,10684710
18,2,13125703
19,2,15643536
20,2,16257788
21,2,16411672
22,2,16776931
23,2,17203762
24,1,17304016
25,2,17509485
26,2,19481494
27,2,20747028
28,2,21999643
29,2,22356762
30,2,23457889
31,2,24146488
32,0,26610153
33,0,28656278
34,0,29015667
35,2,32515180
36,0,33627742
37,2,34234082
38,1,35066379
39,2,35794070
40,2,36271397
41,1,36860101
42,0,37265420
43,0,37777955
44,2,38233260
45,2,39016882
46,1,40019374
47,1,40342838
48,0,40649034
49,1,40843779
50,0,41892783
51,2,43274056
52,1,47574320
53,0,47819953
54,0,47911126
55,2,48710347
56,2,49326130
57,2,49741878
58,0,50349170
59,0,51446486
60,2,52969710
61,0,55452030
62,1,55473112
63,0,56550584
64,2,57057932
65,0,57283862
66,2,57453509
67,0,59406734
68,1,59720426
69,2,61784111
70,2,64148991
71,2,64846555
72,0,66554268
73,1,66964587
74,2,67582371
75,0,67947736
76,0,67960813
77,0,68894305
78,0,69570195
79,0,70723153
80,0,71488373
81,2,72639553
82,2,72881016
83,2,73107667
84,2,73634027
85,2,73634595
86,2,74922622
87,0,75969630
88,0,76281477
89,2,76281511
90,2,76281534
91,2,77411867
92,1,77497635
93,1,79274789
94,1,82162418
95,2,82559554
96,2,83446817
97,1,84042715
98,1,84671831
99,1,87720804
100,0,88456224
101,2,89130763
102,2,89420478
103,0,89420756
104,1,90570274
105,1,91686074
106,2,91764508
107,2,91764520
108,0,91810120
109,1,92866254
110,2,93064048
111,2,93065593
112,1,93066395
113,1,93077147
114,1,93437723
115,1,93705634
116,2,96155102
117,1,96563920
118,2,97088817
119,2,98315229
120,2,99530509
121,0,99536548
122,2,99606701
123,1,100792988
124,1,102872418
125,0,104219196
126,2,105387298
127,2,105622402
128,2,105731826
129,1,106114448
130,2,106336581
131,2,106396616
132,2,107786430
133,2,109407897
134,1,110168230
135,0,110748368
136,0,110751904
137,2,112022878
138,2,113296505
139,2,113612181
140,2,115183469
141,1,115246307
142,0,116353580
143,2,116488702
144,0,117175464
145,2,117585768
146,1,119001798
147,2,120435795
148,2,120436000
149,2,120710230
150,0,121813898
151,0,121945530
152,2,122416717
153,2,122807600
154,0,123259840
155,2,123747810
156,2,124497532
157,0,129456412
158,0,130859175
159,2,131281478
160,2,131434897
161,2,131435023
162,2,131657690
163,2,131658223
164,2,131658654
165,1,131662345
166,1,132132807
167,0,133460379
168,1,133927832
169,2,134301071
170,2,135153238
171,2,139422206
172,2,139427920
173,2,140518855
174,1,141001163
175,1,143997208
176,0,144591612
177,0,144743425
178,2,145260526
179,2,146239652
180,2,146848505
181,0,147416746
182,0,147435224
183,2,147638273
184,0,150728734
185,0,151521940
186,2,154852608
187,0,154864399
188,0,155454898
189,2,156698441
190,2,157367090
191,2,158395825
192,2,162015008
193,2,162028410
194,1,162867738
195,0,163161514
196,2,164637323
197,2,164641459
198,2,165311633
199,1,165727959
200,0,167050932
201,0,167137816
202,2,169548134
203,2,169715106
204,1,169726235
205,2,169726244
206,1,171073589
207,0,173689620
208,0,173697816
209,2,173731014
210,2,174450450
211,2,174876069
212,0,176197791
213,0,176518844
214,1,176519736
215,2,177209502
216,0,177399479
217,2,177509545
218,2,178056906
219,2,178600984
220,2,179938503
221,2,180475948
222,2,180537621
223,0,183663012
224,2,184488871
225,0,184538850
226,1,184922171
227,2,185159376
228,2,186003240
229,0,186140198
230,1,186187619
231,1,186188369
232,1,186539235
233,0,186540284
234,2,186580762
235,1,186788718
236,1,186789121
237,2,186789342
238,2,186790017
239,0,187497476
240,2,187527786
241,2,187805965
242,1,188320797
243,2,188336481
244,2,191599486
