,cat,id
0,1,859797
1,1,2047832
2,1,2895841
3,0,3184805
4,0,4861962
5,2,5711136
6,0,6196519
7,0,6697142
8,1,6788709
9,0,7967878
10,0,9041592
11,0,9256176
12,0,9598082
13,0,9748545
14,0,10460852
15,1,10529442
16,0,10862043
17,2,11003055
18,1,11355441
19,0,12514982
20,0,13851249
21,1,13889189
22,0,15369201
23,0,15751623
24,1,15751816
25,0,15818008
26,0,15855566
27,1,16083474
28,0,16099842
29,1,16690785
30,1,16931906
31,0,17069710
32,0,17800187
33,0,19697264
34,1,19993862
35,0,22939499
36,2,23119613
37,0,26327713
38,1,28852121
39,1,29257633
40,0,29289282
41,0,29293095
42,0,30038041
43,1,30965198
44,1,31881867
45,0,32188714
46,2,32647484
47,0,34945987
48,0,34987588
49,1,35375458
50,0,35663379
51,1,37730128
52,1,38334902
53,2,39499659
54,1,39695970
55,1,39724365
56,1,39834474
57,0,40404421
58,1,41608184
59,0,42286177
60,1,42478159
61,1,43084926
62,1,43124523
63,2,43596727
64,0,43616907
65,0,43777877
66,0,44621250
67,0,45688284
68,1,46208223
69,0,47107359
70,1,48017827
71,0,48525051
72,0,48618329
73,0,49029468
74,0,50019022
75,1,50820972
76,0,50890663
77,0,51205193
78,1,51281778
79,1,51373929
80,1,52709740
81,0,54038147
82,1,54807477
83,0,55316428
84,2,55641326
85,1,56875211
86,1,57479543
87,0,59392085
88,1,59694209
89,0,60640958
90,1,61049629
91,1,61504947
92,1,61626454
93,0,61836197
94,0,61958712
95,1,63062155
96,0,64140878
97,1,64662013
98,0,64663070
99,1,65986351
100,1,66409766
101,1,66468820
102,0,67021932
103,1,67272594
104,2,67275467
105,1,67642673
106,1,67978025
107,0,69871120
108,0,70686768
109,2,71332006
110,0,71590702
111,1,71629534
112,0,72176491
113,1,73094625
114,0,73496297
115,1,74268189
116,0,74376027
117,0,75276448
118,0,75814875
119,0,76358081
120,0,77551090
121,1,77951041
122,1,79590555
123,0,79598460
124,0,79944730
125,1,81730343
126,0,83522445
127,0,85228382
128,0,87786990
129,0,88099019
130,2,88944061
131,2,89705036
132,1,89801314
133,1,89814903
134,2,89865473
135,0,91346917
136,1,91443239
137,1,92108389
138,0,92375258
139,0,92766409
140,0,93170031
141,1,93250578
142,0,94474875
143,1,95269997
144,1,95526193
145,0,96502311
146,1,96821589
147,0,97022300
148,0,97033314
149,1,97169207
150,1,97762197
151,1,99955649
152,0,100078409
153,0,100153872
154,1,100302383
155,1,101172967
156,0,101363038
157,0,102534541
158,0,102870717
159,0,102995565
160,0,103021504
161,1,103143496
162,1,103427733
163,1,104409983
164,1,104976052
165,0,105169401
166,0,105655181
167,2,105759303
168,0,107107141
169,0,107912816
170,0,108244268
171,1,108853518
172,1,109024914
173,0,110916540
174,1,110931930
175,0,111219201
176,1,111318479
177,1,111663430
178,1,112893291
179,0,112937701
180,1,113946515
181,1,114398005
182,1,114847257
183,0,114922927
184,0,115217344
185,0,115865460
186,2,116458469
187,0,116884940
188,1,117273952
189,2,117826949
190,0,118156348
191,1,119149000
192,0,120019005
193,0,120898348
194,0,121307363
195,0,121451893
196,2,122383338
197,0,122990967
198,0,124030572
199,0,124046479
200,0,124407972
201,0,124920512
202,1,125131235
203,0,126283950
204,0,126308083
205,0,126651913
206,0,126981370
207,0,127555993
208,0,127701628
209,1,128568138
210,0,128984436
211,1,129703272
212,0,129893422
213,0,129972229
214,0,132346695
215,1,133050051
216,2,133997222
217,0,134444855
218,0,134770847
219,2,135479775
220,1,136131953
221,0,139349941
222,0,139352924
223,2,139916392
224,0,140184052
225,1,140412549
226,2,140520306
227,1,140977454
228,0,142436508
229,0,144252967
230,1,146697096
231,2,147135918
232,1,147436664
233,0,147716530
234,0,147838021
235,1,148465464
236,1,149734866
237,2,150046892
238,2,151244565
239,1,151421577
240,0,151832599
241,0,152077428
242,0,152804750
243,0,153766574
244,2,154238621
245,0,154899437
246,0,154972106
247,0,155791872
248,2,156858430
249,1,157019424
250,0,157138271
251,1,157888515
252,0,158900185
253,1,159002356
254,0,159159684
255,1,159159997
256,0,160155175
257,0,160185891
258,2,160260269
259,1,161169253
260,2,161585386
261,0,161613585
262,0,161926057
263,0,162001208
264,1,162072362
265,0,162644061
266,0,162917343
267,2,163386189
268,1,164665139
269,0,165959556
270,1,166420104
271,0,166430358
272,0,166967525
273,0,167373561
274,0,168286286
275,1,168351311
276,1,169098258
277,1,169349609
278,1,170590800
279,2,170658550
280,1,170858252
281,0,171388332
282,0,173107815
283,1,173507369
284,0,174227408
285,0,174283773
286,0,175441827
287,1,175654445
288,1,175794238
289,1,177400765
290,1,177910357
291,0,178735294
292,1,178813131
293,0,179025753
294,0,179631530
295,1,179826379
296,2,180103856
297,0,180464211
298,2,180863072
299,0,181013494
300,0,181139975
301,1,183300326
302,0,184710054
303,0,184782995
304,0,186208877
305,0,186685612
306,0,186912723
307,0,186983592
308,1,187379774
309,0,188009966
310,0,188328286
311,0,188591929
312,0,190474339
313,0,190829105
314,0,191693929
315,1,191765147
316,0,192742100
317,0,194514110
318,0,195176190
319,2,195387335
320,1,195400114
321,1,196121690
322,0,196564336
323,2,197676993
324,0,198348517
325,0,198438563
326,0,199144947
327,0,200528765
328,0,200604379
329,0,200629481
330,0,200861260
331,1,202443092
332,1,202934918
333,0,204347233
334,0,204381482
335,0,204953292
336,2,205396460
337,0,205633482
338,1,205740551
339,1,205945565
340,0,208026701
341,1,208414506
342,1,208415847
343,1,208582304
344,0,209234784
345,1,209334556
346,0,209794232
347,0,210125398
348,2,210147823
349,2,210342165
350,1,210547299
351,1,211558401
352,2,211605180
353,0,211938158
354,0,212557417
355,2,212705773
356,0,213628134
357,0,214434008
358,0,216610943
359,0,216637042
360,1,216681539
361,0,217470364
362,1,217989857
363,0,219582458
364,0,220045020
365,0,221399637
366,2,221458585
367,0,221689670
368,0,221696456
369,0,222410409
370,0,224179441
371,1,225329285
372,0,225564768
373,1,225613815
374,0,226135418
375,0,227091258
376,0,227703504
377,1,229067748
378,1,230395606
379,1,230618948
380,1,230789064
381,2,231415917
382,1,231765582
383,0,231939632
384,1,232137311
385,0,234040874
386,0,234061632
387,1,235272967
388,0,235283929
389,0,237101876
390,1,237158030
391,0,237617943
392,1,237828579
393,1,238259537
394,1,240014220
395,0,240617413
396,1,240981302
397,0,242586004
398,0,243399691
399,0,243399754
400,1,243939820
401,0,244559049
402,0,246250468
403,0,246620764
404,0,247820736
405,0,249310894
406,0,249737427
407,1,250048335
408,0,250117475
409,0,251987443
410,1,252945815
411,1,254324047
412,1,254463034
413,1,255408136
414,1,255518454
415,2,255525185
416,1,256526382
417,0,256986983
418,1,257921733
419,2,259020962
420,0,261885597
421,0,262068377
422,1,262979275
423,0,263043189
424,1,263070620
425,0,263186518
426,0,263631604
427,2,263676444
428,0,264790135
429,0,267168346
430,0,268012139
431,0,268229420
432,2,269810187
433,2,270677522
434,0,273383501
435,0,273913519
436,0,274520623
437,0,274533514
438,1,275149796
439,1,275523716
440,1,275546055
441,0,275841959
442,1,275986156
443,0,276051007
444,1,276665695
445,0,278705773
446,0,278742421
447,0,279837840
448,0,280031278
449,0,280585679
450,1,281567648
451,0,282735774
452,1,282810356
453,1,283657365
454,2,283707995
455,2,285155203
456,0,286112252
457,0,286236871
458,1,287224639
459,0,287436668
460,0,287964482
461,0,288002128
462,0,288340064
463,0,288497631
464,0,289210834
465,0,292765735
466,0,294496888
467,0,294618408
468,0,294765680
469,1,294783463
470,1,296428234
471,0,296514287
472,1,297218509
473,1,298226281
474,0,299997287
475,1,300862144
476,1,301229279
477,1,301801481
478,2,302634727
479,0,302646240
480,1,302676894
481,1,302992042
482,0,303065677
483,2,303657428
484,0,303715123
485,0,304057995
486,0,304169481
487,0,304462697
488,1,304967440
489,1,305383360
490,0,307366313
491,1,308556133
492,2,309156547
493,2,309186710
494,0,310090293
495,0,310816609
496,1,311072752
497,1,312502323
498,1,312937053
499,1,313020540
500,0,313290584
501,0,313309747
502,2,313756223
503,0,313756626
504,0,314688950
505,0,314751347
506,0,314766934
507,1,316563781
508,1,316850906
509,2,319041328
510,1,319151438
511,1,319589145
512,0,319711193
513,0,320690586
514,1,321111627
515,0,322923217
516,0,325859256
517,1,326258650
518,1,326570898
519,1,326975335
520,0,327136048
521,0,327146553
522,1,327843603
523,0,328242586
524,1,328825930
525,1,329256268
526,1,330275850
527,2,331284789
528,0,331913254
529,0,332413643
530,0,332566647
531,0,335070202
532,0,336336532
533,1,336916393
534,1,337470641
535,0,338511867
536,0,340748708
537,1,343219241
538,0,343572690
539,0,343989640
540,0,344287231
541,0,344444794
542,1,345366336
543,1,348509081
544,0,348710045
545,0,349408365
546,0,349479084
547,0,349767427
548,2,350800302
549,1,351239671
550,0,352066290
551,0,352171793
552,1,352292765
553,1,352292910
554,2,352928842
555,1,352987771
556,1,353079793
557,0,353245674
558,0,353403649
559,0,355030659
560,0,356445036
561,0,356866875
562,2,357416495
563,1,358064505
564,1,359344278
565,0,359374451
566,1,359471429
567,0,359762160
568,0,360083600
569,1,360387910
570,1,360724467
571,0,361643863
572,1,361834615
573,0,361844283
574,0,361967546
575,1,362165520
576,1,362275435
577,1,362531657
578,1,362834496
579,1,363368734
580,2,363604234
581,1,364458955
582,0,364588092
583,1,365225167
584,2,365384191
585,2,365411473
586,1,366246928
587,1,366263772
588,0,366315430
589,1,366663013
590,1,367097024
591,0,367592176
592,0,367596039
593,2,368170363
594,0,368565147
595,0,370053634
596,2,370321073
597,1,371230557
598,2,371620294
599,0,372020730
600,0,372153313
601,0,373263514
602,1,373442920
603,1,376173056
604,0,376903423
605,0,377339076
606,1,377585274
607,1,378095224
608,0,378358889
609,2,378920070
610,1,379727866
611,1,382028597
612,0,382331080
613,1,382351783
614,0,383002824
615,0,384664315
616,1,385092821
617,0,385282273
618,2,386299001
619,1,386445133
620,0,388296593
621,1,388459516
622,0,389107186
623,0,390464511
624,1,390671375
625,1,390796749
626,0,391077455
627,0,391209874
628,1,391649619
629,0,391747734
630,0,391852080
631,1,392095060
632,0,392507012
633,1,393210983
634,1,393716658
635,0,393885329
636,0,394526522
637,1,394821673
638,1,396025165
639,1,396192832
640,2,396335559
641,1,396740232
642,0,396909444
643,1,397134966
644,0,397487222
645,1,398022964
646,2,398079632
647,1,398449642
648,0,398449687
649,0,398537790
650,2,399136734
651,0,399226834
652,1,400021202
653,2,400840331
654,2,401289460
655,0,401996693
656,1,402427499
657,0,402447472
658,1,402909086
659,2,403958328
660,1,404991043
661,1,405162387
662,0,405769281
663,2,406290670
664,2,406620065
665,0,407738112
666,1,408158983
667,1,408187322
668,1,408511914
669,0,409549185
670,1,410144031
671,1,410246705
672,1,411472812
673,0,411499920
674,1,411529059
675,0,412946586
676,0,413572290
677,0,413888534
678,0,414222761
679,0,414765410
680,0,416823579
681,0,416991405
682,0,417890539
683,2,418429435
684,0,418550565
685,0,419668709
686,0,420329291
687,0,421055607
688,0,421528236
689,0,421716032
690,0,421783543
691,0,422246939
692,0,422477850
693,0,422939682
694,1,423014585
695,1,428804668
696,0,428884380
697,1,429006424
698,1,429151697
699,0,430136245
700,1,430654844
701,1,430659861
702,2,430842849
703,0,434663368
704,1,436384514
705,1,436651634
706,1,438062630
707,0,438094065
708,0,441437972
709,1,443264164
710,2,443684789
711,0,444111570
712,2,444697492
713,1,445020557
714,1,448120180
715,1,448545693
716,0,449497910
717,0,449654823
718,1,450254196
719,0,451760207
720,0,451904175
721,1,455652837
722,0,456047719
723,2,456582522
724,1,456881114
725,0,458296689
726,1,462386984
727,1,467461185
728,2,467666053
729,0,467704321
730,1,467813398
731,0,470448944
732,1,470881386
733,2,472202237
734,1,474153342
735,1,478663402
736,0,478841859
737,1,479394783
738,1,480791971
739,2,482800933
740,1,485530800
741,1,487060573
742,1,491456082
743,1,491604059
744,2,491707093
745,1,491709478
746,0,492045506
747,0,493581630
748,2,497812933
749,0,498358119
750,1,501211010
751,1,501344271
752,0,501600168
753,1,501663018
754,1,503509184
755,0,504698551
756,0,504738799
757,1,507790195
758,0,508600862
759,1,509644892
