,cat,id
0,0,50076
1,0,1269439
2,0,1320013
3,2,1731919
4,0,1777706
5,0,1778252
6,0,1778274
7,2,2166745
8,2,2989947
9,1,3171477
10,0,5621161
11,3,7687611
12,3,8380456
13,0,9152248
14,1,9239702
15,3,9399766
16,1,9602855
17,0,11653335
18,2,11782857
19,1,13225422
20,1,15521645
21,0,16596075
22,0,16697181
23,2,17177102
24,1,18095780
25,0,19255759
26,0,19939072
27,3,21638999
28,0,21658069
29,0,22961666
30,0,24498168
31,2,25794036
32,0,25959809
33,1,27345007
34,0,27724602
35,1,27757652
36,1,28569968
37,0,29587803
38,2,29602230
39,0,29988453
40,1,31150032
41,2,31490618
42,1,31495464
43,0,32322527
44,2,33674278
45,1,34502428
46,0,34844277
47,0,35271710
48,0,36114854
49,0,37988050
50,0,40394992
51,0,40723307
52,0,40843682
53,0,41852657
54,2,42264010
55,1,42311737
56,1,42678284
57,0,44736178
58,3,44989435
59,2,47958507
60,2,48030826
61,1,48811010
62,0,49302057
63,0,49900926
64,2,49918954
65,2,50886898
66,0,51347501
67,2,52527656
68,0,53803119
69,0,54735022
70,0,55422301
71,0,55680356
72,0,56504946
73,0,56629531
74,0,56664784
75,3,57745899
76,0,58102568
77,0,60964642
78,1,61263917
79,1,63127353
80,1,63136543
81,0,63985453
82,1,64192368
83,0,64192874
84,1,65726866
85,2,67645221
86,0,68321485
87,0,70882073
88,1,71502737
89,0,74117566
90,2,76305187
91,0,76811454
92,2,78187040
93,1,78486490
94,0,83178573
95,2,84083482
96,0,84413971
97,0,84983399
98,1,85012353
99,0,85930320
100,0,87190392
101,1,88967475
102,0,88978842
103,0,89409507
104,1,91031773
105,0,91713899
106,3,91727742
107,0,91728302
108,2,91728922
109,0,92684960
110,0,94810075
111,0,95020730
112,1,95458309
113,1,95690635
114,0,95889776
115,0,96084206
116,0,96523315
117,0,97088769
118,0,97502942
119,0,98230644
120,1,99514544
121,2,99529149
122,1,99652860
123,1,99654469
124,0,100062842
125,2,102738411
126,1,103128397
127,0,103932744
128,1,104034325
129,1,104875659
130,1,104880080
131,1,104880217
132,1,105556402
133,3,106126753
134,1,106874997
135,2,107756522
136,1,108062454
137,0,108693106
138,1,109857945
139,0,110024133
140,0,110026167
141,1,111406564
142,0,111528709
143,0,112723967
144,1,113109747
145,0,113745250
146,0,113942939
147,2,115887522
148,1,116708913
149,0,116797072
150,2,116894480
151,1,117054858
152,2,117232612
153,0,117544265
154,3,119290341
155,2,119516784
156,0,120709858
157,0,121151241
158,2,121504703
159,2,122485495
160,0,122600676
161,0,124071264
162,0,124154061
163,1,126379695
164,2,127344328
165,2,127344358
166,2,127374575
167,2,127693912
