,cat,id
0,2,952167
1,1,1608753
2,0,2232039
3,2,2814925
4,2,3805167
5,2,4048991
6,2,6622873
7,0,7766863
8,2,9207673
9,1,9226169
10,2,10454949
11,2,10495969
12,2,11388459
13,0,13026997
14,2,13175584
15,0,14713370
16,2,15083713
17,2,15083800
18,1,15365701
19,0,15581407
20,2,15640942
21,0,16606163
22,2,17695446
23,2,19023009
24,1,20471547
25,1,22621891
26,2,26602802
27,0,28353123
28,2,28533029
29,1,28653625
30,1,28907559
31,2,29965595
32,0,30174992
33,0,30546685
34,1,32021431
35,1,32021480
36,0,32455182
37,2,32650710
38,2,36015709
39,0,36223681
40,0,36759300
41,0,37391511
42,1,38538122
43,2,38741145
44,2,39547725
45,1,40655292
46,2,41639757
47,0,41643415
48,0,43042007
49,2,43829596
50,1,44300965
51,2,44447071
52,0,44920690
53,2,45814073
54,0,46562021
55,0,46568118
56,0,46764755
57,2,47050641
58,1,47197474
59,1,48865091
60,0,50019557
61,2,51452732
62,0,51749036
63,0,51963778
64,0,53883473
65,0,54819596
66,2,55003818
67,1,55387689
68,2,55712670
69,0,55712804
70,2,55718654
71,2,56402192
72,0,57443001
73,0,59194987
74,0,59872859
75,0,60150469
76,2,60537437
77,0,61079834
78,2,61271793
79,0,61943319
80,2,62397596
81,0,63214857
82,0,63716860
83,1,64120489
84,2,64658550
85,2,66267117
86,1,66602417
87,2,67290956
88,2,67913795
89,2,68821998
90,0,69105709
91,2,70961961
92,1,71173522
93,2,72144477
94,1,72260571
95,2,73250597
96,2,75023092
97,2,78605131
98,1,79181783
99,0,79629559
100,0,79902948
101,0,80002475
102,1,80165689
103,2,81693968
104,2,81991348
105,0,82412711
106,0,83046482
107,2,83188946
108,0,83929452
109,0,85035235
110,1,85160865
111,2,85559771
112,0,85856073
113,2,85875931
114,2,85907556
115,2,86037109
116,2,86346527
117,2,87123392
118,2,87643306
119,2,87707392
120,2,88175044
121,0,89493810
122,0,90296160
123,0,91065084
124,2,91074005
125,0,91627326
126,2,91839944
127,2,92079682
128,1,93319034
129,2,93877407
130,0,94397945
131,2,94643664
132,2,95957879
133,2,96689493
134,2,96990745
135,1,97200029
136,0,98793498
137,0,98850098
138,0,99023039
139,0,99400975
140,1,100361063
141,0,100904713
142,2,101381008
143,0,101484948
144,0,101605033
145,0,101720268
146,0,102041525
147,0,103199730
