,cat,id
0,1,350654
1,2,833616
2,2,900337
3,0,1079768
4,3,1503787
5,0,3016131
6,2,4036375
7,3,4298855
8,0,4464517
9,3,4473359
10,1,4519681
11,0,6226541
12,2,6894820
13,0,7769709
14,2,8325309
15,2,8357486
16,1,9148952
17,2,10002574
18,2,10666031
19,0,10803515
20,2,11305259
21,2,12525791
22,2,12849251
23,3,12994797
24,3,13403548
25,2,14356762
26,2,14633120
27,1,14729181
28,3,15303105
29,2,15441329
30,0,16013048
31,0,18747516
32,0,19044322
33,2,19241120
34,0,19427295
35,2,20128609
36,1,20555592
37,2,20574681
38,1,20705697
39,2,20881360
40,2,21689299
41,2,22122459
42,1,22379742
43,0,22439174
44,2,23889923
45,0,24256890
46,1,24613963
47,2,24897514
48,2,24944695
49,1,27030389
50,2,27396702
51,2,28464198
52,2,28595224
53,2,28596328
54,0,30028275
55,2,30957021
56,2,31312325
57,2,33445301
58,1,33989003
59,1,33989023
60,2,34285731
61,3,34542850
62,3,35847487
63,1,35964108
64,2,36135623
65,2,36135792
66,0,37124270
67,3,37326421
68,3,37990459
69,2,38098810
70,2,38439820
71,3,38734105
72,0,39032197
73,3,39268370
74,1,39466893
75,1,39466896
76,2,39482580
77,2,39583183
78,0,40756452
79,3,42843662
80,2,43385506
81,0,43753222
82,1,43922404
83,2,44185172
84,2,44394341
85,3,45666643
86,3,45864383
87,0,46336087
88,0,46351269
89,2,46571060
90,3,47799447
91,1,48498858
92,2,50994279
93,3,52006336
94,2,54049624
95,2,55399668
96,2,56963550
97,1,57372454
98,1,57594028
99,1,57594070
100,1,57594113
101,1,57594156
102,1,58141744
103,1,58527753
104,1,58527803
105,0,59544812
106,1,59554576
107,0,60359499
108,2,62952081
109,2,63167002
110,2,63483354
111,2,63483406
112,0,63668603
113,0,64608681
114,2,66826765
115,1,68000416
116,2,68968428
117,0,69428177
118,0,70132670
119,2,71406004
120,2,71564700
121,2,72066360
122,1,72197296
123,2,73191111
124,2,74283196
125,2,74637459
126,1,74865006
127,3,75189497
128,2,76864667
129,2,76867636
130,3,77117463
131,3,82174887
132,3,82375195
133,0,82908419
134,2,83210141
135,2,85195212
136,3,85391851
137,0,86904028
138,2,87178965
139,2,88325536
140,2,88634710
141,0,88705984
142,2,88760651
143,0,89932590
144,2,90332538
145,2,90332961
146,3,91536265
147,2,91707222
148,2,92107654
149,3,92435894
150,2,92452855
151,0,92481170
152,3,93402962
153,2,93662725
154,2,93713677
155,1,94565563
156,1,94565694
157,0,94975612
158,1,95599159
159,2,96608543
160,1,97101206
161,1,97682909
162,1,97683252
163,1,97683402
164,1,97683465
165,1,97683662
166,2,100336702
167,1,100863746
168,2,102041731
169,1,102520160
170,2,103611495
171,1,103916539
172,3,104567309
173,3,105022196
174,2,105399300
175,2,105737654
176,2,106254815
177,2,108707929
178,1,109236370
179,3,109636797
180,2,109695399
181,2,110112208
182,2,110239560
183,0,110598000
184,2,112434042
185,2,113403731
186,1,113880645
187,2,113968721
188,2,113992055
189,2,116704332
190,1,117477529
191,1,117477659
192,1,117477857
193,1,117478837
194,1,117478969
195,1,117479049
196,3,117897887
197,0,119400043
198,2,119613758
199,3,122012140
200,1,124492665
201,0,124733075
202,3,125863117
203,2,125905860
204,3,126741699
205,2,126780953
206,3,127276704
207,2,128679396
208,0,129369336
209,1,129784591
210,3,130495104
211,3,130495245
212,3,130597773
213,2,132734306
214,1,132982598
215,3,133153363
216,2,133822438
217,0,133904199
218,2,135570160
219,0,135862619
220,0,136737119
221,2,138714317
222,2,138766447
223,2,138769113
224,1,139297451
225,2,139914921
226,0,140482035
227,2,140653237
228,1,141124287
229,1,141572900
230,1,141572961
231,0,141934939
232,1,144909142
233,3,144934187
234,0,145070572
235,2,146487407
236,2,148563923
237,1,149646615
238,1,151136782
239,1,152457728
240,0,152563955
241,1,152963603
242,1,153055286
243,1,153055398
244,2,154349819
245,2,154738630
246,1,154801329
247,1,154801387
248,1,155092046
249,1,155092064
250,1,155092085
251,1,155092287
252,3,157771496
253,0,158388170
254,2,159550747
255,2,160008789
256,2,160922046
257,1,160952554
258,3,160955218
259,2,161068611
260,0,161708870
261,2,162212177
262,2,162383553
263,1,162526935
264,1,162527080
265,1,162527109
266,1,162527123
267,2,162574790
268,1,163259056
269,1,164168060
270,2,164518003
271,1,165018292
272,1,165818434
273,3,166297141
274,2,167425081
275,0,169558380
276,1,169782764
277,2,170316464
278,2,170535480
279,2,171756854
