,cat,id
0,1,409095
1,1,948584
2,1,1406911
3,1,1667292
4,1,2015809
5,1,2015843
6,0,2402115
7,1,2618450
8,1,2715732
9,0,3068484
10,0,3068532
11,0,3068721
12,0,3704563
13,1,3783776
14,0,3961184
15,0,5544076
16,0,5544936
17,0,5567025
18,1,6233734
19,0,7747032
20,0,8781191
21,1,8848063
22,0,9206494
23,1,9967770
24,1,10055661
25,0,10588733
26,1,10590446
27,1,10590956
28,0,10591141
29,1,10591205
30,1,10591246
31,1,10664450
32,0,10782582
33,0,10796604
34,1,10919560
35,1,11528849
36,0,12531501
37,1,12842250
38,1,13903504
39,0,13996235
40,0,14340244
41,0,15369593
42,1,15390989
43,0,16254251
44,0,17294536
45,1,17797693
46,1,18760673
47,1,19139550
48,0,19506325
49,0,19602750
50,1,21357463
51,0,21831989
52,1,22488777
53,0,23269103
54,0,25031761
55,1,25443304
56,0,26058116
57,0,26277101
58,1,26277540
59,1,26295500
60,0,26908096
61,1,29699451
62,0,30198092
63,1,30512108
64,1,30997968
65,1,31078486
66,1,31099103
67,1,31148197
68,1,31180599
69,0,31201928
70,0,31207659
71,0,31208346
72,0,31208624
73,1,32986959
74,1,34523385
75,0,35064478
76,0,35368769
77,0,35865833
78,1,36809043
79,0,36954830
80,0,37255862
81,0,37881629
82,1,38346094
83,0,38399403
84,1,40755586
85,1,41381860
86,0,42432812
87,1,42770192
88,0,43312432
89,0,44306487
90,0,45551689
91,0,46713813
92,0,47958259
93,1,48844531
94,0,49180231
95,1,49314258
96,0,50070145
97,0,50070184
98,1,50416986
99,0,53526014
100,0,55935194
101,0,57184080
102,1,57243156
103,0,57389605
104,0,57673823
105,1,57721939
106,1,58064872
107,0,58156593
108,0,58218328
109,1,58539533
110,0,59539130
111,1,59820485
112,1,60913229
113,0,60928036
114,1,61202700
115,1,61383090
116,0,61612825
117,0,63362394
118,0,63362479
119,0,63362795
120,1,63363661
121,1,63438295
122,1,64148853
123,0,65368381
124,1,65717370
125,1,66976776
126,0,67065701
127,0,67266759
128,0,68012570
129,1,68521651
130,0,68614074
131,0,69145425
132,1,69342868
133,0,69818255
134,1,72348312
135,0,73582692
136,1,73746402
137,1,73746414
138,1,76004390
139,0,76282741
140,0,76301472
141,0,76302429
142,1,79171925
143,1,80134373
144,0,80743521
145,1,80832097
146,0,81015968
147,1,81840489
148,0,82374326
149,1,84196975
150,1,88824229
151,0,89099374
152,0,90806330
153,1,92154772
154,0,92896225
155,0,92962904
156,0,93094357
157,0,95126225
158,1,95154798
159,1,95870016
160,0,95871143
161,0,96171825
162,0,96865836
163,1,97175173
164,0,99952631
165,1,100170762
166,0,101022825
167,1,101748038
168,0,103657032
169,0,103657196
170,1,104501042
171,1,104596402
172,1,104845877
173,1,105145983
174,0,105885567
175,1,109267174
176,1,109267190
177,0,110025766
178,0,111594676
179,1,112523192
180,0,113309189
181,1,113500920
182,1,114056154
183,0,117128185
184,1,118377188
185,1,118862284
186,0,118991659
187,1,119484750
188,1,120909033
189,0,121751270
190,0,122317429
191,1,125141663
192,0,126169710
193,0,127141230
194,0,127670247
195,0,128554503
196,1,128705804
197,0,129571708
198,0,130215758
199,0,130221782
200,0,130720559
201,1,130776767
202,0,132411562
203,0,133890460
204,0,133995024
205,1,133995038
206,0,133995110
