,cat,id
0,1,295605
1,2,1069504
2,2,2016649
3,0,3019872
4,2,3465401
5,0,3973310
6,2,5859376
7,0,5981078
8,0,6858691
9,1,7849326
10,2,9074714
11,1,9075066
12,0,10087373
13,0,10506887
14,2,10568892
15,0,10796607
16,1,11848611
17,0,12446072
18,0,13378515
19,0,15030222
20,1,17810748
21,2,18588303
22,2,18624743
23,0,19277468
24,0,19746805
25,2,20089006
26,2,21357189
27,1,21405724
28,0,21700919
29,1,23481979
30,2,23725981
31,0,24068679
32,1,24738823
33,1,24836994
34,0,25034764
35,2,25071082
36,2,25083365
37,0,25123434
38,1,27745631
39,1,28645593
40,0,30095545
41,2,32004419
42,0,32944603
43,0,34041395
44,0,35758383
45,1,35758460
46,0,35884854
47,2,36029565
48,1,36237792
49,2,37196069
50,1,38841533
51,0,38903132
52,2,39259454
53,0,39500652
54,0,39663542
55,2,40136267
56,2,40347138
57,0,41333020
58,1,41706498
59,1,42187096
60,0,43898299
61,1,44105083
62,1,44739231
63,0,45697192
64,0,47080960
65,1,47129143
66,1,47872364
67,0,49273884
68,0,53640590
69,0,55561273
70,1,55567264
71,0,56445260
72,0,56469793
73,0,56988382
74,2,57238791
75,2,57769825
76,0,58441948
77,0,58444336
78,0,58621772
79,1,58999520
80,1,59051586
81,0,59318822
82,2,59682807
83,1,59841059
84,0,61243789
85,0,61578300
86,2,61660367
87,1,62479284
88,0,64310124
89,0,64662310
90,2,64732978
91,0,65832529
92,1,66433900
93,0,67506028
94,1,67894488
95,1,67894696
96,2,69956547
97,0,70125086
98,2,71130177
99,0,71933826
100,1,72229237
101,1,73071523
102,0,74188122
103,0,75639488
104,0,76311322
105,0,77112120
106,0,77153128
107,1,77441283
108,0,78004021
109,2,79010453
110,2,79379481
111,0,80350028
112,2,81311079
113,2,81462146
114,0,81862345
115,1,82187447
116,0,82243582
117,1,83509558
118,0,83821615
119,0,84358826
120,1,86860016
121,1,86895785
122,1,91920158
123,1,91988279
124,1,92132507
125,0,93466445
126,1,94041793
127,0,95493534
128,2,96703699
129,1,97813820
130,0,99897279
131,1,100067749
132,0,101183063
133,2,101292810
134,0,103180642
135,1,103240596
136,0,103420114
137,0,104392484
138,1,104449728
139,0,105188397
140,1,105243703
141,0,105286396
142,1,106253642
143,1,106828041
144,1,106965841
145,1,107375609
146,0,107784653
147,1,108086317
148,0,108318848
149,0,109150534
150,0,109504598
151,0,113417459
152,0,113425614
153,0,115467530
154,2,116922536
155,0,117117331
156,1,117429976
157,2,117745095
158,0,119794338
159,0,121833475
160,1,121978497
161,2,122483499
162,0,125446392
163,0,128383422
164,2,128810030
165,0,130163513
166,0,130874657
167,1,131218651
168,1,131357087
169,0,132545348
170,1,132545903
171,1,132758630
172,0,133117880
173,1,134840205
174,0,134872140
175,0,135474659
176,0,137188826
