,cat,id
0,2,346482
1,3,1088630
2,0,1849679
3,1,2413640
4,2,3028629
5,1,3592420
6,0,4322392
7,2,4477849
8,2,5612647
9,0,6415374
10,0,7192215
11,0,7672089
12,3,7785010
13,3,7982610
14,2,8534602
15,2,8985304
16,0,9898047
17,2,11172613
18,2,12842246
19,2,13346261
20,1,13623082
21,1,14563182
22,3,14851001
23,1,15601871
24,1,15649711
25,2,15921991
26,1,17479768
27,0,17496622
28,2,17987143
29,1,18181200
30,3,18449487
31,0,18679034
32,0,19011880
33,2,19082947
34,2,21778076
35,1,22747837
36,3,23771295
37,3,24501683
38,1,24998707
39,3,25798098
40,3,26187198
41,2,26209937
42,2,26735959
43,0,27570846
44,0,27667823
45,3,27807568
46,0,28015032
47,0,28057617
48,1,28072078
49,0,28228573
50,2,28725649
51,3,28934296
52,2,29234393
53,0,29985197
54,2,30085844
55,1,30396016
56,3,31032758
57,0,31892378
58,2,31939770
59,1,32250495
60,2,32905981
61,3,36255468
62,2,37138355
63,0,37446017
64,2,38219418
65,2,38947681
66,3,39637487
67,3,40069944
68,2,40610917
69,3,40611596
70,0,40637725
71,1,40772226
72,3,40782308
73,2,40812949
74,0,41416993
75,1,41514430
76,3,42950658
77,3,43388877
78,0,43950309
79,2,44470140
80,0,46988587
81,0,47104724
82,2,47153999
83,0,48446493
84,3,49674422
85,1,49981254
86,3,50179504
87,0,50795896
88,1,51362918
89,2,52047966
90,2,52848879
91,2,52849122
92,0,53084529
93,0,53504389
94,3,53717368
95,0,54213312
96,1,54670076
97,1,55502908
98,3,55649693
99,2,56009717
100,0,56171264
101,1,56239057
102,3,56920192
103,2,57016350
104,1,58005474
105,1,59105866
106,3,61711822
107,2,61792069
108,0,61979314
109,0,62798083
110,0,64378792
111,0,65392114
112,2,67174239
113,2,67617541
114,2,68088436
115,2,68088514
116,1,69453913
117,1,69626579
118,3,69689863
119,1,70436435
120,3,71201560
121,2,71759852
122,0,72965696
123,3,73419265
124,3,73456433
125,3,73461819
126,1,73732850
127,2,74299266
128,2,75024120
129,2,77214435
130,2,78905332
131,0,80299854
132,1,80442515
133,3,80601686
134,2,81124394
135,0,82784490
136,0,84013528
137,3,84565797
138,1,87079148
139,3,88572113
140,0,88581447
141,0,88583146
142,0,88583268
143,2,88833157
144,1,88990880
145,1,89421824
146,1,89612636
147,0,90456347
148,0,90456411
149,0,91093470
150,0,92606710
151,0,92837089
152,2,93006638
153,2,93144206
154,2,93302849
155,0,93976095
156,2,94162867
157,3,94564165
158,0,94938856
159,3,95152563
160,2,95398192
161,3,96634017
162,2,97588050
163,0,97848574
164,3,98358975
165,1,101161855
166,0,102205568
167,0,103112287
168,1,103766786
169,0,103870492
170,3,105791541
171,3,105793458
172,0,106506131
173,0,106744926
174,3,109253029
175,1,109377434
176,2,109686653
177,1,110702436
178,1,111403095
179,3,111596613
180,1,112008923
181,0,112261234
182,2,112565898
183,1,112631839
184,0,113005537
185,2,113190420
186,2,114481062
187,3,115498905
188,2,116241967
189,3,116300030
190,0,116390771
191,1,116577025
192,1,118614777
193,1,118667553
194,1,119418468
195,2,120998104
196,1,121261175
197,2,122027934
198,0,122223716
199,0,123812970
200,2,124102523
201,2,124307507
202,2,124740480
203,2,125732912
204,1,126251990
205,3,126314435
206,2,127812820
207,0,127875050
208,2,128258309
209,2,128258486
210,0,128258678
211,3,128280172
212,2,128304731
213,3,128304908
214,3,129371699
215,2,131453597
216,3,131453605
217,0,131487106
218,0,131624300
219,2,132495027
220,2,132838560
221,3,133010951
222,0,134798298
223,3,135904330
224,0,135992167
225,3,136185632
226,3,136246868
227,0,136611585
228,2,136830270
229,2,136983495
230,0,137657546
231,2,137744570
232,2,139315160
233,3,139445511
234,2,139534726
235,0,142696820
236,2,143224496
237,0,143420796
238,1,143547758
239,2,144329780
240,0,145106290
241,1,145129698
242,1,147012388
243,2,148019083
244,0,148452676
245,1,151176417
246,0,154122743
247,2,154399275
248,0,155070655
249,1,156138685
250,0,156308867
251,2,156462388
252,1,156759154
253,0,157590928
254,1,158106931
255,2,158252308
256,1,158533397
257,0,158736514
258,0,158944563
259,0,159099389
260,1,160051005
261,2,161778388
262,1,161944233
263,0,161963125
264,1,162216432
265,2,162415532
266,1,164078223
267,2,164611668
268,1,164763494
269,1,165808247
270,2,166717031
271,0,167825662
272,1,168068093
273,2,170086811
274,2,170383553
275,1,170519578
276,0,171600621
277,0,172661836
278,2,172743586
279,0,174406578
280,0,175462121
281,2,175537562
282,2,176072914
283,0,176304753
284,3,176940992
285,0,177245075
286,2,177917470
287,2,178012253
288,0,178364052
289,1,178411453
290,2,179309499
291,3,179596209
292,2,181914451
293,3,182198592
294,3,182275915
295,0,182663528
296,2,183002135
297,0,183983978
298,2,185269686
299,1,185366062
300,2,186483484
301,3,188305939
302,0,188685113
303,3,189757287
304,0,189855193
305,2,190346920
306,0,190500971
307,2,190730730
308,0,191458996
309,2,191684593
310,1,191731389
311,0,192107971
312,2,192558030
313,2,192558587
314,2,192558978
315,2,192566293
316,2,193088105
317,0,194384417
318,0,194396557
319,0,195170437
320,2,195273178
321,3,195316364
322,3,195472891
323,0,197113039
324,0,197115123
325,0,198373733
326,0,199199231
327,1,200616262
328,1,202364688
329,1,202775371
330,3,203645056
331,2,204302480
332,3,204670898
333,0,205321777
334,1,205879457
335,3,207231884
336,2,207885210
337,2,208102278
338,1,208851325
339,1,210167432
340,2,210526765
341,2,210703272
342,0,210975531
343,0,211169090
344,1,211406218
345,0,211509458
346,1,211875518
347,0,212700107
348,2,213590178
349,0,213709549
350,1,213858321
351,3,215173929
352,0,215212078
353,3,215999688
354,2,216761085
355,2,216798931
356,0,216823856
357,2,216912470
358,2,216913153
359,3,217031881
360,0,217617662
361,2,218697280
362,0,220129817
363,0,221272139
364,1,221682366
365,1,222963267
366,1,223833346
367,0,223987761
368,0,226136637
369,3,226183542
370,3,227434139
371,0,228117938
372,1,228164725
373,0,230232413
374,2,230234198
375,2,231277080
376,0,231331422
377,0,231332003
378,0,231445444
379,0,231814609
380,1,231949707
381,0,232003685
382,2,232424092
383,1,232790949
384,1,233539882
385,0,233542746
386,1,234096713
387,2,234189582
388,2,234657691
389,3,234660356
390,0,234965469
391,1,235600037
392,1,236708559
393,3,237324806
394,1,237725234
395,0,237726716
396,1,238128904
397,2,238142141
398,0,240163315
399,1,241706638
400,1,242624011
401,1,242847019
402,2,243248899
403,3,246366543
404,1,247764470
405,0,247789117
406,1,248406080
407,1,248815007
408,2,249413229
409,3,250578590
410,3,251403775
411,3,251614398
412,1,251834517
413,0,252522151
414,2,253599517
415,2,253648328
416,0,254158272
