,cat,id
0,0,3251498
1,2,3745125
2,1,5308560
3,0,6006180
4,2,6720382
5,1,7092215
6,2,8621285
7,1,11065196
8,2,12448457
9,0,12827371
10,2,12827773
11,1,12830937
12,1,12842780
13,0,14923385
14,1,14923413
15,2,16227975
16,0,17910470
17,0,18036123
18,0,18408938
19,1,18477257
20,1,18860994
21,0,19080719
22,2,19563039
23,0,19996678
24,2,20085042
25,2,20085399
26,1,21504990
27,1,21968761
28,0,21978781
29,0,24757012
30,0,24979352
31,2,25177510
32,2,25182297
33,0,25218372
34,1,25892142
35,0,26024152
36,2,26366681
37,2,26367445
38,0,26544604
39,2,26642343
40,0,26877175
41,2,27932986
42,1,29397616
43,0,30301693
44,0,32324469
45,0,32614271
46,1,33577272
47,1,33740953
48,2,34600404
49,0,35985272
50,1,35985635
51,0,37601250
52,0,39997748
53,1,43197367
54,2,43199920
55,2,43200511
56,2,43200775
57,0,43213859
58,2,45777659
59,0,47444616
60,0,48394019
61,0,48676870
62,0,51945675
63,2,52067804
64,2,52714810
65,2,53867535
66,0,56905217
67,1,57491080
68,0,59249412
69,2,61253426
70,2,61254830
71,2,61257417
72,1,61839745
73,2,62718498
74,1,65038786
75,0,65218129
76,1,66630836
77,0,67029724
78,0,68308922
79,0,68324401
80,1,68370509
81,0,68755414
82,2,68803411
83,1,69561180
84,1,70434073
85,0,72752305
86,0,73797078
87,0,75158192
88,2,78797147
89,2,78992059
90,0,78995193
91,2,79360925
92,0,79363421
93,1,81515855
94,0,82404618
95,2,82404653
96,2,83103659
97,1,83502030
98,2,84151352
99,2,84159193
100,0,86890675
101,1,87864433
102,2,89251029
103,2,91360985
104,1,91543428
105,1,93460879
106,2,93993586
107,0,95288079
108,0,95288098
109,2,96714351
110,2,98819315
111,1,99301816
112,1,101018132
113,1,101630572
114,0,102901517
115,2,104061170
116,0,104463506
117,1,104821692
118,0,106417076
119,2,106886872
120,2,107426557
121,1,109464665
122,1,110293059
123,2,110390299
124,0,111911980
125,0,112459657
126,0,113353682
127,0,114513341
128,2,115067799
129,2,115071113
130,0,115071135
131,2,115073491
132,0,115074001
133,1,115078229
134,2,115080072
135,1,115081835
136,2,115096656
137,2,115097727
138,2,115420904
139,0,116594098
140,2,118056689
141,0,119516715
142,0,122524939
143,2,123802660
144,1,124108611
145,0,124387942
146,0,124388803
147,0,124449466
148,0,125475125
149,2,125704266
150,2,126017260
151,2,126017875
152,0,127810660
153,2,127889175
154,1,127889427
155,1,129554463
156,0,129554472
157,1,129554493
158,2,136057453
159,1,139316124
160,2,142226336
161,2,143163102
162,2,145327142
163,1,145743397
164,1,146749297
165,2,147132908
166,1,149251018
167,2,149615686
168,0,150526103
169,0,150767470
170,0,154477108
171,2,154809890
172,2,154913234
173,1,155097697
174,2,155258769
175,2,156278992
176,2,157262877
177,1,157348906
178,2,158602149
179,2,158649882
180,1,158747514
181,0,160356048
182,1,160529443
183,1,161117209
184,1,161117893
185,2,162581567
186,1,162863310
187,1,162973307
188,2,163147434
189,2,164499013
190,0,164812502
191,0,165150170
192,1,165578643
193,2,165933237
194,2,166061399
195,2,166582222
196,1,167905100
197,1,168365050
198,2,168420470
199,2,168501816
200,2,171396500
201,2,173436369
202,0,174255556
203,0,174255832
204,2,174890837
205,0,175606400
206,0,178866629
207,0,180143027
208,0,180656471
209,2,181457743
210,0,182121212
211,0,182121222
212,1,182175726
213,0,186705988
214,0,187193604
215,0,187193657
216,2,187684666
217,1,187686029
218,2,188479931
219,1,191115548
220,0,191310913
221,0,191313956
222,1,191429817
223,0,191596661
224,0,192143223
225,0,192404960
226,2,193347633
227,0,193348060
228,2,194018920
229,1,194956422
230,0,194956457
231,0,195209053
232,0,195842212
233,2,196354638
234,0,196594418
235,0,196968422
236,1,197046165
237,1,197049205
238,0,197442191
239,0,197445725
240,0,197445906
241,0,197453548
242,1,197464755
243,2,197469226
244,2,197598248
245,0,198207953
246,2,198222370
247,1,198246238
248,0,198602516
249,0,198822467
250,0,199322147
251,0,200171101
252,1,200212989
253,1,200763737
254,1,200768764
255,1,200784822
256,2,201792519
257,2,202034909
258,2,202115174
259,0,205741210
260,1,206014838
261,0,206474226
262,2,206561055
263,2,209124550
264,0,210265300
265,0,212566817
266,1,213179951
267,0,214621404
268,1,216677258
269,2,216767507
270,0,217170234
271,2,218878473
272,2,219399278
273,2,219629966
274,1,221089058
275,2,221232635
276,2,222333319
277,1,224066781
278,1,224281526
279,2,224847294
280,2,224962559
281,2,225192459
282,2,233128032
283,1,233521388
284,0,233908452
285,2,234802736
286,0,235782054
287,2,236011085
288,0,236567171
289,0,239873003
290,0,241580167
291,1,241610393
292,0,242227829
293,0,242839233
294,1,243931505
295,1,246167901
296,2,247040441
297,2,247491952
298,1,247494749
299,0,248956499
300,2,250188026
301,1,250347537
302,0,253287818
303,2,253287965
304,0,254526923
305,2,255755198
306,2,256019106
307,2,256371966
308,1,257567118
309,1,257779481
310,1,257790687
311,0,258308236
312,0,258341736
313,0,261150137
314,2,261487114
315,0,261645779
316,0,262457293
317,1,265524380
318,1,265577447
319,0,266093083
320,2,266121123
321,1,267921805
322,2,268008969
323,2,268675194
324,0,270969762
325,1,271665401
326,0,271860856
327,2,271900742
328,2,271904564
329,2,272364515
330,0,272471663
331,0,272471763
332,1,272929589
333,2,273876459
334,0,274306766
335,0,274628810
336,0,275083823
337,2,275646495
338,2,276265204
339,2,276679171
340,0,277607209
341,2,278424190
342,0,278880820
343,2,278881373
344,1,278881403
345,0,280353674
346,2,280421030
347,0,281624862
348,2,281666327
349,0,281872198
350,2,284002662
351,2,284598130
352,0,287623824
353,2,288617466
354,0,289157018
355,0,289542562
356,1,289950207
357,2,292215832
358,2,292215891
359,0,292697457
360,0,295960101
361,2,298994467
362,0,299739081
363,2,299925817
364,1,299925996
365,2,300657861
366,2,301143605
367,0,301380423
368,0,301555719
369,2,302475263
370,0,302848314
371,2,303656776
372,2,307168453
373,2,308915078
374,2,308925347
375,0,310311026
376,2,310468871
377,2,310487276
378,2,310487940
379,0,310488053
380,0,310986066
381,1,311331112
382,1,311331236
383,1,311550572
384,2,311570998
385,0,313956773
386,2,314583101
387,0,315819863
388,2,315942737
389,1,319303455
390,2,323491810
391,0,325075277
392,2,326583145
393,1,327071472
394,2,327072514
395,1,330127573
396,1,330127579
397,1,330668302
398,2,331132646
399,2,333672016
400,0,333930871
401,2,334973534
402,2,334973654
403,1,336533982
404,0,339255662
405,2,339591888
406,0,339823553
407,1,340256321
408,2,341172962
409,2,342775577
410,1,342777342
411,1,344747509
412,2,344765778
413,2,345026302
414,0,346069544
415,0,346069756
416,0,346332908
417,2,346631067
418,0,347163581
419,0,348640003
420,0,348861541
421,0,349761781
422,0,350664929
423,2,351055507
424,0,351417033
425,0,352028650
426,1,352039829
427,1,352103389
428,1,352860978
429,2,353090308
430,2,353090366
431,2,353484256
432,0,353682483
433,0,354001548
434,2,355479786
435,0,355511567
436,2,356301854
437,0,356838342
438,0,356839867
439,2,358445636
440,1,360051172
441,2,361019248
442,2,361058401
443,1,361064873
444,1,361110457
445,0,361555096
446,1,362283385
447,2,362620896
448,0,363606615
449,1,364508888
450,0,365226878
451,0,365551810
452,2,366644909
453,0,366821822
454,1,368142059
455,0,369632365
456,0,369827223
457,0,371526938
458,0,372574807
459,1,373367043
460,0,374344341
461,1,377966418
462,1,378433365
463,1,378433375
464,1,378434445
465,0,378435359
466,1,379999519
467,2,380729301
468,2,381157981
469,1,382610717
470,0,385544755
471,0,386010703
472,1,386038241
473,0,389128864
474,0,389129269
475,2,389632749
476,1,389702416
477,2,389801508
478,2,390338652
479,2,390339399
480,2,390339468
481,2,390339648
482,2,390339998
483,0,390498266
484,0,390710832
485,1,391466956
486,0,392209540
487,1,393089786
488,0,394254309
489,1,395509096
490,2,395771659
491,1,396451645
492,2,397876099
493,2,397981843
494,0,398616924
495,1,398617391
496,1,398617610
497,1,398618908
498,0,398618959
499,1,398619515
500,1,398623027
501,1,398629235
502,1,398632210
503,2,399894411
504,0,400034429
505,2,400515323
506,2,400946380
507,0,402877164
508,1,404610329
509,2,405116047
510,2,407229717
511,0,407876917
512,2,407877198
513,1,410536999
514,0,410751423
515,0,411632021
516,2,411889101
517,0,413265149
518,2,413773254
519,2,413773305
520,0,415204574
521,0,415334085
522,1,415768860
523,0,416543178
524,0,416923093
525,0,416923247
526,2,418576365
527,2,421957762
528,0,423002729
529,0,423342802
530,0,423345531
531,2,423359367
532,2,423370833
533,0,429306738
534,2,429470587
535,0,430127720
536,2,435511027
537,2,435655946
538,1,449275278
539,0,450593105
540,0,451570078
541,0,451571085
542,0,451842741
543,2,451851503
544,2,452098289
545,0,452180375
546,2,452408049
547,2,452492325
548,2,452607906
549,1,452646682
550,2,452782393
551,1,452903761
552,2,453378720
553,0,453412568
554,0,453923994
555,0,453951361
556,2,454512945
557,2,454513359
558,0,454915265
559,0,455377061
560,0,456523272
561,2,456659740
562,0,456659784
563,0,457306906
564,0,457586103
565,0,458707193
566,2,461336560
567,0,463183922
568,0,465985095
569,0,469356207
570,2,470383439
571,0,471952471
572,0,471953766
573,0,471953844
574,0,471954604
575,0,473518326
576,2,476309134
577,0,476368690
578,0,476475166
579,0,478779835
580,2,480252238
581,2,481268326
582,0,483852492
583,0,484276355
584,0,485021121
585,0,485573253
586,0,488013334
587,0,490485600
588,2,493652464
589,1,493806498
590,1,493806627
591,0,494567716
592,2,495886583
593,0,496895677
594,0,496899549
595,0,496899569
596,0,496899609
597,0,496899635
598,0,496899753
599,0,496899807
600,0,497359441
601,0,498199448
602,2,500501276
603,1,502530229
604,0,504551368
605,0,507622661
606,1,507641199
607,0,507641241
608,1,507687045
609,0,508323827
610,0,510110197
611,2,516935445
612,0,517342243
613,0,518710376
614,0,518915791
615,0,518973768
616,0,519245268
617,1,521252335
618,0,521359072
619,0,523916686
620,1,524583821
621,2,524893000
622,2,528357224
623,0,528462830
624,2,528551629
625,2,530858568
626,0,531172460
627,2,532904987
628,2,535108050
629,1,535108454
630,0,536463464
631,0,538734960
632,2,540090136
633,1,540145226
634,2,545836201
635,0,556048779
636,0,556094865
637,0,556107852
638,0,556162653
639,1,556166006
640,1,556166020
641,0,556188018
642,0,557431649
643,0,557433390
644,0,557972010
645,0,560844655
646,0,561420958
647,0,564546530
648,0,564553720
649,2,564817524
650,0,565861784
651,0,565872326
652,0,565873236
653,0,565897315
654,2,566891562
655,2,567034000
656,0,567041698
657,2,567167045
658,1,567239420
659,0,567331248
660,2,567483693
661,0,575038736
662,0,578601177
663,0,579505722
664,0,580948739
665,0,580948863
666,0,580950587
667,1,580951423
668,0,580960141
669,0,580972814
