,cat,id
0,1,364282
1,1,535992
2,3,2328170
3,1,2328766
4,1,2520744
5,0,2577984
6,2,2657488
7,1,2935098
8,1,3013992
9,0,3458046
10,1,3956199
11,2,4698412
12,3,5250037
13,2,6977797
14,1,7143561
15,2,7603519
16,2,9368249
17,0,10482672
18,0,10503137
19,1,10508505
20,0,10829062
21,0,11628627
22,0,11878216
23,2,13314358
24,2,14034624
25,3,15329843
26,0,15514689
27,2,16313253
28,1,18221708
29,0,18373348
30,0,18454506
31,0,18454598
32,0,18455019
33,1,18579573
34,2,18648762
35,0,19338459
36,3,19832192
37,0,20278491
38,0,20539871
39,0,21656869
40,1,21741308
41,0,21942437
42,2,22434262
43,0,23470434
44,1,23591387
45,2,24923807
46,0,26134549
47,0,26134785
48,0,26135266
49,1,26178129
50,1,27042304
51,3,27153830
52,0,27487220
53,2,28324435
54,0,29012374
55,0,29091796
56,0,29499852
57,2,29948309
58,1,30261208
59,0,30810598
60,0,31595640
61,2,31606866
62,2,31746311
63,1,32184530
64,1,34662712
65,1,35581141
66,1,35583869
67,0,35815468
68,0,36281880
69,0,36399535
70,0,36399541
71,0,36817984
72,0,36846974
73,2,37083577
74,0,38562211
75,2,39339991
76,0,39474616
77,1,41117764
78,2,41855425
79,2,41855452
80,2,41855777
81,2,41855899
82,2,41856023
83,2,41856054
84,1,42311290
85,1,42513630
86,0,42725750
87,1,44127016
88,0,45157923
89,0,45158105
90,1,45158339
91,2,45761779
92,3,45841611
93,0,45940481
94,0,46408126
95,1,46595427
96,1,46748034
97,2,47627352
98,2,47627644
99,3,49143704
100,1,49643675
101,1,49824879
102,0,49946871
103,2,50595311
104,1,50730768
105,0,51013703
106,2,51103247
107,0,51588074
108,0,52382247
109,2,53876328
110,0,53887750
111,0,54544035
112,2,55111206
113,0,55219203
114,0,55521812
115,0,55523904
116,0,55618854
117,0,56163282
118,0,56164818
119,0,56324096
120,1,56705368
121,3,59663921
122,0,59815484
123,1,61138539
124,1,62058434
125,2,64522762
126,2,64954329
127,0,65126845
128,2,66979201
129,2,67555056
130,2,69645797
131,1,71582593
132,1,72410808
133,2,73577501
134,3,74302167
135,2,74946061
136,1,75322953
137,0,76483106
138,1,76843729
139,1,78119358
140,1,78647325
141,1,79164623
142,0,79783197
143,0,79876113
144,1,80488562
145,0,82582784
146,1,83226549
147,1,83598797
148,0,83619259
149,2,83964348
150,2,85865422
151,1,86213628
152,2,87105023
153,0,87758218
154,2,87880548
155,2,88074563
156,2,88343315
157,1,88527479
158,2,88917786
159,1,89300977
160,2,89517591
161,0,90678116
162,2,91034771
163,2,91352613
164,2,91352737
165,2,91354367
166,3,92185202
167,1,92186092
168,2,92292617
169,1,92495079
170,1,92565897
171,2,93149630
172,1,93226263
173,1,93248333
174,0,94278076
175,1,94855768
176,0,94993549
177,1,95128070
178,0,95250360
179,2,95324589
180,0,95809281
181,0,95811241
182,0,95874486
183,0,95874645
184,2,97651605
185,1,97941781
186,2,98308926
187,0,98988436
188,2,99439503
189,2,99493321
190,1,100755579
191,1,101126250
192,2,101839184
193,1,104103882
194,3,104170667
195,2,104206696
196,1,104850797
197,2,105095535
198,2,105097531
199,0,105986454
200,3,106471161
201,2,106690256
202,0,107581140
203,2,107817676
204,0,110265237
205,1,110697807
206,0,110769862
207,2,111184497
208,0,111644056
209,2,112144058
210,2,112734323
211,1,113101423
212,1,113390195
213,1,113925296
214,1,114183443
215,0,115620268
216,2,116131506
217,0,116858202
218,2,116973540
219,2,117246237
220,0,117692611
221,0,118090315
222,2,118349250
223,1,118405865
224,1,118704293
225,0,119453074
226,1,120137947
227,1,120936254
228,2,121178268
229,2,121377599
230,0,122217121
231,1,123885196
232,1,125506021
233,0,125843368
234,2,126009565
235,1,126106028
236,2,127129666
237,2,127692366
238,2,127798631
239,0,129173602
240,0,130923956
241,1,131302163
242,0,131487297
243,0,131487406
244,0,133704274
245,0,133910311
246,1,134328523
247,2,134488295
248,0,138419657
249,2,139253430
250,0,140603456
251,0,142368532
252,0,142499536
253,1,143737729
254,3,143737976
255,0,145339788
256,2,145869718
257,0,146876785
258,3,146965957
259,1,147859950
260,0,149007955
261,2,149732662
262,2,149776387
263,2,151829054
264,3,152877379
265,2,153400973
266,0,153623226
267,0,153688426
268,1,154748918
269,2,155848533
270,1,155892940
271,0,155941321
272,2,156592311
273,2,156609648
274,2,157188106
275,1,157860562
276,2,157931693
277,1,159484404
278,2,159484417
279,2,159484558
280,1,159878283
281,0,161635343
282,0,163004486
283,0,163575917
284,0,163575938
285,0,163575952
286,0,165990533
287,0,166083592
288,1,166536322
289,1,166540596
290,0,167076926
291,2,167802402
292,1,168733949
293,1,169044190
294,0,169539647
295,2,169852982
296,2,170365356
297,3,170369674
298,0,171328826
299,1,171470063
300,1,171667032
301,1,171889854
302,2,172253621
303,1,172499328
304,2,172552081
305,2,173208475
306,1,173926034
307,0,174280684
308,1,174884880
309,1,175839291
310,0,177429956
311,1,178096459
312,0,180234531
313,1,181389188
314,1,181755290
315,0,182647121
316,1,183040382
317,2,184004140
318,2,185157033
319,0,186057513
320,0,188784566
321,1,190148374
322,0,190630311
323,0,191552612
324,2,191664751
325,0,192165941
326,0,192307561
327,0,192333282
328,2,192888397
329,0,193101049
330,1,193973302
331,2,194529939
332,2,194705723
333,2,195269017
334,0,195916603
335,0,198087771
336,0,198092163
337,0,198545045
338,0,199557804
339,0,199621641
340,1,200062986
341,0,200307355
342,1,201665014
343,2,201781823
344,2,202192494
345,0,202904956
346,0,203102556
347,1,203398051
348,0,203464469
349,1,203572008
350,2,205269774
351,1,205419598
352,1,205419784
353,0,205667400
354,0,207929783
355,2,212387420
356,0,212658945
357,0,212977512
358,2,215282841
359,1,215419003
360,1,215622309
361,0,217829494
362,2,217989520
363,0,218309654
364,1,219429064
365,1,219450615
366,0,219915896
367,0,220039316
368,0,220039469
369,1,222230547
370,2,223210994
371,2,223232187
372,1,223326959
373,0,223342604
374,2,224863896
375,1,225688785
376,1,225688806
377,2,225915537
378,0,227574287
379,2,228255709
380,2,228383554
381,3,228697634
382,1,228848524
383,3,228930112
384,0,228994943
385,0,228994963
386,1,230389506
387,0,231792054
388,0,232131278
389,2,232856115
390,1,232921303
391,0,233664300
392,2,234190658
393,0,235001441
394,0,235848913
395,3,236308512
396,3,236682716
397,2,237116553
398,2,237231933
399,0,237726661
400,0,237883599
401,0,238779133
402,0,239023123
403,2,239319581
404,1,241572286
405,2,242261080
406,1,244211064
407,0,244381489
408,0,244801995
409,1,244976480
410,0,245096138
411,1,245364465
412,1,245365973
413,2,245426909
414,0,246663663
415,0,247394178
416,0,247394303
417,0,247394440
418,0,247394608
419,2,248627311
420,2,249583672
421,1,249795209
422,2,250566461
423,0,250874052
424,1,251246096
425,1,251570454
426,0,251888326
427,1,252506680
428,2,253115112
429,0,253745065
430,0,254110670
431,0,254110737
432,2,254280270
433,1,254832158
434,0,255902096
435,1,256728950
436,3,258118701
437,0,258248338
438,0,258248517
439,0,259106722
440,2,259683364
441,2,259908133
442,1,260401607
443,0,261231005
444,1,262310305
445,1,262388159
446,1,263862380
447,0,264856903
448,2,265448764
449,2,265800325
450,2,266008051
451,1,266302967
452,2,266947303
453,2,268706053
454,2,268706191
455,0,269718981
456,0,270083216
457,3,270214375
458,2,270780396
459,2,270781540
460,2,271554982
461,2,271581778
462,0,272437904
463,0,272724696
464,2,273816868
465,0,274333997
466,1,276368367
467,0,277085767
468,0,278026591
469,0,280985146
470,0,281052554
471,2,283319479
472,2,283682673
473,0,284203770
474,2,284475561
475,1,285450202
476,0,285455404
477,2,286144592
478,1,287911981
479,2,288020592
480,1,288022200
481,1,288270275
482,0,288588823
483,1,288589368
484,2,289142780
485,2,289256125
486,1,289645163
487,1,290243465
488,2,291956769
489,1,292186559
490,1,292790332
491,1,292919190
492,1,293347491
493,1,294059328
494,0,294061183
495,1,296707621
496,0,296805861
497,0,296806033
498,0,296884398
499,1,297583352
500,2,297597115
501,0,298856539
502,1,300028892
503,0,300346109
504,0,300346152
505,1,300986957
506,2,301690806
507,2,302019571
508,1,302247184
509,1,302617653
510,0,302736405
511,2,303344684
512,0,303652067
513,0,303890739
514,2,304163548
515,3,305205218
516,1,306023686
517,2,306412084
518,1,306701044
519,2,308004104
520,2,309415957
521,1,310118514
522,2,312417545
523,2,312724467
524,2,315844489
525,0,316240738
526,0,316274187
527,1,316756624
528,2,317672049
529,2,317745124
530,0,317754392
531,2,317928693
532,0,318191341
533,0,318665615
534,0,319111007
535,0,320052137
536,0,320052223
537,1,320078647
538,1,321051204
539,1,322833252
540,0,323008374
541,0,323213999
542,0,323313045
543,2,323638398
544,1,323950536
545,1,325352372
546,2,325601703
547,1,325803530
548,0,325932103
549,3,327332653
550,2,329433330
551,1,329713791
552,1,329911582
553,0,330135009
554,1,330363679
555,0,331101037
556,1,331351590
557,0,331992433
558,2,332444942
559,2,332624929
560,3,333630165
561,3,333967133
562,2,334288795
563,1,335120473
564,1,336085591
565,0,337025626
566,1,337649681
567,2,338106217
568,0,339763178
569,0,339993099
570,0,340809375
571,3,341133468
572,0,341558058
573,2,341648249
574,1,341748954
575,0,343572623
576,0,344113068
577,0,344208653
578,2,344367837
579,0,344878985
580,1,345071356
581,0,345259734
582,2,346934430
583,1,347492823
584,0,347500475
585,1,347698266
586,1,348015574
587,2,348460922
588,0,351756004
589,1,352617881
590,0,352706796
591,3,352949874
592,0,354181456
593,0,355115355
594,1,355116313
595,0,355247789
596,2,358101835
597,0,360014142
598,0,361393478
599,1,361611304
600,3,362308239
601,1,363756645
602,1,365063007
603,1,365301205
604,0,365786098
605,1,365818486
606,1,367945817
607,1,367985169
608,2,368005386
609,1,369430953
610,1,369434642
611,0,370382725
612,0,370779342
613,1,370811600
614,3,371050379
615,0,371812627
616,2,372234219
617,0,373954657
618,2,374335642
619,3,374510480
620,1,374547376
621,0,375008703
622,1,376241627
623,2,377221775
624,1,377284655
625,1,377284934
626,1,377291113
627,1,377897297
628,1,378497884
629,2,380634890
630,0,381392213
631,3,381639222
632,2,381705572
633,0,382354235
634,0,383253743
635,0,383259012
636,1,383277158
637,2,383911392
638,1,383942413
639,3,385635345
640,0,386495761
641,1,386942391
642,1,387362898
643,0,387367994
644,1,387501314
645,0,388132676
646,2,388271421
647,1,388712497
648,1,388881429
649,0,389497223
650,2,392032069
651,0,392157776
652,0,392708412
653,3,393536399
654,1,394697844
655,2,396034767
656,1,396675109
657,2,396780563
658,2,396780576
659,0,397224432
660,0,398564733
661,0,399047338
662,1,400055592
663,0,400074425
664,0,400233661
665,1,401221865
666,2,401222587
667,0,401641450
668,1,402349414
669,0,402811868
670,0,403458766
671,1,404147601
672,0,404241039
673,0,404479515
674,0,405501132
675,1,406110609
676,0,406521884
677,1,407099996
678,2,407106929
679,1,407216220
680,1,407279421
681,0,408649295
