,cat,id
0,0,375974
1,1,789023
2,1,1435957
3,2,1450545
4,2,2669065
5,1,2817413
6,1,3574225
7,2,3868671
8,2,4087746
9,2,4204904
10,2,4231388
11,0,4528523
12,0,7346157
13,2,7737417
14,0,7948946
15,1,8947998
16,1,9216409
17,2,9927271
18,0,9992801
19,1,10197899
20,0,11381911
21,0,11405763
22,1,12010173
23,0,12303036
24,2,12575553
25,2,12960344
26,0,16550479
27,0,17297807
28,0,18095836
29,1,18380667
30,0,18380829
31,2,18524093
32,0,18872285
33,1,18888653
34,1,19012033
35,1,19189709
36,0,19275090
37,1,19404000
38,0,19955817
39,2,20113177
40,2,20831212
41,2,21144352
42,1,21792701
43,2,22617779
44,2,22658524
45,2,22789392
46,0,23042209
47,2,24268927
48,2,24887788
49,0,25357774
50,2,25920010
51,0,26066990
52,2,26276562
53,0,26590131
54,0,26760185
55,1,27256456
56,2,27356959
57,2,28098606
58,1,28100139
59,2,29022867
60,0,30717848
61,1,31232923
62,2,31806517
63,1,32464152
64,1,32993572
65,0,33076503
66,1,33270559
67,0,33271158
68,1,33422432
69,1,33668944
70,2,34031503
71,0,34386569
72,0,34976575
73,2,35054000
74,1,35288714
75,2,35305405
76,0,35675335
77,0,35913811
78,1,36573735
79,1,38380471
80,0,38430143
81,0,38494709
82,0,39209259
83,2,40215249
84,1,40539289
85,0,41807381
86,0,41971010
87,2,41974006
88,2,42482605
89,2,42566764
90,1,42679123
91,0,43320419
92,0,44105194
93,1,44780768
94,1,44957593
95,2,45026673
96,0,45104617
97,0,45485423
98,2,45698195
99,2,46295986
100,1,47923517
101,2,48381307
102,1,48764283
103,0,48847411
104,1,49069390
105,2,49602750
106,1,52125099
107,2,53925083
108,2,54236570
109,2,54242923
110,1,54674477
111,0,54824007
112,0,55109244
113,0,55189053
114,2,55281743
115,1,55286166
116,1,55300670
117,1,55596225
118,0,55643654
119,2,55712579
120,1,55783630
121,1,55920197
122,2,56140329
123,0,56495258
124,0,56943157
125,1,57439366
126,0,57507317
127,1,58872484
128,2,59453531
129,0,60464857
130,2,61560063
131,2,62088185
132,1,63927276
133,1,64131846
134,1,65405327
135,1,65609231
136,1,65801449
137,1,66055247
138,2,66167863
139,0,66714749
140,0,67421559
141,1,68882417
142,2,68937599
143,0,68994503
144,1,69275034
145,0,70196696
146,0,70211753
147,1,70227039
148,0,70251240
149,1,70261902
150,0,70396054
151,1,70540929
152,0,71315427
153,2,71574578
154,0,71658779
155,2,71748753
156,2,72309643
157,0,72593966
158,1,72595205
159,2,73533163
160,2,74179528
161,0,75691252
162,0,75797417
163,2,75798585
164,2,76751419
165,0,78183489
166,0,78279177
167,2,78357432
168,1,78447404
169,1,78743897
170,1,78744175
171,0,78773009
172,2,79821902
173,2,80111369
174,0,80279718
175,2,80477149
176,2,80506177
177,1,80991680
178,1,81229938
179,2,81244589
180,0,82470337
181,1,82690383
182,2,84361784
183,1,85006329
184,2,85136847
185,1,85274929
186,1,86162145
187,2,86587178
188,1,86628049
189,1,87389423
190,2,88252913
191,0,88583937
192,0,90075032
193,0,91687917
194,1,91870005
195,1,92457831
196,2,92992111
197,2,93045287
198,0,93629680
199,0,94428063
200,2,95634524
201,0,95732720
202,0,95733103
203,0,95842063
204,1,96026343
205,0,96247415
206,1,97469799
207,0,98358193
208,0,98358394
209,1,98616074
210,0,98864019
211,1,100027729
212,2,100566654
213,1,100615714
214,1,100928064
215,0,101348957
216,2,101714733
217,0,101808570
218,1,102821681
219,0,102875116
220,1,103027080
221,1,104257601
222,1,104268798
223,1,105033946
224,0,105416015
225,0,105785335
226,2,105919042
227,1,106480345
228,0,107109322
229,1,107629065
230,2,107687877
231,0,107707090
232,2,108399134
233,0,108506893
234,1,110224506
235,1,110882889
236,0,111530379
237,1,111930042
238,2,112795439
239,1,113272200
240,2,115396491
241,0,115893841
242,0,116507825
243,2,116789141
244,0,117499838
245,0,117553537
246,2,117827463
247,1,118045583
248,1,118488167
249,0,118492417
250,2,118530252
251,0,118531212
252,2,119965155
253,0,120919315
254,2,120920623
255,1,121123977
256,2,122098176
257,2,123069159
258,0,123325165
259,1,123445739
260,2,124845776
261,1,125079563
262,1,125790894
263,0,126381716
264,0,127310342
265,2,127796213
266,1,128332992
267,2,128608895
268,0,129372096
269,0,130509159
270,0,130677435
271,0,130685612
272,2,130812197
273,0,130817015
274,1,131033048
275,1,131163057
276,0,131563902
277,1,131583865
278,2,132382126
279,1,132531335
280,1,133603802
281,0,134366380
282,0,134405337
283,1,135051084
284,2,135972715
285,0,136446234
286,1,137091113
287,2,138084187
288,2,138988708
289,2,139297246
290,0,139817365
291,1,140270802
292,2,140390608
293,2,142380553
294,0,142937176
295,0,142937969
296,2,143528319
297,2,143588642
298,1,144195839
299,2,144341877
300,1,144925763
301,1,145058021
302,1,145412063
303,1,146370637
304,2,146396587
305,0,146643950
306,1,147079263
307,1,147338197
308,1,147364891
309,0,147859928
310,2,149808644
311,1,149959692
312,0,149966458
313,2,150989729
314,1,152225258
315,2,152240870
316,1,152366911
317,1,154146077
318,1,155909181
319,0,156580575
320,1,156888267
321,0,157297205
322,1,158385438
323,0,158516587
324,2,159521927
325,0,159524663
326,0,159656432
327,2,159903722
328,2,159982505
329,2,160550646
330,1,161264720
331,1,161825895
332,2,163649370
333,1,163773936
334,1,165059653
335,0,165333618
336,2,165748487
337,1,166847660
338,1,166887198
339,1,166897142
340,2,166918845
341,2,166929829
342,1,167191345
343,1,168628015
344,0,168884051
345,1,169306351
346,0,169385978
347,2,169828818
348,0,170702178
349,1,171171743
350,1,171466342
351,0,172259970
352,1,173002483
353,0,173985825
354,0,175474700
355,2,178477511
356,1,178921232
357,0,179461604
358,2,179518143
359,1,179835740
360,2,179849165
361,2,180932697
362,0,181136905
363,0,182009535
364,0,182303959
365,2,182883632
366,2,183840106
367,2,183937392
368,1,184607846
369,2,185213920
370,2,185564365
371,2,185745278
372,1,186247319
373,1,186876375
374,2,186945223
375,1,187182098
376,1,187252579
377,1,188042131
378,2,188328429
379,1,188806325
380,2,188819851
381,0,189147691
382,0,189569236
383,1,190842667
384,0,191402620
385,0,191581396
386,0,191600642
387,2,191728042
388,1,192808870
389,0,193369247
390,0,193850853
391,0,195914617
392,0,196400575
393,1,196510653
394,0,196737592
395,1,197142174
396,0,197907222
397,1,198996736
398,0,200098005
399,2,200629052
400,2,201094669
401,0,202191565
402,2,202382077
403,2,202666428
404,2,202994924
405,0,203992659
406,0,205115825
407,0,205116205
408,1,205246812
409,0,206101181
410,2,206216746
411,2,207426116
412,2,207622945
413,1,208087084
414,0,209433272
415,1,210379504
416,0,212018294
417,1,213406988
418,1,213582959
419,1,214360350
420,0,214536508
421,0,214664957
422,2,214892434
423,0,216145373
424,0,216791513
425,0,217144606
426,2,217180048
427,0,217662281
428,1,218149879
429,0,218299045
430,0,219021894
431,2,219046589
432,0,220093636
433,0,220277421
434,0,220391782
435,1,220873345
436,1,220997385
437,2,221500320
438,1,221644300
439,0,223239888
440,1,223272682
441,1,223823841
442,0,223934586
443,2,224317052
444,1,224364958
445,0,224525455
446,0,225870403
447,2,225913878
448,1,225917400
449,1,229269764
450,0,229524558
451,2,230349365
452,1,230471749
453,2,230611652
454,1,231603909
455,1,231944043
456,2,232514747
457,0,232658605
458,2,232694680
459,2,233879053
460,1,234001567
461,2,234091637
462,1,234735945
463,1,235131506
464,0,235986130
465,2,237305330
466,2,238476910
467,2,241348909
468,1,241377214
469,0,241979523
470,0,243389486
471,1,244165492
472,0,245843395
473,0,245906713
474,2,245983268
475,0,246263001
476,2,248153060
477,0,248257164
478,1,248351990
479,0,248650838
480,2,249208494
481,2,249211697
482,2,249211801
483,1,249260809
484,2,249652023
485,0,249967225
486,1,250642288
487,0,250875049
488,0,251389323
489,1,251734791
490,1,252101497
491,0,252210060
492,2,252681049
493,0,252840998
494,0,253070745
495,1,253229846
496,1,253873371
497,0,254916162
498,2,255270170
499,0,255396546
500,0,255398152
501,1,255498651
502,1,255498695
503,0,257537764
504,0,257584344
505,0,258198994
506,0,258856813
507,1,258962503
508,1,259350103
509,1,260066879
510,0,260123563
511,2,260206174
512,2,260270962
513,0,261409022
514,2,263188721
515,2,263424391
516,0,264022647
517,1,264208410
518,1,264281385
519,1,264955654
520,2,264967553
521,2,264970848
522,2,265020583
523,1,265804227
524,1,266415552
525,0,266623577
526,0,267663551
527,0,267689869
528,2,268559982
529,1,270164640
530,0,270199384
531,2,270290065
532,2,270389059
533,1,270635855
534,2,270873911
535,1,271147860
536,0,272115711
537,0,272256487
538,1,272347327
539,1,272445984
540,2,272446336
541,2,273725329
542,0,274370718
543,1,274595686
544,0,275110771
545,0,275198016
546,0,275436027
547,2,276665348
548,0,277176995
549,0,277379241
550,0,277669601
551,0,279687483
552,1,279917184
553,1,280018708
554,0,280158205
555,2,280564251
556,2,281147972
557,1,281408420
558,0,281685022
559,0,282066413
560,0,282271506
561,1,282437836
562,1,282513150
563,2,283377382
564,1,284687089
565,0,285812408
566,2,285950342
567,2,285952906
568,2,285964026
569,1,286932385
570,1,286932495
571,2,288193638
572,2,288201757
573,1,288503482
574,1,288895613
575,0,288898034
576,1,288900139
577,1,288914078
578,1,288958202
579,0,289366232
580,1,290183091
581,1,291759417
582,2,292172576
583,1,292310412
584,1,292331414
585,2,294077081
586,2,295241990
587,1,295992242
588,1,296220774
589,2,296477357
590,0,297132643
591,2,297145671
592,0,297266454
593,0,297710454
594,0,298284568
595,0,298284907
596,0,298285602
597,1,299489040
598,0,299973477
599,1,300333602
600,0,300372617
601,1,300606187
602,0,300611261
603,2,303735073
604,2,305522900
605,1,305765104
606,0,305966282
607,0,306402597
608,0,306402634
609,0,306917803
610,1,307639560
611,0,308437132
612,1,308740206
613,1,309790514
614,2,310062795
615,1,310824170
616,2,311036891
617,1,311159955
618,0,311464487
619,0,312462632
620,1,312844392
621,0,314156803
622,1,314788154
623,0,315586363
624,1,318014022
625,1,318556790
626,2,318844095
627,2,319320526
628,0,320455256
629,0,320913854
630,2,321143796
631,1,321305301
632,2,321327584
633,0,324197396
634,2,324359722
635,1,324608325
636,2,325414537
637,0,327081688
638,1,327358376
639,0,327439501
640,0,328033141
641,1,328089361
642,2,328142071
643,2,328144238
644,0,328144506
645,0,329109468
646,2,330432737
647,1,331748574
648,1,332595624
649,1,333290490
650,0,334356674
651,0,334521587
652,2,335635198
653,1,335939840
654,2,336291615
655,0,336548514
656,1,336697698
657,1,336752932
658,0,337821849
659,0,338038900
660,0,338368938
661,0,341831307
662,1,342026057
663,0,342741612
664,1,343932234
665,1,345105292
666,0,346001461
667,1,346455834
668,0,347228943
669,0,347732301
670,1,347964891
671,0,348482174
672,2,349197354
673,1,349401417
674,2,349533507
675,0,349775339
676,1,350275548
677,1,350719670
678,0,351542792
679,2,352198573
680,1,352237600
681,2,352448781
682,2,353963568
683,1,354199692
684,0,354568562
685,1,354728074
686,1,355288881
687,2,356019643
688,1,356682788
689,0,356841730
690,1,357201689
691,0,359980984
692,1,361269716
693,1,361317770
694,1,361827376
695,0,362483855
696,0,367392153
697,1,367765243
698,1,367906543
699,2,367922932
700,1,368784334
701,2,368943085
702,2,369949106
703,2,370066869
704,1,370859386
705,1,371598953
706,2,371878810
707,0,371879374
708,0,373681524
709,0,374843032
710,0,375110054
711,2,376464542
712,2,376563838
713,2,377339436
714,2,378747982
715,1,378803832
716,0,378969699
717,1,378979076
718,0,378979489
719,0,379213542
720,0,379472200
721,2,379849664
722,1,379983034
723,0,380149415
724,2,380327017
725,0,381402243
726,1,382953518
727,1,383080806
728,0,383557050
729,1,383578717
730,1,383596912
731,1,383860797
732,1,384999825
733,0,385142100
734,1,385458883
735,2,386328205
736,1,387121544
737,0,387568976
738,0,387739715
739,2,388549976
