,cat,id
0,2,1911267
1,2,1919561
2,2,2993902
3,2,2996620
4,2,3337732
5,2,3641306
6,2,3642941
7,2,3645092
8,2,3648398
9,2,4504072
10,2,4558245
11,1,5163190
12,1,5163277
13,1,5163291
14,0,5163380
15,1,5168825
16,1,5169736
17,0,5518631
18,0,8574193
19,1,10129171
20,1,10129236
21,0,10201816
22,2,10671074
23,1,11881430
24,1,12202871
25,0,16017108
26,2,16235352
27,0,16514433
28,1,17383072
29,1,17392629
30,0,18632704
31,1,19925331
32,1,19925389
33,1,19925561
34,1,19925578
35,1,19926078
36,1,20510428
37,2,20655822
38,1,22215755
39,1,22216044
40,1,25208907
41,2,27329397
42,2,27350526
43,1,27606888
44,1,27735028
45,2,28283211
46,2,28448309
47,1,33581801
48,1,37089855
49,2,38292224
50,2,39037966
51,1,39046969
52,1,40451459
53,1,40504023
54,1,40725490
55,2,41489996
56,1,42067221
57,0,42235013
58,2,42263987
59,1,42938622
60,1,44246613
61,1,45196833
62,1,45207131
63,1,46199946
64,2,46312513
65,0,46832631
66,1,47815832
67,1,49197992
68,2,49255731
69,2,49257101
70,2,50135383
71,2,53044473
72,2,56493332
73,1,57705937
74,1,58696153
75,1,58696170
76,1,58696369
77,1,58696647
78,1,58696701
79,1,58696719
80,1,58696880
81,0,58697004
82,1,58697567
83,1,58698228
84,1,58698392
85,1,58698481
86,1,58698611
87,1,58699849
88,1,58700107
89,1,58703638
90,1,58703699
91,1,58703854
92,1,58703920
93,1,58704141
94,1,58704163
95,1,58704174
96,1,58710410
97,1,59612986
98,1,59613522
99,1,59694929
100,1,59926725
101,2,61122984
102,2,62795234
103,2,62924588
104,2,65398339
105,2,65479818
106,2,65479854
107,2,67384081
108,2,69242640
109,2,70296366
110,2,70429521
111,2,70747828
112,1,71945688
113,1,71945754
114,1,72808128
115,2,73235326
116,1,74176202
117,2,75915386
118,2,75915785
119,0,76286287
120,0,76604989
121,0,76605000
122,2,78515502
123,2,78515955
124,1,79836413
125,2,80444334
126,2,81859713
127,2,82866638
128,1,83226674
129,1,83588668
130,1,87393417
131,1,88372833
132,2,88508100
133,1,88609767
134,1,90173594
135,1,91159799
136,2,92853445
137,2,92853462
138,2,95342250
139,1,96006863
140,2,96284606
141,0,98501099
142,2,98955196
143,2,99358595
144,1,99819293
145,1,99819380
146,1,104568447
147,1,104568507
148,1,104568964
149,1,105066982
150,2,105993893
151,2,107049282
152,2,107421121
153,2,109402829
154,2,109417392
155,1,110060607
156,1,110113765
157,1,110904544
158,2,112087913
159,2,113620987
160,2,114537807
161,2,115189461
162,0,115255232
163,0,115255399
164,1,115860239
165,1,116156224
166,2,116337788
167,2,119064065
168,2,119064068
169,2,120414339
170,1,121873597
171,0,128079700
172,1,133464661
173,1,134749945
174,1,134749985
175,1,134750528
176,1,136347286
177,1,136803243
178,2,137320578
179,2,137497114
180,1,138433483
181,1,140926650
182,1,141632001
183,1,141632019
184,0,143548449
185,0,144153846
186,1,144293740
187,1,145614592
188,2,146028959
189,2,148104711
190,1,148135454
191,1,148930966
192,2,149142674
193,2,149988639
194,0,150018007
195,2,151811124
196,1,152681052
197,1,153430126
198,0,153539274
199,0,153539428
200,0,153540441
201,0,153540558
202,2,154593422
203,2,156401260
204,1,156617914
205,1,159201781
206,1,159201795
207,0,159886469
208,0,159886702
209,1,160129150
210,1,160194835
211,1,162243363
212,1,162606087
213,2,164139465
214,0,165378061
215,0,167446958
216,1,167570167
217,1,169199771
218,1,169697451
219,2,173748164
220,2,174231613
221,0,175289334
222,0,175638508
223,0,175638623
224,1,176071263
225,1,178349137
226,1,178545907
227,1,181352578
228,0,183447219
229,1,183447438
230,1,183447541
231,2,183839855
232,2,185321973
233,1,186681967
234,1,187088063
235,2,187127155
236,1,187295218
237,2,187607616
238,2,188146225
239,1,188398114
240,1,188398188
241,1,188542969
242,1,192375752
243,0,192464062
244,1,193082841
245,1,193083053
246,1,193083067
247,1,193083190
248,1,194853996
249,2,195645376
250,0,195828986
251,0,196447016
252,0,196447916
253,2,197189616
254,1,203021972
255,2,203808044
256,1,204714320
257,1,205829817
258,1,205830021
259,1,206303954
260,2,207871611
261,2,207871932
262,0,208793121
263,2,209576332
264,1,212919331
265,2,213472116
266,1,217028930
267,2,217101694
268,2,221208361
269,2,222308957
270,0,224010945
271,0,224010960
272,2,228374783
273,1,231657989
274,0,232052928
275,1,232794715
276,1,235001814
277,1,235001837
278,0,235691420
279,2,238903293
280,2,238979524
281,0,242731972
282,0,242945249
283,1,242945393
284,1,244806151
285,1,245749493
286,2,248027358
287,1,248800743
288,2,251714602
289,1,251739685
290,2,258737795
291,0,260321278
292,1,262454455
293,2,262795911
294,1,263395747
295,2,269096589
296,0,273244430
297,2,273280770
298,1,273352492
299,1,273661958
300,1,273662377
301,1,274138014
302,1,275382920
303,2,275505735
304,1,276730191
305,1,281714375
306,1,281714397
307,1,281714459
308,2,282079493
309,2,283854604
310,1,284998088
311,1,286685075
312,1,287837210
313,1,288471671
314,1,288471816
315,2,289054023
316,1,290291873
317,1,290292312
318,2,293288286
319,1,294574091
320,1,294574498
321,1,294574547
322,1,294949848
323,0,298957716
324,0,299472181
325,1,300911736
326,1,300911770
327,2,301248245
328,1,303097392
329,1,304204587
330,1,304608575
331,0,304608845
332,2,304683741
333,2,304792378
334,1,306788432
335,1,307748388
336,1,308550312
337,1,308699714
338,0,310139537
339,1,310342954
340,1,310700407
341,1,313595700
342,2,314029634
343,1,315548573
344,2,316582127
345,0,317743293
346,2,318391898
347,1,318894121
348,1,319280782
349,1,319334904
350,1,319793046
351,1,319796421
352,1,320832233
353,1,321017445
354,1,321017541
355,2,323521954
356,1,326260398
357,2,326472216
358,1,327823273
359,0,329566926
360,1,330164654
361,2,331610111
362,1,331989090
363,1,331989279
364,2,332144048
365,0,333325825
366,0,337143393
367,2,337845282
368,2,339411659
369,2,339943139
370,2,340489135
371,1,340627670
372,1,341189783
373,2,341773998
374,1,341840318
375,2,342960755
376,2,344113449
377,2,344967500
378,2,346271544
379,2,346271797
380,1,351511796
381,1,352634669
382,2,352742807
383,1,353324763
384,1,353324854
385,1,353546934
386,2,353581997
387,2,353754373
388,1,354670268
389,1,354670317
390,1,354670323
391,1,354670337
392,2,355715983
393,1,359908751
394,2,360556377
395,2,362893452
396,2,364320194
397,2,368441895
398,1,370667363
399,1,371479354
400,1,374352484
401,1,375660363
402,1,375661380
403,0,378081065
404,1,378904039
405,1,378904086
406,1,378904304
407,2,383106064
408,2,383429920
409,2,384515432
410,1,386788682
411,1,387255460
412,2,387529676
413,1,388032679
414,1,389769842
415,1,390315741
416,1,390315772
417,1,390316020
418,1,390316132
419,1,390317358
420,1,390318226
421,1,390318235
422,1,390318263
423,1,390318511
424,1,390319767
425,1,390319784
426,1,390320558
427,1,390385651
428,1,392058104
429,1,393467361
430,2,393972259
431,2,394255013
432,0,394720786
433,0,398705755
434,2,401457930
435,1,402748850
436,1,402905782
437,1,403392192
438,1,403392230
439,1,403392335
440,0,404722299
441,2,405492527
442,1,409286531
443,1,410278959
444,2,410932648
445,1,412632820
446,2,414490894
447,1,415029353
448,1,415479928
449,2,418191758
450,1,419135419
451,2,419601701
452,0,421753790
453,2,421959832
454,1,428995403
455,0,429144330
456,1,429667091
457,0,429759663
458,1,429907395
459,0,429939406
460,0,429939527
461,0,429940209
462,0,429940250
463,0,429956438
464,0,430078717
465,0,430107365
466,0,430107384
467,0,430173288
468,1,430200446
469,1,430372027
470,1,430563151
471,1,430583484
472,0,430620667
473,0,430745545
474,1,430850562
475,0,431010094
476,1,431134499
477,1,431139241
478,1,431184624
479,1,431320096
480,0,431557316
481,0,431559695
482,1,431589530
483,1,431599015
484,0,431656921
485,1,431782088
486,1,431903617
487,1,431964578
488,0,431972751
489,1,432105011
490,1,432383387
491,0,432530144
492,1,432571243
493,1,432627444
494,1,432672503
495,1,432783368
496,0,432788344
497,0,432912428
498,0,433530969
499,0,433793246
500,1,434066396
501,0,434067404
502,1,434332548
503,1,435184664
504,0,437038717
505,1,438496892
506,0,438543173
507,1,439036151
508,0,439040702
509,0,439040745
510,0,439040928
511,1,439040964
512,0,439041068
513,0,439041111
514,1,439041147
515,0,439041671
516,1,439041707
517,1,439042064
518,1,439042239
519,1,439042583
520,0,439083893
521,1,439088697
522,0,442421553
523,0,442558806
524,1,442956788
525,0,443347248
526,0,443347540
527,0,443401737
528,0,443405423
529,1,443405587
530,0,443557525
531,1,443623790
532,0,443676615
533,1,443677587
534,0,443677888
535,0,443950070
536,1,443950077
537,1,444032211
538,1,444238745
539,1,444257368
540,1,444310817
541,1,444311003
542,1,444311179
543,1,444311531
544,0,444312629
545,0,444313132
546,0,444313175
547,0,444313314
548,1,444313577
549,1,444313921
550,0,444383083
551,0,444567498
552,1,444637363
553,1,444718102
554,1,444983920
555,0,445041919
556,0,445104238
557,1,445145513
558,0,445282333
559,0,445343122
560,1,445516141
561,1,445567046
562,0,445613160
563,0,445615801
564,0,445615850
565,1,445631486
566,1,446039859
567,1,446087269
568,1,446558208
569,0,446560730
570,0,446592526
571,1,446592633
572,0,446646536
573,1,446648688
574,0,446649026
575,1,446649566
576,1,447002488
577,1,447003797
578,1,447190802
579,0,447423729
580,1,447427407
581,1,447846820
582,1,447858486
583,1,447858638
584,0,447963331
585,0,447974409
586,0,448077809
587,1,448290638
588,0,448613477
589,0,448917878
590,1,448943079
591,0,449268281
592,0,449455461
593,1,449499692
594,0,449500697
595,1,449500710
596,1,450218118
597,1,451908141
598,1,451941341
599,1,452216583
600,1,452346161
601,1,452346221
602,1,452346322
603,1,452346631
604,1,452399309
605,1,452409505
606,0,452651501
607,1,452722327
608,1,452727878
609,1,452731686
610,1,452780815
611,1,452805297
612,1,452805714
613,1,452859585
614,1,452867303
615,1,452971778
616,1,453251964
617,1,453281452
618,1,453284839
619,1,453307351
620,0,453308054
621,1,453482474
622,1,453517518
623,0,453540336
624,1,453602509
625,1,453716521
626,0,453773194
627,1,453773415
628,1,453775021
629,1,454081426
630,1,454118222
631,1,454240916
632,1,454361537
633,0,454362045
634,1,454370419
635,0,454453059
636,0,454453816
637,0,454454102
638,0,454454131
639,0,454455332
640,0,454455460
641,1,454509958
642,1,454544824
643,1,454544882
644,1,454545134
645,1,454545454
646,0,454571433
647,0,454571468
648,1,454634377
649,1,454680645
650,1,458624767
651,2,458911729
652,1,460028311
653,0,460028567
654,1,462354533
655,1,464470576
656,1,468584224
657,1,470319916
658,0,472525253
659,1,473894329
660,0,474343042
661,0,474355235
662,1,474524023
663,0,475091254
664,0,475091433
665,0,475568182
666,1,479205479
667,1,479261490
668,1,480267321
669,1,480376857
670,2,481698448
671,1,483675821
672,0,483842184
673,1,484037631
674,1,484176718
675,0,484178140
676,0,484314902
677,1,484318248
678,1,484405328
679,1,486294023
680,1,486294032
681,1,486390729
682,1,486534350
683,1,486789409
684,1,487125560
685,0,488804314
686,0,489659078
687,1,492131363
688,0,492131462
689,1,492963364
690,0,493095699
691,1,494677559
692,1,494870440
693,2,496551833
694,1,498530225
695,0,498613384
696,1,498654615
697,0,498654659
698,0,499240796
699,0,499403277
700,0,501373970
701,0,501374191
702,0,501579913
703,0,501843281
704,0,501860121
705,1,501860359
706,1,501860524
707,1,501860635
708,1,501865235
709,1,502084574
710,1,502560461
711,1,502744336
712,1,503448494
713,1,503449410
714,0,503449562
715,1,503449894
716,1,503653952
717,0,503654870
718,0,504571121
719,1,504712137
720,0,504712257
721,0,504712282
722,1,504773234
723,0,505568287
724,1,505598813
725,1,505598860
726,1,505599008
727,1,507024508
728,1,507026735
729,1,507720842
730,1,507720987
731,0,507725181
732,1,507725256
733,0,507725288
734,1,507725333
735,1,507725815
736,1,507725817
737,0,508434201
738,1,509549871
739,0,509793819
740,0,510217895
741,0,510217961
742,1,510615056
743,0,510615132
744,1,511315404
745,0,514229154
746,0,514542770
747,1,514724828
748,1,514881213
749,1,515277310
750,1,515363536
751,0,515483421
752,1,515555988
753,1,515568060
754,1,517610688
755,0,517610745
756,0,517613941
757,0,517624156
758,0,517624204
759,1,517880004
760,1,518312604
761,0,518521268
762,1,519241744
763,0,519243677
764,0,522237605
765,1,522335625
766,0,522335750
767,1,522335855
768,1,522336091
769,1,522336186
770,1,522336440
771,1,522336640
772,1,522336646
773,1,522336655
774,1,522336661
775,1,522383113
776,1,522383604
777,0,522383656
778,1,522441815
779,1,522463440
780,0,522827069
781,1,525184783
782,1,525480393
783,1,526072127
784,1,527122323
785,1,527135977
786,1,527144849
787,1,527769429
788,2,528465087
789,1,528638121
790,0,530266053
791,1,530868315
792,1,530869817
793,1,530872852
794,1,530885852
795,1,530901737
796,1,530902064
797,1,531406678
798,1,531450354
799,1,531450402
800,1,531450473
801,1,531450571
802,1,531770767
803,0,533139742
804,2,533305741
805,1,534070799
806,1,534071035
807,1,534931932
808,1,534947369
809,1,535486888
810,1,535586730
811,1,537762543
812,1,539989666
813,0,540721563
814,0,540790365
815,1,540928931
816,0,541686261
817,1,541686539
818,1,541750519
819,1,541750754
820,1,544091376
821,1,544848037
822,0,544911332
823,0,544911399
824,1,544920406
825,1,544920445
826,1,545188899
827,1,545451794
828,1,545974914
829,1,546299810
830,1,546388913
831,0,546547109
832,1,546672912
833,1,546777339
834,1,546889493
835,0,549067256
836,0,549067281
837,0,550028358
838,1,550041015
839,0,550053848
840,0,551479618
841,0,551531295
842,0,551651693
843,0,551718971
844,0,551718984
845,0,551760769
846,0,551767350
847,0,551883966
848,1,551897286
849,1,551897857
850,1,551899707
851,0,551901573
852,0,551902415
853,0,552800164
854,1,553519313
855,1,553519521
856,0,554517838
857,1,554517865
858,0,554518230
859,0,554519668
860,2,554718607
861,1,559425516
862,1,559562949
863,0,559899558
864,1,559899578
865,1,560159189
866,1,560159501
867,0,560159601
868,2,560528471
869,0,560835226
870,0,563560784
871,0,565568937
872,1,565707344
873,1,565754971
874,1,565755393
875,1,566265579
876,1,566266333
877,1,566266410
878,1,567331521
879,1,568403315
880,1,568637185
881,1,568637455
882,1,568786380
883,1,569092112
884,1,569433674
885,1,569434250
886,1,569434485
887,0,569435125
888,0,569435526
889,1,569435642
890,1,569435652
891,0,569435858
892,1,569435970
893,1,569470142
894,0,569811917
895,1,569985166
896,1,569990878
897,1,570995725
898,1,571842905
899,1,572262812
900,1,572514562
901,1,573143719
902,1,573147235
903,1,573177036
904,1,573177110
905,1,573177138
906,1,573452391
907,1,573693567
908,1,573704075
909,1,573736979
910,1,573770730
911,1,574014139
912,0,574049937
913,0,574192476
914,1,574778028
915,1,574843641
916,1,575275924
917,1,576325459
918,0,576329559
919,1,576329973
920,1,576336116
921,1,576346421
922,1,576349661
923,1,576349806
924,1,576350488
925,0,576424089
926,1,576545404
927,1,578140015
928,1,578141082
929,1,578141133
930,1,578540369
931,1,578540592
932,1,578541500
933,1,580014683
934,0,581865315
935,0,581865371
936,0,581865429
937,1,581957890
938,0,582189378
939,1,582959047
940,1,582959849
941,1,582959975
942,1,582960791
943,1,582961891
944,1,583353003
945,0,584492579
946,1,585324009
947,0,585865312
948,1,586038652
949,0,586229507
950,0,586229848
951,0,586230241
952,1,586230371
953,1,586232437
954,0,586232652
955,1,586713258
956,1,586713275
957,0,588675861
958,1,588869520
959,1,588869552
960,1,588869624
961,0,589356871
962,1,594716492
963,0,595407136
964,0,598392644
965,0,598603207
966,0,598697959
967,0,598698312
968,0,598698366
969,0,598698617
970,0,598698747
971,1,599175052
972,2,600570263
973,0,600612892
974,1,600612971
975,0,600613530
976,0,601220708
977,2,601491977
978,1,603104660
979,1,603657400
980,0,603950321
981,1,603953502
982,1,604998961
983,1,604999778
984,1,605257634
985,1,611304880
986,1,611837609
987,1,612720541
988,1,612737562
989,0,613296539
990,0,613298602
991,1,613334771
992,0,613355880
993,1,616673043
994,1,616673694
995,1,616673725
996,1,616673923
997,0,616674100
998,1,616674167
999,1,616674828
1000,1,616675765
1001,1,616678435
1002,1,618268644
1003,0,618268733
1004,1,618281051
1005,1,618287076
1006,0,618925233
1007,1,619040650
1008,1,619157493
1009,1,619157499
1010,1,619157574
1011,0,619157657
1012,1,619157862
1013,1,619157976
1014,0,619158080
1015,0,619158089
1016,1,619158286
1017,0,622186395
1018,0,622379759
1019,0,624918776
1020,0,624918816
1021,0,624918843
1022,0,624918885
1023,1,624919036
1024,1,624919069
1025,1,624919199
1026,1,624919318
1027,1,624919506
1028,1,624919859
1029,1,624919882
1030,1,624919957
1031,1,624920009
1032,1,624920399
