,cat,id
0,1,2013555
1,2,2110966
2,0,3593028
3,2,4444798
4,2,5170906
5,2,5174960
6,2,5174983
7,2,5175097
8,2,5175156
9,2,5176253
10,0,5487737
11,2,5746951
12,2,5747399
13,2,5747466
14,0,6826272
15,2,7092484
16,2,7525963
17,1,8691339
18,2,9387154
19,2,9387604
20,2,9387717
21,2,9388012
22,2,9388794
23,2,9388841
24,1,9683976
25,1,9783618
26,1,9947657
27,1,10675511
28,2,10689738
29,2,11388390
30,1,11603887
31,2,11973161
32,1,14072466
33,1,14072505
34,0,14072623
35,2,14296915
36,0,16405748
37,0,16477150
38,2,18669789
39,2,19686977
40,2,19960111
41,0,20765012
42,2,20867526
43,2,21298207
44,1,21709570
45,1,26093097
46,2,26596750
47,2,27499110
48,2,27500089
49,2,27501221
50,2,27501235
51,2,29456510
52,2,30430130
53,0,30866543
54,1,31446991
55,2,33630086
56,0,35674122
57,2,35971043
58,1,36212615
59,1,37502621
60,2,37924341
61,2,38017305
62,0,38198807
63,1,38286530
64,0,38775523
65,0,39714696
66,0,40093836
67,0,40257733
68,0,42326955
69,0,46716667
70,0,47189434
71,2,47959496
72,1,48270707
73,1,48270728
74,0,48938141
75,0,50031509
76,1,50089910
77,2,50323491
78,0,52020227
79,2,52560301
80,2,52560481
81,2,52847662
82,2,55229584
83,1,55716908
84,2,56121973
85,2,57249367
86,1,58022224
87,1,59178851
88,1,59598645
89,0,59843700
90,2,60127093
91,1,62397579
92,0,64624431
93,0,64894720
94,2,64954215
95,2,64954680
96,2,64995509
97,2,65319446
98,2,66039089
99,0,66763080
100,1,66785968
101,2,68117516
102,1,69846171
103,2,72770076
104,2,73611532
105,1,73645424
106,2,74360403
107,2,74362797
108,2,74709150
109,2,74709385
110,1,76421531
111,1,77059860
112,1,77825152
113,1,78599143
114,0,79728247
115,0,79768421
116,0,81835718
117,1,82710486
118,2,83674256
119,2,84974382
120,2,84974398
121,2,85556228
122,1,87293702
123,1,89287108
124,2,89618401
125,2,89618451
126,1,89642675
127,2,91155624
128,2,91156544
129,1,91156594
130,0,94399010
131,1,94940498
132,1,94940824
133,1,95494029
134,0,95611167
135,2,96991185
136,2,97676692
137,1,100157295
138,2,100870280
139,1,101471269
140,1,103215900
141,2,103216782
142,1,103506554
143,1,103959424
144,0,104524345
145,1,104524895
146,2,104786790
147,2,104786847
148,2,104786880
149,2,104787583
150,2,104787753
151,1,105780280
152,1,105909486
153,0,106548716
154,2,108722039
155,0,109300235
156,0,109300253
157,2,109541274
158,2,109672660
159,2,109887699
160,0,110112602
161,2,110772094
162,2,113698819
163,2,114073904
164,2,114545334
165,0,115226836
166,0,116437044
167,0,118456488
168,0,119884775
169,0,120001183
170,0,121565888
171,2,122110472
172,2,122110566
173,2,122439372
174,0,122863072
175,0,126247689
176,1,128575777
177,1,128649385
178,1,128649495
179,1,128649561
180,0,129071019
181,2,129573891
182,1,129847443
183,2,129975144
184,0,131375516
185,1,133215435
186,2,133652984
187,2,133653095
188,2,133653134
189,2,133653290
190,2,133653318
191,2,133653618
192,2,133653760
193,2,133653796
194,2,133654715
195,2,133654789
196,2,133654898
197,2,133655197
198,2,133655777
199,2,133705401
200,2,135009796
201,1,136588062
202,0,137314598
203,1,137638877
204,2,138473732
205,2,138475642
206,1,140260828
207,2,140465181
208,2,140996887
209,2,141660691
210,1,142020953
211,1,142170758
212,2,142301451
213,2,143991100
214,2,144504984
215,2,149718279
216,0,150598369
217,1,150711141
218,0,150714417
219,2,151096996
220,2,151884425
221,2,152126225
222,2,152528034
223,2,152528059
224,2,152648615
225,1,152808871
226,1,154390783
227,2,155480110
228,1,155654800
229,2,156010084
230,0,156642469
231,1,156875798
232,2,157907171
233,0,159383619
234,1,159851794
235,0,159945243
236,0,160390153
237,1,160833622
238,1,163486748
239,1,163487020
240,2,163607592
241,1,165676832
242,2,166663416
243,1,167713009
244,2,169320778
245,1,169809142
246,2,170568881
247,0,171079455
248,2,172275694
249,2,172557633
250,2,172590220
251,1,172590811
252,2,175352028
253,0,177234162
254,0,177815730
255,2,178374929
256,0,180570328
257,2,181162670
258,1,181377063
259,2,181755056
260,2,181998550
261,1,182284015
262,2,182713452
263,2,183899524
264,0,184748349
265,2,185464672
266,2,185464992
267,0,186499203
268,0,187173782
269,0,187342581
270,2,187354759
271,2,187570504
272,1,188578952
273,2,189865767
274,0,190762437
275,2,194422591
276,0,194592794
277,1,195134334
278,1,195661716
279,1,195662576
280,1,197327965
281,0,198735782
282,0,198735790
283,0,198735816
284,1,198991627
285,0,199125181
286,2,199561591
287,0,199625687
288,1,199686918
