,cat,id
0,0,150510
1,0,182995
2,1,230671
3,0,1005914
4,0,1009683
5,0,2084641
6,1,2144977
7,0,2789522
8,0,2844891
9,1,2905923
10,0,2906020
11,1,2911856
12,1,3062354
13,0,3291451
14,0,3482238
15,1,3970239
16,0,4066835
17,1,6783190
18,0,7537842
19,1,7640558
20,1,8433287
21,0,9376629
22,1,10195870
23,0,10195958
24,1,10197298
25,0,10414736
26,0,10657420
27,1,10905945
28,0,11375847
29,0,11453583
30,1,11907209
31,0,14585328
32,0,14669893
33,0,14937514
34,0,15561144
35,0,15587747
36,0,16329589
37,1,17278253
38,0,17279034
39,0,17571435
40,0,18514496
41,0,18781705
42,0,19098306
43,1,19121232
44,1,19226918
45,0,19760693
46,1,20250246
47,0,20488926
48,1,21357161
49,0,22613127
50,0,22706051
51,0,24383463
52,0,24390376
53,0,24692908
54,0,24941285
55,1,26159004
56,1,28247547
57,0,30178612
58,0,36766148
59,0,36766314
60,1,38755285
61,0,38908482
62,1,39367241
63,0,40081068
64,0,40347428
65,0,40376801
66,0,40810872
67,0,41435519
68,0,41579546
69,0,43936729
70,0,44081486
71,1,44759498
72,1,44759564
73,1,45123027
74,0,45506669
75,0,48417733
76,0,51219465
77,0,51335696
78,0,51896533
79,1,52308788
80,0,52878566
81,0,53244233
82,0,53679434
83,0,54708641
84,0,55386956
85,0,55820511
86,0,55904336
87,0,56353652
88,1,56902459
89,1,59214997
90,1,59216907
91,1,60038327
92,1,61658280
93,0,62579877
94,0,62580133
95,0,62630744
96,1,62636657
97,1,63475387
98,0,63483723
99,0,63783226
100,1,64631238
101,0,65102168
102,0,67157711
103,0,67841370
104,1,68728557
105,1,68748082
106,0,69058774
107,1,69885831
108,0,71511770
109,0,73553229
110,1,74314996
111,0,76176005
112,1,77135359
113,0,77515255
114,0,77551944
115,1,78335737
116,0,79476957
117,0,80047851
118,1,81651116
119,1,82406019
120,1,82898415
121,0,86258987
122,0,86457973
123,0,86698619
124,0,86842459
125,0,87136604
126,1,88249762
127,0,88394238
128,0,90113017
129,0,90469686
130,0,90604857
131,1,91412864
132,0,91415923
133,0,91685021
134,0,93069877
135,0,93164114
136,0,94303284
137,0,94313403
138,1,94565365
139,1,94567620
