,cat,id
0,2,610682
1,1,1263437
2,1,1264720
3,1,1341817
4,1,1486582
5,1,1698358
6,1,1827102
7,0,2287679
8,1,2583976
9,1,2636807
10,1,3376991
11,1,4602456
12,1,5871173
13,2,6723159
14,1,6849558
15,2,7648706
16,1,8338909
17,2,9430433
18,1,10633566
19,1,10634172
20,2,10859906
21,1,13252459
22,2,13463153
23,1,13640556
24,2,13796758
25,0,13818967
26,2,15494251
27,1,16392256
28,1,16815639
29,1,16816842
30,1,16819690
31,1,16820004
32,1,18572144
33,2,20144439
34,2,20818244
35,1,22869596
36,2,23546431
37,1,24173511
38,1,25340487
39,2,25803233
40,1,26151880
41,2,26490738
42,1,27200461
43,2,27367363
44,1,27441763
45,2,28177827
46,2,28791606
47,2,30905580
48,1,31216077
49,2,31474740
50,1,32248738
51,1,33996081
52,1,35581707
53,1,36066674
54,2,36185908
55,2,37037483
56,2,37391516
57,1,37444617
58,2,37806132
59,2,39114072
60,1,40015746
61,0,41738471
62,1,41835095
63,2,42490209
64,2,42574011
65,0,42669183
66,0,42669513
67,2,43179095
68,2,43857133
69,2,47214252
70,2,51259777
71,2,52473880
72,2,53809683
73,2,53949386
74,1,55134963
75,1,55917235
76,1,55985083
77,2,57527215
78,1,57761392
79,2,60120969
80,0,60387217
81,1,60412879
82,2,61625781
83,1,61697991
84,1,61925043
85,1,63325778
86,1,63330265
87,2,65734689
88,1,65950364
89,0,66784328
90,1,67376227
91,2,67410053
92,1,69604177
93,1,69653433
94,1,72790204
95,2,73996054
96,1,74621940
97,1,75395078
98,1,77473717
99,1,78324034
100,1,80919341
101,2,82167272
102,2,82915270
103,1,83479853
104,2,84203106
105,1,84548100
106,2,85746482
107,1,87476264
108,0,88661170
109,0,88661235
110,2,89602455
111,1,90256259
112,1,91240194
113,2,91850066
114,1,92149710
115,2,92168935
116,0,93416097
117,2,93776732
118,1,98457208
119,2,98491070
120,2,99419744
121,1,99778031
122,2,100616897
123,1,101334500
124,1,102430493
125,2,102721041
126,2,103439936
127,1,103850214
128,2,104707410
129,1,104991627
130,2,106041659
131,2,106091960
132,2,106868256
133,1,106941767
134,2,107949046
135,1,108286133
136,2,108615884
137,1,109511521
138,2,109869041
139,1,110555558
140,2,111441384
141,1,111807432
142,1,113460262
143,1,113788715
144,1,113944271
145,2,114551223
146,1,114814860
147,1,115540585
148,1,115918050
149,1,116384908
150,2,118266999
151,1,118441064
152,2,118715415
153,2,119345908
154,1,119801429
155,2,120687413
156,2,120705910
