,cat,id
0,0,298096
1,0,767451
2,0,922845
3,0,2771734
4,0,2807222
5,0,3604113
6,0,3965766
7,0,5022639
8,1,5058298
9,0,6355455
10,0,6657796
11,0,7258615
12,0,7272933
13,0,7455046
14,0,8310181
15,0,8357763
16,0,8413560
17,0,9405673
18,0,10587142
19,0,10885013
20,0,11027115
21,0,11540084
22,0,14101683
23,0,14159215
24,0,14470265
25,1,14642866
26,1,14642881
27,1,14739400
28,1,15476714
29,1,15582110
30,0,15656895
31,0,17227469
32,0,17403137
33,0,18512437
34,0,18623229
35,0,18892614
36,0,19594698
37,0,19594954
38,0,19611361
39,0,20373640
40,0,22105175
41,0,22159047
42,0,22226776
43,1,22281917
44,1,22485876
45,0,22577117
46,0,24322912
47,0,24397958
48,0,24645354
49,0,25452483
50,0,26069038
51,0,26739500
52,0,26821497
53,0,27024942
54,1,27257581
55,1,27389539
56,0,27550462
57,0,28429697
58,0,32766672
59,1,33736838
60,1,34319214
61,0,34710345
62,0,37370586
63,0,37603558
64,1,37696565
65,1,37696581
66,1,38886090
67,0,39756339
68,0,40221711
69,1,40317005
70,0,40319259
71,0,40427764
72,0,41752410
73,1,42070396
74,0,42120865
75,0,42121063
76,0,42627046
77,0,42801798
78,1,43532663
79,1,44835860
80,1,44836004
81,0,45038352
82,0,45218879
83,0,46343378
84,1,46585722
85,0,46944825
86,0,49165603
87,1,49611138
88,0,49873051
89,0,50064310
90,0,50718581
91,1,51604854
92,0,51959703
93,0,52297194
94,0,54115244
95,1,55337069
96,0,57660244
97,0,58773527
98,1,58773571
99,1,58784654
100,0,59572564
101,0,59901016
102,1,60890553
103,0,61165547
104,0,61815626
105,0,62180284
106,0,62457227
107,0,63268514
108,1,63763000
109,1,63770402
110,0,65125968
111,0,65416244
112,0,65651531
113,0,66240695
114,0,67080454
115,1,67634306
116,0,68559705
117,0,68601863
118,0,68715911
119,0,69160033
120,0,69601581
121,0,69837175
122,0,69855716
123,0,70063856
124,1,70619313
125,0,70645863
126,0,71666379
127,0,71772041
128,1,72434338
129,0,73066431
130,0,73129478
131,1,73976117
132,1,74826146
133,0,75324919
134,1,75667172
135,0,76597489
136,0,76712073
137,0,78584992
138,1,78717615
139,1,79035679
140,0,79890384
141,1,80475159
142,0,81008846
143,0,81552693
144,0,81808421
145,0,82505871
146,0,85400380
147,0,88493268
148,0,88713191
149,0,88790641
150,0,88936533
151,0,88941678
152,0,89096825
153,1,89277440
154,0,89447902
155,1,89656904
156,0,89790142
157,1,89946447
158,0,90456941
159,0,91319808
160,0,91683704
161,0,93868259
162,0,94780899
163,0,95135442
164,0,95195264
165,0,95236966
166,1,95779762
167,1,95779857
168,0,95865858
169,0,96441706
170,0,97750377
171,0,97989006
172,1,98109231
173,0,98361267
174,0,98657087
175,1,99031031
176,1,99031530
177,1,101126001
178,0,101401201
179,0,102648689
180,1,102821764
181,1,102822125
182,0,103629393
183,0,104074182
184,0,104162799
185,0,104303418
186,1,105721035
187,1,106357896
188,0,106670860
189,0,109954249
190,0,110031983
191,0,110554880
192,1,112361034
193,0,113138652
194,0,113865216
195,0,113904499
196,0,114882915
197,0,115967992
198,0,116124365
199,1,117294941
200,0,118836548
201,0,119613322
202,0,120037687
203,0,120579928
204,1,122106418
205,1,122405291
206,0,122706573
207,0,122780503
208,0,123265347
209,1,123436572
210,1,123436705
211,1,123436757
212,1,123436808
213,1,123437171
214,1,123437513
215,1,123437536
216,1,123437687
217,1,123437704
218,1,123954148
219,0,124304613
220,0,124853021
221,1,125069921
222,0,125843125
223,0,125843681
224,1,126066876
225,0,126747960
226,0,129279474
227,0,130250305
228,0,131495878
229,0,131615156
230,0,131876024
231,0,131987343
232,0,132709385
233,0,132890544
234,0,132890593
235,1,134567119
236,0,135805999
237,1,136161129
238,0,137343536
239,0,137426963
240,0,139783552
241,1,139957603
242,0,139970309
243,0,140836610
244,0,140984948
245,0,141631811
246,0,142195305
247,0,142196889
248,0,142301110
249,1,142702200
250,0,143294128
251,1,143388308
252,0,143463107
253,0,144696019
254,0,145063426
255,0,146022774
256,0,146368402
257,0,147123160
258,1,147280382
259,0,147337986
260,1,147338467
261,0,147338496
262,0,148346439
263,0,148470025
264,0,148805285
265,0,149245159
266,0,149380643
267,1,149529341
268,1,149529547
269,1,149529700
270,1,150922027
271,0,151261041
272,0,151367305
273,0,151633429
274,0,152055116
275,1,152236612
276,1,152371641
277,1,152379319
278,0,152585645
279,0,152594099
280,1,152772126
281,0,153644687
282,0,153644828
283,0,154426849
284,0,154852745
285,0,155275982
286,1,155461238
287,0,155462971
288,0,155463055
289,0,156019252
290,0,157083288
291,0,157091148
292,1,157259609
293,1,157701833
294,1,157826510
295,0,159420470
296,0,159986259
297,0,159986289
298,0,159986425
299,0,159986447
300,0,160241948
301,0,161026560
302,0,161585165
303,0,161946739
304,0,162405808
305,1,162609348
306,0,163332510
307,0,163720593
308,0,164352338
309,0,164856140
310,0,164856616
311,0,165035001
312,0,166402583
313,1,167151791
314,1,167193791
315,0,167356549
316,0,170765028
317,0,171001677
318,0,171012579
319,0,171574053
320,0,171574242
321,1,171682553
322,0,171753347
323,1,171827684
324,0,173299676
325,0,173818539
326,0,174375981
327,0,174920508
328,0,176101650
329,0,176228955
330,0,177438594
331,0,177441181
332,0,178046990
333,0,178968366
334,0,179915688
335,0,180257606
336,0,181404784
337,0,181652508
338,1,181936818
339,1,182408621
340,0,182972053
341,0,183572100
342,0,186565879
343,0,186922639
344,1,187361978
345,0,190426674
346,1,190696289
347,1,190908797
348,0,191014286
349,0,192323555
350,0,192641366
351,0,192644055
352,0,192965348
353,0,192998600
354,1,193742860
355,0,194349151
356,1,194374382
357,0,194518180
358,1,194585776
359,0,198034507
360,0,198421455
361,0,198484996
362,1,199902501
363,1,199902533
364,1,201423678
365,0,201482133
366,0,202055608
367,0,202254335
368,0,202684573
369,0,203208830
370,0,203886681
371,0,205194604
372,1,205269950
373,0,205496710
374,1,205709264
375,1,205761017
376,0,206228811
377,1,207120989
378,0,207695221
379,1,207839309
380,0,207940387
381,1,208140363
382,0,208157177
383,1,209008384
384,1,209009128
385,1,209009976
386,1,209011741
387,1,209012385
388,1,209012449
389,1,209012625
390,1,209012978
391,0,209013038
392,0,209889921
393,1,209916539
394,0,213008505
395,0,213105672
396,0,213649796
397,1,214363433
398,0,215324311
399,0,215678748
400,0,215742899
401,0,216419179
402,0,217395181
403,0,218259941
404,0,218576395
405,0,222158661
406,0,222227033
407,1,223984953
408,0,224340141
409,0,224613797
410,0,224617853
411,0,224957274
412,0,225482705
413,0,225706868
414,1,226490943
415,1,226787760
416,1,227026346
417,1,227026406
418,1,227635065
419,0,227878216
420,0,228189280
421,0,230118746
422,0,230834543
423,0,232043796
424,1,232559192
425,0,234114806
426,1,234115123
427,0,234843333
428,0,235035236
429,0,235453496
430,0,235879553
431,0,236074622
432,0,236334907
433,0,237281952
434,0,237625048
435,0,237923504
436,1,238264757
437,1,238265588
438,1,238311502
439,0,238584870
440,0,239285270
441,0,242401993
442,0,242943239
443,0,243225019
444,0,243832715
445,1,245028001
446,1,245028477
447,0,245328869
448,1,247068710
449,0,247618809
450,0,247942696
451,0,248336639
452,0,248340926
453,0,248389191
454,1,249262443
455,0,249308781
456,1,249531991
457,1,249703050
458,0,250249862
459,0,250672191
460,0,250835779
461,0,250922353
462,1,251629263
463,0,251755123
464,0,251756700
465,0,252180631
466,0,252291636
467,0,252508520
468,0,252538219
469,0,252977047
470,0,255357952
471,0,255478226
472,0,256197118
473,0,256471864
474,0,256939793
475,0,257137524
476,1,257695590
477,0,259211414
478,0,260205556
479,0,260360202
480,0,260386046
481,0,260977490
482,0,261896954
483,0,262267950
484,1,262651778
485,0,262666882
486,0,263856541
487,0,264029922
488,0,264084933
489,1,264119811
490,0,264124568
491,0,264129365
492,1,264709913
493,0,264815761
494,1,264963005
495,1,264974088
496,1,264987345
497,0,269219955
498,0,269667071
499,0,270689828
500,0,270933321
501,0,271099695
502,0,271129171
503,0,271583629
504,0,271822802
505,0,272814206
506,0,273104520
507,0,273396655
508,0,273828668
509,0,274197066
510,1,274269383
511,0,274269421
512,0,274498496
513,0,275092914
514,0,275364764
515,0,275924054
516,0,276234904
517,1,276503626
518,0,277578868
519,1,278033352
520,1,278033760
521,1,278033982
522,1,278034078
523,1,280129239
524,0,283699231
525,1,284612266
526,0,285419204
527,1,286532912
528,0,287014335
529,0,287168146
530,0,288514573
531,0,288580982
532,1,288933201
533,1,288933316
534,1,288952964
535,1,290655229
536,0,291057257
537,0,291113839
538,0,291195932
539,0,292499266
540,0,292524051
541,0,292706924
542,1,294411237
543,0,294889578
544,0,296404077
545,1,297144380
546,0,297747296
547,0,298004809
548,0,298007089
549,0,298872018
550,0,300834064
551,0,301848250
552,0,302727578
553,0,303442948
554,1,303863603
555,0,304878607
556,0,305836847
557,0,306324375
558,0,306574494
559,0,307139698
560,0,307139702
561,0,309170969
562,0,309227376
563,0,310027325
564,0,310544823
565,1,310865072
566,1,310903843
567,1,312775551
568,1,313293122
569,1,313293346
570,0,313570639
571,0,314069044
572,0,314070378
573,1,315198666
574,1,315299030
575,1,315523510
576,1,315956829
577,1,316433062
578,0,317073356
579,0,318012648
580,0,319417530
581,0,319459454
582,1,319534510
583,1,319534541
584,0,320066089
585,0,320203115
586,0,321290370
587,0,321428132
588,0,321556009
589,0,321623295
590,0,321831733
591,0,322097725
592,1,322744092
593,0,323110834
594,1,323248698
595,0,323534701
596,0,324313592
597,1,324642601
598,1,324646614
599,1,324646944
600,0,324842862
601,1,325820820
602,1,326794331
603,0,327548403
604,0,328556337
605,0,328612599
606,0,329110584
607,0,329735960
608,0,330567096
609,1,330927000
610,0,331031565
611,1,332494614
612,0,334398449
613,0,335032358
614,0,335398431
615,0,335441823
616,0,336336765
617,0,336723436
618,0,336992512
619,1,337951334
620,0,338554483
621,0,339529966
622,1,339679183
623,0,339830882
624,0,340025892
625,1,341675698
626,0,341884916
627,0,344656744
628,0,345222012
629,0,345388248
630,0,346027967
631,0,346788762
632,0,346800634
633,0,347005490
634,0,347107533
635,1,347313358
636,0,347671959
637,1,348437629
638,1,349059172
639,0,349654692
640,0,351508360
641,0,351621933
642,0,352140235
643,1,352744673
644,0,352806465
645,0,352816649
646,0,352832048
647,0,354048810
648,0,354197462
649,0,355112215
650,0,355112505
651,0,356118077
652,0,357015944
653,0,357852196
654,0,358217160
655,0,358437183
656,0,358437595
657,0,358648472
658,0,360663021
659,0,360703253
660,0,361473728
661,0,362544942
662,0,362547369
663,0,363474370
664,0,364230420
665,1,364236464
666,0,365686113
667,0,365686374
668,0,366169182
669,1,367163328
670,0,367264867
671,0,367265132
672,0,367421027
673,0,367830363
674,0,368316512
675,0,368317992
676,1,368852732
677,0,369386410
678,0,371503049
679,0,371847003
680,0,372144251
681,1,372657009
682,1,372657208
683,1,372659706
684,1,372659717
685,1,372659840
686,0,373237802
687,0,373276353
688,0,373904404
689,0,375073037
690,1,375142635
691,0,375242298
692,0,377392856
693,1,377811182
694,0,378293170
695,0,379367150
696,0,379389627
697,1,380148460
698,0,380636038
699,1,382009179
700,0,382025645
701,0,382233135
702,0,382394171
703,0,382456056
704,0,383090325
705,0,383172835
706,0,384182350
707,0,384403005
708,0,385406765
709,0,385753746
710,1,385759794
711,0,385760310
712,0,385824167
713,0,385928135
714,0,387514184
715,0,388131911
716,1,388639328
717,0,388924604
718,0,389628389
719,0,389648744
720,1,390100090
721,0,390474000
722,0,390690270
723,0,394080083
724,0,395383603
725,0,395388740
726,0,397176964
727,0,397966482
728,0,399742290
729,0,399979615
730,0,400532101
731,0,400849276
732,0,401030729
733,0,401030819
734,0,401030955
735,0,402089683
736,0,402203074
737,0,403541785
738,0,403655141
739,0,403908184
740,0,404041292
741,0,404091073
742,1,404429416
743,0,404451363
744,0,406286294
745,0,406343492
746,0,406535048
747,0,406598595
748,0,406868893
749,0,407812945
750,1,407918242
751,1,408222341
752,0,408679260
753,0,408771073
754,0,409275435
755,0,410016100
756,0,410148910
757,0,410159815
758,0,410160387
759,1,410987100
760,0,411540912
761,0,411968258
762,0,411970836
763,0,411979147
764,1,411986158
765,0,412839787
766,0,414381088
767,1,415292864
768,0,416641832
769,1,416738694
770,1,416870464
771,1,418937408
772,0,420840400
773,0,421833477
774,1,422201853
775,0,423313252
776,0,440202330
777,0,442145612
778,0,445885430
779,0,448958450
780,0,450900914
781,0,452503127
782,1,459908228
783,1,461418706
784,1,463689741
785,1,464847942
786,0,465152740
787,0,465659784
788,1,468025137
789,0,470515751
790,0,470535488
791,1,471137631
792,0,472801424
793,1,474445592
794,0,474548498
795,0,474548519
796,0,474548623
797,1,474548692
798,0,474548989
799,0,478266978
800,1,479424007
801,0,482738744
802,0,489902746
803,0,490172108
804,0,490920647
805,0,491752639
806,0,498237684
807,0,500054618
808,0,500090412
809,0,500293706
810,0,500479854
811,0,506416298
812,0,508659128
813,0,521343672
814,0,525088898
815,1,527248729
816,0,530074947
817,0,532306037
818,0,534709582
819,0,536078284
820,0,536671826
821,0,538251466
822,0,544011161
823,0,544482955
824,0,545629363
825,1,547124098
826,1,549293608
827,0,551107266
828,0,554948112
829,0,557040595
830,1,562053891
831,1,562054366
832,0,568656455
833,0,571115035
834,0,571971115
835,0,574672807
836,0,575722246
837,0,576164146
838,0,580431102
839,0,580432096
840,0,586264485
841,0,593109107
842,0,596849717
843,0,604248580
844,0,605160644
845,0,605208067
846,0,606324718
847,0,614373807
848,0,616707679
849,0,621425813
850,0,624148660
851,0,626541539
852,1,626677378
853,0,633471966
854,0,633472700
855,0,633819777
856,0,633885394
857,0,633903688
858,0,633917824
859,1,634009519
860,0,636244193
861,0,639540230
862,0,642367685
863,0,646216378
864,0,646460418
865,0,648460441
866,0,648585109
867,0,656063084
868,1,662246034
869,1,662255471
870,1,662262763
871,0,676286537
872,0,678669291
873,0,679904890
874,0,681072044
875,0,684962150
876,0,684962279
877,0,686075206
878,1,697279716
879,0,697280131
880,0,697516848
881,1,698444450
882,0,699531828
883,0,705430854
884,0,711353892
885,0,713592374
886,1,719032047
887,1,719233268
888,0,719491164
889,0,719562194
890,1,719568445
891,0,719705730
892,1,721270478
893,1,726870737
894,0,732941533
895,1,735713098
896,0,737669413
897,0,744674608
898,1,745594528
899,1,749792016
900,1,749793274
901,0,755578654
902,0,761639965
903,0,766801999
904,1,768084716
905,0,770418827
906,0,770818357
907,1,778112950
908,0,778113018
909,0,779524788
910,0,782570845
911,0,782660096
912,0,793682717
913,0,795654361
914,0,801463550
915,1,808731695
916,1,809557984
917,0,811410372
918,0,812329074
919,0,812816619
920,0,816586208
921,1,818468053
922,0,819154735
923,0,821403400
924,0,821403646
925,1,822527727
926,1,822528375
927,1,822528582
928,0,824151134
929,1,824958620
930,0,829880476
931,0,835960043
932,0,837375172
933,0,851215857
934,0,853950526
935,0,855745366
936,0,855797146
937,0,857196525
938,0,857447950
939,1,857599154
940,0,863007465
941,0,863395653
942,0,868719534
943,0,876578484
944,0,876579328
945,0,876580249
946,1,882141348
947,0,884194834
948,0,888228902
949,0,889317191
950,0,892428712
951,0,895001632
952,0,896377018
953,0,907889382
954,0,907890426
955,0,907939358
956,0,908208130
957,0,910730036
958,0,912607877
959,0,912674684
960,1,912676736
961,1,912678150
962,0,912678784
963,0,912803034
964,0,917611313
965,0,919634793
966,0,926349336
967,0,928724281
968,0,930202373
969,0,933286376
970,0,933792785
971,0,935722395
972,1,936435870
973,0,936622130
974,0,936624315
975,0,940173551
976,0,940628681
977,0,941304790
978,0,947645782
979,0,948621379
980,0,948690232
981,0,948692253
982,0,958295891
983,1,958687359
984,0,961906193
985,0,969424275
986,0,983629896
987,0,983691690
988,1,983697208
989,0,983699978
990,1,983720855
991,1,983722601
992,1,985284796
993,1,985284927
994,0,986034853
995,0,986061416
996,0,987119983
997,0,988851277
998,0,989030840
999,1,992752145
1000,0,993609578
1001,0,993610071
1002,0,1002762335
1003,1,1007816662
1004,0,1008319991
1005,1,1010030070
1006,1,1010030111
1007,0,1012821670
1008,0,1013445096
1009,0,1013953042
1010,1,1014049805
1011,0,1015368663
1012,0,1015683370
1013,0,1016318296
1014,0,1016318325
1015,0,1016322704
1016,1,1016323150
1017,0,1017349928
1018,0,1017410296
1019,0,1018278229
1020,1,1018295173
1021,1,1019616567
1022,1,1019635190
1023,0,1020952455
1024,0,1030686425
1025,1,1032860532
1026,0,1037029887
1027,1,1038104489
1028,0,1038877969
1029,1,1039132083
1030,0,1044483273
1031,0,1051352458
1032,0,1052503183
1033,1,1054580270
1034,0,1057494445
1035,0,1058722681
1036,1,1058862067
1037,0,1060522554
1038,1,1063263118
1039,0,1064280080
1040,1,1071041743
1041,0,1079673356
1042,0,1089855964
1043,0,1090075711
1044,0,1092439757
1045,0,1095209888
1046,1,1100120230
1047,0,1101808679
1048,0,1101988107
1049,0,1105163773
1050,0,1109216300
1051,1,1109713602
1052,0,1116032400
1053,0,1118583514
1054,0,1118827315
1055,0,1121303400
1056,0,1134108844
1057,0,1134736261
1058,0,1134736377
1059,0,1138930906
1060,0,1142734339
1061,0,1142794279
1062,0,1145930961
1063,0,1148488039
1064,0,1149498766
1065,1,1158338377
1066,0,1158338470
1067,0,1159146358
1068,0,1162234188
1069,0,1165862658
1070,0,1166823763
1071,1,1166857814
1072,0,1177110979
1073,0,1182717401
1074,1,1191963394
1075,1,1191963831
1076,1,1191970614
1077,0,1191975994
1078,1,1192353266
1079,0,1193910404
1080,0,1200146998
1081,0,1204654485
1082,0,1208827939
1083,0,1209504315
1084,0,1215847534
1085,0,1215847631
1086,0,1215847633
1087,0,1215861161
1088,0,1227099825
1089,0,1240958513
1090,0,1244493339
1091,0,1246845151
1092,0,1247135815
1093,0,1252458683
1094,0,1258793117
1095,0,1259305769
1096,0,1270083095
1097,0,1270345420
1098,0,1274841711
1099,0,1278368280
1100,1,1280746057
1101,0,1284894256
1102,0,1288535159
1103,0,1291303465
1104,1,1292269206
1105,0,1294246833
1106,0,1298756801
1107,1,1305063559
1108,1,1307369441
1109,0,1308120235
1110,1,1311269334
1111,0,1317145190
1112,0,1317194838
1113,1,1318584619
1114,1,1319317656
1115,0,1320729141
1116,0,1323336967
1117,0,1330385781
1118,0,1331630878
1119,1,1332068904
1120,1,1332084150
1121,0,1336087525
1122,0,1337486772
1123,0,1341024011
1124,0,1342232352
1125,0,1342260903
1126,0,1342288210
1127,0,1342351630
1128,0,1344870965
1129,1,1345538826
1130,0,1348415360
1131,1,1348416577
1132,0,1354536092
1133,0,1364738915
1134,0,1366352987
1135,0,1369945525
1136,0,1382233064
1137,0,1383110318
1138,1,1396544557
1139,0,1398891375
1140,0,1403647884
1141,1,1405603518
1142,0,1420711286
1143,0,1420717914
1144,0,1427299125
1145,0,1431283165
1146,0,1431531624
1147,0,1435605682
1148,0,1439668921
1149,0,1439872342
1150,0,1440552296
1151,0,1443601871
1152,0,1443764109
1153,0,1444774326
1154,1,1445857425
1155,0,1445921540
1156,0,1446150821
1157,1,1447712883
1158,0,1451185601
1159,0,1451455090
1160,0,1458471117
1161,0,1458475761
1162,0,1459804602
1163,0,1461142474
1164,0,1461295865
1165,1,1462210484
1166,0,1462653885
1167,0,1463029467
1168,0,1468989169
1169,0,1476536574
1170,0,1479497990
1171,0,1483673906
1172,0,1483852234
1173,0,1483894390
1174,0,1483895552
1175,0,1483900206
1176,0,1483900261
1177,0,1484392371
1178,0,1485668705
1179,0,1487534678
1180,0,1496235899
1181,0,1498887267
1182,0,1501925041
1183,0,1502039173
1184,0,1504256353
1185,0,1504362705
1186,1,1506662752
1187,0,1511727421
1188,0,1512822475
1189,0,1512908169
1190,0,1516005361
1191,1,1518890334
1192,0,1519935830
1193,0,1524186818
1194,0,1524698836
1195,0,1539068492
1196,0,1541206823
1197,0,1544415440
1198,0,1544846622
1199,0,1553980042
1200,0,1558955534
1201,0,1559099743
1202,0,1566711110
1203,0,1567311674
1204,0,1574715057
1205,0,1574971410
1206,1,1583067069
1207,0,1586750456
1208,1,1587864083
1209,0,1587874485
1210,1,1587915794
1211,0,1591827749
1212,0,1592165434
1213,0,1592615394
1214,0,1595747699
1215,0,1600634643
1216,0,1601602950
1217,0,1606409678
1218,1,1606564303
1219,0,1606608050
1220,0,1607582774
1221,0,1608604966
1222,0,1609875168
1223,0,1611223676
1224,0,1611470771
1225,0,1612007520
1226,1,1615202352
1227,0,1619642073
1228,0,1621839567
1229,0,1624334438
1230,1,1631211359
1231,0,1631230140
1232,0,1631230210
1233,1,1631231516
1234,1,1631300859
1235,0,1632579938
1236,1,1638291597
1237,0,1639659560
1238,0,1639838304
1239,0,1643453449
1240,1,1644317372
1241,1,1655451638
1242,0,1659160371
1243,0,1659597171
1244,1,1664571528
1245,0,1666362016
1246,0,1668183931
1247,1,1674131382
1248,0,1680555615
1249,0,1683952181
1250,0,1684511218
1251,0,1684682730
1252,0,1689879363
1253,0,1690377638
1254,0,1691344260
1255,0,1692324282
1256,0,1695439371
1257,0,1698648826
1258,0,1699720320
1259,0,1703958543
1260,0,1711079498
1261,0,1712294559
1262,1,1727354555
1263,0,1728215757
1264,0,1729454379
1265,0,1731628114
1266,0,1735705116
1267,0,1736857988
1268,0,1738355995
1269,0,1739344089
1270,0,1739344155
1271,0,1746276933
1272,0,1749480632
1273,0,1754128672
1274,1,1754595667
1275,0,1758352523
1276,1,1759311792
1277,1,1759710020
1278,0,1760500812
1279,1,1760556669
1280,0,1760836973
1281,0,1773424260
1282,0,1773583529
1283,0,1774148327
1284,0,1774501268
1285,0,1774583443
1286,0,1774595193
1287,0,1774629088
1288,0,1774965085
1289,0,1776821896
1290,1,1776827741
1291,0,1785468315
1292,0,1786334295
1293,0,1789223576
1294,0,1789223606
1295,0,1790330504
1296,0,1790433628
1297,0,1799073620
1298,1,1799776825
1299,0,1800256693
1300,1,1800379143
1301,0,1800615241
1302,0,1803568183
1303,0,1804313555
1304,0,1804584693
1305,0,1805146263
1306,0,1808173070
1307,0,1808329276
1308,0,1808712411
1309,0,1809335579
1310,0,1809435432
1311,1,1809467412
1312,0,1810129167
1313,0,1810136466
1314,0,1811794502
1315,0,1811794807
1316,0,1811912715
1317,0,1812190284
1318,0,1812458678
1319,0,1814191587
1320,0,1814420089
1321,0,1814583414
1322,1,1814804853
1323,1,1814830010
1324,1,1815410488
1325,0,1816028502
1326,0,1817015729
1327,0,1817024844
1328,1,1817394697
1329,0,1817768646
1330,0,1818266214
1331,0,1818475424
1332,1,1818748295
1333,0,1819181428
1334,1,1819266752
1335,1,1819300196
1336,0,1819321177
1337,0,1819385084
1338,0,1820327935
1339,0,1820455017
1340,0,1821203795
1341,0,1822538580
1342,1,1823334531
1343,0,1823561521
1344,0,1824103253
1345,1,1826061715
1346,0,1826796564
1347,0,1826823257
1348,0,1827212514
1349,1,1829740007
1350,0,1830045781
1351,1,1831277041
1352,0,1831512674
1353,1,1831917802
1354,1,1831928339
1355,0,1832384132
1356,0,1832526521
1357,0,1833231136
1358,1,1833628201
1359,0,1833885306
1360,0,1834789410
1361,0,1837317226
1362,0,1837538785
1363,0,1837570247
1364,1,1838028494
1365,0,1838776963
1366,1,1840297741
1367,1,1840297763
1368,0,1840651152
1369,0,1840651165
1370,0,1840822268
1371,1,1841639296
1372,0,1842733860
1373,0,1843218410
1374,0,1843239211
1375,0,1843239223
1376,0,1846622938
1377,0,1846640028
1378,0,1847679272
1379,0,1847980402
1380,0,1848718380
1381,1,1848941901
1382,0,1849754106
1383,0,1849768789
1384,0,1849795868
1385,0,1850133337
1386,0,1850170788
1387,0,1850194019
1388,0,1850433246
1389,0,1850669985
1390,0,1850911535
1391,0,1852353568
