,cat,id
0,1,1775117
1,1,2743079
2,2,4692617
3,1,6317839
4,2,8091217
5,0,8699655
6,1,12095750
7,1,12689100
8,0,13958044
9,0,14388511
10,2,14390686
11,1,15804800
12,2,18633267
13,2,18720641
14,1,20339056
15,0,20985924
16,1,21124530
17,0,21360143
18,1,21486882
19,0,22652710
20,2,23493138
21,0,25024452
22,0,26596609
23,0,31110649
24,0,36873827
25,0,39088375
26,0,39211700
27,1,39239390
28,0,41594052
29,0,41711027
30,0,42132667
31,0,43466952
32,2,43467185
33,0,43699029
34,0,43979121
35,0,46768914
36,0,47262479
37,1,47527673
38,1,48507196
39,2,49407075
40,1,49918339
41,0,50584410
42,0,50916370
43,1,51899186
44,2,52652082
45,2,54806952
46,1,55754949
47,1,56424636
48,0,56509005
49,0,56986563
50,0,58239191
51,1,58366864
52,1,58961226
53,0,59232004
54,0,59278598
55,0,61226844
56,1,64364693
57,0,65299987
58,0,65534482
59,2,67532940
60,0,68624021
61,2,68919310
62,0,69168374
63,0,69722131
64,0,69722203
65,1,69723594
66,0,69929446
67,1,71692968
68,0,72603155
69,1,73248353
70,1,74377697
71,1,74464905
72,1,75046807
73,1,75311318
74,0,75680199
75,0,75695639
76,1,76557496
77,2,77114388
78,2,77589754
79,2,80122731
80,1,80241817
81,2,80961013
82,1,81595196
83,0,82228141
84,1,84125943
85,0,84164368
86,0,84590294
87,0,84741299
88,1,86479879
89,0,92295894
90,2,94739872
91,0,95232371
92,0,95281331
93,1,95538458
94,2,97081299
95,0,97677503
96,1,98666103
97,0,99086167
98,0,99118851
99,1,99601613
100,1,99619670
101,1,99619860
102,0,99960983
103,1,100247956
104,0,100298867
105,1,100298873
106,1,100475053
107,0,101309443
108,2,102981761
109,1,103384754
110,1,103397420
111,1,103725688
112,1,105308717
113,0,106419267
114,1,107144210
115,1,107738604
116,0,108500454
117,1,109616061
118,1,111841163
119,2,112672054
120,1,112964284
121,2,112967515
122,2,114515858
123,0,114550024
124,0,115146382
125,2,115346695
126,1,116875179
127,2,117312531
128,0,117592991
129,0,117748092
130,1,118462609
131,1,119655794
132,2,120343080
133,2,120430688
134,0,120734925
135,2,121822449
136,2,123061444
137,0,123872545
138,0,125019633
139,0,125556585
140,1,126257875
141,0,127074956
142,0,127660777
143,2,128156681
144,0,129541048
145,0,130567704
146,0,130763821
147,2,130855701
148,1,132325684
149,0,133331980
150,0,133883425
151,2,134494889
152,2,136176901
153,2,136255571
154,1,136738717
155,1,137056744
156,1,137092993
157,1,138791657
158,1,139284840
159,0,141093881
160,0,145809060
161,1,145809253
162,1,146647484
163,1,147404005
164,0,147486357
165,1,147766092
166,2,150048018
167,1,152623612
168,1,153076008
169,0,153522603
170,0,155053945
171,1,155731089
172,2,156570507
173,0,157818421
174,1,158761735
175,0,159862487
176,0,162822137
177,1,163145670
178,0,163733569
179,1,164626360
180,0,164742159
181,1,165025154
182,0,166371000
183,0,166387250
184,2,166551453
185,0,167854113
186,1,167935399
187,1,167962887
188,0,168333886
189,0,168601796
190,0,169222278
191,1,169778412
192,1,172419893
193,2,173073737
194,1,173266892
195,0,173513905
196,2,173961727
197,1,174972761
198,0,176183275
199,2,176947091
200,2,178046170
201,0,178218458
202,1,179122228
203,0,183135460
204,1,185484335
205,0,185745070
206,0,185843147
207,0,188853667
208,1,190624264
209,1,191000340
210,0,191513112
211,0,191932240
212,2,192583163
213,0,193352797
214,1,195077147
215,0,196821477
216,2,196866901
217,0,198849041
218,0,198861720
219,0,198866402
220,1,199102119
221,1,200515408
222,0,201223315
223,2,204580588
224,0,204806759
225,0,206477852
226,1,208766254
227,1,210438217
228,2,212280239
229,0,213961181
230,1,214484377
231,0,215105748
232,0,217882321
233,2,218133852
234,2,218318489
235,0,218986047
236,0,221359196
237,0,221438891
238,0,222410227
239,0,224067497
240,2,224142727
241,0,224163987
242,1,224247640
243,2,224426514
244,2,224753604
245,0,224779413
246,0,225292024
247,1,226326238
248,2,226802133
249,1,227149610
250,0,227153939
251,1,228327714
252,1,228522041
253,0,232793981
254,2,233687650
255,0,234282276
256,2,234282417
257,1,235929488
258,0,238483062
259,0,241313037
260,2,243197063
261,0,243433706
262,1,244979879
263,1,245495604
264,1,246010627
265,2,246176716
266,1,249065062
267,0,249126146
268,0,251963894
269,2,252024212
270,0,252186734
