,cat,id
0,1,672569
1,1,1667129
2,1,1812348
3,0,3750830
4,1,4300416
5,1,5141790
6,0,5734136
7,2,5776386
8,0,5886451
9,3,6071038
10,3,6167015
11,1,8729272
12,2,9832457
13,3,10572197
14,3,10833055
15,3,11814498
16,1,12541893
17,0,12806561
18,0,13308607
19,3,17884920
20,2,18683037
21,1,19092092
22,1,20385609
23,2,20388261
24,2,20497425
25,0,20499049
26,2,20653176
27,3,20723459
28,2,21338827
29,2,22162661
30,1,22639135
31,1,23483139
32,1,23628138
33,0,23793728
34,0,24448258
35,2,26088217
36,1,26644483
37,3,26676031
38,1,27222946
39,3,27778893
40,2,28200383
41,2,29948608
42,0,31049397
43,0,33152231
44,0,35030804
45,0,35347924
46,3,35668014
47,1,36514206
48,1,37421291
49,3,37611165
50,0,37734215
51,0,38353108
52,2,38402750
53,3,38833199
54,3,42182526
55,3,42332227
56,0,43053045
57,1,45972624
58,2,46618735
59,2,46660048
60,1,47182815
61,3,47258602
62,0,48433431
63,0,49608652
64,0,49930980
65,0,49984803
66,1,50204690
67,1,51221113
68,1,53104252
69,2,53917659
70,1,54720606
71,1,55164364
72,0,55763785
73,3,58426845
74,0,60501747
75,2,61228465
76,0,61247065
77,1,61764940
78,0,61832660
79,0,61866279
80,0,62082174
81,3,62882136
82,3,63938363
83,0,64013526
84,1,64211822
85,1,64808651
86,0,65287216
87,0,66531740
88,3,66532129
89,2,68926718
90,0,70126248
91,0,70306431
92,0,72181420
93,0,72295265
94,2,73839194
95,3,74076623
96,3,74307921
97,1,74671267
98,1,75005992
99,0,75546375
100,2,77951898
101,3,77968250
102,0,78000809
103,2,78536039
104,2,78620618
105,0,78911004
106,2,79588555
107,3,79751276
108,2,80148305
109,2,80561601
110,2,81300606
111,2,81663460
112,2,82183166
113,1,82232137
114,3,82657463
115,3,85479127
116,0,85556284
117,3,85556307
118,0,86129973
119,0,87616088
120,1,87645399
121,2,87914618
122,1,88258801
123,3,88414703
124,0,88716266
125,2,89916684
126,0,90811688
127,1,90874473
128,2,91133473
129,0,91607138
130,1,92979297
131,0,95074847
132,2,95269743
133,2,95349523
134,0,95406896
135,1,96129907
136,3,96913122
137,0,96946417
138,0,97881931
139,0,98441070
140,1,98570987
141,0,100585000
142,2,102196037
143,3,102546284
144,2,103010519
145,1,103031477
146,3,103481307
147,3,103994690
148,0,104687551
149,3,104956882
150,2,105503092
151,1,106001001
152,3,106934420
153,2,107371153
154,2,107535740
155,3,107684775
156,0,108810586
157,2,109062267
158,1,110492798
159,0,110974656
160,1,111958520
161,0,112041643
162,0,112050043
163,3,113732464
164,2,113803677
165,2,114644058
166,2,115397257
167,3,115913483
168,1,115929704
169,1,116247624
170,1,116439134
171,1,117042794
172,3,117088628
173,0,118082816
174,3,119559943
175,3,119887956
176,2,120525460
177,0,121293426
178,0,121728609
179,1,123565549
180,1,123951689
181,3,124688684
182,0,124799983
183,3,125748638
184,1,125859771
185,3,125899915
186,0,126114459
187,1,126501981
188,1,126549722
189,3,126617084
190,2,126646696
191,1,128258846
192,0,128260344
193,3,128305452
194,1,129202623
195,3,130293829
196,1,130962135
197,3,131890992
198,0,132066864
199,1,132375822
200,1,132752070
201,0,134472995
202,1,135218950
203,1,136246916
204,3,136641118
205,3,136921934
206,2,137066595
207,2,137310260
208,0,137817223
209,1,138365608
210,2,138371086
211,2,139375531
212,3,139511477
213,1,139919880
214,1,140577370
215,2,140619951
216,2,141274077
217,0,142295721
218,0,142916053
219,0,143445365
220,2,144633911
221,1,145481696
222,1,145573445
223,0,146454323
224,1,146882208
225,2,147020036
226,1,148270836
227,0,148987904
228,2,150096007
229,1,150591681
230,2,150623631
231,3,150770798
232,0,151006057
233,3,151628176
234,3,152253939
235,0,152653728
236,3,153231241
237,1,153557804
238,0,153753528
239,2,154400723
240,1,157184695
241,1,158333634
242,0,158438423
243,0,158682930
244,1,159817265
245,2,160714171
246,0,161317904
247,3,161553860
248,0,162160222
249,0,163006800
250,0,163237145
251,1,164449391
252,1,164570786
253,0,164784384
254,3,164926534
255,2,167914409
256,2,169277039
257,0,170201199
258,0,170549342
259,1,170887633
260,2,172600223
261,3,172839030
262,0,172975464
263,0,174166195
264,0,175504867
265,1,175716415
266,1,176598324
267,2,176638842
268,3,177109538
269,0,178693089
270,0,178799670
271,2,180709303
272,1,181641340
273,1,184126361
274,0,187085879
275,3,187866310
276,1,187867146
277,1,187891657
278,0,187916575
279,3,188983764
280,2,189589823
281,0,190301261
282,0,190314262
283,3,190512422
284,3,191133585
285,3,191419553
286,0,192998141
287,0,193220729
288,0,193243786
289,2,193773826
290,2,194688199
291,2,194833911
292,1,195115255
293,2,195127514
294,0,195814489
295,3,196255035
296,2,196558095
297,3,196562426
298,2,196758480
299,2,197426334
300,2,198201757
301,2,198254123
302,3,198376857
303,2,199706140
304,3,201137237
305,3,202020843
306,0,202129040
307,1,202533907
308,2,202661485
309,1,203675877
310,0,204204389
311,2,205186422
312,3,205277245
313,2,205974328
314,0,206107509
315,3,206214540
316,1,207301091
317,0,208314658
318,2,208338723
319,2,209582041
320,1,209653245
321,3,210687842
322,0,213796132
323,0,215053602
324,0,216445800
325,1,217046801
326,2,217363305
327,2,218073427
328,2,218434303
329,0,218656821
330,3,218801294
331,2,219209053
332,0,219653797
333,3,220575254
334,2,220664295
335,1,222126034
336,0,222303500
337,3,222956713
338,3,223221861
339,2,223478851
340,2,224790583
341,0,224818759
342,3,225337015
343,3,225564058
344,0,226016519
345,2,226079474
346,0,226089809
347,0,227040511
348,3,227203202
349,0,227206428
350,1,230514077
351,3,231956237
352,2,232181134
353,2,232231758
354,1,233062348
355,2,233878412
356,3,234036551
357,0,234332733
358,0,235798727
359,2,235969829
360,0,236216627
361,3,236957354
362,1,237413613
363,2,237772860
364,2,238990310
365,0,243161379
366,0,244850073
367,1,247740093
368,1,247756058
369,0,247831144
370,2,250050216
371,1,250207542
372,0,250211331
373,0,250569157
374,0,251090510
375,0,251118565
376,3,251261881
377,3,251771912
378,0,251920606
379,0,252101266
380,3,252319206
381,1,252583505
382,3,253141772
383,2,253308760
384,0,253483819
385,1,254132142
386,3,255778232
387,1,255848555
388,3,255848652
389,2,258893491
390,2,258897172
391,1,259386871
392,2,260037691
393,0,260135283
394,2,261375320
395,2,261404124
396,2,261526639
397,0,262358323
398,0,264797528
399,2,265501272
400,1,265880945
401,3,266013660
402,0,266084993
403,3,266253143
404,2,267138566
405,0,267910455
406,1,268653348
407,1,268654481
408,3,269539965
409,2,270293963
410,0,270375621
411,0,270550628
412,0,270814888
413,0,271145805
414,0,272342999
415,3,272726752
416,3,272741485
417,3,272765760
418,0,272775739
419,3,274558397
420,3,274873427
421,1,275246819
422,1,275332029
423,0,275859944
424,3,277576297
425,1,277799372
426,1,277850777
427,1,278208976
428,2,280314070
429,1,280441225
430,3,281021339
431,0,281593172
432,2,281994814
433,2,282331412
434,3,282647586
435,3,283224460
436,2,283253426
437,3,285883605
438,0,286012334
439,0,286325810
440,0,287613613
441,1,287614863
442,0,289394795
443,3,289434506
444,1,289599964
445,0,289926114
446,2,290066342
447,3,290574377
448,2,290945630
449,0,291314618
450,3,291814308
451,1,293177394
452,0,293488382
453,1,293686821
454,1,295753652
455,1,297340138
456,0,298579291
457,1,298823163
458,1,300409928
459,0,301306470
460,0,302594788
461,2,304257861
462,1,304960908
463,1,306631110
464,3,306640141
465,1,309740310
466,2,311338012
467,3,311657275
468,1,312366691
469,1,312401450
470,3,312861200
471,3,313333678
472,0,314073555
473,0,314229443
474,3,315464494
475,2,315913049
476,1,316653828
477,3,316724053
478,0,317009296
479,3,317723499
480,3,318000966
481,1,321477398
482,3,323147516
483,0,323507196
484,2,323922220
485,1,325904388
486,3,326265641
487,0,326384929
488,1,328434958
489,0,328626175
490,1,330157706
491,0,333565442
492,0,333919503
493,1,333999443
494,2,334325009
495,1,334367165
496,2,334594636
497,1,334672479
498,1,334700534
499,3,335592003
500,3,336796330
501,2,338572588
502,0,339467677
503,2,341004561
504,0,341363818
505,1,342535882
506,2,342700014
507,2,342909756
508,1,343108594
509,3,343272696
510,2,343297516
511,3,344056623
512,3,344462044
513,0,345002270
514,1,346416454
515,2,346639023
516,0,347971463
517,2,349546224
518,3,350679189
519,0,351326442
520,2,351912854
521,2,352241496
522,0,352374050
523,0,352666190
524,3,353517965
525,2,353844366
526,1,353946457
527,0,354148326
528,3,355304453
529,0,355433151
530,2,355656660
531,0,356070778
532,3,356235524
533,3,357867648
534,2,358142070
535,3,358265969
536,2,358932482
537,3,360081898
538,3,360263334
539,2,360792652
540,1,363212123
541,3,365081405
542,2,365860973
543,0,371940152
544,0,372196899
545,2,372344400
546,0,373075594
547,1,373124270
548,2,373645762
549,2,373708561
550,2,374499056
551,0,375309202
552,3,377838395
553,1,378885713
554,3,380280147
555,3,381588256
556,1,382357723
557,1,383469719
558,3,383827505
559,2,384135689
560,1,384581401
561,1,384587767
562,1,385132963
563,2,385579949
564,1,385685703
565,1,386370712
566,3,388095790
567,1,388181095
568,0,388678731
569,0,388680062
570,0,390189985
571,0,391510815
572,0,392437952
573,0,393144912
574,2,394287898
575,2,395725948
576,1,396317402
577,0,396938385
578,3,397319039
579,1,398074924
580,0,398649950
581,3,400811163
582,2,401524148
583,3,401826826
584,2,403084132
585,1,404660464
586,1,405966761
587,1,407730162
588,0,408029619
589,2,408916486
590,0,411852521
591,1,412054945
592,2,412944087
593,2,413045565
594,0,413335055
595,3,415147817
596,2,416147276
597,0,418048658
598,1,418366603
599,2,418834374
600,1,419221608
601,1,419442031
602,2,420168397
603,2,420218492
604,0,420218610
605,0,420219655
606,0,420219901
607,1,420665373
608,0,421223808
609,0,421643578
610,0,421643687
611,0,422772896
612,3,423045278
613,2,423749586
614,3,423803974
615,0,423821994
616,1,423827815
617,1,423828708
618,1,423837821
619,1,423844508
620,1,423854080
621,1,423855343
622,1,423856446
623,1,423869009
624,1,423879002
625,1,423888143
626,1,423893178
627,1,423903456
628,1,423916730
629,1,423919710
630,1,423925920
631,1,423928391
632,1,423953246
633,1,423956637
634,1,423957918
635,1,423960188
636,1,423961779
637,1,423963617
638,1,423987312
639,1,424002374
640,1,424003735
641,1,424005791
642,1,424014610
643,1,424017790
644,1,424021215
645,1,424025397
646,1,424026093
647,1,424033441
648,1,424035234
649,1,424036956
650,1,424041768
651,1,424050556
652,1,424086557
653,1,424108362
654,1,424118199
655,1,424121041
656,1,424128594
657,1,424129242
658,1,424139506
659,1,424142952
660,1,424159994
661,1,424163119
662,1,424176192
663,1,424178266
664,1,424179189
665,1,424183830
666,1,424193695
667,1,424196531
668,1,424200820
669,1,424203473
670,1,424204493
671,1,424236086
672,1,424254367
673,1,424266410
674,1,424273251
675,1,424277925
676,1,424278878
677,1,424292602
678,1,424299950
679,1,424307365
680,1,424319515
681,1,424323670
682,1,424332117
683,1,424344344
684,1,424345691
685,1,424348054
686,1,424351474
687,1,424356047
688,1,424368545
689,1,424369751
690,1,424373360
691,1,424383442
692,1,424389641
693,1,424394903
694,1,424395396
695,1,424408146
696,1,424414255
697,1,424420644
698,1,424421144
699,1,424424707
700,1,424443089
701,1,424452498
702,1,424459594
703,1,424464984
704,1,424468865
705,1,424492721
706,1,424510291
707,1,424520941
708,1,424529777
709,1,424530671
710,1,424531092
711,1,424543134
712,1,424574945
713,1,424578478
714,1,424591114
715,1,424593296
716,1,424597578
717,1,424626659
718,1,424630954
719,1,424632614
720,1,424635057
721,1,424638266
722,1,424639598
723,1,424649759
724,1,424653656
725,1,424677951
726,1,424682184
727,1,424692880
728,1,424698597
729,1,424711118
730,1,424734037
731,1,424741256
732,1,424742801
733,1,424769660
734,1,424770343
735,1,424782944
736,1,424791028
737,1,424792171
738,1,424795313
739,1,424817702
740,1,424828722
741,1,424832455
742,1,424839250
743,1,424839916
744,1,424858048
745,1,424859609
746,1,424860040
747,1,424879224
748,1,424892435
749,1,424899593
750,1,424917055
751,1,424932471
752,1,424941477
753,1,424942127
754,1,424958200
755,1,424974601
756,1,425003914
757,1,425006938
758,1,425009741
759,1,425019767
760,1,425021989
761,1,425022212
762,1,425037762
763,1,425051440
764,1,425083611
765,1,425084676
766,1,425091295
767,1,425095938
768,1,425097796
769,1,425103166
770,1,425118362
771,1,425139059
772,1,425153331
773,1,425155659
774,1,425170179
775,1,425172124
776,1,425191980
777,1,425212452
778,1,425215167
779,1,425232436
780,1,425235357
781,1,425236041
782,1,425237851
783,1,425245194
784,1,425245859
785,1,425253405
786,1,425263587
787,1,425265353
788,1,425271078
789,1,425272784
790,1,425278247
791,1,425302213
792,1,425305958
793,1,425308015
794,1,425308459
795,1,425309948
796,1,425310838
797,1,425318244
798,1,425319740
799,1,425321015
800,1,425327835
801,1,425352128
802,1,425353633
803,1,425361307
804,1,425395267
805,1,425418066
806,1,425434684
807,1,425438790
808,1,425441926
809,1,425442595
810,1,425445791
811,1,425483587
812,1,425492409
813,1,425493521
814,1,425499802
815,1,425503407
816,1,425510639
817,1,425513938
818,1,425515043
819,1,425530482
820,1,425534044
821,1,425538544
822,1,425544127
823,1,425546752
824,1,425552701
825,1,425555099
826,1,425560907
827,1,425571643
828,1,425573426
829,1,425576356
830,1,425584844
831,1,425587240
832,1,425590150
833,1,425593499
834,1,425593722
835,1,425599895
836,1,425600118
837,1,425603511
838,1,425608532
839,1,425609203
840,1,425628150
841,1,425631441
842,1,425633718
843,1,425636836
844,1,425637947
845,1,425639279
846,1,425640384
847,1,425650200
848,1,425678231
849,1,425685235
850,1,425711718
851,1,425712420
852,1,425712865
853,1,425727871
854,1,425737623
855,1,425744692
856,1,425754835
857,1,425761813
858,1,425774264
859,1,425778251
860,1,425794244
861,1,425795793
862,1,425800298
863,1,425809646
864,1,425813673
865,1,425814547
866,1,425826102
867,1,425835525
868,1,425842898
869,1,425846838
870,1,425853184
871,1,425861639
872,1,425861862
873,1,425869446
874,1,425872982
875,1,425876754
876,1,425885142
877,1,425900539
878,1,425916103
879,1,425918995
880,1,425919454
881,1,425933464
882,1,425935434
883,1,425941989
884,1,425965488
885,1,425977631
886,1,425978069
887,1,425981995
888,1,425988547
889,1,425989215
890,1,426001353
891,1,426010074
892,1,426013870
893,1,426014090
894,1,426017606
895,1,426021351
896,1,426021790
897,1,426022455
898,1,426025173
899,1,426029165
900,1,426031190
901,1,426032560
902,1,426038720
903,1,426046752
904,1,426050077
905,1,426068579
906,1,426072812
907,1,426083714
908,1,426086374
909,1,426097677
910,1,426098774
911,1,426101202
912,1,426106094
913,1,426115455
914,1,426116570
915,1,426124108
916,1,426125001
917,1,426125439
918,1,426148033
919,1,426151857
920,1,426156062
921,1,426156525
922,1,426164840
923,1,426167669
924,1,426171934
925,1,426183220
926,1,426186506
927,1,426186955
928,1,426190686
929,1,426202254
930,1,426210669
931,1,426213963
932,1,426221890
