,cat,id
0,0,1156661
1,1,1225065
2,1,1909211
3,2,1911674
4,1,1914093
5,2,1914486
6,1,1915314
7,0,1996953
8,1,2173077
9,0,2174951
10,0,2179536
11,0,2179784
12,2,2451374
13,0,2472494
14,0,2472652
15,2,2484890
16,2,2689533
17,0,2992737
18,2,2994989
19,2,2996557
20,0,3001159
21,2,3337321
22,1,3338717
23,0,3341387
24,0,3342845
25,0,3342920
26,1,3645495
27,2,3790392
28,0,3875073
29,0,5501548
30,2,7089689
31,0,10495905
32,2,11143585
33,0,12821001
34,2,13431598
35,2,14671537
36,2,14693152
37,0,15364336
38,0,15461029
39,0,15492611
40,0,15492703
41,2,16696589
42,2,18766815
43,1,20401343
44,0,20686013
45,0,20870662
46,0,22733902
47,2,22851767
48,1,24274745
49,0,28261549
50,2,28569131
51,2,29947593
52,0,35004142
53,2,37432738
54,1,37726254
55,1,38103031
56,2,38175095
57,1,39447101
58,2,41755262
59,0,44112117
60,2,44712111
61,1,45023354
62,2,47275038
63,0,47346881
64,1,47903130
65,2,48840677
66,2,50148782
67,1,50397150
68,0,50924270
69,2,52458646
70,1,53044542
71,0,53216473
72,2,53509357
73,1,53838902
74,2,55128263
75,2,55128356
76,2,56566911
77,0,57238468
78,2,57628286
79,2,57809013
80,1,57927339
81,1,59392127
82,0,59687575
83,2,60255046
84,1,61024024
85,2,62470795
86,0,63744774
87,2,65083667
88,2,67448128
89,2,68662952
90,0,68754484
91,1,69680457
92,1,69705332
93,2,71220610
94,1,72623537
95,2,72781943
96,1,73076861
97,1,73967035
98,1,74267294
99,0,74438642
100,1,77898334
101,1,78108556
102,0,79145259
103,0,79810793
104,2,80106626
105,0,81285060
106,2,82064524
107,2,82776936
108,0,82912045
109,2,83877359
110,2,86496753
111,2,86496999
112,0,86620680
113,0,87267562
114,2,88600410
115,0,88616414
116,1,88773423
117,0,88961052
118,2,89963039
119,1,89975322
120,0,90502066
121,2,91083921
122,2,91827505
123,0,91827703
124,2,92674218
125,0,92967316
126,0,93436734
127,0,93439022
128,2,93674913
129,1,93800593
130,2,94055387
131,0,94056911
132,0,94057742
133,2,94161832
134,2,94416426
135,0,95139451
136,2,95609977
137,0,97267049
138,2,97436480
139,2,97675748
140,2,98149284
141,2,99395789
142,0,100069096
143,0,101910897
144,2,101976825
145,2,102800807
146,2,102801022
147,2,102808140
148,2,105291926
149,1,105470863
150,0,105718803
151,1,106528653
152,2,109406137
153,2,109406593
154,2,109408156
155,2,109420968
156,0,109683896
157,0,109849422
158,2,112940304
159,2,114974578
160,0,116392331
161,1,116896266
162,2,117805793
163,0,118006511
164,0,118120187
165,2,119492464
166,2,120148680
167,0,120413826
168,0,120414835
169,0,120415011
170,0,123481192
171,2,123848535
172,2,123851460
173,1,125184658
174,2,125224941
175,0,125867901
176,2,126805558
177,2,127016664
178,2,127970811
179,0,127973232
180,1,128027127
181,2,128036862
182,0,128038284
183,0,129323015
184,1,129630741
185,2,129988439
186,2,130172832
187,2,130180014
188,2,130368451
189,2,131204525
190,0,132461738
191,2,132480872
192,2,133048819
193,0,133048906
194,0,133336983
195,0,133472216
196,0,134239880
197,2,134897156
198,2,134897226
199,2,135043066
200,2,136783866
201,2,137622972
202,0,138520385
203,0,138666571
204,0,138956442
205,2,139759548
206,1,141435859
207,1,143580848
208,0,144119476
209,2,144303169
210,2,145350636
211,0,145376889
212,2,145608454
213,0,149061951
214,2,150017285
215,2,150017670
216,2,150830685
217,2,150831374
218,1,151238769
219,0,152579572
220,2,152723700
221,0,152744811
222,0,152971270
223,0,153159084
224,2,154656202
225,1,154701349
226,2,155394045
227,2,156205666
228,0,157675948
229,1,158581251
230,0,158823429
231,0,159161582
232,0,159920382
233,2,159972677
234,2,160296311
235,0,161430708
236,2,161866756
237,2,162206031
238,2,162409926
239,0,162900601
240,1,162905181
241,0,163065221
242,2,163236093
243,0,164184950
244,2,166242701
245,1,167444974
246,0,167843514
247,2,168526622
248,2,168645983
249,2,169087773
250,0,169862653
251,1,171955162
252,2,172412179
253,2,173860216
254,2,174226503
255,2,174229448
256,2,175306296
257,0,175640748
258,0,175641413
259,2,176799913
260,0,176846551
261,2,177763809
262,2,178875293
263,1,180246385
264,2,180442277
265,2,181848214
266,2,182407344
267,2,183518498
268,2,184381857
269,1,184558686
270,0,184709319
271,2,185945211
272,0,186187955
273,1,186189003
274,0,186789675
275,2,187126597
276,2,187647314
277,0,188182952
278,2,188785589
279,1,188896944
280,0,189371539
281,1,189472041
282,2,194997660
283,0,195045829
284,0,195828357
285,0,196151443
286,0,196211483
287,0,196211805
288,2,196213458
289,2,197764654
290,0,198798589
291,0,198802074
292,1,201355708
293,2,201356581
294,2,201823534
295,2,202735530
296,0,202837214
297,2,203107648
298,1,203477720
299,0,204894815
300,2,205741311
301,1,205997052
302,1,208290111
303,2,208499701
304,2,208778844
305,2,209465508
306,0,210150844
307,0,211134410
308,2,211280623
309,0,211800685
310,1,211942005
311,0,212750043
312,2,212894900
313,0,215411964
314,2,215599999
315,0,215719432
316,0,216424753
317,0,219024212
318,2,219189840
319,2,219304939
320,2,219305498
321,2,222318741
322,1,222427305
323,0,222734532
324,1,224883347
325,1,225047936
326,1,225310211
327,2,225423079
328,2,225424613
329,1,226092639
330,2,226186231
331,2,227035195
332,2,227298664
333,2,228104804
334,1,228375574
335,2,229042991
336,0,231152604
337,2,232222599
338,2,232871543
339,2,234180518
340,0,234532649
341,2,234951748
342,2,235145078
343,0,236460090
344,0,236493977
345,2,237451556
346,1,238292930
347,2,239826956
348,1,239848726
349,2,239952725
350,2,241232919
351,0,241460765
352,0,245176387
353,2,246631281
354,2,246925475
355,0,248092214
356,2,248327311
357,2,249507656
358,0,249637966
359,0,249708430
360,2,252730894
361,0,255360385
362,2,257117931
363,2,257556778
364,1,257601836
365,2,258213772
366,2,259908223
367,0,260093842
368,2,260597725
369,2,260627987
370,2,261385657
371,0,261774857
372,2,264537919
373,0,266254928
374,2,266537686
375,0,268485106
376,2,268681063
377,2,269569682
378,2,270015529
379,2,270616860
380,2,271961814
381,1,273118180
382,0,274598614
383,0,274765604
384,2,275031764
385,2,278425300
386,2,280683373
387,2,281732132
388,0,281733733
389,2,282939350
390,0,288732182
391,2,289053758
392,2,289145316
393,2,289485372
394,0,289485430
395,2,290633275
396,0,290740483
397,2,291181731
398,2,291658877
399,0,291667998
400,2,291707606
401,0,291915572
402,1,291969722
403,2,293498364
404,2,295433602
405,0,296030492
406,0,296036456
407,2,296545256
408,1,297800790
409,2,298940083
410,2,299645977
411,0,300616230
412,1,301169695
413,2,301248868
414,2,301819267
415,1,301865368
416,2,302100387
417,2,302332388
418,0,302948622
419,2,304312153
420,2,304364196
421,2,304703889
422,0,304956075
423,2,305626391
424,2,306023493
425,0,306947490
426,0,306947732
427,0,307170019
428,0,307964764
429,2,308239202
430,0,308243574
431,0,308341207
432,1,308824715
433,0,309133289
434,2,310138619
435,1,310139217
436,0,310843267
437,2,312122073
438,2,312542405
439,0,312878448
440,2,313370533
441,1,315355695
442,2,317549574
443,2,317884410
444,1,318835541
445,1,319195981
446,2,319802766
447,1,319949638
448,0,321473081
449,1,321955050
450,0,322830430
451,2,323060130
452,0,324155906
453,2,324838200
454,1,325585363
455,1,326943104
456,0,326943154
457,0,328237164
458,2,328837217
459,2,329366046
460,0,329563105
461,2,331044168
462,2,331909087
463,2,331975522
464,2,333059581
465,0,334587481
466,0,336829653
467,2,337264083
468,0,337608368
469,2,338967935
470,0,339164097
471,0,339411648
472,2,339584054
473,1,340795998
474,2,340915899
475,2,341605373
476,2,342107329
477,2,342118794
478,1,343004567
479,2,344755025
480,0,345511726
481,2,345712628
482,2,347187880
483,0,348024380
484,2,350873922
485,2,351569557
486,0,352789470
487,0,353281296
488,2,354662348
489,0,355922998
490,0,356059780
491,1,357721976
492,1,358019787
493,2,358413591
494,2,360999446
495,1,361065629
496,2,361065647
497,2,361186228
498,2,361223646
499,2,361408797
500,1,362878831
501,2,363126061
502,2,363127093
503,0,364139921
504,0,364140069
505,0,364318606
506,0,364372342
507,0,366024039
508,0,367935315
509,1,368226179
510,2,368447504
511,2,369514016
512,0,369537665
513,2,370405853
514,2,371363917
515,1,374805424
516,2,377012869
517,2,377580412
518,0,378644978
519,0,378646189
520,0,378651419
521,2,378696238
522,1,379059182
523,0,379427808
524,0,379428012
525,0,379428025
526,0,380261084
527,0,384380441
528,0,385109057
529,0,385560709
530,2,385644178
531,2,386487326
532,2,386582364
533,0,389294303
534,2,389424270
535,0,390017665
536,0,391142301
537,0,391174197
538,0,392556949
539,2,393284665
540,0,393491557
541,2,394173381
542,2,394365715
543,0,394921940
544,2,395401585
545,2,397155880
546,2,397343189
547,0,399085687
548,2,399522493
549,0,399590730
550,2,400364982
551,1,401639152
552,0,401639571
553,1,403132427
554,0,403182119
