,cat,id
0,2,981265
1,2,1551906
2,2,2187600
3,1,2697428
4,0,3039826
5,1,3572520
6,1,5540748
7,2,5747407
8,2,7769180
9,2,8567788
10,3,9711969
11,1,9786586
12,2,10894082
13,1,11188544
14,1,11302664
15,3,11395380
16,3,11782786
17,1,12200495
18,2,13573826
19,2,14981164
20,2,17131444
21,0,18043662
22,1,18082550
23,3,19035389
24,1,19949863
25,0,20067940
26,2,20610801
27,1,20912385
28,1,20999285
29,1,22644932
30,2,22722370
31,2,23618704
32,2,24123994
33,2,24152680
34,3,24493856
35,1,25288221
36,2,25487235
37,2,25616825
38,2,28185575
39,3,29505949
40,1,31681260
41,2,32866452
42,2,33857652
43,2,34670614
44,3,35572793
45,1,35883030
46,0,36056107
47,2,36266596
48,2,36742652
49,3,37653940
50,3,38710142
51,3,38710757
52,3,38711998
53,1,38813482
54,0,39029632
55,1,39177424
56,2,39263967
57,1,39865769
58,2,40396777
59,2,40872089
60,0,42191631
61,3,42512470
62,2,43001142
63,2,44101304
64,2,45127495
65,3,45192843
66,3,45364609
67,2,46228407
68,3,48644541
69,2,49595044
70,2,49595586
71,3,50272559
72,3,50812772
73,2,51731019
74,2,51809755
75,1,52091874
76,1,52387862
77,1,52488902
78,0,52498251
79,1,52669482
80,2,52682226
81,1,53469238
82,0,53617712
83,2,53628028
84,2,54607393
85,0,54773956
86,2,54847327
87,2,55721980
88,0,56780975
89,1,57303599
90,0,57348453
91,3,59178855
92,1,60028876
93,3,60071359
94,0,60158212
95,0,62792494
96,1,62861361
97,1,63474209
98,1,64151826
99,2,64924901
100,2,65529084
101,1,66185860
102,1,66409433
103,2,67218237
104,3,68132339
105,1,68214225
106,2,68366289
107,2,68777210
108,1,69793989
109,1,70008864
110,0,70630506
111,2,71884341
112,2,72270672
113,2,72792556
114,3,73135512
115,3,73266419
116,3,74420759
117,2,74551867
118,1,75422887
119,1,77851024
120,1,78071870
121,2,80635806
122,2,80668962
123,1,80798694
124,0,81695506
125,3,82180332
126,2,83213138
127,2,84329617
128,2,85896807
129,1,87256053
130,1,87688966
131,2,88589987
132,3,88650071
133,1,89461077
134,1,89490137
135,2,89535032
136,3,90522158
137,1,90527186
138,2,91065655
139,2,91300646
140,3,91737705
141,1,92643608
142,3,93018901
143,0,93246085
144,2,93622791
145,1,94238595
146,3,94909667
147,0,95270038
148,1,96109528
149,1,99314156
150,3,99456848
151,3,100677241
152,2,101605224
153,2,101745771
154,0,101917964
155,2,101993329
156,3,102831115
157,2,104309100
158,3,105030615
159,3,106642803
160,1,108872755
161,3,110040796
162,2,111636934
163,3,112279266
164,3,112375563
165,1,112393919
166,0,113202867
167,1,113225313
168,2,113419455
169,0,113625369
170,0,114611596
171,1,114653874
172,2,115317058
173,2,116356490
174,2,116381738
175,1,116384988
176,1,116896041
177,0,117002540
178,0,117003484
179,0,117006411
180,1,117038016
181,0,117539822
182,3,117945152
183,2,117995409
184,2,118311353
185,3,121577664
186,3,122234999
187,0,123035144
188,3,123496410
189,1,126019384
190,3,127995477
191,2,128253656
192,0,128256730
193,1,128265158
194,0,128298577
195,0,128298802
196,0,128328352
197,0,128349885
198,3,132636556
199,1,132763636
200,0,133190860
201,1,134283417
202,2,134819626
203,1,135253041
204,2,135611747
205,1,136062661
206,2,136272446
207,1,136300037
208,1,136964796
209,2,137229191
210,1,139444941
211,2,141523711
212,2,142342910
213,1,142357748
214,3,142384077
215,0,142736449
216,1,144725159
217,3,144978505
218,3,145407331
219,1,146593635
220,3,146977809
221,1,147819556
222,3,148204489
223,0,149355818
224,1,149845379
225,3,150107514
226,3,150196386
227,1,151038839
228,0,151602615
229,0,151602794
230,0,152294361
231,0,152296344
232,3,152726697
233,1,152793478
234,2,153033893
235,2,156175851
236,3,156259644
237,1,156266636
238,3,157830809
239,2,160032945
240,3,160108344
241,1,160166797
242,3,160319055
243,0,160809803
244,1,161252532
245,1,161436755
246,2,162313254
247,2,164197748
248,2,164350171
249,1,164913327
250,1,165080507
251,1,165624208
252,2,166258659
253,1,166372196
254,1,166937855
255,1,167210886
256,0,167498859
257,0,167503311
258,3,167981610
259,2,168043149
260,2,173113337
261,3,173295984
262,1,173548123
263,2,173578591
264,1,173690289
265,3,175540660
266,2,176667094
267,3,176751941
268,3,178044303
269,2,180243156
270,0,180478754
271,1,182387551
272,0,183757377
273,0,183768276
274,2,184177487
275,2,185401204
276,3,186034824
277,3,186035026
278,3,186035081
279,3,186472899
280,1,187332389
281,0,188009780
282,1,188367391
283,3,189451049
284,2,189576478
285,1,189793415
286,2,189887507
287,1,190108066
288,2,190830675
289,3,191190277
290,3,191402067
291,1,191423440
292,0,192217513
293,1,192858693
294,1,192961790
295,2,193698645
296,1,194255216
297,0,196620185
298,2,197653844
299,0,198368025
300,1,198571144
301,3,199530069
302,0,200803409
303,2,202117897
304,2,202598054
305,1,203957149
306,3,204234914
307,1,204552303
308,1,206121006
309,2,206907207
310,1,207133013
311,2,208684467
312,2,209471991
313,1,209792398
314,1,209891034
315,2,210649388
316,3,210723640
317,1,211215779
318,3,211587586
319,0,212136853
320,2,212609129
321,1,212620924
322,1,213218000
323,2,213219825
324,3,213587280
325,1,214208090
326,3,215131089
327,0,217411086
328,1,218158297
329,1,218664597
330,2,219795895
331,1,220093417
332,1,221159853
333,1,221194820
334,1,221500989
335,1,221546048
336,1,222142370
337,1,223907455
338,1,224172854
339,1,224387456
340,1,225058798
341,1,225641803
342,0,225946307
343,0,226779388
344,3,226804127
345,1,227147779
346,2,227527910
347,0,227635654
348,0,227635997
349,0,228188321
350,1,228427088
351,3,228882383
352,3,229464684
353,1,229990788
354,1,230016545
355,1,230190046
356,3,230240398
357,0,230436708
358,1,230953289
359,2,231374607
360,3,232343759
361,3,232350106
362,3,232847291
363,1,232981732
364,1,232981753
365,2,233101554
366,2,234035779
367,2,234036049
368,2,234628331
369,0,234659994
370,2,235330542
371,1,237339751
372,1,237401861
373,2,238518719
374,2,239448488
375,2,240678409
376,1,241476967
377,1,242229295
378,0,243739060
379,0,243746934
380,2,243747081
381,0,243747670
382,2,243751669
383,0,243752287
384,0,243752936
385,3,243870821
386,1,244758047
387,1,245324283
388,0,246091049
389,1,246179141
390,0,246607341
391,2,246833600
392,2,247469299
393,0,248498517
394,3,249697993
395,0,249945118
396,2,250324987
397,2,250433955
398,1,251658776
399,0,251704489
400,3,252764117
401,3,253897331
402,3,254060115
403,1,254148053
404,1,254894075
405,1,255164889
406,1,255237639
407,2,257023066
408,2,257721268
409,1,258125511
410,2,258855082
411,3,259927080
412,0,260834891
413,1,261178216
414,2,262114001
415,2,262813530
416,2,262976016
417,3,263064616
418,3,264763955
419,2,264792832
420,0,266033635
421,1,267056336
422,0,267133868
423,0,267962348
424,3,269062290
425,3,269062358
426,1,269563346
427,0,269919159
428,2,269969543
429,0,270086988
430,3,270523209
431,1,270770091
432,3,270814499
433,2,271435754
434,1,271984207
435,0,272624153
436,1,272990116
437,3,272996376
438,3,273808615
439,1,273818247
440,2,273885805
441,1,275214390
442,2,275315815
443,1,275651336
444,0,275960356
445,1,277465436
446,2,278357867
447,1,278876755
448,3,278989357
449,2,279571509
450,2,279573630
451,2,281176240
452,1,283368669
453,3,284041313
454,3,284055378
455,2,284363535
456,1,287191869
457,3,288571669
458,1,288604305
459,1,289651301
460,3,291017509
461,2,291546690
462,2,292422362
463,2,293675360
464,2,294261694
465,0,294405152
466,1,295059216
467,1,297869563
468,3,297980406
469,2,298384878
470,1,298386810
471,1,298390404
472,0,298766194
473,0,299806383
474,1,300267052
475,3,304546220
476,2,307259792
477,1,308473946
478,0,308725499
479,1,309946917
480,2,310121960
481,1,310249415
482,0,310786395
483,0,313520864
484,0,313521368
485,0,313521558
486,0,313521883
487,3,313527295
488,1,314281147
489,3,315056113
490,3,316974442
491,1,317482847
492,1,318211900
493,2,318289330
494,1,319793650
495,3,320515598
496,3,321272755
497,2,322342299
498,2,322974915
499,1,323263550
500,0,324381365
501,1,324837081
502,2,325453268
503,1,325725089
504,2,326324255
505,3,326973522
506,0,328173907
507,1,328949135
508,2,331376321
509,1,332569169
510,2,333781875
511,0,334681347
512,2,336160904
513,2,336600529
514,2,337166587
515,2,337230175
516,1,337590757
517,2,337712038
518,2,338498283
519,1,340461788
520,2,341107961
521,3,341895660
522,2,343034642
523,1,343336902
524,1,343443930
525,3,343963711
526,3,343963805
527,3,343965408
528,1,344173999
529,2,345208775
530,2,345488348
531,1,346542975
532,0,346831165
533,2,348433336
534,3,349232600
535,0,349435429
536,0,350729150
537,1,351617245
538,2,351923249
539,3,352166701
540,1,352224629
541,2,354114273
542,1,354996755
543,1,356641755
544,1,356675228
545,0,357126473
546,0,357128193
547,2,357976079
548,1,358655057
549,2,358897918
550,2,359084551
551,1,359351660
552,0,361967700
553,1,362123609
554,3,363230249
555,3,364545064
556,1,365480135
557,0,366782021
558,1,367667574
559,1,367667970
560,0,367963383
561,2,368060567
562,0,369059415
563,1,370060398
564,0,370751084
565,1,372336027
566,2,372621117
567,1,372869336
568,0,373244637
569,2,374351182
570,1,374893508
571,1,375768557
572,2,375774352
573,1,375943001
574,2,376108945
575,2,377255505
576,2,377469776
577,1,377882159
578,1,379564155
579,3,379637453
580,0,380358000
581,3,380610266
582,0,380930668
583,3,382213136
584,0,382374629
585,2,382773482
586,1,384389915
587,1,384833770
588,1,385228978
589,3,387287744
590,1,388204785
591,0,388219995
592,0,388593331
593,3,389206146
594,2,391304573
595,0,391507644
596,1,391845484
597,3,393642361
598,2,395138812
599,1,395296358
600,3,396040334
601,0,396052113
602,1,398370951
603,3,399597481
604,1,399864072
605,1,400297128
606,2,400415538
607,1,400472530
608,1,401506299
609,0,402862111
610,3,402993241
611,2,404032072
612,2,404283132
613,1,406542464
614,0,407655924
615,1,407706560
616,2,407816383
617,0,408404296
618,3,408556218
619,2,408901236
620,1,409101311
621,1,409101341
622,3,409919067
623,1,410210096
624,1,410404266
625,3,412269044
626,3,412269421
627,1,412965095
628,1,413528493
629,2,414182369
630,2,414182480
631,2,414182770
632,1,414658322
633,1,415498753
634,2,415827166
635,2,415827272
636,2,416131770
637,2,420680609
638,1,420912580
639,0,420999512
640,2,422016055
641,1,422177231
642,0,430433656
643,2,431382001
644,0,431838995
645,0,432699745
646,0,435976350
647,2,436363291
648,1,437149876
649,1,442376294
650,2,442782462
651,3,442985318
652,0,443813842
653,2,446052730
654,0,448130185
655,1,448570521
656,1,449087887
657,3,451972081
658,3,452084329
659,3,452295628
660,3,452471849
661,2,452546114
662,2,452684643
663,0,452904535
664,3,453059123
665,2,453823424
666,2,454107616
667,3,454220990
668,0,454359284
669,0,454574566
670,1,459279770
671,0,462484641
672,0,464710580
673,2,466251221
674,0,466496116
675,0,467603549
676,0,468510933
677,0,469940882
678,0,472286600
679,1,474853011
680,0,474895126
681,0,475027040
682,0,475326741
683,0,476650487
684,2,476713925
685,0,476749842
686,1,477264469
687,0,478057242
688,0,478283510
689,2,479270836
690,0,479670775
691,0,480348430
692,3,481198044
693,0,482466629
694,2,482476405
695,0,483513850
696,0,484027402
697,1,484528361
698,3,486098403
699,3,486122974
700,2,487365609
701,3,487699553
702,3,487801752
703,2,487928982
704,3,489471988
705,0,490394550
706,1,491191102
707,2,491224687
708,0,491334069
709,1,491412140
710,3,494154857
711,3,495251645
712,0,495562791
713,2,495864429
714,2,495864630
715,3,497230670
716,2,499500843
717,3,499539348
718,3,499760067
719,2,501303377
720,2,501323196
721,0,501346686
722,2,501524347
723,1,501817768
724,0,505782087
725,2,510514380
726,0,510515115
727,0,511141821
728,0,512271497
729,3,512491836
730,0,513231571
731,3,513694228
732,2,514622114
733,3,514896206
734,2,515108353
735,2,515463370
736,0,517952177
737,3,518300340
738,3,518316031
739,1,518772362
740,2,520078771
741,1,520391404
742,0,521325439
743,3,521484025
744,0,521697764
745,0,522505255
746,3,522646586
747,1,522680331
748,3,522838846
749,2,522945342
750,2,523013431
751,0,523058580
752,2,523237562
753,3,523263772
754,2,523348924
755,3,523361759
756,2,523375175
757,3,523397620
758,3,523442529
759,0,523740296
760,3,524148190
761,2,524155962
762,2,524167631
763,3,524249455
764,2,525704317
765,0,525794404
766,2,526418236
767,2,526466960
768,0,526583548
769,1,527067094
770,3,528070676
771,3,528191814
772,0,528721549
773,3,528919887
774,0,529225488
775,2,529389796
776,0,531015802
777,2,531092285
778,2,532552567
779,2,533399771
780,2,534243105
781,1,534425002
782,3,534854321
783,1,535680155
784,2,535792047
785,0,541214053
786,0,541425183
787,1,541677698
788,0,542346654
789,3,543298775
790,2,544948781
791,0,545314523
792,0,545955702
793,1,546975911
794,0,547451432
795,0,547912197
796,0,548740005
797,2,549292809
798,1,549470443
799,0,549900147
800,3,551203085
801,2,551551420
802,2,551845593
803,0,553897161
804,1,554898622
805,0,554959815
806,2,556003847
807,2,556835463
808,2,557245161
809,3,557636266
810,2,559545636
811,2,559545818
812,0,560241070
813,0,562676375
814,1,562680182
815,0,562692406
816,2,562925736
817,0,563287303
818,0,563287807
819,0,563494559
820,1,563828412
821,2,563842255
822,1,564581255
823,1,564747351
824,0,565066012
825,2,565089204
826,2,565626438
827,2,565626866
828,3,565630719
829,3,566978855
830,0,567123541
831,3,567264676
832,3,567311804
833,0,567368103
834,0,568706719
835,2,570153346
836,2,571779565
837,0,576367554
838,2,577800729
839,1,577994934
840,0,578361344
841,3,578558153
842,2,578600599
843,3,582703621
844,0,582828356
845,0,582829287
846,3,583435565
847,0,585016048
848,3,586309390
849,3,586392066
850,3,586425979
851,3,586488207
852,3,589129544
853,0,590311430
854,0,590532645
855,0,591595538
856,0,591789079
857,0,591900578
858,2,592439150
859,0,594157829
860,1,594275622
861,3,599474161
862,1,601936289
863,3,602229397
864,0,603148966
865,3,603928458
866,3,603928494
867,2,604298326
868,2,604937727
869,0,604956816
870,3,605425720
871,1,606994695
872,3,607449166
873,1,608949237
874,3,609712244
875,3,609836716
876,2,610473885
877,2,610612232
878,3,611053101
879,0,611288005
880,1,612275256
881,0,613297586
882,0,613444680
883,2,613771820
884,2,614107592
885,3,614689759
886,1,615933988
887,3,616920958
888,3,617025044
889,3,617025315
890,0,617026078
891,3,617030818
892,3,617030905
893,0,617400851
894,0,617658273
895,3,617695846
896,0,621007642
897,0,621420815
898,1,621776703
899,0,622040380
900,3,622853141
901,1,623132128
902,2,624545779
903,3,624822460
904,2,625912529
905,0,626027638
906,3,626227027
907,3,626253327
908,1,627536179
909,3,628346560
910,2,628872391
911,3,629820220
912,0,630093495
913,3,634045929
914,0,637228268
915,0,638200853
916,1,638651867
917,2,638693558
918,2,639097040
919,0,639100409
920,2,639101944
921,2,639109151
922,2,639109384
923,2,639110384
924,0,639112308
925,3,639116363
926,3,639117472
927,2,639148806
928,2,639153190
929,2,639153266
930,3,639643166
931,0,639975774
932,2,641255137
933,0,642437852
934,2,643532253
935,3,643803709
936,3,643844836
937,3,643933294
938,1,644151161
939,2,644182116
940,2,644290395
941,3,644367892
942,2,644549656
943,3,644634425
944,3,644643745
945,2,644874885
946,3,645281721
947,2,646564276
948,1,647760474
949,2,649905635
950,0,650385530
951,3,651669726
952,1,652293443
953,1,653218588
954,3,653293197
955,0,660927629
956,2,663317135
957,0,663866628
958,3,663920775
959,3,664091266
960,3,664307743
961,3,664310111
962,3,664421040
963,2,664622347
964,3,664687721
965,2,664768819
966,1,667905623
967,0,668775532
968,3,669750145
969,0,670216170
970,1,671812467
971,0,671959019
972,0,672070851
973,0,672487287
974,0,673236282
975,0,674775467
976,3,674777523
977,0,674930138
978,0,675784309
979,2,676248395
980,3,676269839
981,2,676433892
982,3,676932529
983,0,677024173
984,2,677906442
985,1,678838668
986,3,678894003
987,2,680338881
988,2,680423716
989,0,680524227
990,0,680738101
991,0,682028223
992,0,683495034
993,3,686837323
