,cat,id
0,0,557316
1,0,953142
2,2,1396823
3,1,2604466
4,1,2766531
5,1,4606483
6,0,5247624
7,2,6065895
8,2,6622758
9,2,6798178
10,0,7104067
11,0,7566024
12,2,7761710
13,2,10940600
14,0,12090015
15,1,12322940
16,2,13317927
17,0,13405556
18,1,14508012
19,1,14548969
20,1,14791042
21,2,16185187
22,0,16268025
23,0,17046933
24,0,17075335
25,1,17286002
26,0,17920408
27,0,24021035
28,0,24720579
29,2,25628169
30,1,25921786
31,1,26109070
32,2,26667252
33,0,27690061
34,0,27756496
35,1,27784861
36,2,27860006
37,0,28127484
38,0,28301714
39,0,29019305
40,0,29400089
41,2,29956707
42,0,30095986
43,2,30389543
44,0,31633523
45,0,32682122
46,2,32898064
47,0,33358706
48,0,34588449
49,0,37135792
50,0,38498227
51,0,38889393
52,0,39749413
53,1,40106947
54,1,40180494
55,2,40449577
56,0,40491501
57,1,41504265
58,0,41614150
59,0,42697827
60,0,43098223
61,2,44964559
62,0,47819497
63,1,47895405
64,0,49359608
65,2,50667836
66,1,51345596
67,0,51947448
68,1,52344610
69,0,53061124
70,0,53830507
71,1,53870021
72,0,54304988
73,0,54683342
74,2,55226679
75,0,55682647
76,2,56503639
77,0,56608786
78,1,56830240
79,1,56872410
80,0,57878253
81,2,58212915
82,0,59182880
83,1,61787206
84,1,64361542
85,2,64457257
86,2,64571392
87,0,65524826
88,1,66939026
89,2,68285802
90,2,70328874
91,0,70807252
92,1,70839819
93,1,71474058
94,1,71474125
95,1,71508141
96,2,72181999
97,2,73057353
98,0,73374061
99,1,74233147
100,1,74593106
101,0,74631209
102,0,74734014
103,1,75329730
104,1,75653489
105,1,75664657
106,0,77483739
107,0,78559964
108,1,79247656
109,2,79358117
110,0,79858554
111,1,80671888
112,0,83825104
113,1,85804326
114,0,86330093
115,1,86389816
116,0,87003538
117,2,87130539
118,0,87272697
119,2,87502548
120,1,88146715
121,1,88177362
122,2,88670990
123,2,90131405
124,2,90287727
125,0,90446253
126,2,90703509
127,0,91198629
128,2,91362119
129,0,91726480
130,0,91842903
131,0,92181079
132,0,94123686
133,0,94315865
134,2,95742647
135,2,97052042
136,2,97602339
137,1,99208074
138,0,99512098
139,0,102403501
140,0,102630187
141,2,103825290
142,0,104447944
143,1,104799957
144,0,105092457
145,1,105226757
