,cat,id
0,1,673789
1,0,1045578
2,0,1787895
3,1,2084065
4,3,4692753
5,2,5229551
6,0,5826047
7,0,6304159
8,2,6624779
9,2,6798507
10,3,7196280
11,3,7387939
12,1,9962450
13,3,10719454
14,1,11376491
15,1,11445228
16,3,12615997
17,2,12821555
18,1,13932336
19,3,14554359
20,2,14661094
21,2,14959370
22,1,19319846
23,1,19520184
24,2,19828002
25,1,20592880
26,1,20852639
27,3,20982015
28,2,21110911
29,1,21228655
30,2,21485099
31,1,22389805
32,3,23736016
33,1,24381014
34,1,26368283
35,3,26544266
36,2,27119386
37,1,28182665
38,3,30464165
39,3,31636108
40,1,32186521
41,2,32616939
42,1,33224344
43,1,33575255
44,2,33843405
45,2,34812338
46,1,36115901
47,2,37464429
48,0,42373124
49,1,44584390
50,1,45185441
51,1,45668024
52,1,46429220
53,0,47710261
54,3,47995503
55,3,48023046
56,1,48247134
57,2,48588006
58,2,49092413
59,2,52451354
60,2,52607711
61,2,53281267
62,0,57573844
63,0,57578155
64,0,57578269
65,3,58335972
66,3,58359301
67,0,58427578
68,1,59881386
69,3,60933050
70,1,61113968
71,0,61240691
72,3,61548563
73,2,62825206
74,2,64967936
75,1,65680064
76,3,65986922
77,2,66538361
78,0,67351668
79,3,70951959
80,3,73572110
81,2,73753192
82,3,73786121
83,0,74335729
84,2,74355176
85,1,74399624
86,1,74509203
87,2,75236406
88,3,75237437
89,1,75335310
90,1,76656012
91,2,76737602
92,0,76899810
93,2,77021618
94,2,77488726
95,2,77781616
96,3,78133575
97,1,80196788
98,3,80520456
99,2,82761123
100,1,83908300
101,2,85251031
102,3,85937602
103,0,87958162
104,1,88085827
105,2,89589815
106,1,89757497
107,1,90029918
108,2,90585975
109,2,90804399
110,1,91329369
111,1,95005539
112,3,95085987
113,2,95097416
114,2,95278473
115,2,96106953
116,1,96147252
117,1,96610478
118,2,97327784
119,2,97561364
120,1,97970656
121,2,98222108
122,1,99041329
123,2,99170316
124,3,99507621
125,0,99698517
126,1,99881406
127,1,99881549
128,0,100767668
129,2,103002042
130,3,103043123
131,2,103066423
132,2,104237400
133,1,105556473
134,3,105619788
135,3,105896941
136,2,106161249
137,3,106363520
138,0,106566560
139,2,108266111
140,1,109270072
141,3,109270851
142,0,109344634
143,1,109833949
144,2,109837952
