,cat,id
0,0,372602
1,1,514603
2,0,557241
3,2,889138
4,0,1267434
5,0,1517035
6,2,1853787
7,0,2067464
8,1,2382248
9,1,2535874
10,0,3212334
11,1,4040452
12,1,5090836
13,2,5223942
14,1,5235730
15,0,5347163
16,1,5561250
17,0,6052678
18,0,6863603
19,1,6917548
20,0,7722835
21,0,8194192
22,0,8992847
23,1,9117972
24,0,9408648
25,2,9579180
26,1,10149319
27,1,10441163
28,1,11082711
29,2,11468098
30,0,11755531
31,2,12211473
32,2,12715765
33,2,12876907
34,1,13909508
35,0,15355940
36,1,15829230
37,1,16029030
38,1,17728185
39,1,18400078
40,2,18735302
41,0,18947894
42,0,19605178
43,1,19759359
44,2,20008732
45,0,20137976
46,2,21395052
47,0,22434830
48,0,22945152
49,1,23406053
50,0,24175520
51,1,24234706
52,1,25992056
53,2,25992143
54,0,26966717
55,2,27968866
56,0,30060572
57,1,30342790
58,2,32497713
59,2,32556845
60,0,35360963
61,0,37576464
62,0,37864506
63,1,37997895
64,0,37998159
65,1,39791138
66,2,40518743
67,0,41514872
68,0,42783494
69,1,42855910
70,1,43223243
71,0,43379255
72,0,44359269
73,0,44425389
74,1,44694470
75,0,44990096
76,2,45509067
77,1,46009580
78,1,46992680
79,1,47298075
80,0,48180038
81,0,49716447
82,0,50015681
83,1,51335706
84,0,51419369
85,0,51775639
86,0,52166573
87,1,52936784
88,2,52942240
89,1,53918609
90,1,54339093
91,2,54854882
92,1,54947905
93,1,55003976
94,1,55377513
95,1,56100789
96,1,56433581
97,0,56845013
98,0,57069473
99,0,59300942
100,2,60415163
101,1,60434489
102,0,60901332
103,0,62281565
104,0,63005073
105,0,64206841
106,0,64267116
107,2,65063425
108,2,65065622
109,0,66020755
110,0,66987175
111,0,67025967
112,0,67137810
113,0,67491479
114,2,67704517
115,1,67924555
116,2,68064467
117,0,69371256
118,2,69430977
119,1,70420056
120,2,71387955
121,1,71715918
122,1,72380881
123,2,73059326
124,0,73533544
125,0,74208692
126,0,74303065
127,0,75840811
128,2,75913188
129,0,78328691
130,0,78335243
131,0,78364519
132,1,79073267
133,1,79303216
134,1,79594960
135,0,79638671
136,0,79722719
137,1,79993827
138,0,80248414
139,0,81575071
140,1,81894301
141,0,81905273
142,2,82560766
143,0,83522103
144,0,83668952
145,1,85352675
146,0,85820279
147,1,85850132
148,1,85853680
149,1,86088165
150,1,86557136
151,2,86563589
152,1,87070477
153,0,87374089
154,0,87580025
155,2,88182461
156,1,88665447
157,1,89918734
158,1,90700025
159,1,92533717
160,1,92625149
161,2,92741927
162,0,93557965
163,1,95146912
164,2,96521632
165,2,96991532
166,2,97532202
167,0,98133787
168,1,98478191
169,2,98479987
170,1,100351122
171,0,100477696
172,1,100703526
173,0,100995326
174,2,101602432
175,0,101803395
176,0,103407036
177,2,103998133
178,2,104115750
179,1,104524811
180,2,105069678
181,2,105084931
182,2,105151144
183,2,109111849
184,2,110831586
185,1,113436036
186,1,114132925
187,0,115662385
188,1,115705359
189,0,116356280
190,0,116684809
191,2,117885345
192,1,117951537
193,2,118350491
194,2,118436688
195,2,118560651
196,2,118564011
197,1,118877841
198,2,118952931
199,0,119326817
200,0,119335053
201,0,120000753
202,2,120495820
203,1,120646751
204,2,120983795
205,0,121305492
206,0,121306025
207,0,121306220
208,1,121462282
209,0,121467449
210,1,122312781
211,1,122715757
212,1,122870265
213,1,122885266
214,0,123215769
215,0,123236916
216,0,123495111
217,1,123677603
218,0,123677825
219,0,124806448
220,0,124819542
221,0,124882233
222,1,125259727
223,1,125305474
224,0,125584984
225,1,126320765
226,2,126445013
227,0,126468261
228,1,126949974
229,0,127928721
230,0,129397631
231,2,129487607
232,2,129755897
233,2,129973247
234,1,130910756
235,0,131564014
236,1,132951530
237,1,134988953
238,1,135833594
239,0,136112859
240,2,137667504
241,2,137673947
242,1,138398473
243,0,138428564
244,1,140857379
245,0,142125265
246,0,142210992
247,1,142804408
248,0,143183845
249,0,143200252
250,0,145259806
251,2,145263620
252,0,145357522
253,0,145620023
254,0,145718330
255,2,145871061
256,1,146282972
257,1,146286054
258,0,146314371
259,1,146837550
260,1,147503279
261,2,147895853
262,2,148189845
263,2,148614352
264,2,149320777
265,0,150196835
266,2,150323009
267,0,150398279
268,1,150627600
269,1,150803411
270,2,151030097
271,2,151070436
272,1,151241309
273,0,151343890
274,0,151344368
275,1,151351803
276,0,152059861
277,0,153212655
278,0,155979534
279,2,156228477
280,2,157739324
281,0,157741354
282,1,158871034
283,0,159144452
284,0,159290267
285,2,159336139
286,2,160093592
287,0,161557201
288,0,161989421
289,2,162757916
290,0,163726817
291,0,163727901
292,1,163982773
293,0,164286219
294,0,165035074
295,1,165253620
296,0,165444851
297,1,166225697
298,2,166232345
299,0,166516411
300,1,166840053
301,2,167974182
302,1,168163370
303,0,168437122
304,2,172005991
305,0,172349786
306,2,172640144
307,0,172868558
308,1,174237796
309,0,174723583
310,2,174791988
311,0,175426723
312,2,175485564
313,2,176148598
314,0,176238064
315,0,176703411
316,1,176793189
317,0,177756166
318,0,178469818
319,0,178720921
320,2,179309600
321,0,180159373
322,0,180369475
323,2,180602838
324,1,180796713
325,0,180810055
326,0,182465672
327,0,184488506
328,1,184527689
329,1,185081731
330,1,186532429
331,0,187089343
332,0,187311418
333,0,187516653
334,0,189628792
335,1,189875850
336,1,190013450
337,2,191718652
338,0,193399989
339,2,194124491
340,1,194547367
341,2,195598645
342,1,196319401
343,0,196397393
344,1,197689580
345,0,197793004
346,2,199152568
347,1,199495670
348,0,199976453
349,1,200856878
350,1,200891019
351,0,202138133
352,2,202158275
353,1,202176047
354,0,202504328
355,0,202640774
356,1,203743974
357,2,204256233
358,0,204834499
359,0,205504133
360,1,205645025
361,0,207478887
362,0,207941963
363,1,209235933
364,1,209331069
365,2,209331174
366,0,209331237
367,1,210049646
368,2,211765102
369,0,212161792
370,0,212413867
371,0,212414146
372,2,213644284
373,0,214210882
374,1,214341401
375,0,214937951
376,1,215641615
377,2,216259979
378,2,216327593
379,1,216521064
380,0,216546611
381,0,216546898
382,0,217034858
383,1,217439419
384,0,217587631
385,1,217717093
386,0,218204687
387,1,219014964
388,0,219233394
389,0,220351514
390,0,220830235
391,0,221769523
392,0,223861441
393,0,224579802
394,1,225220749
395,2,225380816
396,0,226023572
397,0,227994109
398,1,228076263
399,2,228443257
400,2,228443277
401,2,228443397
402,0,228774486
403,1,230212898
404,2,230551074
405,0,230612007
406,1,231435138
407,0,231666578
408,1,233828047
409,0,234570372
410,0,235163264
411,1,235879496
412,1,236882486
413,0,236885943
414,0,238281297
415,1,238330717
416,0,238740286
417,2,240394997
418,0,241341629
419,0,242379003
420,0,242379107
421,0,242379115
422,1,243146296
423,1,244181858
424,2,244453917
425,1,245084783
426,1,246270282
427,0,246299755
428,2,246301185
429,1,246548295
430,0,249312453
431,2,250752300
432,1,250772926
433,2,251597305
434,0,252218970
435,1,252236074
436,1,252444132
437,0,252723582
438,0,252723672
439,0,252723869
440,1,252726203
441,2,253073883
442,1,253682961
443,1,254106610
444,1,254940882
445,0,255812155
446,1,255929189
447,0,256986645
448,1,257474279
449,1,258647457
450,0,258794735
451,1,259339008
452,1,260932955
453,1,261415717
454,0,262419926
455,0,262905953
456,2,265596505
457,1,265810774
458,0,266124016
459,0,267086515
460,0,267087412
461,1,267087835
462,2,268688658
463,1,268719524
464,0,269175623
465,0,269775571
466,0,271219990
467,0,271263655
468,1,271294723
469,1,271399426
470,2,271914967
471,0,272938172
472,0,274271455
473,2,274515092
474,2,274515113
475,0,274515678
476,0,274516429
477,0,276030448
478,2,277371936
479,1,277580862
480,0,277650433
481,0,277756962
482,2,278357855
483,0,278357954
484,2,278747569
485,0,279889481
486,1,279927351
487,2,280090022
488,0,280566499
489,2,281492584
490,0,282429669
491,0,282907874
492,2,283655853
493,2,285048745
494,0,285050161
495,2,285222358
496,2,285328081
497,1,285505691
498,2,285513270
499,0,285758311
500,2,285758339
501,2,285758624
502,0,285758635
503,0,285758646
504,2,285758662
505,1,286193433
506,0,287059915
507,1,287383387
508,1,287975552
509,0,288543866
510,0,288547347
511,1,289117739
512,1,290074889
513,0,290858005
514,0,291630222
515,0,291630498
516,2,293603737
517,0,293822139
518,0,294496738
519,0,295233125
520,1,296102822
521,0,296181251
522,1,296383809
523,1,296928149
524,0,297660955
525,1,297667193
526,0,298741895
527,1,298930471
528,1,299492753
529,2,300046378
530,1,301211995
531,1,301308488
532,1,303640436
533,1,303831226
534,0,304055066
535,1,304941779
536,1,305142609
537,1,306228344
538,2,307191209
539,2,308263871
540,1,308710204
541,0,308873246
542,2,309824855
543,1,310240075
544,0,311166953
545,1,311945837
546,1,312124135
547,0,312869328
548,0,314468991
549,2,315250427
550,0,315516657
551,0,315521821
552,0,320340022
553,1,320758063
554,0,322661667
555,0,323162559
556,0,323237635
557,0,324086658
558,1,325146321
559,0,325211543
