,cat,id
0,2,533643
1,0,888162
2,0,1860165
3,2,2776731
4,0,4017062
5,0,4592332
6,0,6109969
7,1,6286405
8,1,8089966
9,0,8443534
10,2,9610678
11,2,11071202
12,0,11210782
13,0,12224073
14,0,12837967
15,0,12841003
16,2,12841352
17,1,13096948
18,0,13687768
19,2,13767140
20,0,14543288
21,2,15923862
22,2,18187737
23,0,19390265
24,0,19391835
25,0,19391996
26,0,19392139
27,0,19399947
28,2,19400671
29,0,19401090
30,0,19977713
31,2,19977820
32,0,20089505
33,1,20272930
34,0,23549410
35,0,23695978
36,1,24231747
37,1,24749308
38,1,25034656
39,1,25117750
40,1,25315688
41,1,26313081
42,2,26610493
43,1,27693026
44,0,30309648
45,2,31767606
46,1,32060778
47,0,32465669
48,0,33909292
49,2,34542918
50,0,35810021
51,2,36933641
52,0,37909273
53,0,38326863
54,0,39822139
55,1,41291811
56,0,41775384
57,1,42309238
58,0,42703922
59,0,42731291
60,0,42834172
61,1,44160519
62,1,45839650
63,0,47193788
64,0,47676838
65,2,47846369
66,0,47980541
67,1,48443699
68,1,48542498
69,1,48729255
70,2,49729507
71,2,50388688
72,2,50606350
73,1,53214289
74,1,53271026
75,0,54090307
76,0,54762911
77,0,56153132
78,0,56420664
79,2,56775980
80,0,56775989
81,0,58167270
82,1,62485167
83,1,64620861
84,0,64732212
85,0,66088852
86,1,66252699
87,0,67977666
88,2,68199694
89,2,68721440
90,2,69530337
91,2,69806073
92,1,70514416
93,1,70778733
94,1,70926968
95,0,70956179
96,1,71481398
97,2,71625520
98,1,73003247
99,0,73321217
100,0,73393714
101,0,75370835
102,0,75398527
103,0,75647549
104,0,76290723
105,0,76506612
106,0,78807445
107,1,79238783
108,1,79251118
109,2,81454964
110,0,82063418
111,0,82696891
112,0,83078564
113,2,83851181
114,2,84034360
115,1,84260807
116,0,84560460
117,0,85140774
118,1,85852872
119,1,85998074
120,2,86162279
121,0,86848302
122,0,87468631
123,0,88278252
124,2,89127542
125,2,89893590
126,1,90787790
127,2,92138151
128,1,92594289
129,0,92667722
130,1,94004629
131,0,95856277
132,0,95890653
133,0,96342020
134,0,96763680
135,0,97764021
136,0,98771734
137,0,100225856
138,1,101510653
139,0,101844177
140,2,102465802
141,2,103529236
142,0,103611843
143,0,105695250
144,2,106032612
145,1,106963051
146,0,111514304
147,1,112118053
148,0,112536846
149,0,112536984
150,1,115940431
151,0,116264363
152,2,116553508
153,0,117368684
154,0,118254259
155,0,119503605
156,1,120312247
157,0,121862615
158,2,123544116
159,0,126752807
160,0,127510817
161,1,128501639
162,1,128506409
163,0,128976583
164,0,130271650
165,0,130316671
166,1,130681979
167,1,131933748
168,0,131971641
169,0,132114561
170,2,132226394
171,0,132639507
172,2,133324121
173,2,135325229
174,1,135553026
175,2,135635800
176,0,135781248
177,1,136199189
178,0,136966585
179,1,138147965
180,1,138273161
181,2,138869260
182,0,139085755
183,2,139407224
184,2,144584100
185,0,144610098
186,0,144787475
187,2,147864369
188,1,149162450
189,1,149727305
190,2,150007937
191,1,150863149
