,cat,id
0,4,930303
1,0,1462830
2,0,1499560
3,3,2391366
4,2,2781271
5,1,3084664
6,1,4275558
7,3,4335819
8,0,5353439
9,1,6410354
10,3,7022128
11,3,7149649
12,2,8416877
13,1,8733346
14,0,8776089
15,4,9044197
16,0,9288947
17,0,9586816
18,3,10543860
19,1,12025687
20,4,13681770
21,0,14343941
22,4,14439442
23,1,15252110
24,0,15365891
25,0,16327400
26,4,16405889
27,0,16580285
28,2,18389489
29,3,18492139
30,0,18927837
31,0,19070157
32,0,19072528
33,0,19435037
34,2,19819214
35,3,20006831
36,3,20308973
37,0,23410856
38,1,24771568
39,2,25824411
40,0,26407134
41,3,27343211
42,2,27987282
43,1,28143226
44,2,28226581
45,2,28335532
46,0,28416767
47,4,29001204
48,2,30525493
49,4,30577040
50,4,30771194
51,3,30859053
52,0,30900904
53,1,30920663
54,1,31258942
55,4,32140213
56,4,32585393
57,0,32655921
58,2,33971799
59,4,34264230
60,4,34839895
61,2,35747764
62,0,36239222
63,1,36540247
64,2,37238856
65,1,38520614
66,1,40779097
67,3,42334003
68,0,42530065
69,4,42944355
70,2,43119067
71,0,43637013
72,0,43652341
73,0,43709092
74,3,44109851
75,4,44659293
76,3,44899208
77,0,45112099
78,3,45170384
79,0,45465616
80,3,46330047
81,3,46478367
82,0,48259558
83,0,48843378
84,0,48883384
85,1,49273259
86,2,50306946
87,1,50639504
88,1,52054605
89,0,53007888
90,0,53089873
91,2,53153219
92,0,54385030
93,2,55796500
94,1,55942572
95,3,56360587
96,1,56819133
97,4,57341683
98,0,57489433
99,1,57958789
100,0,59064016
101,3,59193443
102,0,59419719
103,4,59572711
104,3,60233163
105,4,60775984
106,3,61374661
107,4,61886728
108,4,61949053
109,0,62181919
110,1,62189519
111,3,62275581
112,3,63365199
113,0,63526313
114,3,64311643
115,1,65485585
116,1,66219616
117,1,69035987
118,4,69063849
119,0,69435779
120,1,70202367
121,0,70608440
122,4,71268513
123,3,71938103
124,0,72762237
125,1,74978035
126,4,75637438
127,2,76463425
128,1,76463441
129,3,78032790
130,1,78034942
131,4,78221874
132,3,78929708
133,4,79025495
134,4,79027460
135,4,79028746
136,0,79344917
137,0,80225392
138,0,80471711
139,2,80579934
140,1,80602993
141,2,81001352
142,0,81447071
143,4,81449606
144,4,82431795
145,4,84703892
146,4,84704526
147,0,84758314
148,4,85932500
149,1,86023296
150,4,86136868
151,4,86233673
152,4,86399557
153,0,87624637
154,2,87840163
155,1,90144332
156,0,91448878
157,2,92094883
158,4,92999785
159,1,93648618
160,3,93999776
161,3,94059481
162,2,95635778
163,1,95660769
164,0,95694526
165,1,96122461
166,0,97017621
167,0,97017946
168,3,97432871
169,4,98547243
170,3,98554166
171,2,98590770
172,1,98782726
173,2,98938128
174,1,99100758
175,2,99229394
176,0,99470311
177,0,99849959
178,3,100124865
179,1,100300764
180,2,101219380
181,3,103943148
182,0,104774954
183,3,104935452
184,0,105241140
185,3,107459827
186,0,108705313
187,0,109388421
188,0,109737647
189,4,109805320
190,3,111651527
191,0,111664498
192,0,112480021
193,1,112571434
194,2,114952758
195,0,114965248
196,4,115064726
197,0,116299318
198,0,117137553
199,3,117429612
200,3,117908015
201,0,118305817
202,1,118767504
203,0,118821242
204,0,119323147
205,3,119645520
206,2,121297960
207,0,122624571
208,2,123049509
209,3,123161056
210,0,123179097
211,1,123851512
212,0,125225149
213,0,125354113
214,0,125796114
215,4,126568723
216,0,126625343
217,0,127434571
218,2,127937469
219,0,128998505
220,3,129185583
221,1,129647597
222,0,129749809
223,2,130033769
224,0,130482124
225,0,130496365
226,0,131598495
227,4,131778892
228,3,132820033
229,3,132971328
230,2,133315174
231,4,135951994
232,4,135952439
233,4,135952535
234,3,136495994
235,0,137873961
236,2,137947715
237,1,138159223
238,4,138258539
239,1,138905703
240,3,139235546
241,2,139570516
242,2,140842151
243,0,141589427
244,1,141760658
245,3,142083255
246,2,142307210
247,0,143063558
248,0,143353623
249,3,143470431
250,1,144366589
251,4,144378855
252,0,144757021
253,0,144965511
254,1,145342131
255,1,145391213
256,3,148179424
257,4,148191224
258,0,148367002
259,0,148784802
260,3,148927792
261,3,150192953
262,1,150739055
263,4,150770202
264,4,151617892
265,0,151970155
266,2,151975264
267,4,154322160
268,2,155457640
269,0,156351549
270,3,156897795
271,0,157942799
272,1,158621330
273,1,158661637
274,3,158924526
275,4,159323206
276,0,160221191
277,4,160777290
278,0,161112412
279,2,161972937
280,1,162161492
281,0,162305099
282,2,162584467
283,2,162678311
284,0,163736872
285,3,163887866
286,0,164372117
287,1,165631913
288,1,166309465
289,1,166360096
290,0,166495151
291,2,166985171
292,4,168360650
293,3,168893370
294,3,169117557
295,0,169872865
296,2,171030997
297,3,172667602
298,2,172838837
299,1,173671942
300,4,173828119
301,2,173865479
302,0,174978171
303,2,175699223
304,0,175855339
305,0,177622096
306,1,177965227
307,3,178372080
308,2,178508930
309,4,179017233
310,0,179062111
311,2,179557879
312,0,179852539
313,4,180242939
314,3,181273469
315,2,181367862
316,4,181533729
317,4,181533764
318,3,182621542
319,0,182989425
320,3,185433469
321,0,185768551
322,1,186680965
323,4,186964031
324,4,187255751
325,1,187974374
326,3,187981540
327,2,188585520
328,4,188593752
329,0,190054090
330,0,191279479
331,0,191451874
332,0,191597875
333,4,192361147
334,1,192363343
335,0,192550246
336,0,192736112
337,2,193047975
338,0,193376790
339,1,193546751
340,2,193548436
341,1,194161884
342,0,194196411
343,0,194229001
344,2,194926370
345,2,195448415
346,4,195589818
347,2,195598166
348,0,195672452
349,1,195969944
350,1,196265368
351,4,197163731
352,2,197167198
353,1,197863403
354,2,198001615
355,0,198040567
356,0,198118912
357,4,199536356
358,1,199793449
359,0,201501917
360,4,201818096
361,0,202823891
362,1,204119896
363,0,204449302
364,1,204992899
365,4,205781543
366,0,206330377
367,0,206784650
368,0,207382572
369,0,208681089
370,0,208817243
371,4,208842832
372,0,208954189
373,0,210021156
374,3,210326181
375,0,211244663
376,4,211351737
377,4,211352456
378,0,211591067
379,0,211712727
380,1,211773761
381,4,211774719
382,4,212132429
383,4,212135004
384,4,213080071
385,1,213237691
386,0,213255094
387,2,214821631
388,1,214825110
389,0,215625522
