,cat,id
0,3,1548119
1,2,1782532
2,0,3186725
3,3,5186222
4,3,5322327
5,1,7652187
6,0,8181936
7,3,8751607
8,1,8904174
9,1,8904674
10,1,9192759
11,0,9553930
12,3,9638212
13,0,9968978
14,0,11763745
15,3,12516841
16,1,12877071
17,0,13268940
18,0,13780395
19,0,14113304
20,1,14694284
21,3,15346287
22,3,15745676
23,1,16024597
24,3,16492343
25,3,16900293
26,3,17448137
27,3,18204281
28,0,20543769
29,3,20580447
30,2,21549586
31,3,21655576
32,0,22148150
33,0,22362730
34,3,22556646
35,2,22557160
36,2,23064929
37,1,23155246
38,2,24378404
39,0,25019135
40,3,25590819
41,3,26646674
42,0,27118866
43,2,27720418
44,2,27797117
45,3,28584072
46,3,31342500
47,3,31345413
48,3,33896105
49,3,36430964
50,3,38594948
51,1,39291940
52,1,39293165
53,1,39293730
54,0,39736902
55,2,41194300
56,3,42430105
57,3,43111096
58,0,43473023
59,3,45611442
60,3,45615491
61,2,45663145
62,3,46703523
63,1,48361025
64,0,48767838
65,1,49061271
66,0,50424477
67,1,50490171
68,3,50651714
69,3,51107213
70,3,51777061
71,1,52299414
72,0,52299501
73,3,53857512
74,1,53872796
75,3,54532899
76,3,54604997
77,3,54613500
78,3,55285112
79,0,55315203
80,1,56608664
81,0,56845681
82,3,57694617
83,2,57986586
84,0,58828322
85,2,60615941
86,3,62242078
87,3,62315122
88,3,63433572
89,3,63446469
90,1,64494644
91,1,65411263
92,3,65411367
93,3,65970859
94,3,66364386
95,1,66567114
96,3,68994372
97,2,69114733
98,0,69646980
99,0,70913861
100,3,72003158
101,3,72367071
102,3,73835750
103,2,74652235
104,3,76680258
105,3,76680277
106,3,77121080
107,0,77472427
108,1,77626089
109,2,77626108
110,2,77626122
111,2,77626167
112,3,78628995
113,3,78927328
114,0,79943953
115,3,80200623
116,3,80304020
117,3,81031095
118,0,81396402
119,0,81528754
120,3,81784106
121,3,82919807
122,0,82941312
123,3,82982125
124,0,83182216
125,1,83270785
126,3,83312873
127,0,83617292
128,0,84243360
129,3,85413995
130,0,86379673
131,3,86694395
132,0,86842767
133,3,87369210
134,3,87765205
135,3,88835001
136,3,89270873
137,3,89568157
138,2,90185958
139,2,90305149
140,3,92124917
141,1,92983117
142,1,93343106
143,0,93635848
144,1,93838742
