,cat,id
0,2,833005
1,3,2172690
2,0,3346552
3,0,3429992
4,0,4941454
5,1,6037980
6,0,6925136
7,0,6925285
8,0,9108096
9,2,10304334
10,3,10702570
11,3,11240540
12,0,11783431
13,1,12864964
14,2,13318331
15,1,14342465
16,0,14659245
17,2,15344029
18,3,16973636
19,3,18279697
20,1,18579004
21,3,20664122
22,3,21582267
23,2,21881136
24,2,21968849
25,3,22346434
26,1,22433549
27,0,23557214
28,3,24955741
29,3,25122746
30,2,25575604
31,1,27946284
32,0,27947330
33,0,31677574
34,3,32231315
35,0,38022943
36,3,39494876
37,0,40224791
38,0,40336427
39,1,40359556
40,0,40886977
41,2,41564787
42,0,42264647
43,1,42424340
44,1,45987098
45,2,46012251
46,1,46118543
47,3,46766319
48,1,48237742
49,2,49897488
50,3,50223189
51,1,50351750
52,3,50581763
53,1,50877592
54,0,51533942
55,0,52573473
56,3,52714007
57,0,53448282
58,1,53458485
59,2,54571729
60,1,54981412
61,0,55103538
62,2,56663569
63,0,57977032
64,1,58208037
65,2,58732966
66,2,59328812
67,3,60451162
68,2,60566308
69,2,60923096
70,0,62092292
71,3,63078857
72,1,63098051
73,2,63798904
74,0,63799095
75,2,63800642
76,0,66073699
77,0,66724658
78,1,67335279
79,2,68012239
80,2,68279725
81,0,68729986
82,3,69719120
83,2,71764126
84,3,71863656
85,3,72192608
86,0,72636909
87,0,73055775
88,1,73072988
89,3,73082162
90,0,73206505
91,1,74673839
92,1,76061630
93,1,76417014
94,3,76436510
95,1,77949458
96,1,78324731
97,0,78648570
98,2,79459006
99,2,79748545
100,1,79880116
101,3,80179835
102,3,80771278
103,3,82027931
104,1,82202258
105,0,82661165
106,2,83080728
107,1,83467057
108,0,84160251
109,2,85769527
110,0,85776166
111,1,86247986
112,2,86286430
113,0,86962224
114,3,87452245
115,2,87739781
116,3,89736860
117,3,89737068
118,0,90820401
119,2,91112608
120,1,91198329
121,1,92201574
122,1,94210389
123,1,96904889
124,3,100053164
125,1,100053417
126,0,100456982
127,1,102516490
128,1,102775255
129,0,102883958
130,3,102896569
131,2,104322018
132,1,104322223
133,0,105726187
134,1,105845462
135,3,106793141
136,0,107439881
137,3,107530141
138,2,109182662
139,2,110398358
140,2,110694465
141,2,111740121
142,3,111976456
143,1,112257332
144,0,112318024
145,2,112498246
146,2,113317224
147,3,114510736
148,3,114603060
149,0,114715005
150,0,115028352
151,2,116120868
152,3,116322065
153,2,117771316
154,1,118294554
155,1,119045184
156,1,119600352
157,2,119990186
158,3,120672332
159,0,121006451
160,1,121921325
161,1,122173490
162,2,122278541
163,3,125247343
164,1,126429514
165,3,126723396
166,3,127410776
167,1,127456827
168,1,128646014
169,1,128646247
170,2,128913709
171,1,128974666
172,2,128975866
173,2,129501147
174,2,130181333
175,2,130442183
176,0,130833835
177,0,130834005
178,0,131331284
179,0,131970035
180,0,132457886
181,0,132527206
182,1,132934818
183,1,133810081
184,0,134319467
185,2,135212521
186,3,137073964
187,1,137131873
188,0,137602157
189,2,138908739
190,3,139468115
191,0,139905944
192,1,140109275
193,0,140543621
194,1,141189639
195,3,142031178
196,2,143005075
197,3,143080805
198,1,143743310
199,1,143869397
200,1,144744914
201,0,145151131
202,2,147347210
203,1,147963164
204,1,148599464
205,2,149219999
206,3,149491752
207,3,151478526
208,1,152107719
209,2,153057375
210,2,153707805
211,0,154253593
212,0,155056535
213,1,155181466
214,2,158163692
215,2,158182928
216,2,158807625
217,1,159489515
218,3,159561586
219,0,159715819
220,3,160216333
221,1,161834045
222,0,162774619
223,1,165623927
224,0,165718098
225,0,166363506
226,2,166735778
227,2,167325676
228,2,167631349
229,1,168513855
230,2,169844738
231,1,171446292
232,3,171818247
233,3,172056087
234,1,172631192
235,0,173013513
236,3,173468538
237,0,174002396
238,3,174173864
239,1,176171529
240,0,178261708
241,0,178278594
242,1,178645507
243,2,179257523
244,1,179452501
245,0,179816730
246,2,179847691
247,0,181945016
248,1,182056071
249,0,182309837
250,2,183329002
251,0,183357222
252,1,183910787
253,2,184489094
254,2,184577136
255,2,185171383
256,0,185712871
257,2,185865455
258,3,186376068
259,1,188891982
260,1,189469883
261,3,189795101
262,0,190158529
263,0,190329225
264,1,191250387
265,3,191365794
266,1,192643863
267,1,193040453
268,2,194259127
269,3,194318611
270,3,194958158
271,0,195594537
272,0,198681144
273,2,199400097
274,2,200257173
275,2,200942458
276,2,201015227
277,2,201469814
278,3,202796792
279,2,204064121
280,3,204726533
281,1,204756594
282,0,204893501
283,3,205531679
284,2,205809477
285,3,205812660
286,0,205819134
287,2,205825788
288,2,205828412
289,1,206888342
290,0,207790468
291,2,207830393
292,2,209167933
293,1,209665349
294,3,209858749
295,0,209916149
296,0,210360830
297,0,210943018
298,2,211356383
299,0,212122416
300,2,214375866
301,1,214807804
302,0,215754266
303,1,215995322
304,1,217493574
305,2,221110851
306,1,222734794
307,0,222789924
308,0,223900684
309,2,224709543
310,0,225372395
311,3,225724892
312,0,225757436
313,3,226515572
314,1,228863907
315,1,228896366
