,cat,id
0,2,944669
1,1,1541893
2,2,1963046
3,0,3900340
4,1,4489370
5,1,4886253
6,1,4977737
7,2,5128835
8,1,6403089
9,1,6403105
10,1,6403111
11,1,6403263
12,1,6403457
13,1,6403537
14,2,6835452
15,1,7058730
16,1,7060732
17,0,7060860
18,0,7907373
19,0,9187416
20,1,9532778
21,1,10914977
22,1,12114537
23,1,12115401
24,1,12115627
25,1,12117598
26,1,12118106
27,1,12118420
28,1,12118433
29,1,12555824
30,1,12861990
31,1,12862499
32,1,12885296
33,1,12885695
34,1,13501729
35,1,13501799
36,1,14711730
37,1,14756219
38,2,14905087
39,0,16071942
40,2,17336888
41,1,17379158
42,2,17406398
43,2,17408628
44,1,19643773
45,1,20222506
46,1,20232050
47,1,20232065
48,1,20232066
49,1,20232197
50,1,21998386
51,1,23751036
52,1,23768382
53,0,23768398
54,1,24013996
55,1,24370735
56,1,24849538
57,1,25925090
58,1,26805461
59,1,27552046
60,1,28168261
61,1,29055804
62,2,30123236
63,2,30123371
64,1,30434590
65,1,30455772
66,1,31353957
67,1,31354114
68,1,31687321
69,1,31687331
70,1,31687359
71,1,31687371
72,1,32200069
73,1,32200198
74,1,32274396
75,1,32728115
76,0,32943198
77,2,33042724
78,0,35487608
79,1,36280924
80,1,36280994
81,1,36281149
82,1,36281196
83,1,36282069
84,1,36935743
85,1,36948068
86,1,37440248
87,2,37902103
88,1,38006735
89,2,38058950
90,0,39068667
91,1,39122411
92,1,40779691
93,1,41184870
94,0,44580244
95,2,45233692
96,1,47215238
97,1,47303488
98,1,47303525
99,1,47303566
100,1,47304415
101,2,47875767
102,2,48054904
103,2,48054932
104,2,48055017
105,1,50048545
106,1,51101714
107,1,52054485
108,1,55742670
109,1,56104559
110,1,56175156
111,2,58056218
112,1,58389473
113,1,58389665
114,1,58390802
115,1,58448355
116,1,60712301
117,1,60712305
118,1,62794584
119,1,64276192
120,1,64642428
121,0,65158505
122,1,65258473
123,1,66436766
124,1,67026002
125,1,67026065
126,1,68201275
127,2,71367513
128,2,75636029
129,1,76702548
130,1,76766891
131,1,79473454
132,1,79592857
133,2,80210434
134,2,80228828
135,1,80903103
136,1,80903233
137,1,80903260
138,1,80903354
139,1,80904103
140,1,81506435
141,1,81506468
142,1,81506508
143,1,82425187
144,1,82533425
145,1,83772535
146,1,83773062
147,1,84923676
148,0,86497861
149,0,86497972
150,1,86750901
151,0,87626119
152,0,87792260
153,0,88374695
154,1,89851432
155,1,89851600
156,1,89852075
157,1,89852107
158,1,90759400
159,1,91714444
160,1,91770957
161,0,94045405
162,0,94045528
163,0,94061353
164,1,95066713
165,1,95066754
166,2,96317757
167,1,96744053
168,1,98717365
169,2,101535480
170,1,102814563
171,1,102980950
172,1,103230329
173,1,104083457
174,1,104083510
175,1,104714627
176,1,104714703
177,1,105060870
178,1,105167594
179,0,106593410
180,0,106593489
181,0,106593586
182,1,108874695
183,0,110052734
184,1,111235310
185,1,111688454
186,1,112910893
187,1,112911174
188,1,112911480
189,1,114021404
190,1,114920189
191,1,115013508
192,1,115339977
193,0,116575677
194,1,117082911
195,1,117082958
196,1,117899871
197,1,119334033
198,1,120871100
199,1,121577751
200,1,122024179
201,0,123142902
202,1,123366669
203,0,123582142
204,1,124305990
205,2,125962936
206,1,126204099
207,1,128012998
208,1,130705391
209,1,134032883
210,2,135119150
211,1,135155363
212,1,135787822
213,1,136192703
214,1,137009610
215,1,137009695
216,1,137102983
217,1,137802862
218,0,139811496
219,1,142376858
220,1,142376884
221,2,142628334
222,1,142873145
223,1,143228370
224,1,144113534
225,1,146103342
226,1,147489229
227,1,147752100
228,1,149688202
229,1,149903229
230,1,151130128
231,1,151657156
232,1,152513203
233,1,154016144
234,2,154599011
235,0,154863952
236,2,157426579
237,1,158390539
238,1,158553471
239,1,159132270
240,1,159997520
241,0,160888337
242,0,160888584
243,1,163958157
244,0,164358616
245,1,165907475
